TOP|20101229020001|2010-12-29_0200_US_KCBS_CBS_2_News_at_6
COL|Communication Studies Archive, UCLA 
UID|547b8950-12f3-11e0-82b6-001517add6fa
DUR|0:28:29.77
VID|640x368
CMT|
LAN|ENG
LBT|2010-12-28 18:00 America/Los_Angeles
SEG_01|2014-02-03 01:06:54|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20101229020003.000|20101229022830.000|SEG|Type=Story
20101229020003.000|20101229020004.000|CC1|WITH SEVERAL WIND ADVISORIES AND
20101229020004.000|20101229020005.000|CC1|WATCHES.                        
20101229020005.000|20101229020006.000|CC1|WE WILL BE TALKING ABOUT THAT   
20101229020006.000|20101229020008.000|CC1|AND TELL YOU EXACTLY WHAT YOU   
20101229020008.000|20101229020009.000|CC1|CAN EXPECT OVER THE NEXT COUPLE 
20101229020009.000|20101229020011.000|CC1|OF DAYS.                        
20101229020011.000|20101229020012.000|CC1|CHANCE OF RAIN THIS WEEKEND.    
20101229020012.000|20101229020014.000|CC1|NEW YEAR'S DAY IN THE ROSE      
20101229020014.000|20101229020018.000|CC1|PARADE ALONG WITH THE ROSE BOWL.
20101229020018.000|20101229020019.000|CC1|SHARON: HOMEOWNERS IN HIGHLAND  
20101229020019.000|20101229020020.000|CC1|ARE CONCERNED A NEW ROUND OF    
20101229020020.000|20101229020023.000|CC1|WHAT WEATHER COULD TRIGGER MORE 
20101229020023.000|20101229020023.000|CC1|FLOODING.                       
20101229020023.000|20101229020025.000|CC1|LAST WEEK'S STORMS FORCED A LOT 
20101229020025.000|20101229020027.000|CC1|OF PEOPLE OUT OF THEIR HOMES.   
20101229020027.000|20101229020029.000|CC1|GREG MILLS SHOWS US HOW TO      
20101229020029.000|20101229020035.000|CC1|PREPARE FOR TONIGHT'S RAIN.     
20101229020035.000|20101229020036.000|CC1|>> Reporter: THEY ARE MOVING A  
20101229020036.000|20101229020039.000|CC1|LOT OF MUD FROM INSIDE AND      
20101229020039.000|20101229020041.000|CC1|OUTSIDE THE BEAUTY AREAS HOME IN
20101229020041.000|20101229020042.000|CC1|HIGHLAND.                       
20101229020042.000|20101229020044.000|CC1|DAVID LOPEZ DID NOT EVEN MEET   
20101229020044.000|20101229020045.000|CC1|THE GOOD YEAR AS FAMILY AND TELL
20101229020045.000|20101229020047.000|CC1|THIS MORNING.                   
20101229020047.000|20101229020048.000|CC1|>> I GOT OFF WORK AT 7:00 THIS  
20101229020048.000|20101229020052.000|CC1|MORNING AND THEN CAME YEAR.     
20101229020052.000|20101229020053.000|CC1|IT WILL BE A LONG DAY.          
20101229020053.000|20101229020055.000|CC1|>> Reporter: LOPEZ AND OTHER    
20101229020055.000|20101229020057.000|CC1|VOLUNTEERS ARE HELPING THE      
20101229020057.000|20101229020100.000|CC1|BEAUTY AREAS FAMILY.            
20101229020100.000|20101229020101.000|CC1|CLEANING UP FROM THE FLOODING   
20101229020101.000|20101229020103.000|CC1|LAST WEDNESDAY MORNING.         
20101229020103.000|20101229020104.000|CC1|>> THIS IS GREAT.               
