TOP|20101229023001|2010-12-29_0230_US_KNBC_NBC_Nightly_News
COL|Communication Studies Archive, UCLA 
UID|a92d9afc-12f7-11e0-b591-001517add6fa
DUR|0:29:29.40
VID|640x368
CMT|
LAN|ENG
LBT|2010-12-28 18:30 America/Los_Angeles
SEG_01|2014-06-18 18:28:41|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101229023002.000|20101229023005.000|SEG|Type=Story
20101229023002.000|20101229023004.000|CC1|GAME WE SAW EARLIER THIS YEAR   
20101229023004.000|20101229023005.000|CC1|AND IT ENDED UP TROY POLAMALU   
20101229023005.000|20101229023007.000|CC1|HAVING TO MAKE THE PLAY.        
20101229023005.000|20101229023026.000|SEG|Type=Story
20101229023005.000|20101229023008.000|CC2|>>> Increico ieco>>> Inarchiy   
20101229023007.000|20101229023009.000|CC1|WATCH HIM COME RIGHT DOWN INSIDE
20101229023009.000|20101229023011.000|CC1|THERE, WHICH DRAWS BOTH PETERS  
20101229023008.000|20101229023012.000|CC2|poniendo presión hasta el       
20101229023012.000|20101229023012.000|CC2|estructuro ñe no lograron su    
20101229023011.000|20101229023013.000|CC1|AND HERREMANS AND IT CREATES THE
20101229023013.000|20101229023014.000|CC1|SHORT CORNER THERE FOR ANTOINE  
20101229023014.000|20101229023016.000|CC1|WINFIELD TO COME IN AND MAKE THE
20101229023016.000|20101229023017.000|CC1|PLAY.                           
20101229023017.000|20101229023018.000|CC1|>> Al: TWO SACKS TONIGHT FOR    
20101229023018.000|20101229023020.000|CC1|WINFIELD.                       
20101229023020.000|20101229023021.000|CC1|HE HAD ONE ON THE FIRST SERIES  
20101229023021.000|20101229023024.000|CC1|OF THE GAME.                    
20101229023024.000|20101229023025.000|CC1|12th YEAR IN THE LEAGUE.        
20101229023012.000|20101229023026.000|CC2|objetivo.                       
20101229023026.000|20101229023209.000|SEG|Type=Story
20101229023026.000|20101229023029.000|CC2|>>>  Ony En su segundo temporada
20101229023025.000|20101229023029.000|CC1|KNOWN AS A PHENOMENAL TACKLER   
20101229023029.000|20101229023030.000|CC1|THROUGH THE YEARS.              
20101229023030.000|20101229023031.000|CC1|TEXTBOOK.                       
20101229023031.000|20101229023034.000|CC1|AND THEN, TONIGHT, SHOWING WHAT 
20101229023034.000|20101229023036.000|CC1|HE CAN DO BLITZING.             
20101229023029.000|20101229023037.000|CC2|nla nf lo.                      
20101229023036.000|20101229023037.000|CC1|SHOWING A LITTLE SPEED AT THE   
20101229023037.000|20101229023039.000|CC1|END AS WELL.                    
20101229023039.000|20101229023040.000|CC1|NOT THAT ANYBODY WAS GOING TO   
20101229023040.000|20101229023041.000|CC1|CATCH HIM.                      
20101229023041.000|20101229023043.000|CC1|>> Cris: UNLESS IT WAS MIKE VICK
20101229023043.000|20101229023044.000|CC1|IF HE HAD GOTTEN UP OFF THE     
20101229023044.000|20101229023045.000|CC1|GROUND.                         
20101229023037.000|20101229023045.000|CC2|Estuvo suber activo.            
20101229023045.000|20101229023046.000|CC1|CEDRIC GRIFFIN BEING OUT, THE   
20101229023046.000|20101229023047.000|CC1|OTHER CORNERBACK, HAS HURT THIS 
20101229023047.000|20101229023048.000|CC1|DEFENSE.                        
20101229023048.000|20101229023049.000|CC1|THOSE TWO GUYS WERE QUITE A BOOK
20101229023045.000|20101229023050.000|CC2|Un excelente tacleador.         
20101229023049.000|20101229023051.000|CC1|END FOR A WHILE.                
