TOP|20101229033001|2010-12-29_0330_US_KNBC_Access_Hollywood
COL|Communication Studies Archive, UCLA 
UID|0b5aeb64-1300-11e0-9bb1-001517add6fa
DUR|0:29:29.40
VID|640x368
CMT|
LAN|ENG
LBT|2010-12-28 19:30 America/Los_Angeles
SEG_01|2014-06-18 18:28:45|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101229033029.000|20101229033034.000|SEG|Type=Story
20101229033029.000|20101229033031.000|CC1|>> Cris: WOW.                   
20101229033031.000|20101229033033.000|CC1|>> Al: CITY HALL, BROAD STREET. 
20101229033014.000|20101229033034.000|CC2|O CF1 O                         
20101229033033.000|20101229033034.000|CC1|BACK TO THE LINC WE COME AFTER  
20101229033034.000|20101229033254.000|SEG|Type=Story
20101229033034.000|20101229033036.000|CC2|>>> Bueno, primero y 10 para    
20101229033034.000|20101229033035.000|CC1|THE FUMBLE.                     
20101229033035.000|20101229033037.000|CC1|AND THIS IS ADRIAN PETERSON FOR 
20101229033037.000|20101229033037.000|CC1|A GAIN OF SEVEN.                
20101229033037.000|20101229033038.000|CC1|A GAIN OF SEVEN.                
20101229033038.000|20101229033040.000|CC1|GO BACK TO THE FUMBLE WHICH WAS 
20101229033040.000|20101229033043.000|CC1|CREATED BY KEVIN WILLIAMS AND   
20101229033036.000|20101229033045.000|CC2|Minnesota.                      
20101229033043.000|20101229033044.000|CC1|THEN RECOVERED BY JARED ALLEN.  
20101229033044.000|20101229033046.000|CC1|>> Cris: I TELL YOU, IT WAS SOME
20101229033046.000|20101229033048.000|CC1|PLAY BY KEVIN WILLIAMS TO SEE   
20101229033045.000|20101229033050.000|SEG_01|Type=Commercial
20101229033045.000|20101229033048.000|CC2|yardas.                         
20101229033048.000|20101229033049.000|CC1|MIKE VICK COMING AT HIM.        
20101229033048.000|20101229033050.000|CC2|Bueno, veamos el fumble por     
20101229033049.000|20101229033051.000|SEG_01|Type=Story start
20101229033049.000|20101229033051.000|CC1|HE HAD DROPPED OUT ON A ZONE    
20101229033051.000|20101229033051.000|CC1|BLITZ AND JUST WATCH HIM BREAK  
20101229033051.000|20101229033054.000|CC1|DOWN.                           
20101229033054.000|20101229033057.000|CC1|I MEAN, HERE IS A 300-POUND GUY 
20101229033057.000|20101229033059.000|CC1|WITH AN OPEN-FIELD TACKLE AND   
20101229033059.000|20101229033101.000|CC1|STRIP OF MIKE VICK, AS THE BALL 
20101229033050.000|20101229033102.000|CC2|segunda cosasi.                 
20101229033101.000|20101229033103.000|CC1|JUST CONTINUES TO BOUNCE AWAY   
20101229033103.000|20101229033105.000|CC1|FROM THE PHILADELPHIA EAGLES.   
20101229033105.000|20101229033106.000|CC1|INCREDIBLY SLOPPY PERFORMANCE BY
20101229033102.000|20101229033106.000|CC2|Efi bypi chy tiene una buena    
20101229033106.000|20101229033110.000|CC2|presi, sin fuda ptfi y en un    
20101229033106.000|20101229033111.000|CC1|THEM TONIGHT.                   
20101229033111.000|20101229033112.000|CC1|>> Al: SECOND AND THREE.        
20101229033110.000|20101229033115.000|CC2|avance de treautobebi y de      
20101229033112.000|20101229033116.000|CC1|PETERSON TAKEN DOWN.            
20101229033116.000|20101229033118.000|CC1|A LOSS OF A COUPLE AT THE 26    
20101229033115.000|20101229033118.000|CC2|nuecno para Izautorto pteypro y 
20101229033118.000|20101229033119.000|CC1|YARD LINE BY DARRYL TAPP.       
20101229033119.000|20101229033120.000|CC1|VICK, ONE PICK TONIGHT AND TWO  
20101229033120.000|20101229033120.000|CC1|FUMBLES.                        
20101229033120.000|20101229033122.000|CC1|THEY HAVE TURNED THE BALL OVER  
20101229033122.000|20101229033125.000|CC1|THREE TIMES.                    
20101229033125.000|20101229033126.000|CC1|YOU GO A HALF DOZEN GAMES, HE   
20101229033126.000|20101229033126.000|CC1|HAD NO INTERCEPTIONS.           
20101229033118.000|20101229033127.000|CC2|póngalo hacia atraso trasieo    
20101229033126.000|20101229033129.000|CC1|TWO FUMBLES.                    
20101229033129.000|20101229033130.000|CC1|REMEMBER, HE HAD ONLY LOST ONE  
20101229033127.000|20101229033131.000|CC2|ptesf y zveypi ty Vick esta     
20101229033130.000|20101229033132.000|CC1|OF NINE FUMBLES COMING INTO THE 
20101229033132.000|20101229033133.000|CC1|GAME AND TONIGHT, HE HAS LOST A 
20101229033133.000|20101229033133.000|CC1|PAIR.                           
