TOP|20101229070001|2010-12-29_0700_US_ComedyCentral_Colbert_Report
COL|Communication Studies Archive, UCLA 
UID|13c4acd6-131e-11e0-8aa7-001517add6f2
DUR|0:34:29.50
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-28 23:00 America/Los_Angeles
SEG_01|2014-06-18 18:28:49|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101229070005.000|20101229073430.000|SEG|Type=Story
20101229070005.000|20101229070327.000|SEG_01|Type=Commercial
20101229070005.000|20101229070011.000|CC1|            - MWAH.             
20101229070011.000|20101229070013.000|CC1|    - TWAYNE, LAST CHANCE.      
20101229070013.000|20101229070013.000|CC1|   I DON'T WANT TO WORK HERE    
20101229070013.000|20101229070014.000|CC1|         WITH MY DAD.           
20101229070014.000|20101229070014.000|CC1|          ALL I WANT            
20101229070014.000|20101229070016.000|CC1|    IS MY OLD OFFICE BACK.      
20101229070016.000|20101229070018.000|CC1|          - NO DEAL.            
20101229070018.000|20101229070018.000|CC1|    - YOU CAN'T POSSIBLY BE     
20101229070018.000|20101229070019.000|CC1|         THIS STUPID.           
20101229070019.000|20101229070019.000|CC1|       - NOBODY TELLS ME        
20101229070019.000|20101229070023.000|CC1|     HOW STUPID I CAN BE.       
20101229070023.000|20101229070025.000|CC1|              AH!               
20101229070025.000|20101229070027.000|CC1|    OH, YOU REALLY DID IT.      
20101229070027.000|20101229070027.000|CC1|     - WHAT DID YOU THINK       
20101229070027.000|20101229070029.000|CC1|     WAS GOING TO HAPPEN?       
20101229070029.000|20101229070031.000|CC1|- THINGS JUST USUALLY WORK OUT. 
20101229070031.000|20101229070031.000|CC1|  - BECAUSE I'M ALWAYS THERE    
20101229070031.000|20101229070034.000|CC1|   TO CLEAN UP YOUR MESSES.     
20101229070034.000|20101229070035.000|CC1|             - OH!              
20101229070035.000|20101229070036.000|CC1|              AH!               
20101229070036.000|20101229070038.000|CC1|             OKAY.              
20101229070038.000|20101229070039.000|CC1|              OH.               
20101229070039.000|20101229070041.000|CC1|YOU CAN HAVE YOUR OFFICE BACK.  
20101229070041.000|20101229070042.000|CC1|        MARK'S DEMOTED.         
20101229070042.000|20101229070045.000|CC1|    NO MORE SEXUAL TENSION.     
20101229070045.000|20101229070046.000|CC1|YOU WERE RIGHT ABOUT EVERYTHING.
20101229070046.000|20101229070049.000|CC1|    YOU WERE ALWAYS RIGHT.      
20101229070049.000|20101229070051.000|CC1|           [grunts]             
20101229070051.000|20101229070052.000|CC1|  - I'M DROPPING THE CHARGES.   
20101229070052.000|20101229070054.000|CC1|          - [moaning]           
20101229070054.000|20101229070055.000|CC1|- LET'S GET HIM TO THE HOSPITAL.
20101229070055.000|20101229070058.000|CC1| HE'S LOSING A LOT OF SNAKES.   
20101229070058.000|20101229070100.000|CC1|         SORRY, DADDY.          
20101229070100.000|20101229070102.000|CC1|    THIS JUST ISN'T FOR ME.     
20101229070102.000|20101229070104.000|CC1|   I'M A NEW YORK GIRL NOW.     
20101229070104.000|20101229070104.000|CC1|- WHATEVER MAKES YOU MISERABLE, 
20101229070104.000|20101229070109.000|CC1|             DEAR.              
20101229070109.000|20101229070111.000|CC1|        - [whimpering]          
20101229070111.000|20101229070114.000|CC1|     WHERE HAVE YOU BEEN?       
20101229070114.000|20101229070116.000|CC1| - DID DELORES DO THIS TO YOU?  
20101229070116.000|20101229070116.000|CC1|- I'VE BEEN THROUGH FIVE HOURS  
20101229070116.000|20101229070119.000|CC1|       OF NASAL TORTURE.        
20101229070119.000|20101229070122.000|CC1|     - WHAT? WHERE IS SHE?      
20101229070122.000|20101229070124.000|CC1|        - IN THE CLOSET         
20101229070124.000|20101229070125.000|CC1|       WITH HER HUSBAND         
20101229070125.000|20101229070127.000|CC1|          HAVING SEX.           
20101229070127.000|20101229070127.000|CC1|   - OH, YOU LIKE THOSE FAT,    
20101229070127.000|20101229070129.000|CC1|     USELESS ZOMBIES, HUH?      
20101229070129.000|20101229070131.000|CC1|   - CALL ME A SKULL DIGGER.    
20101229070131.000|20101229070134.000|CC1|I'M SO SPONGY FOR YOU RIGHT NOW.
20101229070134.000|20101229070134.000|CC1|   - YOU HEAR THAT, ZOMBIE?     
20101229070134.000|20101229070137.000|CC1|            SPONGY.             
20101229070137.000|20101229070138.000|CC1|   THIS IS WHAT GETS US OFF.    
20101229070138.000|20101229070138.000|CC1|          MIND GAMES            
20101229070138.000|20101229070141.000|CC1|    ARE ALL WE BRAINS HAVE.     
20101229070141.000|20101229070143.000|CC1|  - INTERESTING, INTERESTING.   
20101229070143.000|20101229070145.000|CC1|   GET OUT OF MY APARTMENT.     
20101229070145.000|20101229070145.000|CC1|    - THERE WILL ALWAYS BE      
20101229070145.000|20101229070148.000|CC1|    A SPECIAL PLACE FOR YOU     
20101229070148.000|20101229070150.000|CC1|     IN MY BASAL GANGLIA.       
20101229070150.000|20101229070151.000|CC1|             - MM.              
20101229070151.000|20101229070153.000|CC1|      - HEY, YOU HUNGRY?        
20101229070153.000|20101229070153.000|CC1|   - LET'S GO TO BASILICA'S     
20101229070153.000|20101229070154.000|CC1|       FOR SOME BORSCHT.        
20101229070154.000|20101229070155.000|CC1|    - I JUST FEEL SO USED.      
20101229070155.000|20101229070155.000|CC1|     - SORRY, PAL. I KNOW.      
20101229070155.000|20101229070158.000|CC1|         IT HURTS NOW.          
20101229070158.000|20101229070159.000|CC1|     BUT IT'LL GET BETTER.      
20101229070159.000|20101229070200.000|CC1|       - I'M SORRY TOO.         
20101229070200.000|20101229070201.000|CC1|    - DON'T WORRY ABOUT IT.     
20101229070201.000|20101229070203.000|CC1|WE ALL GET CAUGHT UP SOMETIMES. 
20101229070203.000|20101229070204.000|CC1|        - NO, NOT THAT.         
20101229070204.000|20101229070207.000|CC1|  DELORES MADE ME PEE ON HER    
20101229070207.000|20101229070209.000|CC1|         IN YOUR BED.           
20101229070209.000|20101229070209.000|CC1|       - YOU KNOW WHAT,         
20101229070209.000|20101229070211.000|CC1|        YOU KEEP THAT.          
20101229070211.000|20101229070213.000|CC1|           - REALLY?            
20101229070213.000|20101229070214.000|CC1|             YAY.               
20101229070214.000|20101229070216.000|CC1|      - POWER: FOR SOME,        
20101229070216.000|20101229070218.000|CC1|        IT'S FLEETING.          
20101229070218.000|20101229070219.000|CC1|          - OH, WHY?            
20101229070219.000|20101229070225.000|CC1|  IT DOESN'T MAKE ANY SENSE.    
20101229070225.000|20101229070225.000|CC1|         - FOR OTHERS,          
20101229070225.000|20101229070228.000|CC1|      IT COMES NATURALLY.       
20101229070228.000|20101229070230.000|CC1|           - [sighs]            
