TOP|20101229150002|2010-12-29_1500_US_FOX-News_Fox_News_Live
COL|Communication Studies Archive, UCLA 
UID|a06e1104-1364-11e0-80b2-001517add60e
DUR|0:59:29.79
VID|640x352
CMT|
LAN|ENG
LBT|2010-12-29 07:00 America/Los_Angeles
SEG_01|2014-06-18 18:29:16|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101229150003.000|20101229150003.000|XDS|%   RATING: (NOT RATED) (72)
20101229150003.000|20101229155931.000|SEG|Type=Story
20101229150003.000|20101229150004.000|CC1|NEWS ALERT WE'RE LEARNING A     
20101229150004.000|20101229150005.000|CC1|BIT MORE ABOUT WHAT MIGHT HAVE  
20101229150005.000|20101229150005.000|XDS|%  NETWORK: Fox News Channel
20101229150005.000|20101229150006.000|CC1|BEEN ANOTHER IMMINENT TERRO     
20101229150008.000|20101229150008.000|XDS|%     CALL: FNC 
20101229150006.000|20101229150009.000|CC1|ATTACK, FI MEN ARRESTED         
20101229150009.000|20101229150012.000|CC1|COPENHAGENDENMARK, ACCUSED OF   
20101229150012.000|20101229150013.000|CC1|PLOTTI AN ATTACK ON A DANISH    
20101229150013.000|20101229150015.000|CC1|NEWSPER THAT PRINTED THE        
20101229150015.000|20101229150016.000|CC1|CONTROVERSIAL CARTOONS          
20101229150016.000|20101229150018.000|CC1|MOHAMMED BACK IN 2005.          
20101229150018.000|20101229150019.000|CC1|FIVE YARS AGO.                  
20101229150019.000|20101229150021.000|CC1|POLI NOW SAY THEYAD             
20101229150021.000|20101229150024.000|CC1|MACHINE GUN, SILENCER,          
20101229150024.000|20101229150025.000|CC1|AMMUNITION AND PLASTIC TIES AND 
20101229150025.000|20101229150026.000|CC1|WHAT THEY WERE ON THE VERGE OF  
20101229150026.000|20101229150026.000|XDS|%    TITLE: News, Fair and Balanced
20101229150026.000|20101229150028.000|CC1|CARRYING OUT AS A DEAY          
20101229150028.000|20101229150028.000|CC1|ASSAT.                          
20101229150028.000|20101229150030.000|CC1|THAT THIS IS AIM, THEY ARE      
20101229150030.000|20101229150031.000|CC1|DESCRIBED AS MITANT ISLAMISTS   
20101229150031.000|20101229150033.000|CC1|OUT OF NORTH ADVOCATE, LEBANO   
20101229150033.000|20101229150035.000|CC1|SWEDEN AND IRAQ AND WE ARE      
20101229150035.000|20101229150036.000|CC1|AWAITING DETAILSS WE GET THEM   
20101229150036.000|20101229150042.000|CC1|HE IN "AMERICA'S NEWSROOM."     
20101229150042.000|20101229150044.000|CC1|FOX NEWS WEATR ALER OUTRAGE     
20101229150044.000|20101229150046.000|CC1|OVER WHAT MANY CALL A SLOW      
20101229150046.000|20101229150047.000|CC1|RESPONSE TO SUNDAY'S BLIZZARD.  
20101229150047.000|20101229150049.000|CC1|IT IS ONLYWEDNESDAY, BRAND NEW  
20101229150049.000|20101229150052.000|CC1|IMAGES OUT OF BROOKLYN, CARS AND
20101229150052.000|20101229150054.000|CC1|TRUCKS AND TRACTOR TRAILS       
20101229150054.000|20101229150056.000|CC1|SPINNING THEIR WHEELS IN WHITE  
20101229150056.000|20101229150057.000|CC1|STUFF AND THE CITY PLO          
20101229150057.000|20101229150058.000|CC1|GRINDING OUT T SAME AND         
20101229150058.000|20101229150100.000|CC1|MANHATTAN STREETS, HALF A DOZEN 
20101229150100.000|20101229150102.000|CC1|MES AND OUTER BOROUS DIG        
20101229150102.000|20101229150104.000|CC1|THEMSELVES OUT FROM UNDE THE    
20101229150104.000|20101229150105.000|CC1|SNOW PACK.                      
20101229150105.000|20101229150105.000|CC1|WEDNESDAY, GOOD MORNING,        
20101229150105.000|20101229150107.000|CC1|EVERYBY I'M BILL HEMMER,        
20101229150107.000|20101229150109.000|CC1|LCOME, HOW ARE YOU DOING,       
20101229150109.000|20101229150109.000|CC1|THEL.                           
20101229150109.000|20101229150110.000|CC1|ARTHEL: WE.                     
20101229150110.000|20101229150111.000|CC1|BILL: MARTHA MCALLUM IS ON THE  
20101229150111.000|20101229150112.000|CC1|UNTAIN HAVING A GREAT TIME      
20101229150112.000|20101229150113.000|CC1|WITH HER FACT.                  
20101229150113.000|20101229150116.000|CC1|ARTHEL: ENJING THE SNOW,        
20101229150116.000|20101229150116.000|CC1|SKIING AND PEOPLHERE ARE NOT    
20101229150116.000|20101229150118.000|CC1|ENYING IT, THREE DAYS LATER     
20101229150118.000|20101229150120.000|CC1|AN WIDESPREAD DELAYS YOU        
20101229150120.000|20101229150121.000|CC1|CAING PEOPLE TO LOSE THAARE     
20101229150121.000|20101229150123.000|CC1|PATIENT ON ALL COMMUTER         
20101229150123.000|20101229150125.000|CC1|RAILROADS, IN THE TRI-STA       
