TOP|20101229230001|2010-12-29_2300_US_MSNBC_The_Ed_Show
COL|Communication Studies Archive, UCLA 
UID|ae7cca4a-13a7-11e0-94ce-001517add720
DUR|0:59:29.93
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-29 15:00 America/Los_Angeles
SEG_01|2014-06-18 18:29:51|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101229230003.000|20101229230010.000|SEG|Type=Story
20101229230003.000|20101229230003.000|CC1|IN NEW YORK.                    
20101229230003.000|20101229230005.000|CC1|ANYWAY, THANKS FOR BEING WITH   
20101229230005.000|20101229230006.000|CC1|US.                             
20101229230006.000|20101229230006.000|CC1|RIGHT NOW IT'S TIME FOR "THE ED 
20101229230006.000|20101229230010.000|CC1|SHOW" WITH ED SCHULTZ.          
20101229230010.000|20101229230051.000|SEG|Type=Story
20101229230010.000|20101229230014.000|CC1|>>> GOOD EVENING, AND WELCOME TO
20101229230014.000|20101229230014.000|CC1|"THE ED SHOW."                  
20101229230014.000|20101229230017.000|CC1|I'M CENK IN FOR ED SCHULTZ.     
20101229230017.000|20101229230018.000|CC1|THESE STORIES ARE HOT TONIGHT.  
20101229230018.000|20101229230020.000|CC1|CORPORATE AMERICA IS ASKING     
20101229230020.000|20101229230022.000|CC1|PRESIDENT OBAMA FOR A TAX BREAK 
20101229230022.000|20101229230025.000|CC1|FOR OVER $1 TRILLION.           
20101229230025.000|20101229230026.000|CC1|ARE YOU KIDDING ME?             
20101229230026.000|20101229230029.000|CC1|THEY'RE PLAYING A SHELL GAME    
20101229230029.000|20101229230031.000|CC1|AIDED AND ABETTED BY THE GOP,   
20101229230031.000|20101229230032.000|CC1|WE'RE EXPOSING IT ALL TONIGHT   
20101229230032.000|20101229230033.000|CC1|AND THE CIVIL WAR HAS STARTED   
20101229230033.000|20101229230034.000|CC1|AGAIN.                          
20101229230034.000|20101229230035.000|CC1|THIS TIME IT'S IN THE REPUBLICAN
20101229230035.000|20101229230036.000|CC1|PARTY.                          
20101229230036.000|20101229230039.000|CC1|SARAH, MIKE, MITT, NEWT AND THE 
20101229230039.000|20101229230040.000|CC1|REST THEM ARE ALREADY RIPPING   
20101229230040.000|20101229230041.000|CC1|EACH OTHER TO SHREDS ON THEIR   
20101229230041.000|20101229230044.000|CC1|WAY TO RUNNING FOR OFFICE.      
20101229230044.000|20101229230045.000|CC1|PRESIDENT OBAMA CAN KICK CAN    
20101229230045.000|20101229230048.000|CC1|BACK AND ENJOY THIS ONE, BOB    
20101229230048.000|20101229230051.000|CC1|SHRUM HANDICAPS A HORSE RACE.   
20101229230051.000|20101229230058.000|SEG|Type=Story
20101229230051.000|20101229230052.000|CC1|>>> AND A DEVELOPING STORY      
20101229230052.000|20101229230053.000|CC1|TONIGHT THE FEDS ARE            
20101229230053.000|20101229230054.000|CC1|INVESTIGATING CHRISTINE         
20101229230054.000|20101229230054.000|CC1|O'DONNELL.                      
20101229230054.000|20101229230056.000|CC1|PROBING HER USE OF CAMPAIGN     
20101229230056.000|20101229230057.000|CC1|MONEY FOR PERSONAL USE.         
20101229230057.000|20101229230058.000|CC1|I'LL HAVE THE LATEST.           
20101229230058.000|20101229230105.000|SEG|Type=Story
20101229230058.000|20101229230101.000|CC1|>>> PLUS, POLITICAL WARS FOR    
20101229230101.000|20101229230102.000|CC1|2010, WHO WERE THE MOST         
20101229230102.000|20101229230103.000|CC1|COMPELLING CHARACTERS IN        
20101229230103.000|20101229230103.000|CC1|POLITICS THIS YEAR?             
20101229230103.000|20101229230105.000|CC1|WE HAVE IT ALL.                 
20101229230105.000|20101229231157.000|SEG|Type=Story
20101229230105.000|20101229230105.000|CC1|>>> BUT WE START TONIGHT WITH   
20101229230105.000|20101229230107.000|CC1|THE REQUEST BY CORPORATE AMERICA
20101229230107.000|20101229230111.000|CC1|FOR A TAX BREAK FOR OVER $1     
20101229230111.000|20101229230113.000|CC1|TRILLION THEY HAVE SITTING      
20101229230113.000|20101229230113.000|CC1|OFFSHORE.                       
20101229230113.000|20101229230114.000|CC1|IN A MEETING WITH PRESIDENT,    
20101229230114.000|20101229230117.000|CC1|THEY ASKED FOR A TAX HOLIDAY SO 
20101229230117.000|20101229230118.000|CC1|THEY CAN BRING THE MONEY BACK   
20101229230118.000|20101229230120.000|CC1|INTO THE COUNTRY WITHOUT PAYING 
20101229230120.000|20101229230122.000|CC1|THEIR FULL SHARE OF TAXES.      
20101229230122.000|20101229230124.000|CC1|I LOVE THE TERMS THEY USE.      
20101229230124.000|20101229230125.000|CC1|WOULDN'T YOU LIKE TO TAKE A     
20101229230125.000|20101229230127.000|CC1|HOLIDAY FROM YOUR TAXES?        
20101229230127.000|20101229230129.000|CC1|WHEN BIG BUSINESS DOES IT, IT'S 
20101229230129.000|20101229230132.000|CC1|NOT TAX EVASION, IT'S TAX       
20101229230132.000|20101229230133.000|CC1|AVOIDANCE.                      
20101229230133.000|20101229230134.000|CC1|I'M SURE WE'D ALL LIKE TO AVOID 
20101229230134.000|20101229230135.000|CC1|OUR TAXES.                      
20101229230135.000|20101229230136.000|CC1|BUT WE DON'T HAVE THE LOBBYING  
20101229230136.000|20101229230138.000|CC1|POWER OF MULTINATIONAL          
20101229230138.000|20101229230139.000|CC1|CORPORATIONS BEHIND US.         
20101229230139.000|20101229230141.000|CC1|AND WE DON'T HAVE A WHOLE       
20101229230141.000|20101229230142.000|CC1|POLITICAL PARTY DEVOTED TO      
20101229230142.000|20101229230143.000|CC1|MAKING US RICHER.               
20101229230143.000|20101229230145.000|CC1|IN CASE YOU'VE BEEN LIVING IN A 
20101229230145.000|20101229230146.000|CC1|CAVE IN THE LAST 30 YEARS, THAT 
20101229230146.000|20101229230149.000|CC1|WOULD BE THE REPUBLICAN PARTY.  
