TOP|20101230010001|2010-12-30_0100_US_HLN_Nancy_Grace
COL|Communication Studies Archive, UCLA 
UID|71f73072-13b8-11e0-991d-001517add6fa
DUR|0:59:29.29
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-29 17:00 America/Los_Angeles
SEG_01|2014-06-18 18:30:00|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101230010022.000|20101230010127.000|SEG|Type=Story
20101230010022.000|20101230010023.000|CC1|>>> WE BEGIN TONIGHT WITH       
20101230010023.000|20101230010023.000|CC1|BREAKING NEWS OUT OF OKLAHOMA   
20101230010023.000|20101230010026.000|CC1|CITY, OKLAHOMA.                 
20101230010026.000|20101230010027.000|CC1|A 51-YEAR-OLD WOMAN DEAD IN HER 
20101230010027.000|20101230010028.000|CC1|BED FROM A SINGLE GUNSHOT WOUND 
20101230010028.000|20101230010031.000|CC1|TO THE HEAD.                    
20101230010031.000|20101230010034.000|CC1|THE PERPETRATOR, HER 23-YEAR-OLD
20101230010034.000|20101230010034.000|CC1|HUSBAND.                        
20101230010034.000|20101230010037.000|CC1|THE YOUNG HUBBY TELLS POLICE HIS
20101230010037.000|20101230010038.000|CC1|WIFE'S DEATH WAS, WELL, IT WAS  
20101230010038.000|20101230010041.000|CC1|ALL AN ACCIDENT!                
20101230010041.000|20101230010044.000|CC1|A SEX FANTASY GAME GONE WRONG.  
20101230010044.000|20101230010046.000|CC1|HE CLAIMS HE DIDN'T KNOW THE GUN
20101230010046.000|20101230010050.000|CC1|WAS LOADED WHEN HE PRESSED IT TO
20101230010050.000|20101230010052.000|CC1|HIS WIFE'S HEAD DURING THEIR    
20101230010052.000|20101230010053.000|CC1|FANTASY SEX GAME.               
20101230010053.000|20101230010056.000|CC1|THE HUSBAND, A SELF-PROCLAIMED  
20101230010056.000|20101230010058.000|CC1|GUN EXPERT, OWNING SEVERAL      
20101230010058.000|20101230010102.000|CC1|DIFFERENT TYPES OF GUNS, CALLS  
20101230010102.000|20101230010105.000|CC1|911 AFTER HE SHOOTS HIS WIFE IN 
20101230010105.000|20101230010106.000|CC1|THE HEAD.                       
20101230010106.000|20101230010107.000|CC1|WAS THIS REALLY A SEX GAME GONE 
20101230010107.000|20101230010115.000|CC1|WRONG?                          
20101230010115.000|20101230010116.000|CC1|OR IS THIS JUST AN ELABORATE,   
20101230010116.000|20101230010117.000|CC1|TWISTED STORY TO GET AWAY WITH  
20101230010117.000|20101230010127.000|CC1|MURDER?                         
20101230010127.000|20101230010216.000|SEG|Type=Story
20101230010127.000|20101230010128.000|CC1|>>> 9:00 P.M. TUESDAY NIGHT.    
20101230010128.000|20101230010130.000|CC1|>> HE SAYS IT WAS ALL FUN.      
20101230010130.000|20101230010133.000|CC1|>> THE HUSBAND FRANTICALLY DIALS
20101230010133.000|20101230010133.000|CC1|911.                            
20101230010133.000|20101230010135.000|CC1|>> HE SAYS IT WAS ALL PLAYFUL.  
20101230010135.000|20101230010137.000|CC1|>> HE TELLS AUTHORITIES HE HAS  
20101230010137.000|20101230010138.000|CC1|ACCIDENTALLY SHOT HIS WIFE IN   
20101230010138.000|20101230010139.000|CC1|THE HEAD.                       
20101230010139.000|20101230010139.000|CC1|>> HE SAYS IT WAS A TERRIBLE    
20101230010139.000|20101230010141.000|CC1|ACCIDENT.                       
20101230010141.000|20101230010144.000|CC1|>> THE WIFE, REBECCA SADIL, WAS 
20101230010144.000|20101230010145.000|CC1|50 YEARS OLD.                   
20101230010145.000|20101230010149.000|CC1|HER HUSBAND, ARTHUR SADIL --    
20101230010149.000|20101230010151.000|CC1|>> ALLEGEDLY TELLS POLICE HE    
20101230010151.000|20101230010154.000|CC1|OFTEN PUT A GUN TO HIS WIFE'S   
20101230010154.000|20101230010155.000|CC1|HEAD AS PART OF THEIR FANTASY   
20101230010155.000|20101230010156.000|CC1|SEX PLAY.                       
20101230010156.000|20101230010158.000|CC1|THIS TIME, THE GUN WENT OFF.    
20101230010158.000|20101230010159.000|CC1|>> THEY'D BEEN MARRIED ABOUT    
20101230010159.000|20101230010159.000|CC1|THREE YEARS.                    
20101230010159.000|20101230010202.000|CC1|>> HE SAYS HE DIDN'T KNOW THE   
20101230010202.000|20101230010203.000|CC1|GUN WAS LOADED WHEN HE PULLED   
20101230010203.000|20101230010204.000|CC1|THE TRIGGER.                    
20101230010204.000|20101230010206.000|CC1|>> ACCORDING TO THEIR FACEBOOK  
20101230010206.000|20101230010209.000|CC1|PAGES, BOTH HAD AN INTEREST IN  
20101230010209.000|20101230010210.000|CC1|GUN.                            
20101230010210.000|20101230010211.000|CC1|>> INVESTIGATORS ARE CONFIDENT  
20101230010211.000|20101230010215.000|CC1|ARTHUR IS THE ONE WHO SHOT MRS. 
20101230010215.000|20101230010216.000|CC1|SADIL.                          
20101230010216.000|20101230011536.000|SEG|Type=Story
20101230010216.000|20101230010216.000|CC1|>>> GOOD EVENING.               
20101230010216.000|20101230010219.000|CC1|I'M JEAN CASAREZ IN FOR NANCY   
20101230010219.000|20101230010219.000|CC1|GRACE.                          
20101230010219.000|20101230010221.000|CC1|THANK YOU VERY MUCH FOR JOINING 
20101230010221.000|20101230010221.000|CC1|US TONIGHT.                     
20101230010221.000|20101230010223.000|CC1|A 23-YEAR-OLD HUSBAND ARRESTED, 
20101230010223.000|20101230010224.000|CC1|HIS 51-YEAR-OLD WIFE SHOT IN THE
20101230010224.000|20101230010225.000|CC1|HEAD, DEAD.                     
20101230010225.000|20101230010227.000|CC1|THE MAN TELLS POLICE, IT WAS ALL
20101230010227.000|20101230010227.000|CC1|AN ACCIDENT.                    
20101230010227.000|20101230010229.000|CC1|HE SAYS THAT HE AND HIS WIFE,   
20101230010229.000|20101230010230.000|CC1|THEY OFTEN ENGAGE IN SEX FANTASY
20101230010230.000|20101230010233.000|CC1|GAMES WITH A GUN.               
20101230010233.000|20101230010236.000|CC1|ON THIS FATEFUL NIGHT, HE CLAIMS
20101230010236.000|20101230010237.000|CC1|THEY WERE HAVING SEX AND HE     
20101230010237.000|20101230010238.000|CC1|ACCIDENTALLY SHOT HIS WIFE TO   
20101230010238.000|20101230010240.000|CC1|DEATH.                          
20101230010240.000|20101230010242.000|CC1|HE CLAIMS HE THOUGHT THE HANDGUN
20101230010242.000|20101230010243.000|CC1|WASN'T LOADED.                  
20101230010243.000|20101230010247.000|CC1|LET US GO STRAIGHT OUT TO NICOLE
20101230010247.000|20101230010249.000|CC1|PARTEN, INVESTIGATIVE REPORTER. 
20101230010249.000|20101230010250.000|CC1|NICOLE, WALK US THROUGH -- YOU  
20101230010250.000|20101230010252.000|CC1|WEREN'T THERE, BUT NICOLE, WALK 
20101230010252.000|20101230010252.000|CC1|US THROUGH WHAT HE SAYS         
20101230010252.000|20101230010254.000|CC1|HAPPENED.                       
20101230010254.000|20101230010255.000|CC1|>> GOOD EVENING, JEAN.          
20101230010255.000|20101230010257.000|CC1|IT WAS ON THE EVENING OF        
20101230010257.000|20101230010259.000|CC1|DECEMBER THE 21st, ABOUT 9:00   
20101230010259.000|20101230010304.000|CC1|P.M., THAT THE 911 CALL CAME IN.
20101230010304.000|20101230010308.000|CC1|23-YEAR-OLD ARTHUR SADIL CALLS  
20101230010308.000|20101230010312.000|CC1|911, SAYS HE HAS ACCIDENTALLY   
20101230010312.000|20101230010313.000|CC1|SHOT HIS 51-YEAR-OLD WIFE DURING
20101230010313.000|20101230010314.000|CC1|A FANTASY SEX GAME.             
20101230010314.000|20101230010319.000|CC1|HE EXPLAINS THAT HE GRABBED A   
20101230010319.000|20101230010321.000|CC1|WEAPON FROM THE BEDSIDE SHELF,  
20101230010321.000|20101230010324.000|CC1|HELD THE GUN TO HIS WIFE'S HEAD 
20101230010324.000|20101230010325.000|CC1|DURING A SEX ACT FANTASY GAME,  
20101230010325.000|20101230010327.000|CC1|THE GUN WENT OFF, TRAGICALLY    
20101230010327.000|20101230010328.000|CC1|KILLING HIS WIFE.               
20101230010328.000|20101230010329.000|CC1|>> ALL RIGHT.                   
20101230010329.000|20101230010331.000|CC1|HOW HOLD IS ARTHUR SADIL?       
20101230010331.000|20101230010333.000|CC1|>> 23 YEARS OF AGE.             
20101230010333.000|20101230010340.000|CC1|>> AND HOW OLD WAS REBECCA      
20101230010340.000|20101230010341.000|CC1|SEDILLE?                        
20101230010341.000|20101230010343.000|CC1|>> 50 YEARS OLD, WE'RE BEING    
20101230010343.000|20101230010343.000|CC1|TOLD.                           
20101230010343.000|20101230010344.000|CC1|>> HOW LONG WERE THEY MARRIED?  
20101230010344.000|20101230010347.000|CC1|>> FRIENDS ARE TELLING US THEY  
20101230010347.000|20101230010348.000|CC1|WERE MARRIED ABOUT THREE YEARS. 
20101230010348.000|20101230010351.000|CC1|AND A FEW MOMENTS AGO, I        
20101230010351.000|20101230010352.000|CC1|RECEIVED WORD FROM A DEAR FRIEND
20101230010352.000|20101230010354.000|CC1|OF THEIRS, AND SAID THAT THE    
20101230010354.000|20101230010356.000|CC1|COUPLE -- AND A.J., AS THEY CALL
20101230010356.000|20101230010357.000|CC1|ARTHUR, THE COUPLE HAD A VERY   
20101230010357.000|20101230010358.000|CC1|LOVING RELATIONSHIP, MARRIED FOR
20101230010358.000|20101230010400.000|CC1|ABOUT THREE YEARS.              
20101230010400.000|20101230010402.000|CC1|THEY HAD LIVED IN THIS          
20101230010402.000|20101230010403.000|CC1|PARTICULAR LOCATION ABOUT SIX   
20101230010403.000|20101230010404.000|CC1|MONTHS.                         
20101230010404.000|20101230010405.000|CC1|I'M TOLD THEY WERE VERY MUCH IN 
20101230010405.000|20101230010405.000|CC1|LOVE.                           
20101230010405.000|20101230010407.000|CC1|THEY SPENT MOST OF THEIR LUNCH  
20101230010407.000|20101230010409.000|CC1|BREAKS TOGETHER DURING THE DAY. 
20101230010409.000|20101230010411.000|CC1|HAD DINNER TOGETHER EVERY       
20101230010411.000|20101230010411.000|CC1|EVENING.                        
20101230010411.000|20101230010413.000|CC1|THEY HAD JUST CELEBRATED        
20101230010413.000|20101230010414.000|CC1|REBECCA'S 50th BIRTHDAY WITH A  
20101230010414.000|20101230010415.000|CC1|GREAT DINNER OUT.               
20101230010415.000|20101230010418.000|CC1|HE TOLD HER HE WOULD TAKE HER   
20101230010418.000|20101230010419.000|CC1|ANYWHERE SHE WANTED TO GO.      
20101230010419.000|20101230010420.000|CC1|SHE CHOSE THE LOCATION, THEY    
20101230010420.000|20101230010423.000|CC1|WENT OUT FOR A BEAUTIFUL        
20101230010423.000|20101230010423.000|CC1|EVENING.                        
20101230010423.000|20101230010424.000|CC1|WE'RE TOLD THEY WERE VERY       
20101230010424.000|20101230010426.000|CC1|NORMAL, LOVING, AND A TRAGIC    
20101230010426.000|20101230010427.000|CC1|ACCIDENT OCCURRED.              
20101230010427.000|20101230010429.000|CC1|>> AND THIS HAPPENED RIGHT      
20101230010429.000|20101230010432.000|CC1|BEFORE CHRISTMAS, DECEMBER 21st?
20101230010432.000|20101230010433.000|CC1|>> THAT'S CORRECT.              
20101230010433.000|20101230010435.000|CC1|>> DID THIS LOVING FRIEND KNOW  
20101230010435.000|20101230010437.000|CC1|ABOUT THESE GAMES THAT THEY     
20101230010437.000|20101230010438.000|CC1|PLAYED?                         
20101230010438.000|20101230010440.000|CC1|THESE SEX FANTASY GAMES WITH    
20101230010440.000|20101230010440.000|CC1|GUNS?                           
20101230010440.000|20101230010444.000|CC1|>> I'M NOT AWARE THEY ACTUALLY  
20101230010444.000|20101230010445.000|CC1|KNEW DETAILS OF THE COUPLE'S    
20101230010445.000|20101230010446.000|CC1|BEDSIDE MANNERS, BEDROOM THINGS 
20101230010446.000|20101230010448.000|CC1|THAT WENT ON THERE, THEIR SEX.  
20101230010448.000|20101230010450.000|CC1|BUT IT'S VERY COMMON KNOWLEDGE  
20101230010450.000|20101230010452.000|CC1|THAT ARTHUR WAS VERY MUCH A     
20101230010452.000|20101230010452.000|CC1|SELF-PROCLAIMED LOVER OF GUNS   
20101230010452.000|20101230010453.000|CC1|AND WEAPONS.                    
20101230010453.000|20101230010455.000|CC1|HIS FACEBOOK PAGE PORTRAYS THAT.
20101230010455.000|20101230010456.000|CC1|HIS FRIENDS KNEW THAT.          
20101230010456.000|20101230010458.000|CC1|HE SEEMED TO BE KIND OF AN      
20101230010458.000|20101230010500.000|CC1|AVERAGE 23-YEAR-OLD GUY WHO     
20101230010500.000|20101230010502.000|CC1|LOVED MOTORCYCLES AND GUNS.     
20101230010502.000|20101230010503.000|CC1|NOTHING OUT OF THE ORDINARY THAT
20101230010503.000|20101230010505.000|CC1|HIS FRIENDS WERE AWARE OF.      
20101230010505.000|20101230010508.000|CC1|>> WELL, TO STEVE CARDIAN,      
20101230010508.000|20101230010510.000|CC1|FORMER POLICE DETECTIVE,        
20101230010510.000|20101230010513.000|CC1|SELF-DEFENSE EXPERT, AND LEAD   
20101230010513.000|20101230010514.000|CC1|INSTRUCTOR AT DEFUND UNIVERSITY,
20101230010514.000|20101230010515.000|CC1|JOINING US TONIGHT FROM NEW     
20101230010515.000|20101230010515.000|CC1|YORK.                           
20101230010515.000|20101230010517.000|CC1|ANYBODY THAT HAS BEEN RAISED    
20101230010517.000|20101230010519.000|CC1|WITH GUNS KNOWS THE CARDINAL    
20101230010519.000|20101230010522.000|CC1|RULE -- EVERY GUN IS LOADED.    
20101230010522.000|20101230010524.000|CC1|I DON'T CARE IF IT HAS A SAFETY 
20101230010524.000|20101230010526.000|CC1|ON, IF IT DOESN'T HAVE A SAFETY 
20101230010526.000|20101230010528.000|CC1|ON, IF IT DOESN'T HAVE A SAFETY 
20101230010528.000|20101230010530.000|CC1|AT ALL, IF IT'S LOADED,         
20101230010530.000|20101230010532.000|CC1|UNLOADED -- IT'S LOADED.        
20101230010532.000|20101230010534.000|CC1|THAT'S THE RESPECT YOU GIVE TO A
20101230010534.000|20101230010534.000|CC1|GUN.                            
20101230010534.000|20101230010535.000|CC1|>> ABSOLUTELY, JEAN.            
20101230010535.000|20101230010537.000|CC1|AND I ACTUALLY HAVE A WEAPON    
20101230010537.000|20101230010538.000|CC1|HERE.                           
20101230010538.000|20101230010539.000|CC1|IT'S AN UNLOADED WEAPON.        
20101230010539.000|20101230010542.000|CC1|IT IS A REAL GUN, LIKELY LIKE   
20101230010542.000|20101230010543.000|CC1|THE ONE THAT WAS PERHAPS USED.  
20101230010543.000|20101230010547.000|CC1|NOW, THIS GUN IS UNLOADED, IT IS
20101230010547.000|20101230010548.000|CC1|SAFE.                           
20101230010548.000|20101230010549.000|CC1|THERE IS NO MAGAZINE NOR BULLETS
20101230010549.000|20101230010550.000|CC1|IN THERE.                       
20101230010550.000|20101230010551.000|CC1|I'M GOING TO CHAMBER THIS GUN --
20101230010551.000|20101230010553.000|CC1|>> STEVE, LET ME STOP YOU FOR A 
20101230010553.000|20101230010554.000|CC1|SECOND.                         
20101230010554.000|20101230010555.000|CC1|LET ME READ WHAT THE PROBABLE   
20101230010555.000|20101230010556.000|CC1|CAUSE AFFIDAVIT SAYS.           
20101230010556.000|20101230010558.000|CC1|YOU CAN WALK US THROUGH IT.     
20101230010558.000|20101230010559.000|CC1|THIS IS WHAT THIS YOUNG MAN     
20101230010559.000|20101230010601.000|CC1|WHO'S BEEN ARRESTED NOW,        
20101230010601.000|20101230010603.000|CC1|ARRESTING CHARGES, FIRST-DEGREE 
20101230010603.000|20101230010603.000|CC1|MURDER.                         
20101230010603.000|20101230010607.000|CC1|HE SAID HE WRAPPED THE SLIDE    
20101230010607.000|20101230010614.000|CC1|BACK, CAUSING THE GUN TO COCK,  
20101230010614.000|20101230010616.000|CC1|AND THEN PLACED THE GUN TO HIS  
20101230010616.000|20101230010618.000|CC1|WIFE'S HEAD, CAUSING IT TO GO   
20101230010618.000|20101230010618.000|CC1|OFF.                            
20101230010618.000|20101230010619.000|CC1|SHOW US THAT.                   
20101230010619.000|20101230010620.000|CC1|THAT HE WRAPPED THE SLIDE BACK, 
20101230010620.000|20101230010621.000|CC1|START AT THE BEGINNING.         
20101230010621.000|20101230010623.000|CC1|>> HERE IS THE WEAPON.          
20101230010623.000|20101230010626.000|CC1|THERE WOULD BE ONE OF TWO WITH  
20101230010626.000|20101230010628.000|CC1|WAYS THAT HE WOULD LIKELY TO DO 
20101230010628.000|20101230010628.000|CC1|IT.                             
20101230010628.000|20101230010630.000|CC1|HE WOULD GRAB THE SLIDE HERE AND
20101230010630.000|20101230010632.000|CC1|RACK IT BACK, THAT WOULD CHAMBER
20101230010632.000|20101230010633.000|CC1|A ROUND.                        
20101230010633.000|20101230010634.000|CC1|THIS IS A DISTINCTLY DIFFERENT  
20101230010634.000|20101230010635.000|CC1|SOUND UNLOADED THAN IT DOES     
20101230010635.000|20101230010636.000|CC1|LOADED.                         
20101230010636.000|20101230010637.000|CC1|THE OTHER WAY HE MAY DO THAT IS 
