TOP|20101230020001|2010-12-30_0200_US_KCET_Newshour_with_Jim_Lehrer
COL|Communication Studies Archive, UCLA 
UID|d3c43aea-13c0-11e0-80ca-001517add60e
DUR|0:59:29.23
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-29 18:00 America/Los_Angeles
SEG_01|2014-06-18 18:30:07|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101230020012.000|20101230025930.000|SEG|Type=Story
20101230020012.000|20101230020023.000|SEG_01|Type=Commercial
20101230020012.000|20101230020012.000|CC1| Captioning sponsored by        
20101230020012.000|20101230020023.000|CC1| MacNEIL/LEHRER PRODUCTIONS     
20101230020023.000|20101230020024.000|SEG_01|Type=Story start
20101230020023.000|20101230020024.000|CC1|>> Ifill: GOOD EVENING.         
20101230020024.000|20101230020025.000|CC1|I'M GWEN IFILL.                 
20101230020025.000|20101230020026.000|CC1|WORK CREWS STRUGGLED AGAIN TODAY
20101230020026.000|20101230020027.000|CC1|TO FREE SNOWBOUND AND TESTY NEW 
20101230020027.000|20101230020028.000|CC1|YORKERS, THREE DAYS AFTER A     
20101230020028.000|20101230020029.000|CC1|BLIZZARD CRIPPLED MUCH OF THE   
20101230020029.000|20101230020030.000|CC1|NORTHEAST.                      
20101230020030.000|20101230020031.000|CC1|>> Suarez: AND I'M RAY SUAREZ.  
20101230020031.000|20101230020033.000|CC1|ON THE "NEWSHOUR" TONIGHT, WE   
20101230020033.000|20101230020034.000|CC1|GET THE LATEST ON THE DIGGING   
20101230020034.000|20101230020035.000|CC1|OUT AND THE POLITICAL FALLOUT   
20101230020035.000|20101230020039.000|CC1|FROM BOB HENNELLY OF WNYC RADIO.
20101230020039.000|20101230020041.000|CC1|>> Ifill: THEN WE ASSESS THE    
20101230020041.000|20101230020042.000|CC1|DANGEROUS POLITICAL STANDOFF    
20101230020042.000|20101230020045.000|CC1|BUILDING IN THE WEST AFRICAN    
20101230020045.000|20101230020046.000|CC1|NATION OF IVORY COAST.          
20101230020046.000|20101230020047.000|CC1|>> Suarez: WE CONTINUE PAUL     
20101230020047.000|20101230020048.000|CC1|SOLMAN'S ENCORE REPORTS ON THE  
20101230020048.000|20101230020050.000|CC1|MORTGAGE CRISIS WITH THE STORY  
20101230020050.000|20101230020052.000|CC1|OF A BOSTON NONPROFIT THAT      
20101230020052.000|20101230020054.000|CC1|OFFERS HOMEOWNERS IN FORECLOSURE
20101230020054.000|20101230020055.000|CC1|A SECOND CHANCE.                
20101230020055.000|20101230020056.000|CC1|>> Ifill: THE SECOND OF         
20101230020056.000|20101230020059.000|CC1|JUDY WOODRUFF'S CONVERSATIONS   
20101230020059.000|20101230020059.000|CC1|WITH HOUSE LAWMAKERS THE VOTERS 
20101230020059.000|20101230020101.000|CC1|SENT HOME LAST NOVEMBER.        
20101230020101.000|20101230020102.000|CC1|TONIGHT: SOUTH DAKOTA           
