TOP|20101230150001|2010-12-30_1500_US_KNBC_Today_Show
COL|Communication Studies Archive, UCLA 
UID|d1087bd2-142d-11e0-b261-001517add720
DUR|0:59:39.30
VID|640x368
CMT|
LAN|ENG
LBT|2010-12-30 07:00 America/Los_Angeles
SEG_01|2014-06-18 18:30:47|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101230150004.000|20101230150012.000|SEG|Type=Story
20101230150004.000|20101230150005.000|CC1|>> ONE LESS THING TO WATCH OUT  
20101230150005.000|20101230150006.000|CC1|FOR BUT STILL THE WINDS TODAY.  
20101230150006.000|20101230150007.000|CC1|BE CAREFUL.                     
20101230150007.000|20101230150008.000|CC1|>> THAT'S ALL FOR US ON "TODAY  
20101230150008.000|20101230150012.000|CC1|IN L.A."                        
20101230150012.000|20101230150025.000|SEG|Type=Story
20101230150012.000|20101230150014.000|CC1|>>> GOOD MORNING.               
20101230150014.000|20101230150016.000|CC1|TWO COASTS, TWO MESSES.         
20101230150016.000|20101230150019.000|CC1|A MIX OF SNOW, RAIN, AND        
20101230150019.000|20101230150020.000|CC1|DANGEROUS WIND CAUSING BIG      
20101230150020.000|20101230150023.000|CC1|PROBLEMS OUT WEST TRIGGERING NEW
20101230150023.000|20101230150025.000|CC1|FEARS OF MUD AND ROCK SLIDES.   
20101230150025.000|20101230150033.000|SEG|Type=Story
20101230150025.000|20101230150026.000|CC1|>>> WHILE IN THE EAST SEVERAL   
20101230150026.000|20101230150028.000|CC1|DEATHS IN NEW YORK ARE NOW BEING
20101230150028.000|20101230150029.000|CC1|BLAMED ON UNPLOWED STREETS IN   
20101230150029.000|20101230150033.000|CC1|THE WAKE OF THE BLIZZARD.       
20101230150033.000|20101230150045.000|SEG|Type=Story
20101230150033.000|20101230150034.000|CC1|>>> FORMER DELAWARE SENATE      
20101230150034.000|20101230150036.000|CC1|CANDIDATE CHRISTINE O'DONNELL   
20101230150036.000|20101230150038.000|CC1|FIGHTING MAD AMID REPORTS SHE'S 
20101230150038.000|20101230150039.000|CC1|BEING INVESTIGATED BY THE FED   
20101230150039.000|20101230150041.000|CC1|FOR MISUSING CAMPAIGN FUNDS.    
20101230150041.000|20101230150042.000|CC1|THIS MORNING CHRISTINE O'DONNELL
20101230150042.000|20101230150045.000|CC1|SPEAKS OUT LIVE.                
20101230150045.000|20101230150123.000|SEG|Type=Story
20101230150045.000|20101230150046.000|CC1|>>> AND OUT OF BOUNDS.          
20101230150046.000|20101230150050.000|CC1|NFL STAR BRETT FAVRE FINED      
20101230150050.000|20101230150052.000|CC1|$50,000 FOLLOWING A LEAGUE      
20101230150052.000|20101230150052.000|CC1|INVESTIGATION INTO INAPPROPRIATE
20101230150052.000|20101230150057.000|CC1|TEXT MESSAGES HE ALE ALLEGED SEO
20101230150057.000|20101230150100.000|CC1|A FORMER NEW YORK JETS EMPLOYEE.
20101230150100.000|20101230150102.000|CC1|THAT WOMAN'S EMPLOYEE SAYS FAVRE
20101230150102.000|20101230150104.000|CC1|IS ONLY GETTING A SLAP ON THE   
20101230150104.000|20101230150106.000|CC1|WRIST TODAY, THURSDAY, DECEMBER 
20101230150106.000|20101230150123.000|SEG_01|Type=Commercial
20101230150106.000|20101230150109.000|CC1|30th, 2010.                     
20101230150109.000|20101230150109.000|CC1|     CAPTIONS PAID FOR BY       
20101230150109.000|20101230150123.000|CC1|    NBC-UNIVERSAL TELEVISION    
20101230150123.000|20101230150159.000|SEG_01|Type=Story start
20101230150123.000|20101230150159.000|SEG|Type=Story
20101230150123.000|20101230150124.000|CC1|>>> WELCOME TO "TODAY" ON THIS  
20101230150124.000|20101230150125.000|CC1|THURSDAY MORNING.               
20101230150125.000|20101230150126.000|CC1|I'M ANN CURRY.                  
20101230150126.000|20101230150127.000|CC1|>> I'M LESTER HOLT.             
20101230150127.000|20101230150128.000|CC1|MATT AND MEREDITH ARE OFF.      
20101230150128.000|20101230150130.000|CC1|WE'VE BEEN DIGGING OUT.         
20101230150130.000|20101230150131.000|CC1|FOLKS OUT WEST HAVING TO COPE   
20101230150131.000|20101230150132.000|CC1|WITH EXACTLY WHAT THEY DIDN'T   
20101230150132.000|20101230150134.000|CC1|NEED FOLLOWING LAST WEEK'S      
20101230150134.000|20101230150135.000|CC1|VIOLENT STORMS.                 
20101230150135.000|20101230150136.000|CC1|DANGEROUS WINDS AFTER A NIGHT OF
20101230150136.000|20101230150138.000|CC1|EVEN MORE TORRENTIAL RAIN AND   
20101230150138.000|20101230150139.000|CC1|SNOW IN SOME SPOTS.             
20101230150139.000|20101230150140.000|CC1|>> AT LEAST ONE DEATH HAS BEEN  
20101230150140.000|20101230150142.000|CC1|BLAMED ON THE WEATHER IN        
20101230150142.000|20101230150143.000|CC1|CALIFORNIA WHERE A GRANDMOTHER  
20101230150143.000|20101230150146.000|CC1|WAS HIT BY A FALLING TREE AND SO
20101230150146.000|20101230150148.000|CC1|MUCH SNOW HAS FALLEN ON PARTS OF
20101230150148.000|20101230150150.000|CC1|ARIZONA AND NEW MEXICO THAT     
20101230150150.000|20101230150152.000|CC1|SEVERAL HIGHWAYS HAVE BEEN SHUT 
20101230150152.000|20101230150153.000|CC1|DOWN THIS MORNING.              
20101230150153.000|20101230150154.000|CC1|WE'RE GOING TO GET THE LATEST IN
20101230150154.000|20101230150157.000|CC1|A LIVE REPORT AND ALSO AL ROKER 
20101230150157.000|20101230150158.000|CC1|IS IN LOS ANGELES THIS MORNING  
20101230150158.000|20101230150159.000|CC1|TRACKING THE STORMS.            
20101230150159.000|20101230150211.000|SEG|Type=Story
20101230150159.000|20101230150201.000|CC1|>>> ALSO AHEAD A CHILLING CASE  
20101230150201.000|20101230150202.000|CC1|IN ENGLAND.                     
20101230150202.000|20101230150204.000|CC1|A MAN ADMITS TO BEING A SERIAL  
20101230150204.000|20101230150205.000|CC1|KILLING AFTER BEING CAUGHT ON   
20101230150205.000|20101230150207.000|CC1|CAMERA COMMITTING ONE OF HIS    
20101230150207.000|20101230150208.000|CC1|DISTURBING CRIMES.              
20101230150208.000|20101230150209.000|CC1|WE'LL HAVE MORE ON THAT JUST    
20101230150209.000|20101230150211.000|CC1|AHEAD.                          
20101230150211.000|20101230150228.000|SEG|Type=Story
20101230150211.000|20101230150212.000|CC1|>>> PLUS ON A DIFFERENT NOTE,   
20101230150212.000|20101230150215.000|CC1|TOMORROW IS NEW YEAR'S EVE, SO  
20101230150215.000|20101230150218.000|CC1|WE'RE GOING TO GET YOU SET FOR  
20101230150218.000|20101230150219.000|CC1|2011 WITH A LOOK AT WHAT'S GOING
20101230150219.000|20101230150220.000|CC1|TO BE THE HOTTEST TREND IN      
20101230150220.000|20101230150223.000|CC1|ENTERTAINMENT, FASHION, AND TECH
20101230150223.000|20101230150223.000|CC1|GADGETS.                        
20101230150223.000|20101230150224.000|CC1|THE TEN THINGS YOU WILL BE      
20101230150224.000|20101230150228.000|CC1|PAYING MORE FOR IN THE NEW YEAR.
20101230150228.000|20101230150523.000|SEG|Type=Story
