TOP|20101230230001|2010-12-30_2300_US_FOX-News_Special_Report_with_Bret_Baier
COL|Communication Studies Archive, UCLA 
UID|def3b0ca-1470-11e0-a9bd-001517add6f2
DUR|0:59:39.17
VID|640x352
CMT|
LAN|ENG
LBT|2010-12-30 15:00 America/Los_Angeles
SEG_01|2014-06-18 18:31:11|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101230230002.000|20101230230002.000|XDS|%   RATING: (NOT RATED) (72)
20101230230004.000|20101230230320.000|SEG|Type=Story
20101230230004.000|20101230230006.000|CC1|RICHARD POE FOR THE             
20101230230006.000|20101230230007.000|CC1|COMMENRY.                       
20101230230007.000|20101230230007.000|CC1|FROM NEW YOR                    
20101230230007.000|20101230230007.000|XDS|%  NETWORK: Fox News Channel
20101230230007.000|20101230230009.000|CC1|GOOD NIGHT, AMERA.              
20101230230009.000|20101230230009.000|CC1|          Captioned             
20101230230009.000|20101230230014.000|CC1|Closed Captioning Seices, Inc   
20101230230015.000|20101230230015.000|XDS|%     CALL: FNC 
20101230230014.000|20101230230016.000|CC1|>> Chris: PRESIDENT OBAMA USES  
20101230230016.000|20101230230018.000|CC1|THEONGRESSIONAL RECESS TO       
20101230230018.000|20101230230020.000|CC1|MAKE A CONTROVERSIAL            
20101230230020.000|20101230230021.000|CC1|OINTMENT.                       
20101230230021.000|20101230230022.000|CC1|DIPLOMIC DISPUTE WITH           
20101230230022.000|20101230230023.000|CC1|VENEZUELA ESCALATES ASHE        
20101230230023.000|20101230230025.000|CC1|STAT DEPARTMENT AWERS A         
20101230230025.000|20101230230027.000|CC1|DARE FROM HUGO CHAVEZ.          
20101230230027.000|20101230230028.000|CC1|AND IS JEB BUSHESTINED FOR      
20101230230028.000|20101230230029.000|CC1|WASHINON?                       
20101230230029.000|20101230230031.000|CC1|WE'LL TELL YOU WHYOME SAY       
20101230230031.000|20101230230031.000|CC1|YES.                            
20101230230031.000|20101230230033.000|CC1|LIVE FROM OUR STUDIO IN         
20101230230033.000|20101230230033.000|XDS|%    TITLE: News, Fair and Balanced
20101230230033.000|20101230230035.000|CC1|WASHINGTON, THIS ISSPECIAL      
20101230230035.000|20101230230036.000|CC1|REPORT."                        
20101230230036.000|20101230230036.000|CC1|GOOD EVENINGNT I'M CHRIS        
20101230230036.000|20101230230038.000|CC1|WALLACE IN FOR BT BAIER.        
20101230230038.000|20101230230041.000|CC1|IN THE MIDST OF HIS HAIIAN      
20101230230041.000|20101230230042.000|CC1|VACATI, PRESIDENT OBA HAS       
20101230230042.000|20101230230044.000|CC1|MADE NE, BYPASSING THE          
20101230230044.000|20101230230046.000|CC1|SETE WITH A CTROVERSIAL         
20101230230046.000|20101230230047.000|CC1|RESS APINTMENT.                 
20101230230047.000|20101230230049.000|CC1|AS CORRESPONDENT DG McELWAY     
20101230230049.000|20101230230051.000|CC1|TELLS US, REACTION DIFFERS      
20101230230051.000|20101230230053.000|CC1|SHARPLY, PENDING ON YOUR        
20101230230053.000|20101230230054.000|CC1|LITICAL PERSUASION.             
20101230230054.000|20101230230054.000|CC1|>> Reporter:HE PRESIDENT'S      
20101230230054.000|20101230230056.000|CC1|CHOICE OF SIX RECESS            
20101230230056.000|20101230230057.000|CC1|APPOINTMENTS IMMEDIATE FROM     
20101230230057.000|20101230230100.000|CC1|HALF A WORLD AWAY -- MADE FROM  
20101230230100.000|20101230230103.000|CC1|LF A WORLD AWAY IN HAWAII       
20101230230103.000|20101230230104.000|CC1|MAY MADE RESOLUTION OF          
20101230230104.000|20101230230106.000|CC1|BIPARTISANSHIP HARDETO EP.      
20101230230106.000|20101230230107.000|CC1|BY FAR T CONTROVERAL ONE        
20101230230107.000|20101230230109.000|CC1|IS JAMES COLEO BE SECON IN      
20101230230109.000|20101230230110.000|CC1|COMMAND AT THE JUSTI            
20101230230110.000|20101230230110.000|CC1|DEPARTMENT.                     
20101230230110.000|20101230230114.000|CC1|>> THIS IS ONE OFHE WORST       
20101230230114.000|20101230230117.000|CC1|APPOINTMENTS MADE BY PREDENT    
20101230230117.000|20101230230118.000|CC1|OBAMA.                          
20101230230118.000|20101230230120.000|CC1|COLE IS UNFIT FOR THE JO        
20101230230120.000|20101230230121.000|CC1|>> HE WAS ONCREPRESENTING       
20101230230121.000|20101230230123.000|CC1|SAI FAMILY THAT WAS ACCUSED     
20101230230123.000|20101230230127.000|CC1|OF FINCING THE TERRORIST        
20101230230127.000|20101230230129.000|CC1|ACTITIES OF 9/11                
20101230230129.000|20101230230130.000|CC1|THE CASE WAS DISMISSED BUT      
20101230230130.000|20101230230132.000|CC1|COLE'S VIEW WERE PUBLIED IN     
20101230230132.000|20101230230134.000|CC1|OPD IN 200 WHERE HE SAID        
20101230230134.000|20101230230136.000|CC1|"OUR COUNTRY HAS FAC MANY       
20101230230136.000|20101230230138.000|CC1|DEVASTATING CRIME, DRU RAPE     
20101230230138.000|20101230230143.000|CC1|AND REIGN OF ORGANIZED CRIME,   
20101230230143.000|20101230230146.000|CC1|COUNTLESS ACTS OF RAPE AND      
20101230230146.000|20101230230146.000|CC1|MURDER.                         
20101230230146.000|20101230230148.000|CC1|TS OF 9/11 WER HORRIBLE,        
20101230230148.000|20101230230150.000|CC1|BUT THOSEERE THO OTHER          
20101230230150.000|20101230230150.000|CC1|THINGS."                        
20101230230150.000|20101230230152.000|CC1|D AMONG THOSE, DEBRA            
20101230230152.000|20101230230154.000|CC1|BURLINGAME, SISTER OF THE       
20101230230154.000|20101230230155.000|CC1|HIJACKED PIL AND CO-FOUNDER     
20101230230155.000|20101230230157.000|CC1|OF KEEP AMERI SAFE, SHE TOLD    
20101230230157.000|20101230230159.000|CC1|FOX NEWS, "IS DEEPLY            
20101230230159.000|20101230230200.000|CC1|STURBING THAT PRESIDENT         
20101230230200.000|20101230230201.000|CC1|OBAMA APPOINTS A M WHO RUN      
20101230230201.000|20101230230203.000|CC1|Y-TO-DAY OPERATIONS  THE        
20101230230203.000|20101230230205.000|CC1|JUSTICE DEPARTMT WHO            
20101230230205.000|20101230230208.000|CC1|COMPARES TERRORISTS TO DRU      
