TOP|20101231020001|2010-12-31_0200_US_KNBC_Channel_4_News
COL|Communication Studies Archive, UCLA 
UID|d2a734da-1485-11e0-b4f6-001517add720
DUR|0:29:38.51
VID|640x368
CMT|
LAN|ENG
LBT|2010-12-30 18:00 America/Los_Angeles
SEG_01|2014-06-18 18:31:31|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101231020002.000|20101231020509.000|SEG|Type=Story
20101231020002.000|20101231020003.000|CC1|THIS GRAPHIC IS SOME OF THE     
20101231020003.000|20101231020007.000|CC1|GENERAL AREAS THAT ARE GOING TO 
20101231020007.000|20101231020008.000|CC1|EXPERIENCE THE CHILLIEST        
20101231020008.000|20101231020010.000|CC1|TEMPERATURES IN THE WHOLE YEAR. 
20101231020010.000|20101231020013.000|CC1|38 TO 42 AT THE COAST.          
20101231020013.000|20101231020015.000|CC1|VALLEYS, 29 TO 42.              
20101231020015.000|20101231020019.000|CC1|NINE TO 17 IN THE MOUNTAINS,    
20101231020019.000|20101231020021.000|CC1|UPPER DESERTS, 27 TO 42.        
20101231020021.000|20101231020023.000|CC1|GOT TO TALK ABOUT ADVISORIES.   
20101231020023.000|20101231020025.000|CC1|WE HAVE A FROST DWIDSRY FOR     
20101231020025.000|20101231020029.000|CC1|VENTURA, L.A., RIVERSIDE, SAN   
20101231020029.000|20101231020035.000|CC1|BERNADINA AND COCHELLA VALLEYS. 
20101231020035.000|20101231020039.000|CC1|TEMPERATURES COULD BE 28 AND 33.
20101231020039.000|20101231020040.000|CC1|FROST COULD FORM IN THE WIND    
20101231020040.000|20101231020040.000|CC1|PROTECTED SPOTS.                
20101231020040.000|20101231020044.000|CC1|IN THE SANTA CLARITA VALLEY,    
20101231020044.000|20101231020046.000|CC1|WITHIN THE LAST 45 MINUTES THEY 
20101231020046.000|20101231020048.000|CC1|EXPERIENCED A WIND GUST UP TO 56
20101231020048.000|20101231020049.000|CC1|MILES AN HOUR.                  
20101231020049.000|20101231020050.000|CC1|THEY DID IT LAST NIGHT AT 2:00  
20101231020050.000|20101231020051.000|CC1|IN THE MORNING.                 
20101231020051.000|20101231020054.000|CC1|IT IS ONLY 40 DEGREES.          
20101231020054.000|20101231020115.000|CC1|ARE WE GOING TO TALK TO ADMIRAL 
20101231020115.000|20101231020117.000|CC1|BYRD OR JOHN CADAIZ KLEMACK?    
20101231020117.000|20101231020119.000|CC1|>> Reporter: IT IS CHILLY.      
20101231020119.000|20101231020120.000|CC1|IT IS COLDER THAN THAT.         
20101231020120.000|20101231020121.000|CC1|>> BONE CHILLING.               
20101231020121.000|20101231020123.000|CC1|>> Reporter: THAT IS BETTER.    
20101231020123.000|20101231020126.000|CC1|>> CALIFORNIA COLD.             
20101231020126.000|20101231020129.000|CC1|>> Reporter: WHATEVER YOU CALL  
20101231020129.000|20101231020129.000|CC1|IT.                             
