TOP|20101231070001|2010-12-31_0700_US_KMEX_Noticias_34
COL|Communication Studies Archive, UCLA 
UID|bb4f540a-14af-11e0-8d6f-001517add60e
DUR|0:29:39.61
VID|640x480
CMT|
LAN|SPA
LBT|2010-12-30 23:00 America/Los_Angeles
SEG_01|2014-06-18 18:31:42|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101231070140.000|20101231072940.000|SEG|Type=Story
20101231070140.000|20101231070150.000|CC1|hasta que se retiren dichos     
20101231070150.000|20101231070159.000|CC1|reportes, así iniciamos noticias
20101231070159.000|20101231070209.000|CC1|Univision.                      
20101231070209.000|20101231070215.000|CC1|>> comenzando los vientos estan 
20101231070215.000|20101231070219.000|CC1|causando grandes estragos en    
20101231070219.000|20101231070225.000|CC1|estas áreas, después de las     
20101231070225.000|20101231070229.000|CC1|fuertes lluvias vienen los      
20101231070229.000|20101231070236.000|CC1|vientos y ahora son las heladas,
20101231070236.000|20101231070243.000|CC1|temperaturas que van a bajar    
20101231070243.000|20101231070254.000|CC1|cerca de las montañas, en San   
20101231070254.000|20101231070258.000|CC1|bernardino, van a descender en  
20101231070258.000|20101231070302.000|CC1|el año nuevo.                   
20101231070302.000|20101231070311.000|CC1|>> También ha causando tension, 
20101231070311.000|20101231070316.000|CC1|porque se podrían perder        
20101231070316.000|20101231070319.000|CC1|vegetales.                      
20101231070319.000|20101231070330.000|CC1|>> Esta será una de las medidas 
20101231070330.000|20101231070335.000|CC1|, que podría cubrir unos 500    
20101231070335.000|20101231070339.000|CC1|millones de dólares.            
20101231070339.000|20101231070345.000|CC1|>> Recordará en ese año, diez   
20101231070345.000|20101231070348.000|CC1|mil trabajadores se quedaron sin
20101231070348.000|20101231070355.000|CC1|empleo.                         
20101231070355.000|20101231070400.000|CC1|>> Chile, berenjena, todo lo que
20101231070400.000|20101231070404.000|CC1|quema aqui el hielo.            
20101231070404.000|20101231070413.000|CC1|>> Aumentaria los precios de los
20101231070413.000|20101231070418.000|CC1|diferentes productos, también   
20101231070418.000|20101231070422.000|CC1|los trabajadores están tomando  
20101231070422.000|20101231070426.000|CC1|precauciones.                   
20101231070426.000|20101231070429.000|CC1|>> Me pongo chamarras.          
20101231070429.000|20101231070435.000|CC1|>>                              
20101231070435.000|20101231070441.000|CC1|en algunas partes del valle de  
20101231070441.000|20101231070444.000|CC1|coachela.                       
20101231070444.000|20101231070449.000|CC1|>> Dueños estatales que         
20101231070449.000|20101231070455.000|CC1|perdieron todo en las recientes 
20101231070455.000|20101231070459.000|CC1|lluvias.                        
20101231070459.000|20101231070505.000|CC1|>> Caminos y carreteras serán   
20101231070505.000|20101231070507.000|CC1|acelerados.                     
20101231070507.000|20101231070515.000|CC1|>> Para el desfile de las rosas 
20101231070515.000|20101231070524.000|CC1|se debera preocupar para no     
20101231070524.000|20101231070530.000|CC1|pasar frío, podrá tener un      
20101231070530.000|20101231070535.000|CC1|asador para calentarse, algunas 
20101231070535.000|20101231070541.000|CC1|familias han comenzado a marcar 
20101231070541.000|20101231070546.000|CC1|áreas, aunque eso se podrá hacer
20101231070546.000|20101231070550.000|CC1|solo un día antes.              
20101231070550.000|20101231070557.000|CC1|>> Ya tenemos tamales, comida,  
20101231070557.000|20101231070559.000|CC1|chanpagne.                      
20101231070559.000|20101231070612.000|CC1|>> Va a ser un hermoso parade.  
20101231070612.000|20101231070619.000|CC1|>> Los transitantes estan       
20101231070619.000|20101231070624.000|CC1|buscando y acampando en lugares 
20101231070624.000|20101231070628.000|CC1|para tener una mejor vision en  
20101231070628.000|20101231070634.000|CC1|el desfile.                     
20101231070634.000|20101231070636.000|CC1|>> Hay policías patrullando.    
20101231070636.000|20101231070645.000|CC1|>> Esto es para que la gente    
20101231070645.000|20101231070648.000|CC1|disfrute del festival.          
20101231070648.000|20101231070652.000|CC1|>> Empezando esta noche hasta el
20101231070652.000|20101231070655.000|CC1|primero de enero.               
20101231070655.000|20101231070701.000|CC1|>> Hay articulos que no serán   
20101231070701.000|20101231070703.000|CC1|permitidos.                     
