TOP|20101231160001|2010-12-31_1600_US_KABC_Good_Morning_America
COL|Communication Studies Archive, UCLA 
UID|5d7ba932-14ff-11e0-8c07-001517add6fa
DUR|0:59:39.37
VID|640x352
CMT|
LAN|ENG
LBT|2010-12-31 08:00 America/Los_Angeles
SEG_01|2014-06-18 18:32:18|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101231160004.000|20101231160004.000|XDS|%   RATING: (NOT RATED) (72)
20101231160006.000|20101231160006.000|XDS|%  NETWORK: ABC
20101231160006.000|20101231160006.000|XDS|%    TITLE: GOOD MORNING AMERICA
20101231160007.000|20101231160007.000|XDS|%     CALL:   
20101231160007.000|20101231160007.000|XDS|% TIMECODE: 12/31 10:00
20101231160007.000|20101231160007.000|XDS|%   LENGTH: 0:57:00 of 2:00:00
20101231160012.000|20101231160035.000|SEG|Type=Story
20101231160012.000|20101231160014.000|CC1|? I WANT TO FLY AND LIVE MY     
20101231160014.000|20101231160019.000|CC1|LIFE ?                          
20101231160019.000|20101231160028.000|CC1|? SAYING AYO SAYING LET GO ?    
20101231160028.000|20101231160031.000|CC1|? WE'RE GOING TO LIGHT THIS CLUB
20101231160031.000|20101231160032.000|CC1|LIKE IT'S DYNAMITE I TOLD YOU   
20101231160032.000|20101231160035.000|CC1|ONCE I TOLD YOU TWICE ?         
20101231160035.000|20101231160151.000|SEG|Type=Story
20101231160035.000|20101231160035.000|CC1|>>> OUR FRIENDS DOWN UNDER,     
20101231160035.000|20101231160037.000|CC1|RINGING IN THE NEW YEAR.        
20101231160037.000|20101231160038.000|CC1|YOU'RE LOOKING LIVE AT SYDNEY   
20101231160038.000|20101231160038.000|CC1|HARBOR, 9.5 MILLION PEOPLE      
20101231160038.000|20101231160042.000|CC1|CELEBRATING THE NEW YEAR.       
20101231160042.000|20101231160043.000|CC1|>> AS THEY RING IN 2011, AS PER 
20101231160043.000|20101231160044.000|CC1|TRADITION.                      
20101231160044.000|20101231160045.000|CC1|THEY KNOW HOW TO PARTY DOWN     
20101231160045.000|20101231160050.000|CC1|UNDER.                          
20101231160050.000|20101231160050.000|CC1|LOOK AT THOSE FIREWORKS.        
20101231160050.000|20101231160051.000|CC1|ABOUT $5 MILLION THEY SPENT ON  
20101231160051.000|20101231160056.000|CC1|THAT.                           
20101231160056.000|20101231160059.000|CC1|MORE PEOPLE THAN EVER COMING TO 
20101231160059.000|20101231160100.000|CC1|SEE THEM IN SYDNEY.             
20101231160100.000|20101231160102.000|CC1|ARRIVING REALLY EARLY TO GET A  
20101231160102.000|20101231160102.000|XDS|%   LENGTH: 0:58:00 of 2:00:00
20101231160102.000|20101231160103.000|CC1|GOOD SEAT.                      
20101231160103.000|20101231160104.000|CC1|AND THE PARTY IS BEGINNING      
20101231160104.000|20101231160107.000|CC1|AROUND THE GLOBE.               
20101231160107.000|20101231160107.000|CC1|GOOD MORNING, AMERICA.          
20101231160107.000|20101231160110.000|CC1|I'M BILL WEIR.                  
20101231160110.000|20101231160112.000|CC1|>> I'M ROBIN ROBERTS.           
20101231160112.000|20101231160115.000|CC1|GEORGE IS HAVING SOME VACATION  
