TOP|20101231160001|2010-12-31_1600_US_KCBS_The_Early_Show
COL|Communication Studies Archive, UCLA 
UID|5d09cbdc-14ff-11e0-ba3c-001517add720
DUR|0:59:39.30
VID|640x368
CMT|
LAN|ENG
LBT|2010-12-31 08:00 America/Los_Angeles
SEG_01|2014-06-18 18:32:20|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101231160002.000|20101231160002.000|XDS|%  NETWORK: CBS
20101231160002.000|20101231160002.000|XDS|%     CALL:   
20101231160003.000|20101231160003.000|XDS|%    TITLE: PCA1605
20101231160019.000|20101231160020.000|SEG|Type=Story
20101231160019.000|20101231160020.000|CC1|>>> SEEMS A LITTLE              
20101231160020.000|20101231160054.000|SEG|Type=Story
20101231160020.000|20101231160021.000|CC1|>>> IT'S A LITTLE EARLY.        
20101231160021.000|20101231160022.000|CC1|JUST A LITTLE EARLY.            
20101231160022.000|20101231160024.000|CC1|>> YOU'RE GETTING IN THE SPIRIT,
20101231160024.000|20101231160025.000|CC1|HARRY.                          
20101231160025.000|20101231160025.000|CC1|>> WOW.                         
20101231160025.000|20101231160026.000|CC1|>> WE NEED ONE OF THOSE FOR YOU.
20101231160026.000|20101231160029.000|CC1|>> IT IS NEW YEAR'S IN SYDNEY.  
20101231160029.000|20101231160031.000|CC1|ONE OF THE BEST PICTURES        
20101231160031.000|20101231160033.000|CC1|ANYPLACE IS THAT SYDNEY HARBOR  
20101231160033.000|20101231160034.000|CC1|BRIDGE.                         
20101231160034.000|20101231160035.000|CC1|YOU KNOW YOU CAN CLIMB OVER THE 
20101231160035.000|20101231160035.000|XDS|% TIMEZONE: UTC-5
20101231160035.000|20101231160036.000|CC1|TOP OF THAT?                    
20101231160036.000|20101231160036.000|CC1|>> I DIDN'T KNOW THAT.          
20101231160036.000|20101231160038.000|CC1|>> OH, YEAH.                    
20101231160038.000|20101231160040.000|CC1|USE THIS AS, YOU LITERALLY CLIMB
20101231160040.000|20101231160042.000|CC1|ALL THE WAY UP AND OVER THE     
20101231160042.000|20101231160042.000|CC1|SPAN.                           
20101231160042.000|20101231160043.000|CC1|>> THAT'S REALLY COOL.          
20101231160043.000|20101231160044.000|CC1|>> ONE OF THE PRETTIEST PLACES  
20101231160044.000|20101231160045.000|CC1|IN ALL OF THE PLANET.           
20101231160045.000|20101231160047.000|CC1|LOOK AT THOSE FIREWORKS POPE, MY
20101231160047.000|20101231160048.000|CC1|GOSH.                           
20101231160048.000|20101231160049.000|CC1|>> THEY ARE CELEBRATING         
20101231160049.000|20101231160049.000|CC1|SOMEWHERE.                      
20101231160049.000|20101231160051.000|CC1|IT'S NOT TOO EARLY TO START     
20101231160051.000|20101231160052.000|CC1|CELEBRATING.                    
20101231160052.000|20101231160052.000|CC1|>> IT'S NOT TOO EARLY.          
20101231160052.000|20101231160053.000|CC1|YOU CAN GO AHEAD.               
20101231160053.000|20101231160054.000|CC1|ALL RIGHT.                      
20101231160054.000|20101231160054.000|CC1|ALL RIGHT.                      
20101231160054.000|20101231160147.000|SEG|Type=Story
20101231160054.000|20101231160055.000|CC1|>>> WELCOME BACK TO THE "EARLY  
20101231160055.000|20101231160056.000|CC1|SHOW," EVERYBODY.               
20101231160056.000|20101231160057.000|CC1|I'M HARRY SMITH ALONG WITH      
20101231160057.000|20101231160058.000|CC1|REBECCA JARVIS.                 
20101231160058.000|20101231160059.000|CC1|COMING UP, THE SIGHTS AND SOUNDS
20101231160059.000|20101231160101.000|CC1|OF 2010.                        
20101231160101.000|20101231160103.000|CC1|THIS YEAR WAS FILLED WITH       
20101231160103.000|20101231160105.000|CC1|DISASTERS OF SHOCKING           
20101231160105.000|20101231160106.000|CC1|PROPORTIONS LIKE THE EARTHQUAKE 
20101231160106.000|20101231160109.000|CC1|IN HAITI AND THE GULF OIL SPILL,
20101231160109.000|20101231160110.000|CC1|BUT ALSO WONDERFUL MOMENTS, SUCH
20101231160110.000|20101231160114.000|CC1|AS THE RESCUE OF THE MINERS IN  
20101231160114.000|20101231160114.000|CC1|CHILI.                          
20101231160114.000|20101231160115.000|CC1|SCENES THAT BRING THE WORLD     
20101231160115.000|20101231160117.000|CC1|TOGETHER, AND WE LOOK BACK AND  
20101231160117.000|20101231160119.000|CC1|REMEMBER SOME OF THE WELL-KNOWN 
20101231160119.000|20101231160120.000|CC1|PEOPLE WHO PASSED AWAY IN THE   
20101231160120.000|20101231160122.000|CC1|PAST 12 MONTHS.                 
20101231160122.000|20101231160123.000|CC1|>> SWITCHING GEARS, YOU DON'T   
20101231160123.000|20101231160126.000|CC1|HAVE TO GO TO THE HAIRDRESSER 0 
20101231160126.000|20101231160128.000|CC1|SALON TO GET READY FOR THIS NEW 
20101231160128.000|20101231160128.000|CC1|YEAR'S.                         
20101231160128.000|20101231160129.000|CC1|>> REALLY?                      
20101231160129.000|20101231160130.000|CC1|>> BELIEVE TORE NOT, CANCEL THAT
20101231160130.000|20101231160131.000|CC1|APPOINTMENT FOR THE PERM.       
20101231160131.000|20101231160132.000|CC1|>> OKAY.                        
20101231160132.000|20101231160134.000|CC1|>> WE HAVE SOME EASY DO IT      
20101231160134.000|20101231160135.000|CC1|YOURSELF WAYS TO GLITZ YOU UP,  
20101231160135.000|20101231160137.000|CC1|GET YOU READY, AND PAINT THE    
20101231160137.000|20101231160139.000|CC1|TOWN TONIGHT IN A GORGEOUS,     
20101231160139.000|20101231160139.000|CC1|GORGEOUS WAY.                   
20101231160139.000|20101231160140.000|CC1|>> ALL RIGHT.                   
20101231160140.000|20101231160143.000|CC1|FIRST, THOUGH, WE'LL GET A CHECK
20101231160143.000|20101231160144.000|CC1|OF THE NEWS BETTY NGUYEN IS AT  
20101231160144.000|20101231160145.000|CC1|NEWSDESK.                       
20101231160145.000|20101231160146.000|CC1|>> GOOD MORNING, HARRY.         
20101231160146.000|20101231160147.000|CC1|YOU LOOK GOOD.                  
20101231160147.000|20101231160226.000|SEG|Type=Story
20101231160147.000|20101231160149.000|CC1|>>> GOOD MORNING, EVERYBODY.    
20101231160149.000|20101231160150.000|CC1|UNFORTUNATELY, A MISERABLE END  
20101231160150.000|20101231160152.000|CC1|TO 2010 AS A VICIOUS STORM      
20101231160152.000|20101231160153.000|CC1|HAMMERS THE WEST.               
20101231160153.000|20101231160155.000|CC1|HEAVY SNOW AND FIERCE WINDS ARE 
20101231160155.000|20101231160158.000|CC1|IN THE FORECAST IN DENVER ROADS 
20101231160158.000|20101231160200.000|CC1|OF SLICK SENDING CARS           
20101231160200.000|20101231160201.000|CC1|DANGEROUSLY OUT OF CONTROL.     
20101231160201.000|20101231160202.000|CC1|SNOW IN THE REGION IS EXPECTED  
20101231160202.000|20101231160205.000|CC1|TO FALL ABOUT AN INCH AN HOUR,  
20101231160205.000|20101231160207.000|CC1|ACCUMULATING TO A FOOT TODAY.   
20101231160207.000|20101231160209.000|CC1|>> YOU HAVE TO BE CAREFUL.      
20101231160209.000|20101231160211.000|CC1|YOU KNOW, IT WILL GET YOU WHERE 
20101231160211.000|20101231160213.000|CC1|YOU'RE GOING, TAKE IT SLOW AND  
20101231160213.000|20101231160213.000|CC1|EASY.                           
20101231160213.000|20101231160214.000|CC1|IT'S NOT TERRIBLE.              
20101231160214.000|20101231160216.000|CC1|WORSE CONDITIONS, BUT FOR THIS  
20101231160216.000|20101231160217.000|CC1|YEAR IT'S PRETTY BAD.           
20101231160217.000|20101231160219.000|CC1|>> IN NORTHWEST ARKANSAS, A     
20101231160219.000|20101231160221.000|CC1|TORNADO KILLED THREE PEOPLE THIS
20101231160221.000|20101231160222.000|CC1|MORNING.                        
20101231160222.000|20101231160223.000|CC1|CINCINNATI, ARKANSAS' FIREHOUSE 
20101231160223.000|20101231160225.000|CC1|WAS HIT AND PEOPLE REPORTEDLY   
20101231160225.000|20101231160226.000|CC1|ARE TRAPPED INSIDE WRECKAGE.    
20101231160226.000|20101231160310.000|SEG|Type=Story
20101231160226.000|20101231160228.000|CC1|>>> THE WEATHER WON'T BE A      
20101231160228.000|20101231160229.000|CC1|FACTOR IN NEW YORK FOR THE BIG  
20101231160229.000|20101231160230.000|CC1|NEW YEAR'S PARTY.               
20101231160230.000|20101231160234.000|CC1|MORE THAN 1 MILLION PEOPLE ARE  
20101231160234.000|20101231160234.000|CC1|EXPECTED TO CRAM INTO TIMES     
20101231160234.000|20101231160236.000|CC1|SQUARE SECURITY WILL BE         
20101231160236.000|20101231160236.000|CC1|EXTREMELY TIGHT.                
20101231160236.000|20101231160239.000|CC1|THOUSANDS OF OFFICER, ON PATROL.
20101231160239.000|20101231160240.000|CC1|EARLIER NEW YORK POLICE         
20101231160240.000|20101231160241.000|CC1|COMMISSIONER RAY KELLY TOLD     
