TOP|20101231160001|2010-12-31_1600_US_KNBC_Today_Show
COL|Communication Studies Archive, UCLA 
UID|5d06db20-14ff-11e0-87b1-001517add720
DUR|0:59:39.97
VID|640x352
CMT|
LAN|ENG
LBT|2010-12-31 08:00 America/Los_Angeles
SEG_01|2014-06-18 18:32:21|Source_Program=Commercial Detection|Source_Person=Weixin Li
20101231160013.000|20101231160027.000|SEG|Type=Story
20101231160013.000|20101231160016.000|CC1|>>> SEVEN, SIX, FIVE, FOUR,     
20101231160016.000|20101231160017.000|CC1|THREE, TWO, ONE!                
20101231160017.000|20101231160027.000|CC1|HAPPY NEW YEAR!                 
20101231160027.000|20101231160135.000|SEG|Type=Story
20101231160027.000|20101231160029.000|CC1|>>> 8:00 NOW ON A FRIDAY        
20101231160029.000|20101231160031.000|CC1|MORNING, DECEMBER 31st, 2010.   
20101231160031.000|20101231160034.000|CC1|BUT THE CALENDAR HAS JUST       
20101231160034.000|20101231160037.000|CC1|FLIPPED TO 2011 IN SYDNEY,      
20101231160037.000|20101231160038.000|CC1|AUSTRALIA.                      
20101231160038.000|20101231160040.000|CC1|AND THERE ARE THE FIREWORKS     
20101231160040.000|20101231160043.000|CC1|LIGHTING UP THE SIDNEY HARBOR.  
20101231160043.000|20101231160046.000|CC1|IF YOU'RE IN AUSTRALIA HAPPY NEW
20101231160046.000|20101231160047.000|CC1|YEAR'S EVE.                     
20101231160047.000|20101231160049.000|CC1|>> WHAT A BEAUTIFUL SIGHT.      
20101231160049.000|20101231160056.000|CC1|>> THEY KNOW HOW TO CELEBRATE.  
20101231160056.000|20101231160058.000|CC1|>> MEANTIME, OUTSIDE ON THE     
20101231160058.000|20101231160100.000|CC1|PLAZA, I'M LESTER HOLT, ALONG   
20101231160100.000|20101231160105.000|CC1|WITH AMY ROBACH.                
20101231160105.000|20101231160108.000|CC1|YOU'RE GOING TO BE WITH CARSON  
20101231160108.000|20101231160108.000|CC1|DALY.                           
20101231160108.000|20101231160110.000|CC1|>> YES, IT'S NOT GOING TO BE TOO
20101231160110.000|20101231160111.000|CC1|BAD TEMPERATUREWISE, I'M        
20101231160111.000|20101231160112.000|CC1|EXCITED.                        
20101231160112.000|20101231160113.000|CC1|GOING TO BE A FAIRLY WARM NIGHT.
20101231160113.000|20101231160115.000|CC1|>> 37 DEGREES RIGHT NOW.        
20101231160115.000|20101231160117.000|CC1|>> WE'LL TAKE THAT ON NEW YEAR'S
20101231160117.000|20101231160118.000|CC1|EVE.                            
20101231160118.000|20101231160119.000|CC1|I THINK A COUPLE MILLION PEOPLE 
20101231160119.000|20101231160121.000|CC1|MIGHT BE THERE WITH THE WARM    
20101231160121.000|20101231160121.000|CC1|TEMPERATURES.                   
20101231160121.000|20101231160123.000|CC1|WE'LL BE CELEBRATING THE NEW    
20101231160123.000|20101231160123.000|CC1|YEAR'S.                         
20101231160123.000|20101231160126.000|CC1|COMING UP, AN AMUSING LOOK BACK 
20101231160126.000|20101231160127.000|CC1|AT LIGHTER MOMENTS ON "TODAY,"  
20101231160127.000|20101231160130.000|CC1|FROM THE PLANNED FUN TO THE     
20101231160130.000|20101231160131.000|CC1|UNPLANNED MOMENTS THAT BROUGHT  
20101231160131.000|20101231160132.000|CC1|SMILES TO OUR FACES.            
20101231160132.000|20101231160135.000|CC1|WE'LL BE SHARING THEM WITH YOU. 
20101231160135.000|20101231160218.000|SEG|Type=Story
20101231160135.000|20101231160139.000|CC1|>>> TAKING A BATH IN BEER.      
20101231160139.000|20101231160141.000|CC1|BELIEVE IT OR NOT ONE SPA IS NOW
20101231160141.000|20101231160143.000|CC1|FEATURING BEER AS A BEAUTY      
20101231160143.000|20101231160144.000|CC1|TREATMENT OPTION.               
20101231160144.000|20101231160145.000|CC1|WE'LL CHECK IT OUT COMING UP.   
20101231160145.000|20101231160148.000|CC1|I ACTUALLY USE BEER TO WORK ON  
20101231160148.000|20101231160150.000|CC1|MY BEER BELLY.                  
20101231160150.000|20101231160150.000|CC1|>> ALL RIGHT.                   
20101231160150.000|20101231160153.000|CC1|FIRST, LET'S GET A CHECK ON THE 
20101231160153.000|20101231160155.000|CC1|MORNING'S TOP STORIES.          
20101231160155.000|20101231160156.000|CC1|THOMAS ROBERTS IS AT THE NEWS   
20101231160156.000|20101231160157.000|CC1|DESK FOR US.                    
20101231160157.000|20101231160158.000|CC1|>> GOOD MORNING TO YOU.         
20101231160158.000|20101231160200.000|CC1|A POWERFUL WINTER STORM THAT    
20101231160200.000|20101231160201.000|CC1|SLAMMED THE WESTERN AND PLAIN   
20101231160201.000|20101231160202.000|CC1|STATES MOVING EAST TO THE       
20101231160202.000|20101231160204.000|CC1|NATION'S MIDSECTION JUST OUTSIDE
20101231160204.000|20101231160207.000|CC1|FARGO, NORTH DAKOTA.            
20101231160207.000|20101231160209.000|CC1|THURSDAY'S SNOW CAUSED A 100 CAR
20101231160209.000|20101231160211.000|CC1|PILEUP STRETCHING A QUARTER MILE
20101231160211.000|20101231160212.000|CC1|LONG ON 94.                     
20101231160212.000|20101231160214.000|CC1|IN ARIZONA IT WAS WHITEOUT      
20101231160214.000|20101231160216.000|CC1|CONDITIONS AND IN UTAH AVALANCHE
20101231160216.000|20101231160217.000|CC1|WARNINGS THAT CLOSED HIGHWAYS   
20101231160217.000|20101231160218.000|CC1|AND ROADS.                      
20101231160218.000|20101231160241.000|SEG|Type=Story
20101231160218.000|20101231160220.000|CC1|>>> NOW TO NEW YORK CITY WHERE  
20101231160220.000|20101231160220.000|CC1|PREPARATIONS ARE UNDER WAY FOR  
20101231160220.000|20101231160222.000|CC1|THE BIGGEST CELEBRATION OF THE  
20101231160222.000|20101231160224.000|CC1|YEAR, JUST FIVE DAYS AFTER A    
20101231160224.000|20101231160226.000|CC1|MAJOR BLIZZARD AND A BOTCHED    
20101231160226.000|20101231160228.000|CC1|CLEANUP EFFORT IN TIMES SQUARE, 
