TOP|20110101020001|2011-01-01_0200_US_MSNBC_The_Rachel_Maddow_Show
COL|Communication Studies Archive, UCLA 
UID|2df6361a-1553-11e0-a75c-001517add6fa
DUR|0:59:38.87
VID|640x480
CMT|
LAN|ENG
LBT|2010-12-31 18:00 America/Los_Angeles
SEG_01|2014-06-18 18:33:00|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110101020017.000|20110101020828.000|SEG|Type=Story
20110101020017.000|20110101020018.000|CC1|>>> DUE TO MATURE SUBJECT       
20110101020018.000|20110101020019.000|CC1|MATTER, VIEWER DISCRETION IS    
20110101020019.000|20110101020024.000|CC1|ADVISED.                        
20110101020024.000|20110101020026.000|CC1|>> AMERICA'S PRISONS.           
20110101020026.000|20110101020026.000|CC1|DANGEROUS.                      
20110101020026.000|20110101020027.000|CC1|OFTEN DEADLY.                   
20110101020027.000|20110101020028.000|CC1|THERE ARE 2 MILLION PEOPLE DOING
20110101020028.000|20110101020032.000|CC1|TIME.                           
20110101020032.000|20110101020033.000|CC1|EVERY DAY IT'S A BATTLE TO      
20110101020033.000|20110101020035.000|CC1|SURVIVE AND TO MAINTAIN ORDER.  
20110101020035.000|20110101020037.000|CC1|>> DOWN ON YOUR FEET.           
20110101020037.000|20110101020041.000|CC1|DOWN.                           
20110101020041.000|20110101020042.000|CC1|>> PENDLETON JUVENILE IS THE    
20110101020042.000|20110101020043.000|CC1|LAST STOP IN INDIANA.           
20110101020043.000|20110101020044.000|CC1|FOR YOUNG OFFENDERS WHO HAVE    
20110101020044.000|20110101020045.000|CC1|COMMITTED SERIOUS CRIMES.       
20110101020045.000|20110101020049.000|CC1|WE SPENT MONTHS INSIDE.         
20110101020049.000|20110101020054.000|CC1|WHERE THE STAFF IS DETERMINED TO
20110101020054.000|20110101020056.000|CC1|REHABILITATE IMPULSIVE TEENS WHO
20110101020056.000|20110101020058.000|CC1|ARE OFTEN ANGRY AND VIOLENT.    
20110101020058.000|20110101020059.000|CC1|THIS IS "LOCKUP: PENDLETON      
20110101020059.000|20110101020113.000|CC1|JUVENILE EXTENDED STAY."        
