TOP|20110101023001|2011-01-01_0230_US_KABC_World_News_With_Diane_Sawyer
COL|Communication Studies Archive, UCLA 
UID|2e1d4d5e-1553-11e0-8822-001517add6fa
DUR|0:29:38.97
VID|640x352
CMT|
LAN|ENG
LBT|2010-12-31 18:30 America/Los_Angeles
SEG_01|2014-06-18 18:33:02|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110101023005.000|20110101023005.000|XDS|%  NETWORK: ABC
20110101023005.000|20110101023005.000|XDS|%   RATING: (NOT RATED) (72)
20110101023006.000|20110101023006.000|XDS|%    TITLE: ABC WORLD NEWS W/DIANE SAWYER
20110101023006.000|20110101023006.000|XDS|%     CALL:   
20110101023006.000|20110101023006.000|XDS|% TIMECODE: 12/31 20:30
20110101023006.000|20110101023006.000|XDS|%   LENGTH: 0:57:00 of 1:30:00
20110101023008.000|20110101023018.000|SEG|Type=Story
20110101023008.000|20110101023010.000|CC1|>>> TONIGHT ON "WORLD NEWS," THE
20110101023010.000|20110101023012.000|CC1|RARE AND DEADLY TORNADOES ACROSS
20110101023012.000|20110101023012.000|CC1|SEVERAL STATES THIS NEW YEAR'S  
20110101023012.000|20110101023014.000|CC1|EVE.                            
20110101023014.000|20110101023015.000|CC1|WE'RE ON THE GROUND, WHERE      
20110101023015.000|20110101023018.000|CC1|ENTIRE HOMES WERE SWEPT AWAY.   
20110101023018.000|20110101023026.000|SEG|Type=Story
20110101023018.000|20110101023020.000|CC1|>>> THE HOLDUP.                 
20110101023020.000|20110101023020.000|CC1|THE HOSTAGES TAKEN THIS NEW     
20110101023020.000|20110101023023.000|CC1|YEAR'S EVE INSIDE A BANK.       
20110101023023.000|20110101023024.000|CC1|THE ROBBER'S TARGET, THE BANK   
20110101023024.000|20110101023024.000|CC1|MANAGER.                        
20110101023024.000|20110101023025.000|CC1|CUSTOMERS RUN FOR COVER.        
20110101023025.000|20110101023026.000|CC1|HOW THIS UNFOLDED.              
20110101023026.000|20110101023030.000|SEG|Type=Story
20110101023026.000|20110101023026.000|CC1|>>> ON GUARD IN TIMES SQUARE AS 
20110101023026.000|20110101023027.000|CC1|WE USHER IN THE NEW YEAR.       
20110101023027.000|20110101023028.000|CC1|TONIGHT, A NEW KIND OF SECURITY 
20110101023028.000|20110101023030.000|CC1|WE HADN'T SEEN BEFORE.          
