TOP|20110101023001|2011-01-01_0230_US_KNBC_NBC_Nightly_News
COL|Communication Studies Archive, UCLA 
UID|2e0688da-1553-11e0-9c6e-001517add6fa
DUR|0:29:39.81
VID|640x368
CMT|
LAN|ENG
LBT|2010-12-31 18:30 America/Los_Angeles
SEG_01|2014-06-18 18:33:02|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110101023002.000|20110101023004.000|SEG|Type=Story
20110101023002.000|20110101023004.000|CC1|HAD THIS YEAR.                  
20110101023004.000|20110101023022.000|SEG|Type=Story
20110101023004.000|20110101023006.000|CC1|>>> AND ON THIS NEW YEAR'S EVE, 
20110101023006.000|20110101023008.000|CC1|THE CELEBRATIONS ALREADY UNDER  
20110101023008.000|20110101023009.000|CC1|WAY AROUND THE WORLD.           
20110101023009.000|20110101023013.000|CC1|"NIGHTLY NEWS" BEGINS NOW.      
20110101023013.000|20110101023023.000|SEG_01|Type=Commercial
20110101023013.000|20110101023013.000|CC1|      CAPTIONS PAID FOR BY      
20110101023013.000|20110101023022.000|CC1|    NBC-UNIVERSAL TELEVISION    
20110101023022.000|20110101023303.000|SEG|Type=Story
20110101023022.000|20110101023023.000|CC1|>>> GOOD EVENING.               
20110101023023.000|20110101023025.000|SEG_01|Type=Story start
20110101023023.000|20110101023025.000|CC1|I'M KATE SNOW IN FOR BRIAN ON   
20110101023025.000|20110101023027.000|CC1|THIS NEW YEAR'S EVE.            
20110101023027.000|20110101023030.000|CC1|WE BEGIN WITH A LINE OF DEADLY  
20110101023030.000|20110101023031.000|CC1|STORMS THAT'S SWEPT ACROSS THE  
20110101023031.000|20110101023032.000|CC1|MIDDLE OF THE COUNTRY.          
20110101023032.000|20110101023034.000|CC1|THERE WERE 20 TORNADOES REPORTED
20110101023034.000|20110101023035.000|CC1|TODAY ACROSS FOUR STATES.       
20110101023035.000|20110101023037.000|CC1|ARKANSAS, MISSOURI, ILLINOIS AND
20110101023037.000|20110101023039.000|CC1|OKLAHOMA.                       
20110101023039.000|20110101023041.000|CC1|AT LEAST SIX PEOPLE HAVE DIED,  
20110101023041.000|20110101023043.000|CC1|AND THERE IS TREMENDOUS DAMAGE. 
20110101023043.000|20110101023046.000|CC1|HOMES DESTROYED, ROOFS RIPPED   
20110101023046.000|20110101023047.000|CC1|OFF, AND TREES AND POWER LINES  
20110101023047.000|20110101023048.000|CC1|DOWN.                           
20110101023048.000|20110101023050.000|CC1|IT'S ALL DUE TO A HUGE MASS OF  
20110101023050.000|20110101023052.000|CC1|WARM AND UNSTABLE AIR THAT SWEPT
