TOP|20110101060001|2011-01-01_0600_US_KTLA_Prime_News_at_10PM
COL|Communication Studies Archive, UCLA 
UID|b634c44e-1574-11e0-8803-001517add720
DUR|0:59:38.90
VID|640x368
CMT|
LAN|ENG
LBT|2010-12-31 22:00 America/Los_Angeles
SEG_01|2014-06-18 18:33:14|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110101060003.000|20110101060003.000|XDS|%  NETWORK: CW  
20110101060003.000|20110101060003.000|XDS|%   RATING: (NOT RATED) (72)
20110101060003.000|20110101060003.000|XDS|%    TITLE: KTLA 5 NEWS AT 1
20110101060008.000|20110101060008.000|XDS|%     CALL: KTLA
20110101060014.000|20110101065939.000|SEG|Type=Story
20110101060014.000|20110101060017.000|CC1|PEOPLE IN NEW YORK TIMES SQUARE 
20110101060017.000|20110101060020.000|CC1|RANG IN THE NEW YEAR. SOUTHERN  
20110101060020.000|20110101060022.000|CC1|CALIFORNIA YOU ARE LOOKING LIVE 
20110101060022.000|20110101060024.000|CC1|AT UNIVERSAL CITY WALK WHERE THE
20110101060024.000|20110101060028.000|CC1|COUNTDOWN IS ON. 20112 YEARS IS 
20110101060028.000|20110101060035.000|CC1|THE BIG STORY.                  
20110101060035.000|20110101060036.000|CC1|TONIGHT CELEBRATIONS TO         
20110101060036.000|20110101060040.000|CC1|TOMORROW ROSE PARADE. FRIGID    
20110101060040.000|20110101060041.000|CC1|HOLIDAY FORECAST METEOROLOGIST  
20110101060041.000|20110101060043.000|CC1|JIM CASTILLO                    
20110101060043.000|20110101060046.000|CC1|HAPPY NEW YEAR EVERYBODY. WE ARE
20110101060046.000|20110101060050.000|CC1|DEALING WITH A VERY COLD NIGHT. 
20110101060050.000|20110101060052.000|CC1|FROST ADVISORIES POSTED AFTER   
20110101060052.000|20110101060056.000|CC1|THE 6:00 P.M. HOUR. MANY OF THE 
20110101060056.000|20110101060058.000|CC1|VALLEYS WITH THE CLEAR SKIES AND
20110101060058.000|20110101060100.000|CC1|LIGHT WINDS IN THE 40'S BUT     
20110101060100.000|20110101060102.000|CC1|GOING DOWN BELOW FREEZING AGAIN 
20110101060102.000|20110101060105.000|CC1|IN THOSE WIND SHELTERED AREAS.  
20110101060105.000|20110101060109.000|CC1|40 IN RIVERSIDE. OVERNIGHT LOWS 
20110101060109.000|20110101060112.000|CC1|FROM WOODLAND HILLS TO NEWHALL  
20110101060112.000|20110101060115.000|CC1|AT OR BELOW THAT FREEZING MARK. 
20110101060115.000|20110101060117.000|CC1|WIDESPREAD FROST ROUTE THE SAN  
20110101060117.000|20110101060123.000|CC1|FERNANDO VALLEY AND PASADENA.   
