TOP|20110101010001|2011-01-01_0100_US_KMEX_Primer_Impacto
COL|Communication Studies Archive, UCLA 
UID|cc67fe18-154a-11e0-aea5-001517add6f2
DUR|0:59:39.80
VID|640x480
CMT|
LAN|SPA
LBT|2010-12-31 17:00 America/Los_Angeles
SEG_01|2014-06-18 18:32:53|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110101010004.000|20110101010004.000|SEG|Type=Story
20110101010004.000|20110101010004.000|CC1|contentísima Elena              
20110101010004.000|20110101010018.000|SEG|Type=Story
20110101010004.000|20110101010007.000|CC1|>>> Bueno aquí estamos viviendo 
20110101010007.000|20110101010009.000|CC1|otro conteo, porque muchos      
20110101010009.000|20110101010011.000|CC1|lugares del mundo ahora se      
20110101010011.000|20110101010013.000|CC1|celebra ahora la llegada del    
20110101010013.000|20110101010015.000|CC1|2011, y a eso se debe que la    
20110101010015.000|20110101010018.000|CC1|boda esté bajando en este       
20110101010018.000|20110101010018.000|CC1|momento                         
20110101010018.000|20110101010019.000|SEG|Type=Story
20110101010018.000|20110101010019.000|CC1|>>> Bueno...                    
20110101010019.000|20110101010027.000|SEG|Type=Story
20110101010019.000|20110101010022.000|CC1|>>> Faltan 4 horas señores, para
20110101010022.000|20110101010024.000|CC1|que se acabe este 2010, usted   
20110101010024.000|20110101010027.000|CC1|prepare sus lentejas, sus       
20110101010027.000|20110101010027.000|CC1|maletas                         
20110101010027.000|20110101010028.000|SEG|Type=Story
20110101010027.000|20110101010028.000|CC1|>>> Las uvitas                  
20110101010028.000|20110101010033.000|SEG|Type=Story
20110101010028.000|20110101010032.000|CC1|>>> Muy buenas, en la costa este
20110101010032.000|20110101010033.000|CC1|faltan 4 horas                  
20110101010033.000|20110101010036.000|SEG|Type=Story
20110101010033.000|20110101010035.000|CC1|>>> Y en la Republica Dominicana
20110101010035.000|20110101010036.000|CC1|y en Puerto Rico faltan 3 horas 
20110101010036.000|20110101010039.000|SEG|Type=Story
20110101010036.000|20110101010039.000|CC1|>>> Qué se hace allá'           
20110101010039.000|20110101010039.000|CC1|Cuéntame                        
20110101010039.000|20110101010044.000|SEG|Type=Story
20110101010039.000|20110101010042.000|CC1|>>> La verdad, los dominicanos  
20110101010042.000|20110101010044.000|CC1|nos tiramos al mar              
20110101010044.000|20110101010044.000|CC1|De espalda                      
20110101010044.000|20110101010047.000|SEG|Type=Story
20110101010044.000|20110101010047.000|CC1|>>> Y con este ffrio ?          
20110101010047.000|20110101010049.000|SEG|Type=Story
20110101010047.000|20110101010049.000|CC1|>>> Ahora hace un poquito de    
20110101010049.000|20110101010049.000|CC1|frío                            
20110101010049.000|20110101010102.000|SEG|Type=Story
20110101010049.000|20110101010051.000|CC1|>>> Yo igual en México, hacer   
20110101010051.000|20110101010055.000|CC1|las maletas, las lentejas       
20110101010055.000|20110101010058.000|CC1|Las uvitas que son basicas, la  
20110101010058.000|20110101010100.000|CC1|cubeta fuera de la puerta, y    
20110101010100.000|20110101010102.000|CC1|luego barrer                    
20110101010102.000|20110101010105.000|SEG|Type=Story
20110101010102.000|20110101010105.000|CC1|>>> La costa este tiene más     
20110101010105.000|20110101010105.000|CC1|tiempo                          
20110101010105.000|20110101010125.000|SEG|Type=Story
20110101010105.000|20110101010107.000|CC1|>>> EN Venezuela tenemos la     
20110101010107.000|20110101010111.000|CC1|tradición de salir corriendo con
20110101010111.000|20110101010114.000|CC1|la maleta para vaiajr mucho     
20110101010114.000|20110101010119.000|CC1|Y llenarnos los bolsillod de    
20110101010119.000|20110101010119.000|CC1|lentejas                        
20110101010119.000|20110101010122.000|CC1|Y por cada una pedir un deseo,  
20110101010122.000|20110101010124.000|CC1|ahora no sé en qué momento hacer
20110101010124.000|20110101010125.000|CC1|tantas cosas                    
20110101010125.000|20110101010132.000|SEG|Type=Story
20110101010125.000|20110101010127.000|CC1|>>> Quien yo sé que se va a     
20110101010127.000|20110101010130.000|CC1|comer las 12 uvas, es nada menos
20110101010130.000|20110101010132.000|CC1|que nuestro querido Piolín      
20110101010132.000|20110101010153.000|SEG|Type=Story
20110101010132.000|20110101010135.000|CC1|>>> Que van a estar desde       
20110101010135.000|20110101010137.000|CC1|Disneyland resort en Los        
20110101010137.000|20110101010139.000|CC1|Ángeles, tenemos a nuesra gente 
20110101010139.000|20110101010143.000|CC1|con la cobertura de costa a     
20110101010143.000|20110101010145.000|CC1|costa, Univisión completamente  
20110101010145.000|20110101010147.000|CC1|en vivo a las 10 de la noche, no
20110101010147.000|20110101010149.000|CC1|se puede mover de ahi', porque  
20110101010149.000|20110101010152.000|CC1|no hay mejor forma que terminar 
20110101010152.000|20110101010153.000|CC1|este 2010 con Univisión         
20110101010153.000|20110101010157.000|SEG|Type=Story
20110101010153.000|20110101010156.000|CC1|>>> Tú vas a estar acompañado de
20110101010156.000|20110101010157.000|CC1|Raúl de Molina?                 
20110101010157.000|20110101010254.000|SEG|Type=Story
20110101010157.000|20110101010201.000|CC1|>>> Claro que sí, ya falta poco,
20110101010201.000|20110101010202.000|CC1|no se muevan, porque Univisión  
20110101010202.000|20110101010206.000|CC1|tiene todos los detalles de este
20110101010206.000|20110101010216.000|CC1|feliz 2011, ya nos vemos        
20110101010216.000|20110101010216.000|CC1|.                               
20110101010216.000|20110101010218.000|CC1|>> Hoy en "Primer Impacto."     
20110101010218.000|20110101010220.000|CC1|>> Hayan puerta y colgo á de    
20110101010220.000|20110101010223.000|CC1|puente a una secues entraraed.  
20110101010223.000|20110101010225.000|CC1|>> Y dos pistolero asaltan casa 
20110101010225.000|20110101010227.000|CC1|de empeños y se dieron a la     
20110101010227.000|20110101010227.000|CC1|fuga.                           
20110101010227.000|20110101010230.000|CC1|>> Y como quiera salvaje un     
20110101010230.000|20110101010232.000|CC1|sujeto arremete contra fotógrafo
20110101010232.000|20110101010234.000|CC1|y lo lanza al suelo.            
20110101010234.000|20110101010237.000|CC1|>> Cobra vida un tornado que    
20110101010237.000|20110101010239.000|CC1|desató el caos en las           
20110101010239.000|20110101010240.000|CC1|carreteras.                     
20110101010240.000|20110101010241.000|CC1|>> Y faltan solo horas para     
20110101010241.000|20110101010243.000|CC1|despedir el año y las           
20110101010243.000|20110101010245.000|CC1|autoridades están en alerta     
20110101010245.000|20110101010247.000|CC1|máxima de costa a costa.        
20110101010247.000|20110101010249.000|CC1|>> Y tendrá que responder ante  
20110101010249.000|20110101010251.000|CC1|la justicia el cantante Calimba 
20110101010251.000|20110101010254.000|CC1|por acusaciones de abuso sexual.
20110101010254.000|20110101010331.000|SEG|Type=Story
20110101010254.000|20110101010256.000|CC1|>>> Y Chino Y Nacho estuvieron  
20110101010256.000|20110101010258.000|CC1|apunto de despedir el año en una
20110101010258.000|20110101010300.000|CC1|cárcel de Ecuador.              
20110101010300.000|20110101010302.000|CC1|>> Los famosos nos revelan      
20110101010302.000|20110101010304.000|CC1|deseosa para el 2011.           
20110101010304.000|20110101010308.000|CC1|Y ahora mismo en "Primer        
20110101010308.000|20110101010308.000|CC1|Impacto."                       
20110101010308.000|20110101010312.000|CC1|>>.                             
20110101010312.000|20110101010315.000|CC1|>> Con el dorso desnudo y       
20110101010315.000|20110101010317.000|CC1|colgado de un puente aparece el 
20110101010317.000|20110101010319.000|CC1|cadáver de una secues otroraed  
20110101010319.000|20110101010321.000|CC1|rament Ada cuando estaba bajo   
20110101010321.000|20110101010323.000|CC1|custodia de la policía y ahora  
20110101010323.000|20110101010325.000|CC1|investigan el atroz crimen.     
20110101010325.000|20110101010327.000|CC1|>> Qué tal muy buenas tardes    
20110101010327.000|20110101010329.000|CC1|gracias por estar con nosotros  
20110101010329.000|20110101010330.000|CC1|esta última edición de 2010.    
20110101010330.000|20110101010331.000|CC1|>> Soy Ilia.                    
20110101010331.000|20110101010526.000|SEG|Type=Story
20110101010331.000|20110101010333.000|CC1|>>> Y también Verónica del      
20110101010333.000|20110101010334.000|CC1|Castillo gracias por estar con  
20110101010334.000|20110101010336.000|CC1|nosotros y por compartir este   
20110101010336.000|20110101010337.000|CC1|momento con nosotras.           
20110101010337.000|20110101010340.000|CC1|>> Y este último del año estuvo 
20110101010340.000|20110101010342.000|CC1|con ejecución en México en medio
20110101010342.000|20110101010343.000|CC1|de guerra en que autoridades    
20110101010343.000|20110101010345.000|CC1|lograron la captura de otro     
20110101010345.000|20110101010346.000|CC1|importante criminal.            
20110101010346.000|20110101010348.000|CC1|>> Así es León Felipe Gonzalez  
20110101010348.000|20110101010351.000|CC1|vivo con los detalles adelante  
20110101010351.000|20110101010352.000|CC1|León Felipe.                    
20110101010352.000|20110101010354.000|CC1|>> Así es Verónica Ilia cayó un 
