TOP|20110101040002|2011-01-01_0400_US_KCAL_KCAL_9_News_at_8PM
COL|Communication Studies Archive, UCLA 
UID|f227b5b2-1563-11e0-bec9-001517add720
DUR|0:59:39.27
VID|640x368
CMT|
LAN|ENG
LBT|2010-12-31 20:00 America/Los_Angeles
SEG_01|2014-02-03 01:07:08|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110101040003.000|20110101040003.000|XDS|%  NETWORK:   
20110101040003.000|20110101040003.000|XDS|%    TITLE: Dr. Phil          Show 9026RR
20110101040003.000|20110101040003.000|XDS|%   RATING: (NOT RATED) (72)
20110101040003.000|20110101040003.000|XDS|%     CALL:   
20110101040101.000|20110101045941.000|SEG|Type=Story
20110101040101.000|20110101040102.000|CC1|LISA: TONIGHT ON "KCAL 9        
20110101040102.000|20110101040104.000|CC1|NEWS", FROM THE ROSE PARADE     
20110101040104.000|20110101040106.000|CC1|TO THE BEACH TO UNIVERSAL       
20110101040106.000|20110101040107.000|CC1|CITY THE SOUTHLAND IS READY     
20110101040107.000|20110101040110.000|CC1|TO BRING IN 2011.               
20110101040110.000|20110101040113.000|CC1|HAPPY EARLY NEW YEAR'S EVE.     
20110101040113.000|20110101040114.000|CC1|I'M LISA SIGELL.                
20110101040114.000|20110101040116.000|CC1|JUAN: I'M JUAN FERNANDEZ.       
20110101040116.000|20110101040117.000|CC1|WE BEGIN HERE AT 8:00 WITH      
20110101040117.000|20110101040119.000|CC1|THE FIRST LOOK AT ALL THE       
20110101040119.000|20110101040120.000|CC1|NEW YEAR CELEBRATIONS IN THE    
20110101040120.000|20110101040121.000|CC1|SOUTHLAND AND BEYOND.           
20110101040121.000|20110101040122.000|CC1|WE BEGIN WITH UNIVERSE AT       
20110101040122.000|20110101040124.000|CC1|ALL CITY WALK WHERE TENS OF     
20110101040124.000|20110101040125.000|CC1|THOUSANDS OF PEOPLE ARE         
20110101040125.000|20110101040126.000|CC1|EXPECTED TO RING IN THE NEW     
20110101040126.000|20110101040128.000|CC1|YEAR WHERE KCAL9'S SUZANNE      
20110101040128.000|20110101040129.000|CC1|MARQUES IS OUT LIVE FOR US      
20110101040129.000|20110101040131.000|CC1|NOW WITH THE LATEST ON THE      
20110101040131.000|20110101040131.000|CC1|PARTY THERE.                    
20110101040131.000|20110101040132.000|CC1|>>Reporter: WELL, GOOD          
20110101040132.000|20110101040135.000|CC1|EVENING YOU GUYS, FOLKS ARE     
20110101040135.000|20110101040136.000|CC1|JUST WARMING UP.                
20110101040136.000|20110101040137.000|CC1|THEY'RE GOING TO DO THE BALL    
20110101040137.000|20110101040140.000|CC1|DROP AT 9:00 TONIGHT WITH       
20110101040140.000|20110101040141.000|CC1|NEW YORK.                       
20110101040141.000|20110101040142.000|CC1|ARE YOU EXCITED?                
20110101040142.000|20110101040144.000|CC1|THIS IS A SMALL PORTION OF      
20110101040144.000|20110101040145.000|CC1|THE PEOPLE WHO ARE GOING TO     
20110101040145.000|20110101040146.000|CC1|BE OUT HERE.                    
20110101040146.000|20110101040148.000|CC1|THERE'S GOING TO BE TENS OF     
20110101040148.000|20110101040150.000|CC1|THOUSANDS OF FOLKS RINGING      
20110101040150.000|20110101040152.000|CC1|IN THE NEW YEAR AND EARLIER     
20110101040152.000|20110101040153.000|CC1|WE WATCHED WHEN THE BANDS       
20110101040153.000|20110101040154.000|CC1|WARMED UP.                      
20110101040154.000|20110101040156.000|CC1|? ?                             
20110101040156.000|20110101040158.000|CC1|? ?.                            
20110101040158.000|20110101040202.000|CC1|>>Reporter: NOW THAT IS         
20110101040202.000|20110101040203.000|CC1|GRETCHEN'S BAND.                
20110101040203.000|20110101040205.000|CC1|SHE'S DOING HER WARMUP.         
20110101040205.000|20110101040206.000|CC1|THEY'RE GOING TO BE OUT HERE    
20110101040206.000|20110101040208.000|CC1|PLAYING STARTING AROUND 9       
20110101040208.000|20110101040210.000|CC1|:00 TONIGHT ENTERTAINING THE    
20110101040210.000|20110101040211.000|CC1|PEOPLE COMING OUT.              
20110101040211.000|20110101040213.000|CC1|THERE ARE LOTS OF FUN THINGS    
20110101040213.000|20110101040214.000|CC1|HAPPENING TONIGHT.              
20110101040214.000|20110101040216.000|CC1|THERE'S GOING TO BE ANOTHER     
20110101040216.000|20110101040217.000|CC1|80s BAND OUT HERE HAVING A      
20110101040217.000|20110101040218.000|CC1|GREAT TIME AND THEY'RE GOING    
20110101040218.000|20110101040220.000|CC1|TO DO A CONFETTI WITH           
20110101040220.000|20110101040221.000|CC1|FIREWORKS PRESENTATION AT       
20110101040221.000|20110101040223.000|CC1|THE STROKE OF MIDNIGHT SO       
20110101040223.000|20110101040224.000|CC1|YOU CAN EXPECT A LOT OF         
20110101040224.000|20110101040226.000|CC1|PEOPLE HAVING A LOT OF FUN.     
20110101040226.000|20110101040228.000|CC1|EARLIER WE ASKED PEOPLE         
20110101040228.000|20110101040230.000|CC1|ABOUT THEIR NEW YEAR'S          
20110101040230.000|20110101040231.000|CC1|RESOLUTION.                     
20110101040231.000|20110101040233.000|CC1|>> MORE SURFING MORE FAMILY     
20110101040233.000|20110101040234.000|CC1|VACATIONS, TIME WITH EACH       
20110101040234.000|20110101040235.000|CC1|OTHER.                          
20110101040235.000|20110101040236.000|CC1|THAT'S ABOUT IT.                
20110101040236.000|20110101040237.000|CC1|>> LOTS OF WORKOUTS DOING       
20110101040237.000|20110101040239.000|CC1|SOME HEALTHY EATING             
20110101040239.000|20110101040240.000|CC1|VEGETARIAN AND A LOT OF         
20110101040240.000|20110101040242.000|CC1|EXERCISE, KEEP IT UP, WE ARE    
20110101040242.000|20110101040243.000|CC1|GOING TO DO REALLY GOOD.        
20110101040243.000|20110101040244.000|CC1|>> HAPPY NEW YEAR.              
20110101040244.000|20110101040247.000|CC1|>> HAPPY NEW YEAR.              
20110101040247.000|20110101040252.000|CC1|>> BEST NEW YEAR EVER.          
20110101040252.000|20110101040252.000|CC1|>>Reporter: OKAY, WE ARE        
20110101040252.000|20110101040254.000|CC1|BACK HERE LIVE NOW LOOKING      
20110101040254.000|20110101040255.000|CC1|AT THE AREA OF THE STAGE.       
20110101040255.000|20110101040256.000|CC1|NOW, THERE'S NOTHING            
20110101040256.000|20110101040257.000|CC1|HAPPENING OVER THERE RIGHT      
20110101040257.000|20110101040259.000|CC1|NOW, BUT IN AN HOUR, THEY'RE    
20110101040259.000|20110101040301.000|CC1|GOING TO DO THE BALL DROP.      
20110101040301.000|20110101040302.000|CC1|WE ARE GOING TO HAVE LOTS OF    
20110101040302.000|20110101040303.000|CC1|PEOPLE AND WE HAVE A LOT OF     
20110101040303.000|20110101040305.000|CC1|PEOPLE HERE ALREADY RIGHT       
20110101040305.000|20110101040308.000|CC1|NOW BUT THIS IS AGAIN JUST A    
20110101040308.000|20110101040310.000|CC1|SMALL SAMPLE OF WHAT YOU'RE     
20110101040310.000|20110101040312.000|CC1|GOING TO SEE IN ABOUT AN        
20110101040312.000|20110101040313.000|CC1|HOUR WHERE GOING TO CROWD       
20110101040313.000|20110101040317.000|CC1|THE LAST SECONDS OF 2010 IN     
20110101040317.000|20110101040317.000|CC1|HERE.                           
20110101040317.000|20110101040320.000|CC1|JUST A FEW MORE HOURS UNTIL     
20110101040320.000|20110101040322.000|CC1|NEW YEAR'S RESOLUTIONS START,   
20110101040322.000|20110101040322.000|CC1|RIGHT?                          
20110101040322.000|20110101040324.000|CC1|BACK TO YOU GUYS FOR NOW.       
20110101040324.000|20110101040326.000|CC1|LISA: THANK YOU SUZANNE.        
20110101040326.000|20110101040329.000|CC1|I LOVE HER HEAD                 
20110101040329.000|20110101040329.000|CC1|BAND/GLASSES.                   
20110101040329.000|20110101040330.000|CC1|TENS OF THOUSANDS OF PEOPLE     
20110101040330.000|20110101040332.000|CC1|ARE SPENDING THE REST OF 200    
20110101040333.000|20110101040333.000|XDS|%    TITLE:   
20110101040332.000|20110101040335.000|CC1|OUT IN A BONE CHILLING COLD     
20110101040335.000|20110101040336.000|CC1|CAMPING ALONG COLORADO          
20110101040336.000|20110101040337.000|CC1|BOULEVARD IN PASADENA           
20110101040337.000|20110101040339.000|CC1|WAITING TO SEE TOMORROW'S       
20110101040339.000|20110101040340.000|CC1|ROSE PARADE.                    
20110101040340.000|20110101040340.000|CC1|KCAL9'S STACEY BUTLER IS        
20110101040340.000|20110101040342.000|CC1|LIVE FOR US WHERE POLICE AND    
20110101040342.000|20110101040343.000|CC1|FIRE CREWS ARE WORKING TO       
20110101040343.000|20110101040345.000|CC1|MAKE SURE EVERYONE IS SAFE.     
20110101040345.000|20110101040346.000|CC1|HI.                             
20110101040346.000|20110101040347.000|CC1|>>Reporter: LISA THAT'S         
20110101040347.000|20110101040349.000|CC1|RIGHT, THERE IS A MASSIVE       
20110101040349.000|20110101040350.000|CC1|POLICE PRESENCE OUT HERE IN     
20110101040350.000|20110101040352.000|CC1|PASADENA TONIGHT BUT THE        
20110101040352.000|20110101040352.000|CC1|REAL STORY IS THE               
20110101040352.000|20110101040353.000|CC1|TEMPERATURE.                    
20110101040353.000|20110101040356.000|CC1|PASADENA FIRE EXPECTS THIS      
20110101040356.000|20110101040358.000|CC1|TO BE 20 DEGREES COLDER THIS    
20110101040358.000|20110101040400.000|CC1|YEAR THAN LAST YEAR AND THAT    
20110101040400.000|20110101040401.000|CC1|HAS FIRE AND POLICE             
20110101040401.000|20110101040401.000|CC1|AUTHORITIES CONCERNED.          
20110101040401.000|20110101040403.000|CC1|TAKE A LOOK JUST A SHORT        
20110101040403.000|20110101040404.000|CC1|TIME AGO, WE WALKED THE         
20110101040404.000|20110101040405.000|CC1|PARADE ROUTE WITH POLICE        
20110101040405.000|20110101040407.000|CC1|OFFICERS AND THEY ARE           
20110101040407.000|20110101040412.000|CC1|WARNING US STAKING OUT CAMP     
20110101040412.000|20110101040414.000|CC1|SITES ALONG THE ROAD.           
20110101040414.000|20110101040415.000|CC1|THE TEMPERATURES COULD GET      
20110101040415.000|20110101040417.000|CC1|INTO THE 30s TONIGHT AND        
20110101040417.000|20110101040419.000|CC1|THAT MEANS THAT SOME PEOPLE     
20110101040419.000|20110101040422.000|CC1|COULD FACE HYPOTHERMIA, A       
20110101040422.000|20110101040423.000|CC1|SPECIAL CONCERN ARE SENIORS     
20110101040423.000|20110101040424.000|CC1|AND TODDLERS AN THE POLICE      
20110101040424.000|20110101040426.000|CC1|CHIEF IS WARNING EVERYBODY      
20110101040426.000|20110101040428.000|CC1|THOUGH TO BUNDLE UP WITH AT     
20110101040428.000|20110101040430.000|CC1|LEAST SEVERAL LAYERS.           
20110101040430.000|20110101040433.000|CC1|>> IF YOU STUMBLE OR            
20110101040433.000|20110101040434.000|CC1|JUMPABLE THERE'S AN             
20110101040434.000|20110101040436.000|CC1|INDICATION YOU MIGHT BE         
20110101040436.000|20110101040436.000|CC1|EXPERIENCING HYPE THEY ARE      
20110101040436.000|20110101040442.000|CC1|YEAH -- HYPOTHERMIA.            
20110101040442.000|20110101040443.000|CC1|>>Reporter: AND PASADENA        
20110101040443.000|20110101040445.000|CC1|TONIGHT IS ALMOST THE SAME      
20110101040445.000|20110101040446.000|CC1|TEMPERATURE AS WISCONSIN        
20110101040446.000|20110101040448.000|CC1|WHERE A LOT OF THESE            
20110101040448.000|20110101040449.000|CC1|PARADEGOERS CAME FROM,          
20110101040449.000|20110101040451.000|CC1|SENSING AS IT MAY BE THERE      
20110101040451.000|20110101040454.000|CC1|IS A MASSIVE CRACKDOWN ON       
20110101040454.000|20110101040456.000|CC1|ANY FIRE PITS OR BONFIRES.      
20110101040456.000|20110101040457.000|CC1|THE ONLY THING THAT'S           
20110101040457.000|20110101040459.000|CC1|ALLOWED ARE SMALLER             
20110101040459.000|20110101040500.000|CC1|BARBECUES THAT COME ABOUT A     
20110101040500.000|20110101040501.000|CC1|FOOT OFF OF THE GROUND.         
20110101040501.000|20110101040503.000|CC1|POLICE ARE VERY SERIOUS         
20110101040503.000|20110101040505.000|CC1|ABOUT THAT FIRE AUTHORITY       
20110101040505.000|20110101040507.000|CC1|SERIOUS ABOUT THAT TONIGHT.     
20110101040507.000|20110101040509.000|CC1|HYPOTHERMIA OF COURSE IS        
20110101040509.000|20110101040510.000|CC1|ALSO VERY SERIOUS, POLICE       
20110101040510.000|20110101040512.000|CC1|AND FIRE OUT HERE MAKING        
20110101040512.000|20110101040514.000|CC1|SURE EVERYBODY IS BUNDLED       
20110101040514.000|20110101040516.000|CC1|AND THEY'RE ALSO CONCERNED      
20110101040516.000|20110101040517.000|CC1|ABOUT ALCOHOL BECAUSE           
20110101040517.000|20110101040519.000|CC1|ALCOHOL ACTUALLY MAKES          
20110101040519.000|20110101040520.000|CC1|HYPOTHERMIA WORSE.              
20110101040520.000|20110101040523.000|CC1|IT MAKES THE BLOOD VESSELS      
20110101040523.000|20110101040525.000|CC1|EXPAND AND MAKES YOU FEEL       
20110101040525.000|20110101040526.000|CC1|WARMER BUT IT ACTUALLY TAKES    
20110101040526.000|20110101040528.000|CC1|YOUR BODY HEAT AWAY SO A BIG    
20110101040528.000|20110101040530.000|CC1|WARNING OUT HERE TONIGHT AS     
20110101040530.000|20110101040531.000|CC1|THE TEMPERATURES CONTINUE TO    
20110101040531.000|20110101040532.000|CC1|DROP AND MORE PEOPLE            
20110101040532.000|20110101040534.000|CC1|CONTINUE STREAM IN FOR THE      
20110101040534.000|20110101040536.000|CC1|PARADE ROUTE HERE IN            
20110101040536.000|20110101040536.000|CC1|PASADENA.                       
20110101040536.000|20110101040538.000|CC1|LIVE IN PASADENA STACEY         
20110101040538.000|20110101040538.000|CC1|BUTLER "KCAL 9 NEWS".           
20110101040538.000|20110101040539.000|CC1|JUAN: WE WILL HAVE MORE ON      
