TOP|20110102160002|2011-01-02_1600_US_KABC_This_Week
COL|Communication Studies Archive, UCLA 
UID|b1b4164a-1691-11e0-a032-001517add6fa
DUR|0:59:37.94
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-02 08:00 America/Los_Angeles
SEG_01|2014-06-18 18:33:52|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110102160005.000|20110102160005.000|XDS|%  NETWORK: ABC
20110102160005.000|20110102160005.000|XDS|%   RATING: (NOT RATED) (72)
20110102160005.000|20110102160005.000|XDS|%    TITLE: GOOD MORNING AMERICA
20110102160005.000|20110102160005.000|XDS|%     CALL:   
20110102160006.000|20110102160006.000|XDS|% TIMECODE: 1/02 9:00
20110102160006.000|20110102160006.000|XDS|%   LENGTH: 1:53:00 of 2:00:00
20110102160007.000|20110102160007.000|XDS|%    TITLE:   
20110102160010.000|20110102160010.000|XDS|%    TITLE: THIS WEEK W/C. AMANPOUR
20110102160011.000|20110102160011.000|XDS|% TIMECODE: 1/02 11:00
20110102160013.000|20110102160025.000|SEG|Type=Story
20110102160013.000|20110102160014.000|CC1|>>> TO VIEWERS HERE AND AROUND  
20110102160014.000|20110102160014.000|CC1|THE WORLD, I'M JAKE TAPPER.     
20110102160014.000|20110102160015.000|CC1|WELCOME TO "THIS WEEK."         
20110102160016.000|20110102160016.000|XDS|%   LENGTH: 0:00:00 of 1:00:00
20110102160015.000|20110102160018.000|CC1|SIGNS OF LIFE.                  
20110102160018.000|20110102160019.000|CC1|A MUCH-NEEDED BOOST FOR THE     
20110102160019.000|20110102160021.000|CC1|ECONOMY AND HOLIDAY SPENDING UP.
20110102160021.000|20110102160023.000|CC1|BUT WHERE ARE THE JOBS?         
20110102160023.000|20110102160024.000|CC1|>> IT'S GETTING TOUGHER AND     
20110102160024.000|20110102160025.000|CC1|TOUGHER.                        
20110102160025.000|20110102160040.000|SEG|Type=Story
20110102160025.000|20110102160026.000|CC1|>>> OUR EXCLUSIVE HEADLINER THIS
20110102160026.000|20110102160029.000|CC1|MORNING, THE PRESIDENT'S TOP    
20110102160029.000|20110102160032.000|CC1|ECONOMIC ADVISER, AUSTAN        
20110102160032.000|20110102160035.000|CC1|GOOLSBEE, IN HIS FIRST SUNDAY   
20110102160035.000|20110102160036.000|CC1|INTERVIEW OF THE NEW YEAR       
20110102160036.000|20110102160036.000|CC1|ON TAXES, THE DEFICIT AND       
20110102160036.000|20110102160037.000|CC1|WORKING WITH REPUBLICANS IN     
20110102160037.000|20110102160040.000|CC1|CONGRESS.                       
20110102160040.000|20110102160100.000|SEG|Type=Story
20110102160040.000|20110102160041.000|CC1|>>> THEN, THE WORLD IS WATCHING.
20110102160041.000|20110102160045.000|CC1|>> ANY TIME THERE IS A DANGER OF
20110102160045.000|20110102160046.000|CC1|PEOPLE BEING KILLED, WE'RE TOO  
20110102160046.000|20110102160046.000|CC1|SLOW.                           
20110102160046.000|20110102160047.000|CC1|>> USING HIS STAR POWER TO FOCUS
20110102160047.000|20110102160050.000|CC1|CAMERAS ON SUDAN AND TRY TO     
20110102160050.000|20110102160051.000|CC1|PREVENT GENOCIDE, A "THIS WEEK" 
20110102160051.000|20110102160053.000|CC1|EXCLUSIVE, GEORGE CLOONEY AND   
20110102160053.000|20110102160054.000|CC1|JOHN PRENDERGAST OF THE ENOUGH  
20110102160054.000|20110102160057.000|CC1|PROJECT ON THEIR HIGH-TECH      
20110102160057.000|20110102160058.000|CC1|MISSION TO USE SATELLITES TO    
20110102160059.000|20110102160059.000|XDS|%   LENGTH: 0:01:00 of 1:00:00
20110102160058.000|20110102160100.000|CC1|SAVE LIVES.                     
20110102160100.000|20110102160120.000|SEG|Type=Story
20110102160100.000|20110102160102.000|CC1|>>> PLUS, SNOW JOB.             
20110102160102.000|20110102160105.000|CC1|>> I HAVE NOT BEEN OUT WITH A   
20110102160105.000|20110102160105.000|CC1|SNOW SHOVEL, BUT I HAVE BEEN    
20110102160105.000|20110102160107.000|CC1|ANSWERING E-MAILS.              
20110102160107.000|20110102160109.000|CC1|>> HOW A MAJOR STORM HAS PUT    
20110102160109.000|20110102160113.000|CC1|SOME POLITICIANS ON THIN ICE.   
20110102160113.000|20110102160116.000|CC1|>> ALL THIS CARPING AND         
20110102160116.000|20110102160117.000|CC1|CRAZINESS ABOUT HOW CAN I LEAVE 
20110102160117.000|20110102160117.000|CC1|THE STATE STRANDED?             
20110102160117.000|20110102160120.000|CC1|THIS IS JUST PARTISANSHIP.      
20110102160120.000|20110102160205.000|SEG|Type=Story
20110102160120.000|20110102160121.000|CC1|>>> AND A POLITICAL LOOK AHEAD  
20110102160121.000|20110102160122.000|CC1|THIS NEW YEAR.                  
20110102160122.000|20110102160123.000|CC1|WHO WILL EMERGE AS THE 2012     
20110102160123.000|20110102160124.000|CC1|REPUBLICAN CONTENDER FOR THE    
20110102160124.000|20110102160125.000|CC1|WHITE HOUSE?                    
20110102160125.000|20110102160127.000|CC1|HOW FAR WILL HOUSE REPUBLICANS  
20110102160127.000|20110102160130.000|CC1|TAKE THEIR NEW SUBPOENA POWERS? 
20110102160130.000|20110102160132.000|CC1|THOSE QUESTIONS AND MORE FOR OUR
20110102160132.000|20110102160133.000|CC1|POWERHOUSE ROUNDTABLE WITH      
20110102160133.000|20110102160135.000|CC1|GEORGE WILL, POLITICAL          
20110102160135.000|20110102160137.000|CC1|STRATEGIST DONNA BRAZILE, ABC   
20110102160137.000|20110102160141.000|CC1|NEWS POLITICAL DIRECTOR AMY     
20110102160141.000|20110102160144.000|CC1|WALTER AND MAJOR GARRETT OF     
20110102160144.000|20110102160145.000|CC1|"NATIONAL JOURNAL," AND AS      
20110102160145.000|20110102160145.000|CC1|ALWAYS, "THE SUNDAY FUNNIES."   
20110102160145.000|20110102160147.000|CC1|>> EXTENDING THE EXISTING TAX   
20110102160147.000|20110102160149.000|CC1|CUTS WILL CREATE JOBS BECAUSE   
20110102160149.000|20110102160150.000|CC1|THE ONLY WAY OUT OF THIS MESS IS
20110102160150.000|20110102160151.000|CC1|TO KEEP THINGS EXACTLY AS THEY  
20110102160151.000|20110102160205.000|CC1|ARE.                            
20110102160204.000|20110102160204.000|XDS|%   LENGTH: 0:02:00 of 1:00:00
20110102160205.000|20110102161315.000|SEG|Type=Story
20110102160205.000|20110102160206.000|CC1|>>> GOOD MORNING, AND HAPPY NEW 
20110102160206.000|20110102160206.000|CC1|YEAR.                           
20110102160206.000|20110102160207.000|CC1|CHRISTIANE IS OFF.              
20110102160207.000|20110102160208.000|CC1|I'M JAKE TAPPER.                
20110102160208.000|20110102160212.000|CC1|AFTER MORE THAN TWO YEARS OF    
20110102160212.000|20110102160213.000|CC1|ECONOMIC TURMOIL, 2010 ENDED    
20110102160213.000|20110102160213.000|CC1|WITH GLIMMERS OF POSITIVE NEWS  
20110102160213.000|20110102160215.000|CC1|FOR THE ECONOMY.                
20110102160215.000|20110102160218.000|CC1|HOLIDAYS SALES WERE UP 5.5%     
20110102160218.000|20110102160221.000|CC1|OVER 2009 BEATING EXPECTATIONS. 
20110102160221.000|20110102160222.000|CC1|STOCKS WERE ALSO HEADED IN THE  
20110102160222.000|20110102160223.000|CC1|RIGHT DIRECTION.                
20110102160223.000|20110102160224.000|CC1|THE DOW ENDED THE YEAR UP 11%,  
20110102160224.000|20110102160225.000|CC1|THE NASDAQ ALMOST 17%.          
20110102160225.000|20110102160227.000|CC1|BUT THE UNEMPLOYMENT RATE IS    
20110102160227.000|20110102160228.000|CC1|STUCK AT 9.8%.                  
20110102160228.000|20110102160229.000|CC1|ONLY SLIGHTLY BETTER THAN IT WAS
20110102160229.000|20110102160231.000|CC1|AT THIS TIME LAST YEAR.         
20110102160231.000|20110102160233.000|CC1|THIS WEEKEND PRESIDENT OBAMA    
20110102160233.000|20110102160234.000|CC1|ADDRESSED TO THE CHALLENGES     
20110102160234.000|20110102160235.000|CC1|AHEAD.                          
20110102160235.000|20110102160238.000|CC1|>> EVEN AS WE WORK TO BOOST OUR 
20110102160238.000|20110102160239.000|CC1|ECONOMY IN THE SHORT TERM, IT'S 
20110102160239.000|20110102160240.000|CC1|TIME TO MAKE SOME SERIOUS       
20110102160240.000|20110102160242.000|CC1|DECISIONS ABOUT HOW TO KEEP OUR 
20110102160242.000|20110102160243.000|CC1|ECONOMY STRONG, HOW WILL WE     
20110102160243.000|20110102160244.000|CC1|ATTRACT THE COMPANIES OF        
20110102160244.000|20110102160248.000|CC1|TOMORROW TO SET UP SHOP AND     
20110102160248.000|20110102160249.000|CC1|CREATE JOBS IN OUR COMMUNITIES? 
20110102160249.000|20110102160250.000|CC1|WHAT WILL IT TAKE TO GET THOSE  
20110102160250.000|20110102160254.000|CC1|JOBS?                           
20110102160254.000|20110102160257.000|CC1|>> JOINING ME NOW, THE          
20110102160257.000|20110102160258.000|CC1|PRESIDENT'S TOP ECONOMIC        
20110102160258.000|20110102160301.000|CC1|ADVISER, AUSTAN GOOLSBEE.       
20110102160301.000|20110102160302.000|CC1|AUSTAN, THANKS SO MUCH FOR BEING
20110102160302.000|20110102160303.000|CC1|HERE AND HAPPY NEW YEAR.        
20110102160303.000|20110102160304.000|CC1|>> THANKS FOR HAVING ME.        
20110102160304.000|20110102160305.000|CC1|>> QUICKLY AND CONCISELY WHERE  
20110102160305.000|20110102160306.000|CC1|ARE THE JOBS?                   
20110102160307.000|20110102160307.000|XDS|%   LENGTH: 0:03:00 of 1:00:00
20110102160306.000|20110102160307.000|CC1|>> WELL, WE'VE ADDED 1.2 MILLION
20110102160307.000|20110102160309.000|CC1|PRIVATE SECTOR JOBS THUS FAR IN 
20110102160309.000|20110102160312.000|CC1|THE DATA FOR 2010.              
20110102160312.000|20110102160314.000|CC1|WE'VE GOT A LONG WAY TO GO.     
20110102160314.000|20110102160315.000|CC1|THE PRESIDENT IS THE FIRST ONE  
20110102160315.000|20110102160315.000|CC1|TO SAY THAT.                    
20110102160315.000|20110102160318.000|CC1|I THINK THE COMING OUT OF THE   
20110102160318.000|20110102160320.000|CC1|WORST FINANCIAL CRISIS OF OUR   
20110102160320.000|20110102160323.000|CC1|LIFETIMES, IT'S ALWAYS A MESSY  
20110102160323.000|20110102160324.000|CC1|BUMPY ROAD TO GET OUT OF THAT,  
20110102160324.000|20110102160331.000|CC1|BUT I THINK YOU SAW IN THE      
20110102160331.000|20110102160332.000|CC1|WEEKLY UNEMPLOYMENT CLAIMS, THEY
20110102160332.000|20110102160333.000|CC1|WENT TO 388,000, THE LOWEST     
20110102160333.000|20110102160333.000|CC1|LEVEL IN YEARS.                 
20110102160333.000|20110102160336.000|CC1|YOU'RE STARTING TO SEE          
20110102160336.000|20110102160337.000|CC1|ENCOURAGING SIGNS, I'D SAY, AND 
20110102160337.000|20110102160339.000|CC1|SO, YOU KNOW, WE JUST GOT TO    
20110102160339.000|20110102160342.000|CC1|JUICE THIS AND PUMP IT UP AND   
20110102160342.000|20110102160343.000|CC1|GET IT GOING FASTER, BUT THAT'S 
20110102160343.000|20110102160344.000|CC1|CLEARLY THE DIRECTION THAT WE'RE
20110102160344.000|20110102160348.000|CC1|HEADED.                         
20110102160348.000|20110102160349.000|CC1|>> AND HOW DO YOU JUICE IT AND  
20110102160349.000|20110102160349.000|CC1|PUMP IT UP?                     
20110102160349.000|20110102160353.000|CC1|WHAT IS THE PRESIDENT'S PLAN FOR
20110102160353.000|20110102160354.000|CC1|MEANINGFUL GDP GROWTH AND FOR   
20110102160354.000|20110102160355.000|CC1|NEW JOBS?                       
20110102160355.000|20110102160400.000|CC1|>> WELL, I THINK IT'S PUTTING IN
20110102160400.000|20110102160401.000|CC1|PLACE A LOT OF THE -- IN THE TAX
20110102160401.000|20110102160401.000|CC1|DEAL YOU GOT DIRECT INCENTIVES  
20110102160401.000|20110102160402.000|CC1|FOR COMPANIES TO INVEST IN THE  
20110102160402.000|20110102160403.000|CC1|COUNTRY.                        
20110102160403.000|20110102160407.000|CC1|YOU GOT A PAYROLL TAX CUT FOR   
20110102160407.000|20110102160409.000|CC1|WORKERS THAT FOLLOWS UP ON THE  
20110102160409.000|20110102160410.000|CC1|SMALL BUSINESS BILL TO GET      
20110102160410.000|20110102160410.000|XDS|%   LENGTH: 0:04:00 of 1:00:00
20110102160410.000|20110102160413.000|CC1|CREDIT TO SMALL BUSINESSES AND  
20110102160413.000|20110102160415.000|CC1|HE'S NOW CUT TAXES 17 TIMES FOR 
20110102160415.000|20110102160417.000|CC1|SMALL BUSINESSES IN THE COUNTRY.
