TOP|20110102160002|2011-01-02_1600_US_KCBS_CBS_News_Sunday_Morning
COL|Communication Studies Archive, UCLA 
UID|803fa88a-168d-11e0-be8a-001517add6fa
DUR|0:29:37.97
VID|640x368
CMT|Part 2 of 2
LAN|ENG
LBT|2011-01-02 08:00 America/Los_Angeles
SEG_01|2014-06-18 18:33:53|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110102160003.000|20110102160003.000|XDS|%     CALL:   
20110102160003.000|20110102160003.000|XDS|%  NETWORK: CBS
20110102160003.000|20110102160003.000|XDS|%    TITLE: BOS15T05
20110102160004.000|20110102162939.000|SEG|Type=Story
20110102160004.000|20110102160004.000|CC1|POWER.                          
20110102160004.000|20110102160005.000|CC1|FROM CHOKING ENVIRONMENTAL      
20110102160005.000|20110102160007.000|CC1|POLLUTION TO A RAPIDLY AGING    
20110102160007.000|20110102160010.000|CC1|POPULATION, AND 470 MILLION     
20110102160010.000|20110102160012.000|CC1|PEOPLE STILL LIVING ON LESS     
20110102160012.000|20110102160014.000|CC1|THAN $2 A DAY.                  
20110102160014.000|20110102160016.000|CC1|WHEN CHINA WAKES, IT WILL       
20110102160016.000|20110102160018.000|CC1|SHAKE THE WORLD.                
20110102160018.000|20110102160020.000|CC1|SAID NAPOLEON BONE PART.        
20110102160020.000|20110102160022.000|CC1|COUNTRY'S ENTREPRENEURS AWOKE   
20110102160022.000|20110102160023.000|CC1|DECADES AGO.                    
20110102160023.000|20110102160025.000|CC1|NOW IT'S CHINA'S POLITICIANS'   
20110102160025.000|20110102160025.000|CC1|TURN TO STEP INTO THE           
20110102160025.000|20110102160038.000|CC1|SPOTLIGHT.                      
20110102160038.000|20110102160039.000|CC1|>> WHAT'S THE BIGGEST           
20110102160039.000|20110102160041.000|CC1|MISCONCEPTION ABOUT YOU?        
20110102160041.000|20110102160041.000|CC1|>> Osgood: NEXT.                
20110102160041.000|20110102160044.000|CC1|>> JULIE, THERE ARE MANY        
20110102160044.000|20110102160045.000|CC1|MISCONCEPTIONS ABOUT ME.        
20110102160045.000|20110102160046.000|CC1|>> Osgood: JULIE CHEN TALKS TO  
20110102160046.000|20110102160047.000|CC1|PAULA ABDUL.                    
20110102160047.000|20110102160049.000|CC1|>> WHERE DO WE BEGIN?           
20110102160049.000|20110102160050.000|CC1|WHERE DO WE BEGIN?              
20110102160050.000|20110102160052.000|CC1|>> Osgood: AND LATER BILL       
20110102160052.000|20110102160056.000|CC1|GEIST RINGING IN THE NEW.       
20110102160056.000|20110102160235.000|SEG_01|Type=Commercial
20110102160056.000|20110102160057.000|CC1|   FOR THE SMALLER LOW-FAT ONE, 
