TOP|20110103070001|2011-01-03_0700_US_KABC_Eyewitness_News_11PM
COL|Communication Studies Archive, UCLA 
UID|ee8b82d6-170b-11e0-85ad-001517add6fa
DUR|0:34:39.34
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-02 23:00 America/Los_Angeles
SEG_01|2014-02-14 18:21:08|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110103070005.000|20110103070114.000|SEG|Type=Story
20110103070005.000|20110103070007.000|CC1|WHAT TO EXPECT FOR YOUR MORNING 
20110103070007.000|20110103070114.000|CC1|COMMUTE.                        
20110103070114.000|20110103070624.000|SEG|Type=Story
20110103070114.000|20110103070116.000|CC1|>>> WE ARE ON STORM TRACK AS THE
20110103070116.000|20110103070118.000|CC1|POWERFUL WINTER STORM HITS      
20110103070118.000|20110103070122.000|CC1|COMMUNITIES IN A RARE BLANKET OF
20110103070122.000|20110103070123.000|CC1|SNOWFALL THE WINTRY BLAST SHUTS 
20110103070123.000|20110103070125.000|CC1|DOWN THE GRAPEVINE, AND STRAND  
20110103070125.000|20110103070127.000|CC1|TRAVELER ON THIS HOLIDAY        
20110103070127.000|20110103070128.000|CC1|WEEKEND.                        
20110103070128.000|20110103070129.000|CC1|AND DANGEROUS DRIVING CONDITIONS
20110103070129.000|20110103070130.000|CC1|TONIGHT WITH CARS SPINNING OUT  
20110103070130.000|20110103070134.000|CC1|OF CONTROL, AND POLICE ESCORT ON
20110103070134.000|20110103070134.000|CC1|ANOTHER HIGHWAY THAT'S ALSO     
20110103070134.000|20110103070140.000|CC1|BEING CLOSED TO TRAFFIC TONIGHT.
20110103070140.000|20110103070144.000|CC1|THE NEW YEARS STARTS OFF WHERE  
20110103070144.000|20110103070147.000|CC1|2010 LEFT OFF.                  
20110103070147.000|20110103070148.000|CC1|A POWERFUL STORM SYSTEM SLAMS   
20110103070148.000|20110103070148.000|CC1|INTO SOUTHERN CALIFORNIA, AND   
20110103070148.000|20110103070150.000|CC1|MORE IS YET TO COME.            
20110103070150.000|20110103070152.000|CC1|WE HAVE LIVE TEAM COVERAGE ON   
20110103070152.000|20110103070154.000|CC1|THE GRAPEVINE.                  
20110103070154.000|20110103070156.000|CC1|AMY POWELL IS IN SANTA CLARITA, 
20110103070156.000|20110103070159.000|CC1|AND WE BEGIN WITH DANNY WHO IS  
20110103070159.000|20110103070200.000|CC1|TRACKING THE STORM.             
20110103070200.000|20110103070203.000|CC1|DANNY: WE CAN SEE ON THE LIVE   
20110103070203.000|20110103070204.000|CC1|MEGA DOPPLER 7000 H-D THERE'S   
20110103070204.000|20110103070206.000|CC1|CERTAINLY SCATTERED RAIN OVER   
20110103070206.000|20110103070207.000|CC1|SOUTHERN CALIFORNIA, A LITTLE   
20110103070207.000|20110103070210.000|CC1|LESS SO THAN A FEW HOURS AGO.   
20110103070210.000|20110103070211.000|CC1|THERE'S AREAS OF CONCERN.       
20110103070211.000|20110103070213.000|CC1|THE LIGHT GREEN INDICATES THE   
20110103070213.000|20110103070216.000|CC1|LIGHT TO MODERATE RAIN COMING   
20110103070216.000|20110103070217.000|CC1|DOWN IN SOME AREAS.             
20110103070217.000|20110103070219.000|CC1|THOSE AREAS WHERE IT'S COLD AND 
20110103070219.000|20110103070222.000|CC1|WET, AND WE'RE SEEING SNOW      
20110103070222.000|20110103070223.000|CC1|AROUND PALMDALE, LITTLE ROCK,   
20110103070223.000|20110103070227.000|CC1|THE HIGH DESERTS, SHOWING SOME  
20110103070227.000|20110103070228.000|CC1|SNOW.                           
20110103070228.000|20110103070230.000|CC1|SOME SNOW AND ICE MIXING THERE. 
20110103070230.000|20110103070232.000|CC1|SOME COLD, WET WEATHER AHEAD OF 
20110103070232.000|20110103070232.000|CC1|US.                             
