TOP|20110103190001|2011-01-03_1900_US_KABC_Eyewitness_News_11AM
COL|Communication Studies Archive, UCLA 
UID|016bddac-1774-11e0-9d3e-001517add720
DUR|0:59:39.50
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-03 11:00 America/Los_Angeles
SEG_01|2014-02-03 01:07:10|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110103190042.000|20110103195940.000|SEG|Type=Story
20110103190042.000|20110103190043.000|CC1|LISA: A MONDAY MORNING MESS.    
20110103190043.000|20110103190046.000|CC1|RAIN AND SNOW JAMMING FREEWAYS. 
20110103190046.000|20110103190047.000|CC1|THE GRAPEVINE REMAINS CLOSED.   
20110103190047.000|20110103190048.000|CC1|OTHER FREEWAYS ARE OPEN BUT     
20110103190048.000|20110103190054.000|CC1|IT'S NOT EASY GOING OUT THERE.  
20110103190054.000|20110103190056.000|CC1|PHILLIP: WE'LL BRING YOU THE    
20110103190056.000|20110103190057.000|CC1|GOVERNOR'S INAUGURATION WHEN IT 
20110103190057.000|20110103190059.000|CC1|BEGINS BUT CERTAINLY, WE'RE ON  
20110103190059.000|20110103190101.000|CC1|STORM TRACK WITH ANOTHER        
20110103190101.000|20110103190102.000|CC1|POWERFUL WINTER STORM SLAMMING  
20110103190102.000|20110103190103.000|CC1|SOUTHERN CALIFORNIA WITH RAIN   
20110103190103.000|20110103190104.000|CC1|AND SNOW.                       
20110103190104.000|20110103190105.000|CC1|GRAPEVINE IS CLOSED RIGHT NOW   
20110103190105.000|20110103190106.000|CC1|AS IT HAS BEEN SINCE YESTERDAY  
20110103190106.000|20110103190109.000|CC1|AND A LOT OF DRIVERS ARE        
20110103190109.000|20110103190110.000|CC1|STRANDED.                       
20110103190110.000|20110103190112.000|CC1|EYEWITNESS NEWS REPORTER IS IN  
20110103190112.000|20110103190114.000|CC1|CASTAIC WITH A LIVE LOOK WHAT   
20110103190114.000|20110103190115.000|CC1|DRIVERS ARE FACING.             
20110103190115.000|20110103190116.000|CC1|>> Reporter: PHILLIP, DRIVERS   
20110103190116.000|20110103190119.000|CC1|ARE FACING A WHOLE LOT OF       
20110103190119.000|20110103190119.000|CC1|WAITING THIS MORNING.           
20110103190119.000|20110103190120.000|CC1|THE 5 FREEWAY IS STILL SHUT     
20110103190120.000|20110103190124.000|CC1|DOWN AT THIS HOUR AND HUNDREDS  
20110103190124.000|20110103190125.000|CC1|OF TRAVELERS ARE STRANDED.      
20110103190125.000|20110103190127.000|CC1|TAKE A LOOK BEHIND ME AT THE    
20110103190127.000|20110103190128.000|CC1|LINE OF CARS.                   
20110103190128.000|20110103190129.000|CC1|PEOPLE HAVE ESSENTIALLY LINED   
20110103190129.000|20110103190131.000|CC1|UP THEIR CARS BY THE 5 NORTH    
20110103190131.000|20110103190132.000|CC1|FREEWAY IN HOPES IT WILL REOPEN 
20110103190132.000|20110103190135.000|CC1|BUT SO FAR, NO LUCK.            
20110103190135.000|20110103190137.000|CC1|THE 5 FREEWAY SHUT DOWN         
20110103190137.000|20110103190138.000|CC1|YESTERDAY AFTERNOON WHEN SNOW   
20110103190138.000|20110103190142.000|CC1|AND ICE MADE THE PAST TWO DAYS  
20110103190142.000|20110103190143.000|CC1|WORSE FOR DRIVERS.              
20110103190143.000|20110103190146.000|CC1|THE MOTEL FILLED UP QUICKLY.    
20110103190146.000|20110103190148.000|CC1|NO VACANCY SIGNS WERE POSTED    
20110103190148.000|20110103190150.000|CC1|AROUND TOWN AND MANY WHO HAVE   
20110103190150.000|20110103190151.000|CC1|TO SLEEP IN THEIR CARS WOKE UP  
20110103190151.000|20110103190153.000|CC1|READY TO GET ON THE ROAD AND    
20110103190153.000|20110103190155.000|CC1|OVER THE PASS, ONLY TO BE TOLD  
