TOP|20110104020004|2011-01-04_0200_US_KMEX_Noticias_34
COL|Communication Studies Archive, UCLA 
UID|7ea18750-17aa-11e0-84e6-001517add60e
DUR|0:29:39.27
VID|640x480
CMT|
LAN|SPA
LBT|2011-01-03 18:00 America/Los_Angeles
SEG_01|2014-02-14 18:21:12|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110104020010.000|20110104022943.000|SEG|Type=Story
20110104020010.000|20110104020014.000|CC1|>> Tormentas de nieve sorprende 
20110104020014.000|20110104020022.000|CC1|en la zona.                     
20110104020022.000|20110104020025.000|CC1|>> un paraiso invernal para los 
20110104020025.000|20110104020027.000|CC1|pequeños.                       
20110104020027.000|20110104020034.000|CC1|>> Primera vez que veo nieve.   
20110104020034.000|20110104020038.000|CC1|>> Esta muy bonito.             
20110104020038.000|20110104020044.000|CC1|>> Mucho frio                   
20110104020044.000|20110104020046.000|CC1|no ttantas celestial para los   
20110104020046.000|20110104020052.000|CC1|adultos.                        
20110104020052.000|20110104020055.000|CC1|>> nos vamos.                   
20110104020055.000|20110104020058.000|CC1|.                               
20110104020058.000|20110104020104.000|CC1|>> Es el blanco paisaje del     
20110104020104.000|20110104020105.000|CC1|norte de la ciudad de Los       
20110104020105.000|20110104020109.000|CC1|Angeles .                       
20110104020109.000|20110104020118.000|CC1|>> Allí fue donde llego la      
20110104020118.000|20110104020125.000|CC1|tormenta.                       
20110104020125.000|20110104020133.000|CC1|>> la familia se vio obligada a 
20110104020133.000|20110104020139.000|CC1|dormir en la camioneta.         
20110104020139.000|20110104020144.000|CC1|>> Las García tambiñn llamaron  
20110104020144.000|20110104020151.000|CC1|al trabajo para advertir este   
20110104020151.000|20110104020157.000|CC1|problema,.                      
20110104020157.000|20110104020159.000|CC1|>> nunca había visto la ciudad  
20110104020159.000|20110104020208.000|CC1|de Los Angeles de esta forma.   
20110104020208.000|20110104020215.000|CC1|>> Los conductores están        
20110104020215.000|20110104020218.000|CC1|aprovechando este espacio para  
20110104020218.000|20110104020222.000|CC1|pasar.                          
20110104020222.000|20110104020225.000|CC1|>> Lo último del tiempo.        
20110104020225.000|20110104020230.000|CC1|>> Feliz año.                   
20110104020230.000|20110104020233.000|CC1|>> Todavía hay advertencia      
20110104020233.000|20110104020237.000|CC1|invernal.                       
20110104020237.000|20110104020244.000|CC1|>> Veamos la iimagen de radar.  
20110104020244.000|20110104020251.000|CC1|>> Todavía hay presencia de     
20110104020251.000|20110104020253.000|CC1|nNevada sobretodo para las      
20110104020253.000|20110104020300.000|CC1|montañas.                       
20110104020300.000|20110104020304.000|CC1|>> Buenas noticias al volver.   
20110104020304.000|20110104020312.000|CC1|>> Algunas de la imágenes de los
20110104020312.000|20110104020317.000|CC1|televidentes.                   
20110104020317.000|20110104020323.000|CC1|>> Eric Isla.                   
20110104020323.000|20110104020329.000|CC1|>> Gracias por todas sus        
20110104020329.000|20110104020332.000|CC1|fotografías                     
20110104020332.000|20110104020338.000|CC1|>jJerry Brown (D) Gobernador de 
20110104020338.000|20110104020342.000|CC1|California es convierte en el   
20110104020342.000|20110104020347.000|CC1|nuevo gobernador.               
20110104020347.000|20110104020354.000|CC1|>> Hoy inicia su tercer         
20110104020354.000|20110104020400.000|CC1|mandato,el se convierte en el   
20110104020400.000|20110104020405.000|CC1|gobernador 39.                  
20110104020405.000|20110104020413.000|CC1|>> El presupuesto será doloroso 
20110104020413.000|20110104020416.000|CC1|pero honesto.                   
20110104020416.000|20110104020423.000|CC1|>> Le hará frente al dñficit del
20110104020423.000|20110104020429.000|CC1|estado.                         
20110104020429.000|20110104020435.000|CC1|>> Gil C.                       
20110104020435.000|20110104020449.000|CC1|>>confía en que los pproyectoes 
20110104020449.000|20110104020452.000|CC1|hacía  los inmigrantes se       
20110104020452.000|20110104020457.000|CC1|volveran reales.                
20110104020457.000|20110104020509.000|CC1|>> En California continua Brown,
20110104020509.000|20110104020512.000|CC1|siendo el gobernador con más    
20110104020512.000|20110104020516.000|CC1|edad.                           
20110104020516.000|20110104020517.000|CC1|>> VVolvemos al a tomar contacto
20110104020517.000|20110104020518.000|CC1|con ustedes. Adelante estudios. 
20110104020518.000|20110104020521.000|CC1|.                               
20110104020521.000|20110104020529.000|CC1|>> La reacción local del nuevo  
20110104020529.000|20110104020536.000|CC1|gobernador.                     
20110104020536.000|20110104020541.000|CC1|>> se inician los 100 primeros  
20110104020541.000|20110104020547.000|CC1|días                            
20110104020547.000|20110104020552.000|CC1|>> cuanto nos va a quedar       
20110104020552.000|20110104020738.000|SEG_01|Type=Commercial
20110104020552.000|20110104020556.000|CC1|despuñs de lo que nos van a     
20110104020556.000|20110104020601.000|CC1|quitar.                         
20110104020601.000|20110104020612.000|CC1|>> No hay otra manera, con esta 
20110104020612.000|20110104020622.000|CC1|crisis debemos trabajar juntos. 
20110104020622.000|20110104020627.000|CC1|>> Debemos trabajar con los     
20110104020627.000|20110104020630.000|CC1|republicanos.                   
20110104020630.000|20110104020638.000|CC1|>> Quiere extender los          
20110104020638.000|20110104020645.000|CC1|iimpuestos a los vehículoes ,.  
20110104020645.000|20110104020649.000|CC1|>> vamos a ver que dice la      
20110104020649.000|20110104020656.000|CC1|gente.                          
20110104020656.000|20110104020705.000|CC1|>> los próximoees años debemos  
20110104020705.000|20110104020709.000|CC1|ttener confianza.               
20110104020709.000|20110104020716.000|CC1|>> :será ñpoca de sacrificio.   
20110104020716.000|20110104020721.000|CC1|>> Le será fácil obtener        
20110104020721.000|20110104020729.000|CC1|presupuesto , ya que, no        
20110104020729.000|20110104020732.000|CC1|necesita la súper mayoria       
20110104020732.000|20110104020738.000|CC1|.                               
20110104020738.000|20110104020746.000|SEG_01|Type=Story start
20110104020738.000|20110104020746.000|CC1|>> El sacrifio vendrá en la     
20110104020746.000|20110104020754.000|CC1|salud y educación               
20110104020754.000|20110104020759.000|CC1|>>esa extension de impuestos    
20110104020759.000|20110104020814.000|CC1|debe ser sometida a votacion    
20110104020814.000|20110104020818.000|CC1|Arnold Schwarzenegger ,         
20110104020818.000|20110104020833.000|CC1|conmuto la condena que deja     
20110104020833.000|20110104020840.000|CC1|sorprendida a mucha gente.      
20110104020840.000|20110104020848.000|CC1|>> Acá eexistió favoritismo.    
20110104020848.000|20110104020857.000|CC1|>> Esteban Nuñez , reducira de  
20110104020857.000|20110104020907.000|CC1|16 a 7 años la condena .        
20110104020907.000|20110104020909.000|CC1|>> Como pariente empatizo con   
20110104020909.000|20110104021611.000|SEG_01|Type=Commercial
20110104020909.000|20110104020917.000|CC1|los dos lados.                  
20110104020917.000|20110104020924.000|CC1|>> fue muy tragico para todos.  
20110104020924.000|20110104020940.000|CC1|>> El fue culpado por el        
20110104020940.000|20110104020944.000|CC1|homicidio,aunque no lo acuchillo
20110104020944.000|20110104020948.000|CC1|, si estuvo en el lugar.        
20110104020948.000|20110104020951.000|CC1|>> No es justo.                 
20110104020951.000|20110104020955.000|CC1|>> Debe ser parejo.             
20110104020955.000|20110104021002.000|CC1|>> Como es hijo de político la  
20110104021002.000|20110104021005.000|CC1|condena es simple.              
20110104021005.000|20110104021013.000|CC1|>> Arnold Schwarzenegger no     
20110104021013.000|20110104021016.000|CC1|emitió comentarios.             
20110104021016.000|20110104021024.000|CC1|>> La familia del doliente,dice 
20110104021024.000|20110104021026.000|CC1|que es un abuso.                
20110104021026.000|20110104021038.000|CC1|>> En la plaza de Mñxico , se   
20110104021038.000|20110104021042.000|CC1|muestran las molestias ppor la  
20110104021042.000|20110104021046.000|CC1|decision                        
20110104021046.000|20110104021046.000|CC1|vvolvemos al a tomar contacto   
20110104021046.000|20110104021049.000|CC1|con ustedes. Adelante estudios. 
20110104021049.000|20110104021051.000|CC1|.                               
20110104021051.000|20110104021104.000|CC1|>> Le parece justo o injusto?.  
20110104021104.000|20110104021107.000|CC1|>> Comente y participe.         
20110104021107.000|20110104021113.000|CC1|>> Buscan al hombre que le      
20110104021113.000|20110104021121.000|CC1|prendió fuego a la novia.       
20110104021121.000|20110104021132.000|CC1|>> Tienen un hijo en común,.    
20110104021132.000|20110104021140.000|CC1|>> Piden indemnizacion por la   
20110104021140.000|20110104021146.000|CC1|muerte por intoxicacion de una  
20110104021146.000|20110104021147.000|CC1|joven en un evento.             
20110104021147.000|20110104021147.000|CC1|>> VNos vamos a comerciales     
20110104021147.000|20110104021155.000|CC1|pero, enseguida regresamos con  
20110104021155.000|20110104021206.000|CC1|un nuevo congreso , y el nuevo  
20110104021206.000|20110104021211.000|CC1|examen de sangre para detectar  
20110104021211.000|20110104021219.000|CC1|el cáncer de manera precoz.     
20110104021219.000|20110104021225.000|CC1|>> Caca vuelve al escenario.    
20110104021225.000|20110104021228.000|CC1|>> ::.                          
20110104021228.000|20110104021404.000|CC1|>> :á                           
20110104021404.000|20110104021413.000|CC1|divorciarse en California puede 
20110104021413.000|20110104021418.000|CC1|ttransformarse en algo más caro.
20110104021418.000|20110104021425.000|CC1|>> Lo trataria de hhablar con mi
20110104021425.000|20110104021428.000|CC1|esposa.                         
20110104021428.000|20110104021434.000|CC1|l>> Lo tendrán que pensar mejor,
20110104021434.000|20110104021437.000|CC1|.                               
20110104021437.000|20110104021445.000|CC1|>> Los juicios se demoraran más 
20110104021445.000|20110104021447.000|CC1|y serán más caros.              
20110104021447.000|20110104021455.000|CC1|>> La ley lo requiere,.         
20110104021455.000|20110104021502.000|CC1|>> Los involucrados y los       
20110104021502.000|20110104021507.000|CC1|testigos deberán entregar el    
20110104021507.000|20110104021510.000|CC1|testimonio oral.                
20110104021510.000|20110104021519.000|CC1|>> La nueva ley implica los     
20110104021519.000|20110104021521.000|CC1|casos de los hijos.             
20110104021521.000|20110104021530.000|CC1|>> Ahora no sñ puede tomar los  
20110104021530.000|20110104021534.000|CC1|testimonios de los niños.       
20110104021534.000|20110104021540.000|CC1|>> Lo mejor será arreglarse     
20110104021540.000|20110104021545.000|CC1|fuera de las cortes.            
20110104021545.000|20110104021553.000|CC1|>> no importa el tiempo, pero se
20110104021553.000|20110104021559.000|CC1|deben hacer las cosas.          
20110104021559.000|20110104021559.000|CC1|>> vvolvemos al a tomar contacto
20110104021559.000|20110104021602.000|CC1|con ustedes. Adelante estudios. 
20110104021602.000|20110104021611.000|CC1|.                               
20110104021611.000|20110104021625.000|SEG_01|Type=Story start
20110104021611.000|20110104021625.000|CC1|>> quiñn pensaria? Facebook esta
20110104021625.000|20110104021629.000|CC1|valorada en 50000 millones de   
20110104021629.000|20110104021636.000|CC1|dólares , por encima de yahoo.  
20110104021636.000|20110104021642.000|CC1|>> El informe laboral registro  
20110104021642.000|20110104021647.000|CC1|el incremento de los empleos.   
20110104021647.000|20110104021658.000|CC1|>> Hasta Noviembre el sector    
20110104021658.000|20110104021705.000|CC1|privado genero 106 mil empleos. 
20110104021705.000|20110104021711.000|CC1|>> Los republicanos prometen    
20110104021711.000|20110104021714.000|CC1|investigar las situaciónes de   
20110104021714.000|20110104021856.000|SEG_01|Type=Commercial
20110104021714.000|20110104021722.000|CC1|desempleo.                      
20110104021722.000|20110104021727.000|CC1|se enfocaran en crear empleos.  
20110104021727.000|20110104021735.000|CC1|>> CCámara de representantes.   
20110104021735.000|20110104021742.000|CC1|esta atento a esto, junto con   
20110104021742.000|20110104021745.000|CC1|revocar la reforma de salud     
20110104021745.000|20110104021750.000|CC1|temprana.                       
20110104021750.000|20110104021801.000|CC1|>> eso será importante , porque,
20110104021801.000|20110104021807.000|CC1|debe estar en contexto con la   
20110104021807.000|20110104021815.000|CC1|Economía y el gobierno , es     
20110104021815.000|20110104021818.000|CC1|importante decir como el        
20110104021818.000|20110104021823.000|CC1|gobierno se mete cada vez más en
20110104021823.000|20110104021832.000|CC1|la vida de las personas.        
20110104021832.000|20110104021838.000|CC1|>> Veremos un ñnfasis en los    
20110104021838.000|20110104021844.000|CC1|iinmigrantes y que los          
20110104021844.000|20110104021849.000|CC1|empleadores no contraten a los  
20110104021849.000|20110104021850.000|CC1|indocumentados.                 
20110104021850.000|20110104021851.000|CC1|>> VVolvemos al a tomar contacto
20110104021851.000|20110104021852.000|CC1|con ustedes. Adelante estudios. 
20110104021852.000|20110104021856.000|CC1|.                               
20110104021856.000|20110104021907.000|SEG_01|Type=Story start
20110104021856.000|20110104021907.000|CC1|>> Imagese que con sangre se    
20110104021907.000|20110104021911.000|CC1|pueda detectar las celulas      
20110104021911.000|20110104021916.000|CC1|cancerosas.                     
20110104021916.000|20110104021928.000|CC1|>> Los bebes gorditos pueden    
20110104021928.000|20110104021928.000|CC1|considerarse en niños           
20110104021928.000|20110104021942.000|CC1|obesoso.                        
20110104021942.000|20110104021948.000|CC1|>> los deportes.                
20110104021948.000|20110104021951.000|CC1|>> mJosñ Mourinho (DT Real      
20110104021951.000|20110104021955.000|CC1|Madrid) fue el mejor Director   
20110104021955.000|20110104022001.000|CC1|Tñcnico del año.                
20110104022001.000|20110104022011.000|CC1|>> Ganaron frente al getafe.    
20110104022011.000|20110104022016.000|CC1|>> Ronaldo marco.               
20110104022016.000|20110104022025.000|CC1|>> Donde pone el gol .          
20110104022025.000|20110104022037.000|CC1|>> golazo de Daniel Parejo.     
20110104022037.000|20110104022041.000|CC1|>> Cristiano Ronaldo otra vez.  
20110104022041.000|20110104022050.000|CC1|>> atacante de Brasil Kaká      
20110104022050.000|20110104022057.000|CC1|volvió a la cancha y casi mete. 
20110104022057.000|20110104022100.000|CC1|>> La última jornada, de la Liga
20110104022100.000|20110104022101.000|CC1|de Fútbol Americano (National   
20110104022101.000|20110104022110.000|CC1|Fútbol Legue) de Estados Unidos 
20110104022110.000|20110104022115.000|CC1|deja un registro importante.    
20110104022115.000|20110104022128.000|CC1|>> pese a la marca se colan a   
20110104022128.000|20110104022134.000|CC1|los players.                    
20110104022134.000|20110104022140.000|CC1|>> Los campeones New Orleans    
20110104022140.000|20110104022150.000|CC1|Saints se vuelven a medir.      
20110104022150.000|20110104022200.000|CC1|>> Los Angeles Lakers siguen    
20110104022200.000|20110104022206.000|CC1|perdiendo por doble digito.     
20110104022206.000|20110104022218.000|CC1|>> No fue suficiente , aunque   
20110104022218.000|20110104022223.000|CC1|sigue ganando los menphis.      
20110104022223.000|20110104022230.000|CC1|>> La jornada 1 , parte con     
20110104022230.000|20110104022237.000|CC1|necaza.                         
20110104022237.000|20110104022241.000|CC1|>>club deportivo Atlas , Pachuca
20110104022241.000|20110104022248.000|CC1|, El Toluca.                    
20110104022248.000|20110104022251.000|CC1|>> El tiempo.                   
20110104022251.000|20110104022257.000|CC1|>> Buenas tardes feliz año.     
20110104022257.000|20110104022309.000|CC1|>> Hablaremos de las ttormenta .
20110104022309.000|20110104022315.000|CC1|>>35 ° por la mañana.           
20110104022315.000|20110104022324.000|CC1|>> Nublados, aunque se limpiara 
20110104022324.000|20110104022327.000|CC1|pronto el cielo.                
20110104022327.000|20110104022334.000|CC1|>> el sol regresa y se queda con
20110104022334.000|20110104022337.000|CC1|nnosotros por el resto de la    
20110104022337.000|20110104022341.000|CC1|semana.                         
20110104022341.000|20110104022943.000|SEG_01|Type=Commercial
20110104022341.000|20110104022516.000|CC1|>> ::á                          
20110104022516.000|20110104022525.000|CC1|ir a Disney será más caro , la  
20110104022525.000|20110104022531.000|CC1|entrada cuesta 99 dólares, por  
20110104022531.000|20110104022538.000|CC1|encima de los 92 del año pasado.
20110104022538.000|20110104022547.000|CC1|estos son los comentarios que   
20110104022547.000|20110104022551.000|CC1|usted manda por Facebook .      
20110104022551.000|20110104022559.000|CC1|>> Le deberían dar los 25 años. 
20110104022559.000|20110104022602.000|CC1|>> Para que aprenda.            
20110104022602.000|20110104022608.000|CC1|>> En ese caso deben salir todos
20110104022608.000|20110104022612.000|CC1|los criminale.                  
20110104022612.000|20110104022920.000|CC1|>> :/                           
20110104022920.000|20110104022922.000|CC1|Avance de solo a las 11.        
20110104022922.000|20110104022925.000|CC1|>>                              
20110104022925.000|20110104022937.000|CC1|se habla de la creación de      
20110104022937.000|20110104022943.000|CC1|150000 iinmigrantes al mes.     
END|20110104022943|2011-01-04_0200_US_KMEX_Noticias_34
