TOP|20110104073001|2011-01-04_0730_US_KMEX_Noticiero_Univision_Ultima_Hora
COL|Communication Studies Archive, UCLA 
UID|95e46b34-17d8-11e0-b94e-001517add60e
DUR|0:29:39.24
VID|640x480
CMT|
LAN|SPA
LBT|2011-01-03 23:30 America/Los_Angeles
SEG_01|2014-06-18 18:35:19|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110104073005.000|20110104075940.000|SEG|Type=Story
20110104073005.000|20110104073022.000|SEG_01|Type=Commercial
20110104073005.000|20110104073013.000|CC1|>>  termina sus vacaciones desde
20110104073013.000|20110104073015.000|CC1|Hawai.                          
20110104073015.000|20110104073022.000|CC1|>> Bn                           
20110104073022.000|20110104073029.000|SEG_01|Type=Story start
20110104073022.000|20110104073029.000|CC1|>BUENAS NOCHES:.DE ESTADOS UNID 
20110104073029.000|20110104073030.000|CC1|COMANDANTE DE UNO DE LOS        
20110104073030.000|20110104073031.000|CC1|PORTAVIONES MÁS GRANDES DE TODO 
20110104073031.000|20110104073031.000|CC1|EL PAÍS SE VE INVOLUCRADO EN LA 
20110104073031.000|20110104073032.000|CC1|PUBLICACIÓN Y DIFUSIÓN DE UN    
20110104073032.000|20110104073033.000|CC1|VÍDEO DE CONNOTACIONES          
20110104073033.000|20110104073034.000|CC1|SEXUALES, Y BURLA CONTRA LOS    
20110104073034.000|20110104073038.000|CC1|HOMOSEXUALES.                   
20110104073038.000|20110104073038.000|CC1|>> EL EX SECRETARIO DE COMERCIO 
20110104073038.000|20110104073040.000|CC1|ES CANDIDATO A OCUPAR EL CARGO  
20110104073040.000|20110104073042.000|CC1|DE GABINETE DE LA CASA BLANCA.  
20110104073042.000|20110104073046.000|CC1|>> SE CREE QUE EL ESTRÉS FUE LA 
20110104073046.000|20110104073047.000|CC1|CAUSA DE MUERTE DE MILES DE     
20110104073047.000|20110104073051.000|CC1|PÁJAROS.                        
20110104073051.000|20110104073056.000|CC1|>> UNA EXTRAORDINARIA           
20110104073056.000|20110104073057.000|CC1|REVELACIÓN CIENTÍFICA: BASTA UN 
20110104073057.000|20110104073058.000|CC1|SIMPLE EXAMEN DE SANGRE PARA    
20110104073058.000|20110104073102.000|CC1|DETECTAR EL CÁNCER A TIEMPO.    
20110104073102.000|20110104073105.000|CC1|>> ESTA NOCHE LE DIREMOS CUÁNTO 
20110104073105.000|20110104073106.000|CC1|VALE FACEBOOK.                  
20110104073106.000|20110104073111.000|CC1|>> Y RECUPERÓ LA LIBERTAD       
20110104073111.000|20110104073116.000|CC1|LINDSAY LOHAN, PERO ESTA NOCHE  
20110104073116.000|20110104073124.000|CC1|AÚN ES UN MISTERIO SU PARADERO. 
20110104073124.000|20110104073125.000|CC1|>> MUY BUENAS NOCHES. GRACIAS   
20110104073125.000|20110104073125.000|CC1|POR COMPARTIR CON NOSOTROS      
20110104073125.000|20110104073129.000|CC1|PARTE DE ESTE LUNES.            
20110104073129.000|20110104073130.000|CC1|UN ESCÁNDALO PODRÍA EMPAÑAR LA  
20110104073130.000|20110104073133.000|CC1|IMAGEN DE LA MARINA             
20110104073133.000|20110104073133.000|CC1|NORTEAMERICANA: VIDEOS CON      
20110104073133.000|20110104073135.000|CC1|CARÁCTER SEXUAL Y BURLAS CONTRA 
20110104073135.000|20110104073140.000|CC1|LOS GAYS.                       
20110104073140.000|20110104073141.000|CC1|FUERON PUBLICADOS Y DIFUNDIDOS  
20110104073141.000|20110104073141.000|CC1|POR EL ALTO MANDO DEL MISMO     
