TOP|20110104180001|2011-01-04_1800_US_KABC_The_View
COL|Communication Studies Archive, UCLA 
UID|c9818128-1834-11e0-8240-001517add6fa
DUR|0:59:39.70
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-04 10:00 America/Los_Angeles
SEG_01|2014-06-18 18:36:03|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110104180006.000|20110104180006.000|XDS|%  NETWORK: ABC
20110104180006.000|20110104180006.000|XDS|%    TITLE:   
20110104180006.000|20110104180006.000|XDS|%     CALL:   
20110104180008.000|20110104180008.000|XDS|%   RATING: (NOT RATED) (72)
20110104180009.000|20110104180009.000|XDS|%    TITLE: THE VIEW
20110104180009.000|20110104180009.000|XDS|% TIMECODE: 1/04 13:00
20110104180008.000|20110104185940.000|SEG|Type=Story
20110104180008.000|20110104180010.000|CC1|                                
20110104180012.000|20110104180012.000|XDS|%   LENGTH: 0:00:00 of 1:00:00
20110104180010.000|20110104180013.000|CC1|>> COMING UP ON "THE VIEW," LISA
20110104180013.000|20110104180015.000|CC1|LING RETURNS TO "THE VIEW" TO   
20110104180015.000|20110104180016.000|CC1|SHARE HOW HER PERSONAL          
20110104180016.000|20110104180017.000|CC1|HEARTBREAK CAN SHED LIGHT ON    
20110104180017.000|20110104180019.000|CC1|SOMETHING TOO MANY WOMEN DEAL   
20110104180019.000|20110104180021.000|CC1|WITH BEHIND CLOSED DOORS.       
20110104180021.000|20110104180023.000|CC1|PLUS DENIS LEARY IS TELLING YOU 
20110104180023.000|20110104180024.000|CC1|HOW HE'S USING TWITTER TO GET   
20110104180024.000|20110104180025.000|CC1|BITTER ABOUT LADY GAGA, SNOOKI, 
20110104180025.000|20110104180026.000|CC1|SARAH PALIN, AND A WHOLE LOT    
20110104180026.000|20110104180028.000|CC1|MORE.                           
20110104180028.000|20110104180029.000|CC1|THEN THE DEPARTMENT STORE THAT'S
20110104180029.000|20110104180031.000|CC1|BECOME A CHRISTMAS CLASSIC      
20110104180031.000|20110104180032.000|CC1|MACY'S WILL HAVE YOU CHECKING   
20110104180032.000|20110104180033.000|CC1|OFF EVERYONE ON YOUR LIST WITH  
20110104180033.000|20110104180034.000|CC1|GIFTS LEAVING YOU WITH A        
20110104180034.000|20110104180036.000|CC1|CHEERFUL EXPERIENCE.            
20110104180036.000|20110104180037.000|CC1|AND "THE VIEW" IS EXAMINING HOW 
