TOP|20110104220001|2011-01-04_2200_US_FOX-News_Glenn_Beck
COL|Communication Studies Archive, UCLA 
UID|51549eac-1856-11e0-9feb-001517add6f2
DUR|0:59:39.37
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-04 14:00 America/Los_Angeles
SEG_01|2014-02-14 18:21:17|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110104220004.000|20110104220004.000|XDS|%     CALL: FNC 
20110104220004.000|20110104220004.000|XDS|%   RATING: (NOT RATED) (72)
20110104220004.000|20110104223236.000|SEG|Type=Story
20110104220004.000|20110104220005.000|CC1|ILLINOIS, REPUICAN MARK         
20110104220005.000|20110104220005.000|CC1|KIRK.                           
20110104220005.000|20110104220008.000|CC1|THE FDIC CHAIRMANHEILA          
20110104220008.000|20110104220009.000|CC1|BAIR.                           
20110104220009.000|20110104220010.000|CC1|INCOMING CHAIRN OF HOUSE        
20110104220010.000|20110104220011.000|CC1|OVERSIGHT COMMITTE DARRELL      
20110104220011.000|20110104220011.000|CC1|ISSA.                           
20110104220011.000|20110104220013.000|CC1|ANEQUAL NUMBER OF DEMOCRATS     
20110104220013.000|20110104220016.000|CC1|D REPUBLICANS ON FOX.           
20110104220016.000|20110104220016.000|XDS|%  NETWORK: Fox News Channel
20110104220016.000|20110104220233.000|SEG_01|Type=Commercial
20110104220016.000|20110104220018.000|CC1| Glenn: WELCOME TO THE          
20110104220018.000|20110104220018.000|CC1|LENN BECK PROGRAM."             
20110104220018.000|20110104220021.000|CC1|WELCE TO 201 1.                 
20110104220021.000|20110104220022.000|CC1|THINGS ARE ABOUT T CHANGE.      
20110104220022.000|20110104220023.000|CC1|IT'S NEW AR.                    
20110104220023.000|20110104220026.000|CC1|TH PROGRAM HAS A NEW            
20110104220026.000|20110104220027.000|CC1|ATTITUDE.                       
20110104220027.000|20110104220028.000|CC1|WE FACE MASSIVE CHAENGES        
20110104220028.000|20110104220029.000|CC1|AND PROBLEMS.                   
20110104220029.000|20110104220031.000|CC1|THE HEADLES OF THE DAY          
20110104220031.000|20110104220032.000|CC1|CONFIRM THAT.                   
20110104220032.000|20110104220034.000|CC1|FORSTARTERS, WE HAVE A          
20110104220034.000|20110104220034.000|CC1|CONGRESS BECOMING MORE          
20110104220034.000|20110104220036.000|CC1|IRRELEVANT EVERY SINGLE DAY.    
20110104220036.000|20110104220038.000|CC1|OVER THE BREA THE S.C.          
20110104220038.000|20110104220040.000|CC1|DID PASS NET NTRALITY AND       
20110104220040.000|20110104220042.000|CC1|THEY NOW OVERSEE AND CONTROL    
20110104220042.000|20110104220042.000|CC1|THE INTERNET.                   
20110104220042.000|20110104220044.000|CC1|THE EXRTS TOLD M OVER AND       
20110104220045.000|20110104220045.000|XDS|%    TITLE: News, Fair and Balanced
20110104220044.000|20110104220045.000|CC1|OVER AGAIN FOR THE LASTWO       
20110104220045.000|20110104220046.000|CC1|YEARS IT WOUN'T HAPPEN,         
20110104220046.000|20110104220047.000|CC1|THEY WOULDN'T D IT.             
20110104220047.000|20110104220048.000|CC1|THEY DID IT.                    
20110104220048.000|20110104220049.000|CC1|THEY COULDN'T GETT THROUGH      
20110104220049.000|20110104220051.000|CC1|CONGRESS OR T COURTSO           
20110104220051.000|20110104220052.000|CC1|EY WENT AROUND THEM.            
20110104220052.000|20110104220054.000|CC1|THE NATIONAL DEBT HAS JT        
20110104220054.000|20110104220059.000|CC1|SURPASSED $14 TRILLION.         
20110104220059.000|20110104220100.000|CC1|THATS PARTICULARLY ALARMING     
20110104220100.000|20110104220101.000|CC1|BECAUSE AS YOUKNOW, AS WE       
20110104220101.000|20110104220103.000|CC1|TOLD YOU O THE PROGRAM,         
20110104220103.000|20110104220105.000|CC1|WE'RE GETTING CLOSE TO THE      
