TOP|20110104230001|2011-01-04_2300_US_MSNBC_The_Ed_Show
COL|Communication Studies Archive, UCLA 
UID|b23c499c-185e-11e0-8df6-001517add720
DUR|0:59:38.94
VID|640x480
CMT|
LAN|ENG
LBT|2011-01-04 15:00 America/Los_Angeles
SEG_01|2014-06-18 18:36:18|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110104230002.000|20110104230013.000|SEG|Type=Story
20110104230002.000|20110104230005.000|CC1|REGARD A GOOD CHIEF OF STAFF    
20110104230005.000|20110104230006.000|CC1|LIKE DAILY CAN WORK WONDERS.    
20110104230006.000|20110104230007.000|CC1|THAT IS "HARDBALL" FOR NOW.     
20110104230007.000|20110104230008.000|CC1|THANKS FOR BEING WITH US.       
20110104230008.000|20110104230010.000|CC1|RIGHT NOW IT IS TIME FOR "THE ED
20110104230010.000|20110104230013.000|CC1|SHOW" WITH ED SCHULTZ.          
20110104230013.000|20110104230046.000|SEG|Type=Story
20110104230013.000|20110104230015.000|CC1|>>> GOOD EVENING, AMERICANS AND 
20110104230015.000|20110104230018.000|CC1|WELCOME TO "THE ED SHOW,"       
20110104230018.000|20110104230018.000|CC1|TONIGHT FROM NEW YORK.          
20110104230018.000|20110104230020.000|CC1|THESE STORIES ARE HITTING MY HOT
20110104230020.000|20110104230024.000|CC1|BUTTONS AND ON THE TABLE AT THIS
20110104230024.000|20110104230025.000|CC1|HOUR.                           
20110104230025.000|20110104230027.000|CC1|THE REPUBLICAN ATTACKS AGAINST  
20110104230027.000|20110104230029.000|CC1|AMERICAN WAGE EARNERS THEY HAVE 
20110104230029.000|20110104230030.000|CC1|STARTED AND I THINK THIS WILL BE
20110104230030.000|20110104230031.000|CC1|A STORY IN 2011.                
20110104230031.000|20110104230033.000|CC1|THE ASSAULT STARTS WITH JOHN    
20110104230033.000|20110104230035.000|CC1|BARND JUST GOES AFTER UNION AS  
20110104230035.000|20110104230037.000|CC1|WELL, BASHING, BASHING, BASHING 
20110104230037.000|20110104230038.000|CC1|AND GOVERNORS LIKE CHRIS        
20110104230038.000|20110104230040.000|CC1|CHRISTIE AND JOHN KASICH, THEY  
20110104230040.000|20110104230041.000|CC1|ARE RIGHT IN LINE.              
20110104230041.000|20110104230042.000|CC1|MY COMMENTARY ON THAT AND THE   
20110104230042.000|20110104230043.000|CC1|PRESIDENT OF THE UNITED STEEL   
20110104230043.000|20110104230045.000|CC1|WORKS INTERNATIONAL, LEO GERARD 
20110104230045.000|20110104230046.000|CC1|IN A MOMENT.                    
20110104230046.000|20110104230100.000|SEG|Type=Story
20110104230046.000|20110104230049.000|CC1|>>> JOHN BOEHNER BECOMES SPEAKER
20110104230049.000|20110104230050.000|CC1|OF THE HOUSE TOMORROW BUT       
20110104230050.000|20110104230051.000|CC1|ALREADY, THE REPUBLICANS HAVE   
20110104230051.000|20110104230054.000|CC1|BROKEN TWO CAMPAIGN PROMISE ON  
20110104230054.000|20110104230056.000|CC1|SPENDING AND CONGRESSIONAL      
20110104230056.000|20110104230056.000|CC1|REFORM.                         
20110104230056.000|20110104230058.000|CC1|CONGRESSMAN CHRIS VAN HOLLEN    
20110104230058.000|20110104230100.000|CC1|HOLDS HIM OUT ON THESE ISSUES.  
20110104230100.000|20110104230116.000|SEG|Type=Story
20110104230100.000|20110104230106.000|CC1|>>> CONSERVATIVE SUPREME COURT  
20110104230106.000|20110104230106.000|CC1|JUSTICE ANTONIN SCALIA, DICK    
20110104230106.000|20110104230107.000|CC1|CHENEY'S HUT HUNTING BUD DAY    
20110104230107.000|20110104230109.000|CC1|TEACHER FOR MICHELE BACHMANN'S  
20110104230109.000|20110104230111.000|CC1|CONSTITUTION CLASS, SAYS THE    
20110104230111.000|20110104230112.000|CC1|CONSTITUTION DOES NOT PROTECT   
20110104230112.000|20110104230113.000|CC1|WOMEN AGAINST DISCRIMINATION.   
20110104230113.000|20110104230114.000|CC1|HOW ENLIGHTENING.               
20110104230114.000|20110104230115.000|CC1|I GOT RAPID FIRE RESPONSE ON    
20110104230115.000|20110104230116.000|CC1|THAT TONIGHT.                   
20110104230116.000|20110104230125.000|SEG|Type=Story
20110104230116.000|20110104230119.000|CC1|>>> AND FLORIDA CONGRESSMAN ALAN
20110104230119.000|20110104230120.000|CC1|GRAYSON, HE WILL BE HERE LIVE TO
20110104230120.000|20110104230121.000|CC1|TELL DEMOCRAT WHAT IS THEY NEED 
20110104230121.000|20110104230122.000|CC1|TO HEAR ABOUT FIGHTING          
20110104230122.000|20110104230124.000|CC1|REPUBLICAN ATTACKS IN THE NEXT  
20110104230124.000|20110104230125.000|CC1|SESSION OF THE CONGRESS.        
20110104230125.000|20110104231344.000|SEG|Type=Story
20110104230125.000|20110104230127.000|CC1|>>> YOU ABOUT THIS IS THE STORY 
20110104230127.000|20110104230130.000|CC1|THAT HAS ME FIRED UP TONIGHT.   
20110104230130.000|20110104230131.000|CC1|WE ARE LEARNING MORE ABOUT THE  
20110104230131.000|20110104230132.000|CC1|REPUBLICAN REASON PARTY'S PLANS 
20110104230132.000|20110104230136.000|CC1|TO GO ON A FULL-SCALE ATTACK    
20110104230136.000|20110104230137.000|CC1|AGAINST AMERICAN WAGE EARNERS.  
20110104230137.000|20110104230139.000|CC1|HOLD IT RIGHT THERE ASK YOURSELF
20110104230139.000|20110104230140.000|CC1|A QUESTION.                     
20110104230140.000|20110104230141.000|CC1|I'M A WAGE EARNER.              
20110104230141.000|20110104230143.000|CC1|AM I A WAGE EARNER?             
20110104230143.000|20110104230144.000|CC1|YOU ARE AT WAR AND YOU PROBABLY 
20110104230144.000|20110104230146.000|CC1|DON'T KNOW T MARK MY WORD, JOHN 
20110104230146.000|20110104230148.000|CC1|BAINER AND THE MINUTE YIN IN THE
20110104230148.000|20110104230149.000|CC1|HOUSE THIS WILL BE THE WORST    
20110104230149.000|20110104230151.000|CC1|ENMITY AMERICAN WORKER HAS EVER 
20110104230151.000|20110104230152.000|CC1|SEEN THIS NEXT SESSION OF THE   
20110104230152.000|20110104230153.000|CC1|CONGRESS, EVER.                 
20110104230153.000|20110104230155.000|CC1|THAT'S WHAT THEIR FOCUS IS.     
20110104230155.000|20110104230157.000|CC1|THE REPUBLICAN REPEAL AGENDA.   
20110104230157.000|20110104230159.000|CC1|IN MY OPINION, THEY WILL NEVER  
20110104230159.000|20110104230202.000|CC1|CREATE ONE JOB, NOT ONE.        
20110104230202.000|20110104230203.000|CC1|BEYOND THE DAMAGE THE TAN MAN   
20110104230203.000|20110104230205.000|CC1|CAN DO IN THE HOUSE, REPUBLICAN 
20110104230205.000|20110104230206.000|CC1|GOVERNORS ALL ACROSS THE        
20110104230206.000|20110104230208.000|CC1|COUNTRY, THEY ARE PLOTTING      
20110104230208.000|20110104230209.000|CC1|SYSTEMICALLY TO DESTROY UNIONS  
20110104230209.000|20110104230210.000|CC1|PIECE BY PIECE.                 
20110104230210.000|20110104230212.000|CC1|THE MARCH IS ON THE CHRIS       
20110104230212.000|20110104230213.000|CC1|CHRISTIE HAS SET THE STANDARD   
20110104230213.000|20110104230215.000|CC1|FOR REPUBLICAN GOVERNORS TO     
20110104230215.000|20110104230217.000|CC1|REALLY BULLY WAGE EARNERS WITH  
20110104230217.000|20110104230219.000|CC1|HIS ATTACKS ON UNIONS AND IT    
20110104230219.000|20110104230221.000|CC1|STARTED IN HIS INTERVIEW WITH   
20110104230221.000|20110104230222.000|CC1|"60 MINUTES."                   
20110104230222.000|20110104230224.000|CC1|>> I'M THE FIRST PERSON TO      
20110104230224.000|20110104230225.000|CC1|EXPOSE THEM FOR WHAT THEY HAVE  
20110104230225.000|20110104230226.000|CC1|BEEN DOING TO THE PUBLIC.       
20110104230226.000|20110104230229.000|CC1|AND THIS IS WHAT I SAY TO PUBLIC
20110104230229.000|20110104230230.000|CC1|SECTORS, YOU CAN BOO ME NOW, BUT
20110104230230.000|20110104230231.000|CC1|I'M THE FIRST GOVERNOR WHO      
20110104230231.000|20110104230233.000|CC1|WALKED INTO THIS ROOM IN TEN    
20110104230233.000|20110104230234.000|CC1|YEARS AND TOLD YOU THE TRUTH,   
20110104230234.000|20110104230235.000|CC1|HERE IS THE TRUTH.              
20110104230235.000|20110104230236.000|CC1|IF YOU DON'T PARTNER WITH ME TO 
