TOP|20110105070001|2011-01-05_0700_US_KCBS_CBS_2_News_at_11PM
COL|Communication Studies Archive, UCLA 
UID|458e9de6-189e-11e0-b1d3-001517add6fa
DUR|0:34:44.14
VID|640x368
CMT|
LAN|ENG
LBT|2011-01-04 23:00 America/Los_Angeles
SEG_01|2014-06-18 18:36:53|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110105070002.000|20110105070002.000|XDS|%     CALL:   
20110105070002.000|20110105070002.000|XDS|%    TITLE: NCIS14ECR
20110105070002.000|20110105070002.000|XDS|%  NETWORK: CBS
20110105070004.000|20110105073445.000|SEG|Type=Story
20110105070004.000|20110105070007.000|CC1|THE COPS ON THE CROOKS.         
20110105070007.000|20110105070008.000|CC1|PAT: WE HAVE YOUR               
20110105070008.000|20110105070009.000|CC1|MEGAMILLIONS NUMBERS BUT DO     
20110105070009.000|20110105070011.000|CC1|WE HAVE A WINNER?               
20110105070011.000|20110105070015.000|CC1|CBS2 AT 11:00 IS 60 SECONDS     
20110105070015.000|20110105070120.000|CC1|AWAY.                           
20110105070120.000|20110105070124.000|CC1|>>.                             
20110105070124.000|20110105070126.000|CC1|PAUL: A CERTIFICATE FIG         
20110105070126.000|20110105070127.000|CC1|ENCOUNTER.                      
20110105070127.000|20110105070128.000|CC1|SHE CAME HOME TO FIND           
20110105070128.000|20110105070130.000|CC1|THIEVES RANSACKING HER          
20110105070130.000|20110105070130.000|CC1|BEDROOM.                        
20110105070130.000|20110105070132.000|CC1|IT'S THE HOME BURGLARY SPREE    
20110105070132.000|20110105070135.000|CC1|THAT TOUCHED OFF A WILD HIGH    
20110105070135.000|20110105070135.000|CC1|SPEED CHASE.                    
20110105070135.000|20110105070135.000|CC1|PAT:.                           
20110105070135.000|20110105070137.000|CC1|PAUL: THE TERRIFYING MOMENT     
20110105070137.000|20110105070139.000|CC1|STARTED WITH SEVERAL HOMES      
20110105070139.000|20110105070143.000|CC1|RANSACKED AND NERVES FRAYED.    
20110105070143.000|20110105070146.000|CC1|THE CHASE WAS ON FROM           
