TOP|20110105070001|2011-01-05_0700_US_KNBC_Channel_4_News_at_11PM
COL|Communication Studies Archive, UCLA 
UID|456f7cea-189e-11e0-b82b-001517add6fa
DUR|0:34:44.08
VID|640x368
CMT|
LAN|ENG
LBT|2011-01-04 23:00 America/Los_Angeles
SEG_01|2014-06-18 18:36:54|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110105070002.000|20110105070002.000|XDS|%   RATING: (NOT RATED) (72)
20110105070002.000|20110105070002.000|XDS|%  NETWORK:   
20110105070002.000|20110105070002.000|XDS|%    TITLE: PARENTHOOD
20110105070002.000|20110105070002.000|XDS|%     CALL:   
20110105070049.000|20110105070606.000|SEG|Type=Story
20110105070049.000|20110105070051.000|CC1|>>> HAVE YOU SEEN IT, A BUZZ IN 
20110105070051.000|20110105070053.000|CC1|THE AIR ACROSS SOUTHERN         
20110105070053.000|20110105070055.000|CC1|CALIFORNIA AND ACROSS THE       
20110105070055.000|20110105070056.000|CC1|COUNTRY TONIGHT.                
20110105070056.000|20110105070105.000|CC1|PEOPLE WAITING FOR IN LINE FOR  
20110105070105.000|20110105070107.000|CC1|HOURS FOR THE MEGAMILLION       
20110105070107.000|20110105070108.000|CC1|LOTTERY TICKET.                 
20110105070108.000|20110105070111.000|CC1|>> THE JACKPOT WAS $355 MILLION.
20110105070111.000|20110105070113.000|CC1|WE KNOW FOR SURE ONE THING, THE 
20110105070113.000|20110105070116.000|CC1|BIG WINNER IS NOT HERE IN       
20110105070116.000|20110105070117.000|CC1|CALIFORNIA.                     
20110105070117.000|20110105070118.000|CC1|BUT THERE COULD STILL BE A      
20110105070118.000|20110105070121.000|CC1|WINNER OUTSIDE THE STATE.       
20110105070121.000|20110105070122.000|CC1|NEVERTHELESS CHECK YOUR NUMBERS.
20110105070122.000|20110105070126.000|CC1|HERE ARE THE WINNING NUMBERS, 4,
20110105070126.000|20110105070131.000|CC1|8, 15, 25, 47 AND THE MEGABALL  
20110105070131.000|20110105070134.000|CC1|HERE IS NUMBER 42.              
20110105070134.000|20110105070139.000|CC1|>> LET'S GO TO KIM BALDONADO.   
20110105070139.000|20110105070140.000|CC1|>> Reporter: EVEN THOUGH NO ONE 
20110105070140.000|20110105070143.000|CC1|IN CALIFORNIA MATCHED ALL SIX   
20110105070143.000|20110105070145.000|CC1|NUMBERS, THERE WERE TEN TICKETS 
20110105070145.000|20110105070148.000|CC1|IN CALIFORNIA THAT MATCHED FIVE 
20110105070148.000|20110105070153.000|CC1|OF SIX NUMBERS WORTH $150,000 TO
20110105070153.000|20110105070154.000|CC1|$200,000.                       
20110105070154.000|20110105070157.000|CC1|IT WAS NICE TO HEAR HOW SO MANY 
20110105070157.000|20110105070159.000|CC1|PEOPLE TALKED ABOUT HOW THEY    
20110105070159.000|20110105070200.000|CC1|WOULD GIVE THE MONEY AWAY.      
20110105070200.000|20110105070202.000|CC1|IT IS A SOUND HEARD OVER AND    
20110105070202.000|20110105070206.000|CC1|OVER, MILLIONS OF PEOPLE BET ON 
20110105070206.000|20110105070208.000|CC1|A DREAM ONE BUCK AT A TIME.     
20110105070208.000|20110105070209.000|CC1|>> $300 MILLION.                
20110105070209.000|20110105070210.000|CC1|CAN YOU IMAGINE.                
20110105070210.000|20110105070213.000|CC1|MY GOSH.                        
20110105070213.000|20110105070215.000|CC1|I'M GOING TO FLY ALL OVER THE   
20110105070215.000|20110105070216.000|CC1|WORLD.                          
20110105070216.000|20110105070218.000|CC1|>> I BOUGHT $50 OF THEM.        
20110105070218.000|20110105070219.000|CC1|>> I'M HOPING.                  
20110105070219.000|20110105070220.000|CC1|GOOD LUCK.                      
20110105070220.000|20110105070222.000|CC1|GOOD LUCK.                      
20110105070222.000|20110105070222.000|CC1|HALLELUJAH.                     
20110105070222.000|20110105070225.000|CC1|>> Reporter: IT IS PLAYED IN 42 
20110105070225.000|20110105070227.000|CC1|STATES INCLUDING CALIFORNIA     
20110105070227.000|20110105070231.000|CC1|WHERE PEOPLE LINED UP IN        
20110105070231.000|20110105070233.000|CC1|HAWTHORNE AND IN PRIM, NEVADA,  
20110105070233.000|20110105070237.000|CC1|WHERE THE LIQUOR STORE SITS     
20110105070237.000|20110105070237.000|CC1|DIRECTLY ON THE CALIFORNIA      
20110105070237.000|20110105070239.000|CC1|BORDER.                         
20110105070239.000|20110105070240.000|CC1|>> ARE YOU HAPPY?               
20110105070240.000|20110105070241.000|CC1|>> YEAH.                        
20110105070241.000|20110105070244.000|CC1|>> Reporter: WE MET KAYLA IN    
20110105070244.000|20110105070245.000|CC1|BURBANK WHERE THE LOTTO COMPUTER
20110105070245.000|20110105070249.000|CC1|WAS OUT OF ORDER WHEN CASHIER   
20110105070249.000|20110105070251.000|CC1|JOHN CAME INTO WORK.            
20110105070251.000|20110105070253.000|CC1|>> MY FIRST FEW CUSTOMERS WHO   
20110105070253.000|20110105070256.000|CC1|WALKED IN I HAD TO TELL THEM OUR
20110105070256.000|20110105070257.000|CC1|COMPUTER WAS DOWN.              
20110105070257.000|20110105070301.000|CC1|I HAD TO DO SOMETHING TO FIX IT.
20110105070301.000|20110105070304.000|CC1|I PUT IT TOGETHER.              
