TOP|20110105160001|2011-01-05_1600_US_KCBS_The_Early_Show
COL|Communication Studies Archive, UCLA 
UID|34a7b4f0-18ed-11e0-8472-001517add6fa
DUR|0:59:44.64
VID|640x368
CMT|
LAN|ENG
LBT|2011-01-05 08:00 America/Los_Angeles
SEG_01|2014-06-18 18:37:31|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110105160002.000|20110105160002.000|XDS|%  NETWORK: CBS
20110105160002.000|20110105160002.000|XDS|%     CALL:   
20110105160019.000|20110105160148.000|SEG|Type=Story
20110105160019.000|20110105160020.000|CC1|>>> AND THERE'S THE CUE FOR THE 
20110105160020.000|20110105160021.000|CC1|CROWD.                          
20110105160021.000|20110105160022.000|CC1|WELCOME BACK TO "THE EARLY      
20110105160022.000|20110105160022.000|CC1|SHOW," EVERYONE.                
20110105160022.000|20110105160022.000|XDS|% TIMEZONE: UTC-5
20110105160022.000|20110105160024.000|CC1|THAT MEANS YOU START CHEERING,  
20110105160024.000|20110105160025.000|CC1|GUYS.                           
20110105160025.000|20110105160027.000|CC1|THERE WE GO.                    
20110105160027.000|20110105160029.000|CC1|I'M ERICA HILL ALONG WITH CHRIS 
20110105160029.000|20110105160030.000|CC1|WRAGGE, MARYSOL CASTRO AND A PHI
20110105160030.000|20110105160032.000|CC1|FRIENDS OUT HERE ON THE PLAZA,  
20110105160032.000|20110105160033.000|CC1|SAVING THEIR VOICES FOR LATER.  
20110105160033.000|20110105160036.000|CC1|>> A LOT TO GET TO THIS MORNING,
20110105160036.000|20110105160037.000|CC1|INCLUDING FEAR OF FAILURE.      
20110105160037.000|20110105160040.000|CC1|EVER BEEN PARALYZED BY FEAR?    
20110105160040.000|20110105160041.000|CC1|>> ABOUT EVERY DAY.             
20110105160041.000|20110105160042.000|CC1|>> MOSTLY YOU HAVE THAT MOMENT, 
20110105160042.000|20110105160044.000|CC1|I DON'T KNOW IF I CAN DO THIS,  
20110105160044.000|20110105160047.000|CC1|SOME SORT OF -- FOR SOME THIS   
20110105160047.000|20110105160048.000|CC1|CAN REALLY TAKE OVER AND        
20110105160048.000|20110105160050.000|CC1|LITERALLY PARALYZE YOU, TOTALLY 
20110105160050.000|20110105160053.000|CC1|AFFECT YOUR LIFE IN A NEGATIVE  
20110105160053.000|20110105160054.000|CC1|WAY.                            
20110105160054.000|20110105160054.000|CC1|Y                               
20110105160054.000|20110105160056.000|CC1|WE DON'T WANT THAT TO HAPPEN TO 
20110105160056.000|20110105160056.000|CC1|YOU.                            
20110105160056.000|20110105160057.000|CC1|WE'LL HELP YOU RECOGNIZE THE    
20110105160057.000|20110105160059.000|CC1|FEARS AND ALSO CONQUER THEM.    
20110105160059.000|20110105160101.000|CC1|>> ALSO, THIS IS BIG.           
20110105160101.000|20110105160102.000|CC1|>> OH, BOY.                     
20110105160102.000|20110105160103.000|CC1|[ DRUM ROLL ]                   
20110105160103.000|20110105160105.000|CC1|>> IT'S MY TURN TODAY AS WE     
20110105160105.000|20110105160108.000|CC1|CONTINUE OUR QUESTIONS AND      
20110105160108.000|20110105160109.000|CC1|ANCHORS SERIES.                 
20110105160109.000|20110105160110.000|CC1|REVEALING WHO WE ARE AND WHERE  
20110105160110.000|20110105160111.000|CC1|EXACTLY WE CAME FROM.           
20110105160111.000|20110105160112.000|CC1|ME, I CAME FROM NEW JERSEY.     
20110105160112.000|20110105160113.000|CC1|>> THE GARDEN STATE.            
20110105160113.000|20110105160115.000|CC1|>> THAT'S ALL YOU NEED -- I AM  
20110105160115.000|20110105160117.000|CC1|SO PROUD TO BE A GARDEN STATOR  
20110105160117.000|20110105160118.000|CC1|AND SO PROUD OF BEING FROM JUST 
20110105160118.000|20110105160121.000|CC1|ACROSS THE RIVER OVER THERE.    
20110105160121.000|20110105160122.000|CC1|ACTUALLY THE SITUATION BEFORE   
20110105160122.000|20110105160123.000|CC1|THE SITUATION.                  
20110105160123.000|20110105160124.000|CC1|>> I DIDN'T WANT TO GO THERE,   
20110105160124.000|20110105160125.000|CC1|BUT --                          
20110105160125.000|20110105160127.000|CC1|>> HE LOVES THE JERSEY SHORE.   
20110105160127.000|20110105160129.000|CC1|>> HE IS PROUD OF HIS --        
20110105160129.000|20110105160130.000|CC1|>> JERSEY SHORE.                
20110105160130.000|20110105160132.000|CC1|>> THE JERSEY SHORE --          
20110105160132.000|20110105160135.000|CC1|>> LEARN THE HAIR FROM YOU?     
20110105160135.000|20110105160135.000|CC1|>> BACK IN THE DAY.             
20110105160135.000|20110105160138.000|CC1|>> I LEARNED THIS FROM CHILE.   
20110105160138.000|20110105160140.000|CC1|UNBELIEVABLE THE THINGS YOU FIND
20110105160140.000|20110105160140.000|CC1|OUT.                            
20110105160140.000|20110105160142.000|CC1|>> AND JEFF GLOR IS NOT FROM    
20110105160142.000|20110105160143.000|CC1|CHILE, BUT HE DOES HAVE A CHECK 
20110105160143.000|20110105160145.000|CC1|OF THE HEADLINES THIS HOUR.     
20110105160145.000|20110105160145.000|CC1|JEFF?                           
20110105160145.000|20110105160147.000|CC1|>> GOOD MORNING, MARYSOL.       
20110105160147.000|20110105160148.000|CC1|GOOD MORNING, EVERYONE.         
20110105160148.000|20110105160224.000|SEG|Type=Story
