TOP|20110106010001|2011-01-06_0100_US_FOX-News_The_OReilly_Factor
COL|Communication Studies Archive, UCLA 
UID|a33758ee-1938-11e0-b168-001517add60e
DUR|0:59:43.64
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-05 17:00 America/Los_Angeles
SEG_01|2014-06-18 18:38:04|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110106010002.000|20110106010002.000|XDS|%   RATING: (NOT RATED) (72)
20110106010003.000|20110106010003.000|XDS|%     CALL: FNC 
20110106010004.000|20110106015944.000|SEG|Type=Story
20110106010004.000|20110106010005.000|CC1|I'SHEPARD SMITH.                
20110106010005.000|20110106010006.000|CC1|THANKS FOR HAVINUS INTO YOUR    
20110106010006.000|20110106010006.000|CC1|PLACE TONHT.                    
20110106010006.000|20110106010008.000|CC1|WE'RE L BACK TOMORW FOR         
20110106010008.000|20110106010008.000|XDS|%  NETWORK: Fox News Channel
20110106010008.000|20110106010008.000|CC1|TUDIO B" AND THENOMORROW        
20110106010008.000|20110106010010.000|CC1|NIGHT FOR "THE FOX REPORT."     
20110106010010.000|20110106010011.000|CC1|YOU KNOW WHO IS UP NEXT.        
20110106010011.000|20110106010014.000|CC1|GO BILL, GO.                    
20110106010014.000|20110106010015.000|CC1|>> Bill:THE O'REILLY FACTOR"    
20110106010015.000|20110106010016.000|CC1|IS ON.                          
20110106010016.000|20110106010016.000|CC1|TONIGHT:                        
20110106010016.000|20110106010018.000|CC1|>> GOD BLESS YOU, SPEAKER       
20110106010018.000|20110106010018.000|CC1|BOEHNER.                        
20110106010018.000|20110106010021.000|CC1|[CHEERS]                        
20110106010021.000|20110106010022.000|CC1|>> Bill: THE REPUBLICAN PART    
20110106010022.000|20110106010023.000|CC1|JOYOUSONIGHT.                   
20110106010023.000|20110106010025.000|CC1|IT NOW CONTROLS THE HOUSE OF    
20110106010025.000|20110106010026.000|CC1|REPRESENTATIVES.                
20110106010026.000|20110106010027.000|CC1|WHAT WILL THAT MN FOR YOU?      
20110106010027.000|20110106010031.000|CC1|DICK MORRIS WILL ANALYZ         
20110106010031.000|20110106010033.000|CC1|? WA, MEXIC                     
20110106010033.000|20110106010035.000|CC1|? IT SOUS SO SPLE               
20110106010035.000|20110106010039.000|CC1|? I JUST GOT TO GO              
20110106010039.000|20110106010039.000|XDS|%    TITLE: News, Fair and Balanced
20110106010039.000|20110106010040.000|CC1|>> Bill:HE BRUTAL MURDERS IN    
20110106010040.000|20110106010040.000|CC1|MEXICO CONNUE.                  
20110106010040.000|20110106010043.000|CC1|NOW PEOPLERE BNG BEHEAD IN      
20110106010043.000|20110106010044.000|CC1|PUBLIC.                         
20110106010044.000|20110106010045.000|CC1|SHOULD AMERICAN TOURIS          
20110106010045.000|20110106010046.000|CC1|COINUE TO GO DOWN THE?          
20110106010046.000|20110106010048.000|CC1|WE HAVE A DEBATE.               
20110106010048.000|20110106010051.000|CC1|>> I'M GLAD T BE ON BOARD.      
20110106010051.000|20110106010052.000|CC1|>>ill: DENNIS MILLER IS BACK    
20110106010052.000|20110106010053.000|CC1|WITH THOUGHT ONOVERNOR          
20110106010053.000|20110106010054.000|CC1|ARNOLD'S DEPARTURE              
20110106010054.000|20110106010057.000|CC1|>> TALK TO THE HANDS.           
20110106010057.000|20110106010059.000|CC1|>>ill: THE NEW CONGRESS, AND    
