TOP|20110106040001|2011-01-06_0400_US_MSNBC_Countdown_with_Keith_Olbermann
COL|Communication Studies Archive, UCLA 
UID|c926a56e-1951-11e0-bd96-001517add6fa
DUR|0:59:44.44
VID|640x480
CMT|
LAN|ENG
LBT|2011-01-05 20:00 America/Los_Angeles
SEG_01|2014-06-18 18:38:27|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110106040005.000|20110106040026.000|SEG|Type=Story
20110106040005.000|20110106040006.000|CC1|"REVIVAL."                      
20110106040006.000|20110106040026.000|CC1|THANK YOU FOR JOINING US        
20110106040026.000|20110106040223.000|SEG|Type=Story
20110106040026.000|20110106040027.000|CC1|>>> WHICH OF THESE STORIES WILL 
20110106040027.000|20110106040030.000|CC1|YOU BE TALKING ABOUT TOMORROW?  
20110106040030.000|20110106040032.000|CC1|>> THEREFORE, THE HONORABLE JOHN
20110106040032.000|20110106040035.000|CC1|A. BOEHNER OF THE STATE OF OHIO,
20110106040035.000|20110106040039.000|CC1|HAVING RECEIVED THE MAJORITY OF 
20110106040039.000|20110106040040.000|CC1|THE VOTES CAST, IS DULY ELECTED 
20110106040040.000|20110106040042.000|CC1|SPEAKER OF THE HOUSE OF         
20110106040042.000|20110106040043.000|CC1|REPRESENTATIVES.                
20110106040043.000|20110106040044.000|CC1|>> HERE WE GO.                  
20110106040044.000|20110106040046.000|CC1|WAIT FOR IT.                    
20110106040046.000|20110106040047.000|CC1|NOT YET.                        
20110106040047.000|20110106040048.000|CC1|>> KNOWING THAT I AM BUT ITS    
20110106040048.000|20110106040049.000|CC1|CARETAKER.                      
20110106040049.000|20110106040050.000|CC1|>> YOU CRY.                     
20110106040050.000|20110106040051.000|CC1|>> AFTER ALL, THIS IS THE       
20110106040051.000|20110106040052.000|CC1|PEOPLE'S HOUSE.                 
20110106040052.000|20110106040054.000|CC1|>> BOEHNER PROMISES TAX CUTS    
20110106040054.000|20110106040055.000|CC1|WITHOUT PAYING FOR THEM, WILL HE
20110106040055.000|20110106040056.000|CC1|LIVE UP TO HIS PROMISE OF       
20110106040056.000|20110106040058.000|CC1|CUTTING $100 BILLION?           
20110106040058.000|20110106040101.000|CC1|MAYBE $30 BILLION.              
20110106040101.000|20110106040102.000|CC1|THE STIMULUS HEALTH CARE,       
20110106040102.000|20110106040104.000|CC1|FINANCIAL REFORM, DON'T ASK,    
20110106040104.000|20110106040108.000|CC1|DON'T TELL REPEAL, LILY LED     
20110106040108.000|20110106040109.000|CC1|BETTER, MINIMUM WAGE INCREASE,  
20110106040109.000|20110106040110.000|CC1|300 MORE BILLS THE SENATE DIDN'T
20110106040110.000|20110106040113.000|CC1|HAVE THE CHOPS TO PASS.         
20110106040113.000|20110106040116.000|CC1|BEST SPEAKER EVER.              
20110106040116.000|20110106040117.000|CC1|FIRST BOLD REPUBLICAN MOVE?     
20110106040117.000|20110106040117.000|CC1|THEY WILL PROVE THEY CAN READ   
20110106040117.000|20110106040120.000|CC1|ALOUD.                          
20110106040120.000|20110106040122.000|CC1|>> I HAVE THE USS CONSTITUTION. 
20110106040122.000|20110106040124.000|CC1|>> NO, THAT'S A BOAT.           
20110106040124.000|20110106040126.000|CC1|TO QUOTE THE PRINCESS BRIDE --  
20110106040126.000|20110106040128.000|CC1|>> I DON'T THINK IT IS WHAT YOU 
20110106040128.000|20110106040129.000|CC1|THINK IT IS.                    
20110106040129.000|20110106040131.000|CC1|>> THE SURPRISES FOR THE GOP AND
20110106040131.000|20110106040132.000|CC1|THE TEA PARTY IN THAT           
20110106040132.000|20110106040133.000|CC1|CONSTITUTION.                   
20110106040133.000|20110106040134.000|CC1|DEATH PANELS REAL AND IMAGINED. 
20110106040134.000|20110106040135.000|CC1|IMAGINED?                       
20110106040135.000|20110106040138.000|CC1|REAL.                           
20110106040138.000|20110106040140.000|CC1|A TUCSON HOSPITAL CONFIRMS A    
20110106040140.000|20110106040142.000|CC1|SECOND PERSON DENIED TRANSPLANT 
20110106040142.000|20110106040145.000|CC1|COVERAGE BY ARIZONA HAS DIED.   
20110106040145.000|20110106040147.000|CC1|EMANUEL GONE, SUMMERS OUT AND   
20110106040147.000|20110106040148.000|CC1|NOW ROBERT GIBBS RESIGNS.       
20110106040148.000|20110106040150.000|CC1|NEW ADVISERS.                   
20110106040150.000|20110106040151.000|CC1|ARE THEY THE LIBERATION OF THE  
20110106040151.000|20110106040154.000|CC1|PRESIDENT 2011?                 
20110106040154.000|20110106040156.000|CC1|TO PARAPHRASE JAMES WATT, LET   
20110106040156.000|20110106040158.000|CC1|OBAMA BE OBAMA WITH HOWARD DEAN 
20110106040158.000|20110106040159.000|CC1|AND --                          
20110106040159.000|20110106040200.000|CC1|>> SAY SOMETHING WITH THAT GREAT
20110106040200.000|20110106040201.000|CC1|RADIO VOICE.                    
20110106040201.000|20110106040202.000|CC1|>> WHEN YOU'RE LISTENING TO     
20110106040202.000|20110106040204.000|CC1|NOTHING BUT THE BEST OF OLDIES, 
20110106040204.000|20110106040207.000|CC1|YOU'RE LISTENING TO MAGIC 98.9. 
20110106040207.000|20110106040209.000|CC1|>> FROM NO HOME TO NO LETUP IN  
20110106040209.000|20110106040212.000|CC1|THE JOB OFFERS, ALL THE NEWS AND
20110106040212.000|20110106040213.000|CC1|COMMENTARY NOW ON "COUNTDOWN."  
20110106040213.000|20110106040214.000|CC1|>> AND WE'LL BE BACK WITH MORE  
20110106040214.000|20110106040223.000|CC1|RIGHT AFTER THESE WORDS.        
20110106040223.000|20110106041117.000|SEG|Type=Story
20110106040223.000|20110106040225.000|CC1|>>> GOOD EVENING FROM NEW YORK. 
20110106040225.000|20110106040227.000|CC1|THIS IS WEDNESDAY, JANUARY 5th, 
20110106040227.000|20110106040229.000|CC1|671 DAYS UNTIL THE 2012         
20110106040229.000|20110106040231.000|CC1|PRESIDENTIAL ELECTION.          
20110106040231.000|20110106040232.000|CC1|AND IT'S MORNING SICKNESS IN    
20110106040232.000|20110106040234.000|CC1|AMERICA.                        
20110106040234.000|20110106040236.000|CC1|THE ONE-NIGHT STAND AGAINST     
20110106040236.000|20110106040237.000|CC1|CONGRESS IN NOVEMBER RESULTING  
20110106040237.000|20110106040238.000|CC1|IN A BRAND-NEW SPEAKER OF THE   
20110106040238.000|20110106040240.000|CC1|HOUSE IN JANUARY.               
20110106040240.000|20110106040241.000|CC1|CONGRESSMAN JOHN HANKIE PLEASE  
20110106040241.000|20110106040242.000|CC1|BOEHNER.                        
20110106040242.000|20110106040244.000|CC1|IN OUR FIFTH STORY A HEADACHE   
20110106040244.000|20110106040245.000|CC1|FROM THE DIMINISHED DEMOCRATS   
20110106040245.000|20110106040247.000|CC1|BUT FROM THE EMBOLDENED         
20110106040247.000|20110106040248.000|CC1|REPUBLICANS ALREADY BREAKING    
20110106040248.000|20110106040250.000|CC1|THEIR TEA PARTY PROMISES.       
20110106040250.000|20110106040251.000|CC1|WELCOME TO THE 112 CONGRESS     
20110106040251.000|20110106040253.000|CC1|DISCOUNT HOUSE OF WORSHIP AND   
20110106040253.000|20110106040256.000|CC1|FLEA CIRCUS.                    
20110106040256.000|20110106040257.000|CC1|BUT FIRST THE NOW FORMER SPEAKER
20110106040257.000|20110106040258.000|CC1|OF THE HOUSE, NANCY PELOSI, WHO 
20110106040258.000|20110106040259.000|CC1|UP LIKE PRESIDENT OBAMA HIMSELF,
20110106040259.000|20110106040300.000|CC1|DELIVERED JUST ABOUT EVERYTHING 
20110106040300.000|20110106040303.000|CC1|THE PRESIDENT PROMISED, EVEN    
20110106040303.000|20110106040304.000|CC1|WHEN THE GROSSLY DYSFUNCTIONAL  
20110106040304.000|20110106040306.000|CC1|SENATE DID AND COULD NOT.       
20110106040306.000|20110106040308.000|CC1|SPEAKER PELOSI, FOUR YEARS IN   
20110106040308.000|20110106040312.000|CC1|THAT POST, HANDING IT OVER.     
20110106040312.000|20110106040314.000|CC1|>> I NOW PASS THIS GAVEL, WHICH 
20110106040314.000|20110106040315.000|CC1|IS LARGER THAN MOST GAVELS HERE,
20110106040315.000|20110106040319.000|CC1|BUT THE GAVEL OF CHOICE OF MR.  
20110106040319.000|20110106040320.000|CC1|SPEAKER BOEHNER, I NOW PASS THIS
20110106040320.000|20110106040326.000|CC1|--                              
20110106040326.000|20110106040329.000|CC1|I NOW PASS THIS GAVEL AND THE   
20110106040329.000|20110106040330.000|CC1|SACRED TRUST THAT GOES WITH IT  
20110106040330.000|20110106040334.000|CC1|TO THE NEW SPEAKER.             
20110106040334.000|20110106040338.000|CC1|GOD BLESS YOU, SPEAKER BOEHNER. 
20110106040338.000|20110106040341.000|CC1|>> COMING UP IN INADEQUACY?     
20110106040341.000|20110106040343.000|CC1|THE 53rd SPEAKER OF THE HOUSE   
20110106040343.000|20110106040345.000|CC1|DESCRIBING THIS DAY AS A TIME OF
20110106040345.000|20110106040347.000|CC1|GREAT CHALLENGES.               
20110106040347.000|20110106040349.000|CC1|>> NEARLY ONE IN TEN OF OUR     
20110106040349.000|20110106040351.000|CC1|NEIGHBORS IS OUT OF WORK, HEALTH
20110106040351.000|20110106040352.000|CC1|CARE COSTS ARE STILL RISING FOR 
20110106040352.000|20110106040354.000|CC1|AMERICAN FAMILIES.              
20110106040354.000|20110106040355.000|CC1|>> SO ONE OF THE FIRST ACTS OF  
20110106040355.000|20110106040356.000|CC1|REPUBLICANS WILL BE TO TRY TO   
20110106040356.000|20110106040358.000|CC1|REPEAL HEALTH CARE REFORM, THE  
20110106040358.000|20110106040359.000|CC1|AFFORDABLE CARE ACT.            
20110106040359.000|20110106040401.000|CC1|THAT REPEAL ACTUALLY BECAME LAW,
20110106040401.000|20110106040402.000|CC1|IT WOULD INCREASE HEALTH CARE   
20110106040402.000|20110106040403.000|CC1|COSTS AS WELL AS ADD TO THE     
20110106040403.000|20110106040404.000|CC1|DEFICIT.                        
20110106040404.000|20110106040406.000|CC1|MORE ON THAT IN A MOMENT.       
20110106040406.000|20110106040407.000|CC1|THE NEW SPEAKER HERALDED NEW    
20110106040407.000|20110106040409.000|CC1|RULES.                          
20110106040409.000|20110106040411.000|CC1|>> OLD RULES THAT HAVE MADE IT  
20110106040411.000|20110106040413.000|CC1|EASY TO INCREASE SPENDING WILL  
20110106040413.000|20110106040414.000|CC1|BE REPLACED BY NEW REFORMS THAT 
20110106040414.000|20110106040417.000|CC1|MAKE IT EASIER TO CUT SPENDING. 
