TOP|20110106073001|2011-01-06_0730_US_KMEX_Noticiero_Univision_Ultima_Hora
COL|Communication Studies Archive, UCLA 
UID|edac7620-196a-11e0-ae3b-001517add60e
DUR|0:29:43.98
VID|640x480
CMT|
LAN|SPA
LBT|2011-01-05 23:30 America/Los_Angeles
SEG_01|2014-06-18 18:38:30|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110106073004.000|20110106075944.000|SEG|Type=Story
20110106073004.000|20110106073017.000|SEG_01|Type=Commercial
20110106073004.000|20110106073009.000|CC1|noticiero, que pasen una        
20110106073009.000|20110106073011.000|CC1|excelente noche, los esperamos  
20110106073011.000|20110106073017.000|CC1|mañana.                         
20110106073017.000|20110106073029.000|SEG_01|Type=Story start
20110106073017.000|20110106073029.000|CC1|>> ESTA NOCHE EN ÚLTIMA HORA.   
20110106073029.000|20110106073030.000|CC1|>> NANCY LE PASA EL TRAPO A SU  
20110106073030.000|20110106073034.000|CC1|RIVAL.                          
20110106073034.000|20110106073040.000|CC1|SACÓ DE SU TESTAMENTO AL EX     
20110106073040.000|20110106073041.000|CC1|ESPOSO, QUE TUVO UN HIJO        
20110106073041.000|20110106073051.000|CC1|ILEGÍTIMO CON OTRA MUJER.       
20110106073051.000|20110106073051.000|CC1|EL MÉDICO DEL CANTANTE  SE      
20110106073051.000|20110106073052.000|CC1|PREOCUPÓ MUCHO MÁS POR ESCONDER 
20110106073052.000|20110106073053.000|CC1|LAS MEDICINAS QUE POR LLAMAR AL 
20110106073053.000|20110106073101.000|CC1|911.                            
20110106073101.000|20110106073105.000|CC1|ACUSAN AL MÉDICO BRITÁNICO QUE  
20110106073105.000|20110106073106.000|CC1|FALSIFICÓ INFORMACIÓN PARA NO   
20110106073106.000|20110106073110.000|CC1|MOSTRAR LOS ESTUDIOS.           
20110106073110.000|20110106073111.000|CC1|ES INMORTALIZADO EN EL SALÓN DE 
20110106073111.000|20110106073113.000|CC1|LA FAMA.                        
20110106073113.000|20110106073120.000|CC1|Y A PESAR DEL FRÍO  MILES DE    
20110106073120.000|20110106073120.000|CC1|HISPANOS FESTEJAN LA LLEGADA DE 
20110106073120.000|20110106073122.000|CC1|LOS TRES REYES MAGOS.           
20110106073122.000|20110106073128.000|CC1|>> ESTO ES UNIVISION ÚLTIMA     
20110106073128.000|20110106073129.000|CC1|HORA.                           
20110106073129.000|20110106073140.000|CC1|>> QUE TAL, BUENAS NOCHES.      
20110106073140.000|20110106073141.000|CC1|UN ESCENARIO LEGISLATIVO QUE    
20110106073141.000|20110106073146.000|CC1|INCLUYE UN NUEVO LEGISLADOR     
20110106073146.000|20110106073148.000|CC1|ESPAÑOL, LEGISLADORES           
20110106073148.000|20110106073150.000|CC1|AFROAMERICANOS, Y DESDE YA  LA  
20110106073150.000|20110106073151.000|CC1|EXPECTATIVA DEL PARTIDO         
20110106073151.000|20110106073153.000|CC1|DEMÓCRATA SOBRE QUE  TAN REAL   
20110106073153.000|20110106073154.000|CC1|SERÁ LA PARTIDA DEL             
20110106073154.000|20110106073159.000|CC1|BIPARTIDISMO.                   
20110106073159.000|20110106073202.000|CC1|BLANCAROSA NOS PREPARÓ LA       
20110106073202.000|20110106073203.000|CC1|INFORMACIÓN DE UN MIÉRCOLES     
20110106073203.000|20110106073210.000|CC1|INAUGURAL.                      
20110106073210.000|20110106073211.000|CC1|>> ES UNA NUEVA ERA DE GOBIERNO 
20110106073211.000|20110106073213.000|CC1|DIVIDIDO QUE CON ESTA CEREMONIA 
20110106073213.000|20110106073218.000|CC1|DIO INICIO AL PERÍODO 112.      
20110106073218.000|20110106073219.000|CC1|POCO DESPUÉS DEL MEDIODÍA SE    
20110106073219.000|20110106073219.000|CC1|LLAMÓ AL ORDEN AL MISMO TIEMPO  
20110106073219.000|20110106073220.000|CC1|QUE EL SENADO  COMENZABA SU     
20110106073220.000|20110106073229.000|CC1|SESIÓN.                         
20110106073229.000|20110106073230.000|CC1|ASUMIÓ COMO NUEVO PRESIDENTE DE 
20110106073230.000|20110106073231.000|CC1|LA NUEVA CÁMARA DE              
20110106073231.000|20110106073231.000|CC1|REPRESENTANTES REEMPLAZANDO A   
20110106073231.000|20110106073232.000|CC1|LA DEMÓCRATA Y PRIMER MUJER EN  
20110106073232.000|20110106073238.000|CC1|LA HISTORIA  EN ESE CARGO.      
20110106073238.000|20110106073239.000|CC1|CASUALMENTE EL YA OCUPÓ  ESE    
20110106073239.000|20110106073243.000|CC1|ROL.                            
20110106073243.000|20110106073249.000|CC1|>> NO NOS PODEMOS QUEDAR        
20110106073249.000|20110106073249.000|CC1|CORTOS, LA GENTE HA VOTADO PARA 
20110106073249.000|20110106073250.000|CC1|ACABAR CON LA MANERA EN QUE     
20110106073250.000|20110106073251.000|CC1|HEMOS ESTADO RECICLANDO.        
20110106073251.000|20110106073252.000|CC1| HOY COMENZAMOS A SEGUIR SUS    
20110106073252.000|20110106073258.000|CC1|INSTRUCCIONES.                  
20110106073258.000|20110106073259.000|CC1|DESPUÉS PROCEDIÓ A JURAMENTAR A 
20110106073259.000|20110106073302.000|CC1|LOS 435 INTEGRANTES DE LA       
20110106073302.000|20110106073302.000|CC1|CÁMARA, PERO BAJO UNA           
20110106073302.000|20110106073313.000|CC1|ADVERTENCIA DEMÓCRATA.          
20110106073313.000|20110106073314.000|CC1|CUANDO EL NUEVO PRESIDENTE DE   
20110106073314.000|20110106073315.000|CC1|LA CÁMARA Y DE LA NUEVA MAYORÍA 
20110106073315.000|20110106073315.000|CC1|REPUBLICANA OBJETAN             
20110106073315.000|20110106073316.000|CC1|RESOLUCIONES A LOS DESAFÍOS DEL 
20110106073316.000|20110106073317.000|CC1|PUEBLO NORTEAMERICANO,          
20110106073317.000|20110106073319.000|CC1|ENCONTRARÁN NUESTRO APOYO. DIJO 
20110106073319.000|20110106073324.000|CC1|QUE INTENTA  GENERAR NO PUEDO   
20110106073324.000|20110106073325.000|CC1|CON UNA NUEVA LEY DEL           
20110106073325.000|20110106073331.000|CC1|PRESIDENTE OVAMA.               
20110106073331.000|20110106073332.000|CC1|LA REELECCIÓN SERÍA EL 12 DE    
20110106073332.000|20110106073338.000|CC1|ENERO.                          
20110106073338.000|20110106073344.000|CC1|SERÁ UNA VOTACIÓN SIMBÓLICA     
20110106073344.000|20110106073345.000|CC1|PORQUE LOS DEMÓCRATAS NO LA     
20110106073345.000|20110106073348.000|CC1|APROBARÍAN.                     
20110106073348.000|20110106073350.000|CC1|SON CINCO NUEVOS HISPANOS EN LA 
20110106073350.000|20110106073350.000|CC1|CÁMARA DE REPRESENTANTES  Y UNO 
20110106073350.000|20110106073353.000|CC1|EN EL SENADO.                   
20110106073353.000|20110106073357.000|CC1|TODOS REPUBLICANOS.             
20110106073357.000|20110106073401.000|CC1|CREO QUE EL TEMA ES EL DE LA    
20110106073401.000|20110106073402.000|CC1|DEUDA NACIONAL, QUE TENDRÍAMOS  
20110106073402.000|20110106073406.000|CC1|QUE SENTAR DE NUEVO EL TOPE.    
20110106073406.000|20110106073413.000|CC1|EN LA CÁMARA DE REPRESENTANTES  
20110106073413.000|20110106073414.000|CC1|ADEMÁS DE DAVID, JURAMENTARON   
20110106073414.000|20110106073417.000|CC1|TRES MÁS.                       
20110106073417.000|20110106073420.000|CC1|>> VOY A LUCHAR PARA POR        
20110106073420.000|20110106073420.000|CC1|EJEMPLO APROBAR EL TRATADO DE   
20110106073420.000|20110106073423.000|CC1|LIBRE COMERCIO CON COLOMBIA.    
20110106073423.000|20110106073424.000|CC1|>> REVERTIR LA REFORMA DE SALUD 
20110106073424.000|20110106073427.000|CC1|ES PRIORITARIO.                 
20110106073427.000|20110106073432.000|CC1|>> LA LEY DE SALUD NO ES BUENA  
20110106073432.000|20110106073432.000|CC1|PARA LA GENTE NI PARA LOS       
20110106073432.000|20110106073438.000|CC1|CONSTITUYENTES Y EN ESTE PAÍS   
20110106073438.000|20110106073439.000|CC1|TAMBIÉN MÁS DEL 65% DE LOS      
20110106073439.000|20110106073440.000|CC1|CIUDADANOS AMERICANOS NO LES    
20110106073440.000|20110106073443.000|CC1|GUSTA LA LEY DE SALUD.          
20110106073443.000|20110106073446.000|CC1|>> LOS REPUBLICANOS QUE NO      
20110106073446.000|20110106073449.000|CC1|LOGRARON OBTENER LA MAYORÍA,    
20110106073449.000|20110106073455.000|CC1|TUVIERON QUE VER CÓMO  FUE      
20110106073455.000|20110106073457.000|CC1|REELECTO UNA VEZ MÁS.           
20110106073457.000|20110106073458.000|CC1|>> LA BATALLA DE LOS            
20110106073458.000|20110106073458.000|CC1|REPUBLICANOS SE INICIA CON UN   
20110106073458.000|20110106073459.000|CC1|PLAN DE 20 DÍAS EN EL QUE       
20110106073459.000|20110106073500.000|CC1|TRATARÁN DE REVERTIR EL SISTEMA 
20110106073500.000|20110106073506.000|CC1|DE REFORMA DE SALUD, PERO SOBRE 
20110106073506.000|20110106073512.000|CC1|TODO LOGRARLO ANTES QUE OBAMA   
20110106073512.000|20110106073514.000|CC1|ACTÚE.                          
20110106073514.000|20110106073523.000|CC1|>> HICIMOS UN SONDEO DE         
20110106073523.000|20110106073523.000|CC1|OPINIONES EN NUESTRA WEB, Y     
20110106073523.000|20110106073524.000|CC1|LUIS SALIÓ A LA CALLE PARA VER  
20110106073524.000|20110106073531.000|CC1|LA OPINIÓN DE LA GENTE.         
20110106073531.000|20110106073532.000|CC1|>> POR DENTRO EL BALANCE DE     
20110106073532.000|20110106073536.000|CC1|PODER EN LA CÁMARA DE           
20110106073536.000|20110106073537.000|CC1|REPRESENTANTES  FAVORECE AHORA  
20110106073537.000|20110106073538.000|CC1|A LOS REPUBLICANOS, QUE ESPERAN 
20110106073538.000|20110106073540.000|CC1|LOS REPUBLICANOS?               
20110106073540.000|20110106073547.000|CC1|HICIMOS UNA ENCUESTA EN         
20110106073547.000|20110106073548.000|CC1|UNIVISIÓN.COM MÁS DE UN 80%     
20110106073548.000|20110106073551.000|CC1|PIENSA QUE EL GOBIERNO DEBERÍA  
20110106073551.000|20110106073554.000|CC1|DEDICARSE A RESOLV TEMAS DE     
20110106073554.000|20110106073559.000|CC1|EMPLEO, EDUCACIÓN E INMIGRACIÓN.
20110106073559.000|20110106073600.000|CC1|>> QUEDAN MÁS TRABAJOS, MÁS     
20110106073600.000|20110106073602.000|CC1|TRABAJOS PARA LA GENTE.         
20110106073602.000|20110106073604.000|CC1|>> AÚN LOS QUE QUIEREN QUE LA   
20110106073604.000|20110106073610.000|CC1|ECONOMÍA MEJORE, QUIEREN QUE NO 
20110106073610.000|20110106073617.000|CC1|SE OLVIDAN DE LOS INMIGRANTES.  
20110106073617.000|20110106073617.000|CC1|>> TIENEN QUE REGULARÁ UNA      
20110106073617.000|20110106073621.000|CC1|REFORMA OBLIGATORIA.            
20110106073621.000|20110106073626.000|CC1|>> EN NUESTRA WEB HEMOS         
20110106073626.000|20110106073627.000|CC1|RECIBIDO DECENAS DE RESPUESTAS, 
20110106073627.000|20110106073628.000|CC1|NO SOLAMENTE DE AQUÍ Y EN       
20110106073628.000|20110106073629.000|CC1|ESTADOS UNIDOS SINO TAMBIÉN DE  
20110106073629.000|20110106073629.000|CC1|OTRAS PARTES DEL MUNDO.         
20110106073629.000|20110106073632.000|CC1|DESDE LA CAPITAL DE LA NACIÓN   
20110106073632.000|20110106073643.000|CC1|UN TELEVIDENTE NOS DIJO QUE     
20110106073643.000|20110106073643.000|CC1|PARA LOS PORTORRIQUEÑOS  ES     
20110106073643.000|20110106073645.000|CC1|PRIORIDAD RESTITUIR TODAS LAS   
20110106073645.000|20110106073655.000|CC1|NORMAS QUE PUSO OBAMA.          
20110106073655.000|20110106073659.000|CC1|A TRAVÉS DE SKYPE, ROCIO PIDIÓ  
20110106073659.000|20110106073711.000|CC1|LO SIGUIENTE.                   
20110106073711.000|20110106073711.000|CC1|EN GEORGIA, MIKE CREE QUE SI SE 
20110106073711.000|20110106073717.000|CC1|VAN A VER PROGRESOS.            
20110106073717.000|20110106073722.000|CC1|>> VAN A ESTAR BAJO LA MIRA DE  
20110106073722.000|20110106073723.000|CC1|MILES DE CIUDADANOS, QUE SE     
20110106073723.000|20110106073723.000|CC1|CUMPLA CON LAS PROMESAS Y QUE   
20110106073723.000|20110106073724.000|CC1|SE TENGA UN MEJOR AMBIENTE DE   
20110106073724.000|20110106073726.000|CC1|TRABAJO.                        
20110106073726.000|20110106073728.000|CC1|>> HOY COMIENZA UNA NUEVA ERA   
20110106073728.000|20110106073729.000|CC1|EN WASHINGTON, LA NACIÓN ESPERA 
20110106073729.000|20110106073732.000|CC1|RESULTADOS.                     
20110106073732.000|20110106073737.000|CC1|DESDE SAN FRANCISCO, LUIS.      
20110106073737.000|20110106073739.000|CC1|>> LOS ACOMPAÑANTES DE NUESTROS 
20110106073739.000|20110106073742.000|CC1|ESTUDIOS EN WASHINGTON, LA      
20110106073742.000|20110106073746.000|CC1|CONGRESISTA ILEANA.             
20110106073746.000|20110106073749.000|CC1|BUENAS NOCHES, CONGRESISTA.     
20110106073749.000|20110106073750.000|CC1|>> MUCHÍSIMAS GRACIAS POR ESTA  
20110106073750.000|20110106073754.000|CC1|OPORTUNIDAD.                    
20110106073754.000|20110106073757.000|CC1|>> , LA JEFA DE RELACIONES      
20110106073757.000|20110106073757.000|CC1|INTERNACIONALES EN LA CÁMARA,   
20110106073757.000|20110106073758.000|CC1|CUÁL SERÍA LA PRIORIDAD DE ESE  
20110106073758.000|20110106073802.000|CC1|COMITÉ?                         
20110106073802.000|20110106073803.000|CC1|USTED HA HABLADO DISRAEL, DE    
20110106073803.000|20110106073806.000|CC1|COREA Y DE VENEZUELA..          
20110106073806.000|20110106073811.000|CC1|>> SIN DUDA EL PROBLEMA DE      
20110106073811.000|20110106073811.000|CC1|TENER LOS PODERES NUCLEARES EN  
20110106073811.000|20110106073815.000|CC1|UN PAÍS TERRORISTA COMO IRÁN ES 
20110106073815.000|20110106073821.000|CC1|UN PELIGRO NO SOLAMENTE PARA EL 
20110106073821.000|20110106073822.000|CC1|PUEBLO DE IRÁN, PARA NUESTRO    
20110106073822.000|20110106073823.000|CC1|ALIADO ISRAEL SINO TAMBIÉN PARA 
20110106073823.000|20110106073823.000|CC1|LOS ESTADOS UNIDOS Y TODO EL    
20110106073823.000|20110106073826.000|CC1|MUNDO.                          
20110106073826.000|20110106073831.000|CC1|TAMBIÉN DEBEMOS ENFOCARNOS  EN  
20110106073831.000|20110106073832.000|CC1|LOS PROBLEMAS DE LINOAMÉRICA    
20110106073832.000|20110106073833.000|CC1|Y OJALÁ QUE NUESTRO COMITÉ      
20110106073833.000|20110106073833.000|CC1|PUDIERA TOMAR LA CONVICCIÓN     
20110106073833.000|20110106073840.000|CC1|NECESARIA.                      
20110106073840.000|20110106073841.000|CC1|LO QUE ESTÁ PASANDO EN          
20110106073841.000|20110106073841.000|CC1|VENEZUELA, QUE CHAVES ESTÁ      
20110106073841.000|20110106073842.000|CC1|ASUMIENDO UN CONTROL TOTAL Y    
20110106073842.000|20110106073843.000|CC1|QUE LE ESTÁ QUITANDO TODOS LOS  
20110106073843.000|20110106073847.000|CC1|DERECHOS AL PUEBLO DE VENEZUELA.
20110106073847.000|20110106073851.000|CC1|Y AHÍ ESTÁ EVO MORALES, LOS     
20110106073851.000|20110106073857.000|CC1|HERMANOS CASTRO, ETCX.          
20110106073857.000|20110106073903.000|CC1|LA .AMENAZA A LA DEMOCRACIA.    
20110106073903.000|20110106073912.000|CC1|>> EN EL CONGRESO NÚMERO  112   
20110106073912.000|20110106073913.000|CC1|HABLARON DEL BIPARTIDISMO, QUÉ  
20110106073913.000|20110106073914.000|CC1|TAN FACTIBLE ES ESA LUNA DE     
20110106073914.000|20110106073916.000|CC1|MIEL CUANDO SE INICIA UN        
20110106073916.000|20110106073916.000|CC1|PROCESO REPUBLICANO  PARA       
20110106073916.000|20110106073917.000|CC1|RECHAZAR LA NUEVA REFORMA DE    
20110106073917.000|20110106073921.000|CC1|LEY DE SALUD.                   
20110106073921.000|20110106073926.000|CC1|>> SIN DUDA LO QUE DIJERON  LOS 
20110106073926.000|20110106073930.000|CC1|TELEVIDENTES DE SU EMISORA  ES  
20110106073930.000|20110106073936.000|CC1|LA REALIDAD. CREAR NUEVOS       
20110106073936.000|20110106073937.000|CC1|EMPLEOS LA ECONOMÍA, ESTIMULAR  
20110106073937.000|20110106073938.000|CC1|LA ECONOMÍA, PERO NO CON        
20110106073938.000|20110106073939.000|CC1|PROYECTOS MASIVOS CON MILES DE  
20110106073939.000|20110106073946.000|CC1|PÁGINAS QUE NADIE HA LEÍDO      
20110106073946.000|20110106073946.000|CC1|ANTES DE VOTAR, SINO QUE SEAN   
20110106073946.000|20110106073947.000|CC1|NUEVOS EMPLEOS PARA PRODUCIR    
20110106073947.000|20110106073948.000|CC1|UNA MEJOR ECONOMÍA PARA TODAS   
20110106073948.000|20110106073952.000|CC1|NUESTRAS COMUNIDADES.           
20110106073952.000|20110106073952.000|CC1|ESTO SE PODRÁ HACER SI          
20110106073952.000|20110106073957.000|CC1|RECORDAMOS LOS IMPUESTOS.       
20110106073957.000|20110106074007.000|CC1|ÉSA ES LA MANERA DE CREAR       
20110106074007.000|20110106074007.000|CC1|NUEVOS EMPLEOS, Y SI LOS        
20110106074007.000|20110106074008.000|CC1|DEMÓCRATAS QUIEREN TRABAJAR CON 
20110106074008.000|20110106074009.000|CC1|NOSOTROS EN HACER ESO SERÍA ASÍ 
20110106074009.000|20110106074010.000|CC1|UNA IDEA MARAVILLOSA TRABAJAR   
20110106074010.000|20110106074014.000|CC1|DE UNA MANERA BIPARTIDISTA.     
20110106074014.000|20110106074015.000|CC1|QUE SE UNAN A NOSOTROS A BAJAR  
20110106074015.000|20110106074016.000|CC1|EL PRESUPUESTO, A CORTAR LOS    
20110106074016.000|20110106074017.000|CC1|GASTOS EXCESIVOS Y CONTROLAR    
20110106074017.000|20110106074020.000|CC1|ESTA ECONOMÍA Y ESTE DÉFICIT.   
20110106074020.000|20110106074022.000|CC1|>> SI NO NEGOCIAN CON EL        
20110106074022.000|20110106074024.000|CC1|PRESIDENTE, QUE TIENE UN GRAN   
20110106074024.000|20110106074027.000|CC1|PODER.                          
20110106074027.000|20110106074031.000|CC1|>> SIN DUDA, YO CREO QUE EL     
20110106074031.000|20110106074034.000|CC1|PRESIDENTE  SABEUE TIENE QUE    
20110106074034.000|20110106074034.000|CC1|CONVERSAR CON LOS REPUBLICANOS, 
20110106074034.000|20110106074036.000|CC1|Y OJALÁ QUE TENGAMOS ESA        
20110106074036.000|20110106074039.000|CC1|CONVERSACIÓN CON EL GRUPO DE    
20110106074039.000|20110106074042.000|CC1|NANCY.                          
20110106074042.000|20110106074044.000|CC1|>> ESTA VEZ NO LA LLAMÓ EL      
20110106074044.000|20110106074047.000|CC1|PRESIDENTE?                     
20110106074047.000|20110106074049.000|CC1|>> ME LLAMO EL PRESIDENTE,      
20110106074049.000|20110106074052.000|CC1|PERO SABÍA QUE NO ERA UN CHISTE.
20110106074052.000|20110106074100.000|CC1|>> MUCHAS GRACIAS, BUENA SUERTE.
20110106074100.000|20110106074101.000|CC1|SEGUIMOS EN LA CAPITAL, HOY     
20110106074101.000|20110106074101.000|CC1|RENUNCIÓ EL SECRETARIO DE LA    
20110106074101.000|20110106074104.000|CC1|CASA BLANCA.                    
20110106074104.000|20110106074106.000|CC1|EL RETIRO SERÁ EFECTIVO DESDE   
20110106074106.000|20110106074108.000|CC1|COMIENZOS DE FEBRERO,  Y SU     
20110106074108.000|20110106074109.000|CC1|PLAN ES DEDICARSE DE MANERA     
20110106074109.000|20110106074113.000|CC1|INDEPENDIENTE.                  
20110106074113.000|20110106074115.000|CC1|PODRÍA COLABORAR  EN LA CAMPAÑA 
20110106074115.000|20110106074117.000|CC1|DE PRESIDENTE DE EL PRESIDENTE  
20110106074117.000|20110106074119.000|CC1|OBAMA.                          
20110106074119.000|20110106074123.000|CC1|LAS COSAS NO LE ESTÁN SALIENDO  
20110106074123.000|20110106074132.000|CC1|MUY BIEN AL EX PRESIDENTE  DE   
20110106074132.000|20110106074133.000|CC1|NETWORKS, DEJÓ TODAS SUS        
20110106074133.000|20110106074145.000|CC1|PERTENENCIAS A SUS TRES HIJOS.  
20110106074145.000|20110106074146.000|CC1|NOS SEPARAMOS SÓLO POR UN       
