TOP|20110106180001|2011-01-06_1800_US_KABC_The_View
COL|Communication Studies Archive, UCLA 
UID|225a7532-19c7-11e0-b48e-001517add6fa
DUR|0:59:45.08
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-06 10:00 America/Los_Angeles
SEG_01|2014-06-18 18:39:16|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110106180006.000|20110106180006.000|XDS|%  NETWORK: ABC
20110106180006.000|20110106180006.000|XDS|%   RATING: (NOT RATED) (72)
20110106180007.000|20110106180007.000|XDS|%     CALL:   
20110106180007.000|20110106180007.000|XDS|% TIMECODE: 1/06 12:00
20110106180008.000|20110106180008.000|XDS|%   RATING: (NOT RATED) (72)
20110106180009.000|20110106180009.000|XDS|%    TITLE: THE VIEW
20110106180009.000|20110106180009.000|XDS|% TIMECODE: 1/06 13:00
20110106180011.000|20110106185946.000|SEG|Type=Story
20110106180011.000|20110106180011.000|CC1|>> COMING UP ON "THE VIEW,"     
20110106180012.000|20110106180012.000|XDS|%   LENGTH: 0:00:00 of 1:00:00
20110106180011.000|20110106180013.000|CC1|"TRUE GRIT" STAR JEFF BRIDGES IS
20110106180013.000|20110106180014.000|CC1|REVEALING HOW HE'S HANDLING THE 
20110106180014.000|20110106180016.000|CC1|THOUGHT OF BEING CALLED GRANDPA 
20110106180016.000|20110106180017.000|CC1|AND HOW HE'S BEEN SINGING A     
20110106180017.000|20110106180018.000|CC1|DIFFERENT TUNE SINCE WINNING THE
20110106180018.000|20110106180019.000|CC1|OSCAR LAST YEAR.                
20110106180019.000|20110106180021.000|CC1|AND HIS CO-STAR WHO'S GETTING   
20110106180021.000|20110106180022.000|CC1|PLENTY OF OSCAR BUZZ HAILEE     
20110106180022.000|20110106180023.000|CC1|STEINFELD IS TELLING YOU ABOUT  
20110106180023.000|20110106180025.000|CC1|RIDING THE OPEN RANGE WITH JEFF,
20110106180025.000|20110106180027.000|CC1|MATT DAMON AND JOSH BROLIN.     
20110106180027.000|20110106180029.000|CC1|THEN, IT'S CHRISTMAS EVE AND THE
20110106180029.000|20110106180031.000|CC1|CLOCK'S TICKING, SO "COOKING    
20110106180031.000|20110106180032.000|CC1|SHERRI" HAS YOUR HOLIDAY MIRACLE
20110106180032.000|20110106180034.000|CC1|WHEN SUPERSTAR CHEF MING TSAI   
20110106180034.000|20110106180035.000|CC1|SHOWS HER HOW TO WHIP UP A      
20110106180035.000|20110106180037.000|CC1|LAST-MINUTE FESTIVE FEAST IN A  
20110106180037.000|20110106180040.000|CC1|FLASH.                          
20110106180040.000|20110106180042.000|CC1|AND VIEWERS HAVE BEEN TURNING   
