TOP|20110106190001|2011-01-06_1900_US_KNBC_Channel_4_News_Mid_Day_Report
COL|Communication Studies Archive, UCLA 
UID|840ad6fc-19cf-11e0-b33b-001517add6fa
DUR|0:59:44.21
VID|640x368
CMT|
LAN|ENG
LBT|2011-01-06 11:00 America/Los_Angeles
SEG_01|2014-06-18 18:39:22|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110106190009.000|20110106190009.000|XDS|%   RATING: (NOT RATED) (72)
20110106190009.000|20110106190009.000|XDS|%    TITLE: Without a Trace
20110106190011.000|20110106190011.000|XDS|%     DESC: Showdown
20110106190012.000|20110106195945.000|SEG|Type=Story
20110106190012.000|20110106190013.000|CC1|>>  HERE WE GO!                 
20110106190013.000|20110106190015.000|CC1|>>  STAND BY TWO, BILLY AND KIT.
20110106190015.000|20110106190016.000|CC1|>> STAND BY, CAMERA ONE.        
20110106190016.000|20110106190018.000|CC1|>> WE'RE LIVE IN FIVE, FOUR.    
20110106190018.000|20110106190018.000|CC1|>> THREE, TWO.                  
20110106190018.000|20110106190020.000|CC1|>>  CAMERA TWO.                 
20110106190020.000|20110106190021.000|CC1|>>  ONE!                        
20110106190021.000|20110106190022.000|CC1|>>  TODAY ON "ACCESS HOLLYWOOD  
20110106190022.000|20110106190023.000|CC1|LIVE" --                        
20110106190023.000|20110106190027.000|CC1|>>  THE MAN WITH THE GOLDEN     
20110106190027.000|20110106190027.000|CC1|VOICE.                          
20110106190027.000|20110106190029.000|CC1|OUR INTERVIEW, NINE KIDS AND HIS
20110106190029.000|20110106190031.000|CC1|NEW LOVE WITH MACARONI AND      
20110106190031.000|20110106190031.000|CC1|CHEESE.                         
20110106190031.000|20110106190032.000|CC1|HE'LL EXPLAIN.                  
20110106190032.000|20110106190037.000|CC1|>>  PLUS, BILLY, THE SITCH TAKE 
20110106190037.000|20110106190037.000|CC1|COVER.                          
20110106190037.000|20110106190039.000|CC1|>> KIT, CAN DAVID BECKHAM EVER  
20110106190039.000|20110106190039.000|CC1|LOOK LIKE CRAP?                 
20110106190039.000|20110106190040.000|CC1|>>  NO WAY.                     
20110106190040.000|20110106190043.000|CC1|>> THAT'S NOT WHAT HIS WIFE IS  
20110106190043.000|20110106190043.000|CC1|SAYING.                         
20110106190043.000|20110106190046.000|CC1|AND ZINA THE WARRIOR PRINCESS IS
20110106190046.000|20110106190047.000|CC1|HERE TO TALK ABOUT SEX.         
20110106190047.000|20110106190048.000|CC1|THAT'S RIGHT.                   
20110106190048.000|20110106190048.000|CC1|I SAID IT.                      
20110106190048.000|20110106190050.000|CC1|>> ALL RIGHT, BILLY.            
20110106190050.000|20110106190054.000|CC1|PLUS "BIGGEST LOSER" HOST ALLSON
20110106190054.000|20110106190056.000|CC1|SWEENEY IS LIVE WITH HOW TO GET 
20110106190056.000|20110106190057.000|CC1|HER BODY BACK AFTER BABY.       
20110106190057.000|20110106190059.000|CC1|>> NOW IT'S TIME FOR BILLY BUSH 
20110106190059.000|20110106190103.000|CC1|AND KIT HOOVER!                 
20110106190103.000|20110106190104.000|CC1|>>  I LOVE IT.                  
20110106190104.000|20110106190105.000|CC1|>>  HOW ABOUT THAT HAIRCUT ON   
20110106190105.000|20110106190106.000|CC1|TED?                            
20110106190106.000|20110106190107.000|CC1|LOOKING SNAPY!                  
20110106190107.000|20110106190108.000|CC1|>>  LOOKING GOOD.               
20110106190108.000|20110106190109.000|CC1|WELCOME TO "ACCESS HOLLYWOOD    
20110106190109.000|20110106190110.000|CC1|LIVE."                          
20110106190110.000|20110106190110.000|CC1|THAT WAS THE MAN WITH THE GOLDEN
20110106190110.000|20110106190111.000|CC1|VOICE.                          
20110106190111.000|20110106190113.000|CC1|TED WILLIAMS.                   
20110106190113.000|20110106190113.000|CC1|>> TED WILLIAMS.                
20110106190113.000|20110106190117.000|CC1|WHAT A GREAT NAME.              
20110106190117.000|20110106190118.000|CC1|HE WAS GOING TO JOIN US LIVE.   
20110106190118.000|20110106190119.000|CC1|HE ACTUALLY GOT A JOB OFFER AND 
20110106190119.000|20110106190121.000|CC1|HE TOOK IT!                     
20110106190121.000|20110106190122.000|CC1|>>  RIGHT NOW, BIG TED IS MAKING
20110106190122.000|20110106190123.000|CC1|SOME MONEY.                     
20110106190123.000|20110106190124.000|CC1|SO WE'RE VERY HAPPY FOR HIM.    
20110106190124.000|20110106190126.000|CC1|OF COURSE, WE UNDERSTAND.       
20110106190126.000|20110106190128.000|CC1|SO -- BUT WE DID INTERVIEW HIM  
20110106190128.000|20110106190128.000|CC1|EARLIER TODAY AND WE'LL HAVE    
20110106190128.000|20110106190130.000|CC1|THAT FOR YOU IN A MOMENT.       
20110106190130.000|20110106190131.000|CC1|>> I'M SO EXCITED ABOUT THAT    
20110106190131.000|20110106190131.000|CC1|STORY.                          
20110106190131.000|20110106190133.000|CC1|BILLY, WE KICK OFF THE BIG NEWS 
20110106190133.000|20110106190134.000|CC1|WITH THE PEOPLE'S CHOICE AWARDS.
20110106190134.000|20110106190136.000|CC1|LOTS OF STAR POWER LAST NIGHT.  
20110106190136.000|20110106190137.000|CC1|JENNIFER ANNISTON WAS THERE.    
20110106190137.000|20110106190140.000|CC1|YOU HAD A PREGNANT NATALIE      
20110106190140.000|20110106190141.000|CC1|PORTMAN.                        
20110106190141.000|20110106190142.000|CC1|JOHNNY DEPP TOOK HOME BEST ACTOR
20110106190142.000|20110106190143.000|CC1|AND THE TWILIGHT TRIO, LET'S    
20110106190143.000|20110106190149.000|CC1|TAKE A LOOK AT SOME OF THE      
20110106190149.000|20110106190151.000|CC1|HIGHLIGHTS.                     
20110106190151.000|20110106190153.000|CC1|>>  MY DAUGHTER SAID IF I DIDN'T
20110106190153.000|20110106190154.000|CC1|SAY HI TO YOU, I'D BE IN BIG    
20110106190154.000|20110106190155.000|CC1|TROUBLE.                        
20110106190155.000|20110106190157.000|CC1|SO HI FROM MY DAUGHTER.         
20110106190157.000|20110106190159.000|CC1|>>  OH, MY GOD, Y'ALL.          
20110106190159.000|20110106190201.000|CC1|OH, MY GOD, JACOB, EDWARD AND   
20110106190201.000|20110106190204.000|CC1|BELA!                           
20110106190204.000|20110106190207.000|CC1|BELLA!                          
20110106190207.000|20110106190213.000|CC1|>>  I'M SORRY, I'M SORRY.       
20110106190213.000|20110106190220.000|CC1|>>  "TWILIGHT" SAGA.            
20110106190220.000|20110106190224.000|CC1|BUT THANK YOU SO MUCH FOR THE   
20110106190224.000|20110106190226.000|CC1|PHONE, PEOPLE'S CHOICE I THINK I
20110106190226.000|20110106190227.000|CC1|BROKE IT ALREADY.               
20110106190227.000|20110106190228.000|CC1|>> BECAUSE WHEN YOU'RE UP FOR AN
20110106190228.000|20110106190232.000|CC1|AWARD, OK, AND YOU'RE UP AGAINST
20110106190232.000|20110106190235.000|CC1|OPRAH WINFREY, YOU DON'T WANT TO
20110106190235.000|20110106190235.000|CC1|WIN.                            
20110106190235.000|20110106190238.000|CC1|IT MAKES OPRAH VERY, VERY ANGRY!
20110106190238.000|20110106190246.000|CC1|>>  FAVORITE COMEDY ACTOR IS    
20110106190246.000|20110106190247.000|CC1|ADAM SANDLER.                   
20110106190247.000|20110106190251.000|CC1|>>  I HAVE A BLACK EYE AND I'M  
20110106190251.000|20110106190251.000|CC1|SORRY.                          
20110106190251.000|20110106190252.000|CC1|I GOT IT -- I WANTED TO GO TO A 
20110106190252.000|20110106190253.000|CC1|CONCERT.                        
20110106190253.000|20110106190256.000|CC1|I WANTED TO GO SEE THE BLACK    
20110106190256.000|20110106190300.000|CC1|EYED PEAS AND THE LADY THOUGHT I
20110106190300.000|20110106190300.000|CC1|SAID BLACK EYE, PLEASE.         
20110106190300.000|20110106190302.000|CC1|>>  I THOUGHT IT WAS FUNNY.     
20110106190302.000|20110106190302.000|CC1|>> THAT WAS GOOD.               
20110106190302.000|20110106190304.000|CC1|>> WE CUT OUT BEFORE THE        
20110106190304.000|20110106190304.000|CC1|LAUGHTER.                       
20110106190304.000|20110106190307.000|CC1|IT LOOKS LIKE THE ROOM WAS      
20110106190307.000|20110106190307.000|CC1|SILENT THERE.                   
20110106190307.000|20110106190309.000|CC1|BAD NIGHT OF HAIR FOR THE GUYS. 
20110106190309.000|20110106190309.000|CC1|>> ASHTON.                      
20110106190309.000|20110106190311.000|CC1|>> KUTCHER WITH THE HAIR DOWN   
20110106190311.000|20110106190312.000|CC1|LIKE THIS.                      
20110106190312.000|20110106190316.000|CC1|CONAN CUT HIS HAIR SHORT.       
20110106190316.000|20110106190318.000|CC1|>> AND EVEN FOR HIM, PRETTY     
20110106190318.000|20110106190318.000|CC1|ROUGH.                          
20110106190318.000|20110106190320.000|CC1|>> TWILIGHT LOOKS GOOD.         
20110106190320.000|20110106190321.000|CC1|>> WE'LL TAKE A HOOK AT THE     
20110106190321.000|20110106190321.000|CC1|DRESSES.                        
20110106190321.000|20110106190323.000|CC1|SOME OF THE FASHION LAST NIGHT, 
20110106190323.000|20110106190324.000|CC1|JENNIFER ANNISTON IN HER        
20110106190324.000|20110106190325.000|CC1|SIGNATURE BLACK HALTER AND PANTS
20110106190325.000|20110106190326.000|CC1|ALWAYS LOOKS GREAT.             
20110106190326.000|20110106190327.000|CC1|GREAT FIGURE.                   
20110106190327.000|20110106190329.000|CC1|>>  HOW ABOUT A PREGNANT NATALIE
20110106190329.000|20110106190330.000|CC1|PORTMAN?                        
