TOP|20110107020001|2011-01-07_0200_US_KMEX_Noticias_34
COL|Communication Studies Archive, UCLA 
UID|fec613da-1a05-11e0-b4e6-001517add60e
DUR|0:29:44.28
VID|640x480
CMT|
LAN|SPA
LBT|2011-01-06 18:00 America/Los_Angeles
SEG_01|2014-02-03 01:07:13|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110107020003.000|20110107022945.000|SEG|Type=Story
20110107020003.000|20110107020007.000|CC1|>> Buenas tardes podrían ser 10 
20110107020007.000|20110107020013.000|CC1|las victimas y 10 agresores,    
20110107020013.000|20110107020017.000|CC1|captados por camaras de         
20110107020017.000|20110107020019.000|CC1|seguridad, dieorn a conocer los 
20110107020019.000|20110107020023.000|CC1|rostros.                        
20110107020023.000|20110107020030.000|CC1|>> Es indignante porque         
20110107020030.000|20110107020037.000|CC1|deberíamos defenderlñas, dijo el
20110107020037.000|20110107020040.000|CC1|detective Anderson              
20110107020040.000|20110107020043.000|CC1|ANDERSON:La persona que entregó 
20110107020043.000|20110107020049.000|CC1|los videos que nos ayude a      
20110107020049.000|20110107020056.000|CC1|identificar a las victimas.     
20110107020056.000|20110107020109.000|CC1|>> 11 dvds entregaron de forma  
20110107020109.000|20110107020113.000|CC1|anónima, muestra violaciones.   
20110107020113.000|20110107020116.000|CC1|>> Está desnudo, se sube a la   
20110107020116.000|20110107020121.000|CC1|cama, viola a la victima y luego
20110107020121.000|20110107020126.000|CC1|el mismo se sube a la silla de  
20110107020126.000|20110107020129.000|CC1|ruedas y sale del lugar.        
20110107020129.000|20110107020135.000|CC1|>> Aún no se reconoce el lugar  
20110107020135.000|20110107020142.000|CC1|pero podría ser un lugar de     
20110107020142.000|20110107020146.000|CC1|cuidado u hospital.             
20110107020146.000|20110107020206.000|CC1|>> Se mostró el rostro de       
20110107020206.000|20110107020211.000|CC1|4violadores , queremos que noa  
20110107020211.000|20110107020216.000|CC1|ayuden con las imágenes, dieron 
20110107020216.000|20110107020221.000|CC1|a conocer hoy las imágenes ,    
20110107020221.000|20110107020225.000|CC1|lalme al siguiente número si    
20110107020225.000|20110107020229.000|CC1|reconoce a algún violador, en   
20110107020229.000|20110107020232.000|CC1|vivo, Luis.                     
20110107020232.000|20110107020244.000|CC1|>> Muchas gracias , le estaremos
20110107020244.000|20110107020248.000|CC1|informando, está suelto abusador
20110107020248.000|20110107020254.000|CC1|sexual de niños que, si lo      
20110107020254.000|20110107020259.000|CC1|reconoce llame a las            
20110107020259.000|20110107020304.000|CC1|autoridades, se identificó al   
20110107020304.000|20110107020308.000|CC1|sujeto que prenió fuego a su    
20110107020308.000|20110107020318.000|CC1|pareja, se trata de francisco   
20110107020318.000|20110107020331.000|CC1|lopez, denúncielo si conoce su  
20110107020331.000|20110107020336.000|CC1|paradero, explosiones en        
20110107020336.000|20110107020341.000|CC1|Meryland provocaron quemadroas a
20110107020341.000|20110107020343.000|CC1|funcionarios, estaban dirigod s 
20110107020343.000|20110107020345.000|CC1|O.                              
20110107020345.000|20110107020350.000|CC1|>> maley y otro al depto de     
20110107020350.000|20110107020355.000|CC1|transporte.                     
20110107020355.000|20110107020402.000|CC1|>> Dueños de empresas están en  
20110107020402.000|20110107020407.000|CC1|un programa que permite         
20110107020407.000|20110107020409.000|CC1|reeinventar el negocio.         
20110107020409.000|20110107020419.000|CC1|>> Mas de 14 millones de        
20110107020419.000|20110107020429.000|CC1|desempleados, pese a ello siguen
20110107020429.000|20110107020431.000|CC1|trabajando gracias al programa  
20110107020431.000|20110107020435.000|CC1|de ayuda a negocios.            
20110107020435.000|20110107020439.000|CC1|>> Cómo ser exitoso en estos    
20110107020439.000|20110107020443.000|CC1|tiempos duros.                  
20110107020443.000|20110107020450.000|CC1|>> La firma celebra a los       
20110107020450.000|20110107020454.000|CC1|empresarios de California ,     
20110107020454.000|20110107020458.000|CC1|Miguel iba a cerrar su negocio  
20110107020458.000|20110107020503.000|CC1|pero ahora piensa en expanderse.
20110107020503.000|20110107020511.000|CC1|>> Tengo una idea de cómo quiero
20110107020511.000|20110107020515.000|CC1|que crezca la compañía y las    
20110107020515.000|20110107020517.000|CC1|personas que quiero que         
20110107020517.000|20110107020522.000|CC1|trabajen.                       
20110107020522.000|20110107020529.000|CC1|>> Está orientado el programa a 
20110107020529.000|20110107020531.000|CC1|personas que necesitan despegar.
20110107020531.000|20110107020537.000|CC1|>> Otorga exceso de capital y   
20110107020537.000|20110107020540.000|CC1|ayuda logísitca.                
20110107020540.000|20110107020545.000|CC1|>> Tiene que tener al menos 2   
20110107020545.000|20110107020551.000|CC1|años e ingreso de 250 mil       
20110107020551.000|20110107020558.000|CC1|dólares al año y estar en areas 
20110107020558.000|20110107020600.000|CC1|marginales para postular.       
20110107020600.000|20110107020604.000|CC1|>> En los próximo años seran 10 
20110107020604.000|20110107020611.000|CC1|mil los que se graduñn, puede   
20110107020611.000|20110107020616.000|CC1|hacer la diferencia este año,   
20110107020616.000|20110107020620.000|CC1|reinvñntese.                    
20110107020620.000|20110107020624.000|CC1|>> Cuando justo empieza a verse 
20110107020624.000|20110107020634.000|CC1|la luz en la economía , la      
20110107020634.000|20110107020639.000|CC1|aseguradora quiere aumentar las 
20110107020639.000|20110107020644.000|CC1|primas, pretenden frenar el alza
20110107020644.000|20110107020646.000|CC1|masiva de esta empresa.         
20110107020646.000|20110107020700.000|CC1|>> Se ha vinculado vacunas al   
20110107020700.000|20110107020700.000|CC1|autismo, luego de desmentirlo   
20110107020700.000|20110107020701.000|CC1|surgn interrogantes en los      
20110107020701.000|20110107020702.000|CC1|padres.                         
20110107020702.000|20110107020708.000|CC1|>> El mayor enemigo del autismo 
20110107020708.000|20110107020712.000|CC1|es el deconocimiento del origen 
20110107020712.000|20110107020720.000|CC1|de la enfermedad.               
20110107020720.000|20110107020723.000|CC1|>> La diagnosticaron muy        
20110107020723.000|20110107020728.000|CC1|pequeña, me da trabajo          
20110107020728.000|20110107020733.000|CC1|comunicarme con el porque se    
20110107020733.000|20110107020739.000|CC1|sale de su mundo, creo que      
20110107020739.000|20110107020743.000|CC1|fueron 5 vacunas le dió fiebre. 
20110107020743.000|20110107020749.000|CC1|>> Se refiere a la teoria en la 
20110107020749.000|20110107020756.000|CC1|que decía que varios niños      
20110107020756.000|20110107020759.000|CC1|desarrollaban autismo luego de  
