TOP|20110107030001|2011-01-07_0300_US_FOX-News_On_the_Record_Greta_Van_Susteren
COL|Communication Studies Archive, UCLA 
UID|91cd0344-1a12-11e0-af92-001517add60e
DUR|0:59:44.04
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-06 19:00 America/Los_Angeles
SEG_01|2014-06-18 18:39:53|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110107030002.000|20110107030002.000|XDS|%   RATING: (NOT RATED) (72)
20110107030004.000|20110107030004.000|XDS|%     CALL: FNC 
20110107030003.000|20110107035945.000|SEG|Type=Story
20110107030003.000|20110107030006.000|CC1|BOTTOM OBAMAS AN IDEOLOGUE      
20110107030006.000|20110107030008.000|CC1|AND HE'S ONLY GOING TO MOVE SO  
20110107030008.000|20110107030009.000|CC1|FAR.                            
20110107030009.000|20110107030010.000|CC1|>> SEAN: ANK YOU.               
20110107030010.000|20110107030012.000|CC1|THATIS ALL TH TIME WE HAVE      
20110107030012.000|20110107030013.000|CC1|LEFT.                           
20110107030013.000|20110107030015.000|CC1|GRETA IS NEXT.                  
20110107030015.000|20110107030017.000|CC1|>> GRETA: TONIGHT'S QUESTIO     
20110107030017.000|20110107030017.000|XDS|%  NETWORK: Fox News Channel
20110107030017.000|20110107030018.000|CC1|O ARE WEUPPOSED TO              
20110107030018.000|20110107030018.000|CC1|BELIEVE?                        
20110107030018.000|20110107030020.000|CC1|THE WHITE HOUSE YS ONE TNG      
20110107030020.000|20110107030022.000|CC1|ABOUTILLEGAL IMMIGTION.         
20110107030022.000|20110107030023.000|CC1|SENATOR McCAIN ISERE AND H      
20110107030023.000|20110107030025.000|CC1|WILL TELLOU THEY ARE NOT        
20110107030025.000|20110107030027.000|CC1|TELLING YOU L.                  
20110107030027.000|20110107030028.000|CC1|>> CBO SAYS ONE THING ABOUT     
20110107030028.000|20110107030030.000|CC1|THE PRICE TAG ON T HEALTH       
20110107030030.000|20110107030031.000|CC1|CARE LAW.                       
