TOP|20110107033001|2011-01-07_0330_US_KCBS_The_Insider
COL|Communication Studies Archive, UCLA 
UID|913f0774-1a12-11e0-bbf0-001517add720
DUR|0:29:43.84
VID|640x368
CMT|
LAN|ENG
LBT|2011-01-06 19:30 America/Los_Angeles
SEG_01|2014-06-18 18:39:56|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110107033002.000|20110107033002.000|XDS|%    TITLE: Program Name
20110107033002.000|20110107033002.000|XDS|%  NETWORK: CBS 
20110107033002.000|20110107033002.000|XDS|%     CALL: CWD 
20110107033002.000|20110107033629.000|SEG|Type=Story
20110107033002.000|20110107033004.000|CC1|JOHN MELLONCAMP?                
20110107033004.000|20110107033005.000|CC1|>> WE'RE ON STAR WATCH.         
20110107033005.000|20110107033007.000|CC1|>> HAVE YOU CALLED JENNY YET?   
20110107033007.000|20110107033009.000|CC1|>> JENNY CRAIG'S BACKSTORY, WITH
20110107033009.000|20110107033010.000|CC1|A STAR MYSTERY BRIDE HALF HER   
20110107033010.000|20110107033012.000|CC1|SIZE.                           
20110107033012.000|20110107033014.000|CC1|>> LINGERIE FOOTBALL, WHAT YOU  
20110107033014.000|20110107033017.000|CC1|WON'T SEE AT THE SUPER BOWL.    
20110107033017.000|20110107033019.000|CC1|THE FULL CONTACT SPORT WITH     
20110107033019.000|20110107033020.000|CC1|WOMEN IN NOTHING BUT THEIR      
20110107033020.000|20110107033023.000|CC1|UNDERWEAR.                      
20110107033023.000|20110107033024.000|CC1|>> GREAT BLOCK.                 
20110107033024.000|20110107033024.000|CC1|>> DO OR DIE.                   
20110107033024.000|20110107033025.000|CC1|>> TOUCHDOWN!                   
20110107033025.000|20110107033025.000|CC1|>> NOW FROM HOLLYWOOD, "THE     
20110107033025.000|20110107033030.000|CC1|INSIDER" IS ON.                 
20110107033030.000|20110107033032.000|CC1|>> THE AMAZING STORY OF TED     
20110107033032.000|20110107033033.000|CC1|WILLIAMS FROM HOMELESS TO       
20110107033033.000|20110107033034.000|CC1|HOLLYWOOD.                      
20110107033034.000|20110107033035.000|CC1|IS IT TOO MUCH TOO SOON?        
20110107033035.000|20110107033035.000|CC1|WELCOME TO "THE INSIDER."       
20110107033035.000|20110107033036.000|CC1|I'M LARA SPENCER.               
20110107033036.000|20110107033038.000|CC1|>> I'M CHRIS JACOBS.            
20110107033038.000|20110107033040.000|CC1|THANK YOU FOR JOINING US.       
20110107033040.000|20110107033041.000|CC1|DID ELIZABETH EDWARDS CUT HER   
20110107033041.000|20110107033043.000|CC1|HUSBAND JOHN OUT OF HER WILL?   
20110107033043.000|20110107033047.000|CC1|WE HAVE THE DOCUMENTS.          
20110107033047.000|20110107033048.000|CC1|>> DAYS AGO, HE WAS LIVING ON   
20110107033048.000|20110107033053.000|CC1|THE STREETS.                    
20110107033053.000|20110107033056.000|CC1|>> NOW THE FORMER RADIO         
20110107033056.000|20110107033057.000|CC1|ANNOUNCER HAS BECOME A          
20110107033057.000|20110107033059.000|CC1|NATIONWIDE PHENOMENON.          
20110107033059.000|20110107033059.000|CC1|WILL HIS PAST THOUGH COME BACK  
20110107033059.000|20110107033100.000|CC1|TO HAUNT HIM.                   
20110107033100.000|20110107033101.000|CC1|IT'S TONIGHT'S TOP STORY.       
20110107033101.000|20110107033101.000|CC1|>> TED WILLIAMS, WOW.           
20110107033101.000|20110107033102.000|CC1|>> THE HOMELESS MAN WITH THE    
20110107033102.000|20110107033103.000|CC1|VELVET VOICE.                   
20110107033103.000|20110107033103.000|CC1|>> WE'LL BE BACK WITH MORE AFTER
20110107033103.000|20110107033104.000|CC1|THESE WORDS.                    
20110107033104.000|20110107033105.000|CC1|>> LOST EVERYTHING.             
20110107033105.000|20110107033107.000|CC1|>> EXCEPT HIS VOICE.            
20110107033107.000|20110107033109.000|CC1|>> YOU CAN BE ON YOUR KNEES ON  
