TOP|20110107180001|2011-01-07_1800_US_MSNBC_News_Live
COL|Communication Studies Archive, UCLA 
UID|4ba849b8-1a90-11e0-b6e6-001517add6fa
DUR|0:59:44.28
VID|640x480
CMT|
LAN|ENG
LBT|2011-01-07 10:00 America/Los_Angeles
SEG_01|2014-06-18 18:40:44|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110107180002.000|20110107180023.000|SEG|Type=Story
20110107180002.000|20110107180003.000|CC1|BARNIE FRANK.                   
20110107180003.000|20110107180005.000|CC1|>> I'M A REGULAR GUY WITH A BIG 
20110107180005.000|20110107180005.000|CC1|JOB.                            
20110107180005.000|20110107180006.000|CC1|I'M HUMBLED TO HAVE THE         
20110107180006.000|20110107180007.000|CC1|OPPORTUNITY THAT I HAVE TO BE   
20110107180007.000|20110107180008.000|CC1|THE SPEAKER OF THE HOUSE AND    
20110107180008.000|20110107180009.000|CC1|HAVE THE CONFIDENCE OF MY       
20110107180009.000|20110107180010.000|CC1|COLLEAGUES AND THE AMERICAN     
20110107180010.000|20110107180023.000|CC1|PEOPLE.                         
20110107180023.000|20110107180503.000|SEG|Type=Story
20110107180023.000|20110107180024.000|CC1|>>> GOOD DAY, I'M ANDREA        
20110107180024.000|20110107180025.000|CC1|MITCHELL LIVE IN WASHINGTON.    
20110107180025.000|20110107180026.000|CC1|POSITIVE NEWS ON THE JOB'S      
20110107180026.000|20110107180027.000|CC1|FRONT.                          
20110107180027.000|20110107180028.000|CC1|THE OVERALL UNEMPLOYMENT NUMBER 
20110107180028.000|20110107180030.000|CC1|IS DOWN TO 9.4%.                
20110107180030.000|20110107180031.000|CC1|THE BAD NEWS IS THAT THE U.S.   
20110107180031.000|20110107180035.000|CC1|ECONOMY HAD A NET GAIN OF ONLY  
20110107180035.000|20110107180036.000|CC1|103,000 JOBS, PRIVATE SECTOR    
20110107180036.000|20110107180038.000|CC1|JOBS LAST MONTH, FAR FEWER THAN 
20110107180038.000|20110107180039.000|CC1|HAD BEEN PROJECTED.             
20110107180039.000|20110107180042.000|CC1|14.5 MILLION AMERICANS ARE STILL
20110107180042.000|20110107180043.000|CC1|LOOKING FOR WORK.               
20110107180043.000|20110107180044.000|CC1|44% OF THEM HAVE BEEN WITHOUT A 
20110107180044.000|20110107180046.000|CC1|JOB FOR AT LEAST SEVEN MONTHS.  
20110107180046.000|20110107180047.000|CC1|AND THE REAL UNEMPLOYMENT RATE  
20110107180047.000|20110107180050.000|CC1|IS, OF COURSE, A LOT HIGHER IF  
20110107180050.000|20110107180051.000|CC1|YOU COUNT THE 1.3 MILLION       
20110107180051.000|20110107180053.000|CC1|WORKERS WHO HAVE GIVEN UP ON    
20110107180053.000|20110107180053.000|CC1|THEIR JOB SEARCH.               
20110107180053.000|20110107180055.000|CC1|HERE WITH US NOW, U.S. LABOR    
20110107180055.000|20110107180058.000|CC1|SECRETARY HILDA SALIS.          
20110107180058.000|20110107180100.000|CC1|THANK YOU FOR JOINING US.       
20110107180100.000|20110107180101.000|CC1|IT'S A MIXED REPORT.            
20110107180101.000|20110107180102.000|CC1|THE RATE IS DOWN AND YOU DON'T  
20110107180102.000|20110107180104.000|CC1|HAVE AS MANY JOBS CREATED AS YOU
20110107180104.000|20110107180104.000|CC1|WANT.                           
20110107180104.000|20110107180106.000|CC1|WHAT KIND OF TRENDS, THOUGH, ARE
20110107180106.000|20110107180106.000|CC1|YOU SEEING?                     
20110107180106.000|20110107180108.000|CC1|>> IF YOU LOOK BACK AT THIS     
20110107180108.000|20110107180111.000|CC1|YEAR, WE'VE ACTUALLY ADDED JOBS 
20110107180111.000|20110107180112.000|CC1|EVERY QUARTER OF THIS LAST YEAR 
20110107180112.000|20110107180114.000|CC1|AND WE'VE ACTUALLY IMPROVED.    
20110107180114.000|20110107180116.000|CC1|SO, 1.3 MILLION JOBS IN THE     
20110107180116.000|20110107180118.000|CC1|PRIVATE SECTOR IS NOT BAD.      
20110107180118.000|20110107180120.000|CC1|IT'S NOT THE BEST WE CAN DO, SO 
20110107180120.000|20110107180122.000|CC1|WE CERTAINLY HAVE TO KEEP MOVING
20110107180122.000|20110107180122.000|CC1|FORWARD.                        
20110107180122.000|20110107180123.000|CC1|THANK GOODNESS THAT WE WERE ABLE
20110107180123.000|20110107180124.000|CC1|RIGHT BEFORE THE END OF THE YEAR
20110107180124.000|20110107180126.000|CC1|TO BE ABLE TO GET THE TAX CUTS  
20110107180126.000|20110107180129.000|CC1|THROUGH THAT WILL HELP PUT MONEY
20110107180129.000|20110107180129.000|CC1|IN THE POCKETS OF SMALL         
20110107180129.000|20110107180131.000|CC1|BUSINESS, AS WELL AS FAMILIES SO
20110107180131.000|20110107180133.000|CC1|THAT THEY HAVE MORE DISPOSABLE  
20110107180133.000|20110107180134.000|CC1|INCOME.                         
20110107180134.000|20110107180135.000|CC1|HOPEFULLY PEOPLE WILL HIRE UP   
