TOP|20110108023001|2011-01-08_0230_US_KABC_World_News_With_Diane_Sawyer
COL|Communication Studies Archive, UCLA 
UID|5a39b53c-1ad3-11e0-b1e4-001517add720
DUR|0:29:44.58
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-07 18:30 America/Los_Angeles
SEG_01|2014-06-18 18:41:20|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110108023005.000|20110108023005.000|XDS|%  NETWORK: ABC
20110108023005.000|20110108023005.000|XDS|%   RATING: (NOT RATED) (72)
20110108023006.000|20110108023006.000|XDS|%    TITLE: ABC WORLD NEWS W/DIANE SAWYER
20110108023006.000|20110108023006.000|XDS|%     CALL:   
20110108023006.000|20110108023006.000|XDS|% TIMECODE: 1/07 20:30
20110108023006.000|20110108023006.000|XDS|%   LENGTH: 0:57:00 of 1:30:00
20110108023010.000|20110108023024.000|SEG|Type=Story
20110108023010.000|20110108023010.000|CC1|>>> TONIGHT ON "WORLD NEWS," ON 
20110108023010.000|20110108023011.000|CC1|EDGE.                           
20110108023011.000|20110108023013.000|CC1|ONE DAY AFTER TWO PACKAGES      
20110108023013.000|20110108023015.000|CC1|IGNITE AT GOVERNMENT OFFICES IN 
20110108023015.000|20110108023016.000|CC1|MARYLAND, ANOTHER IGNITES IN    
20110108023016.000|20110108023018.000|CC1|WASHINGTON.                     
20110108023018.000|20110108023019.000|CC1|THIS ONE, ADDRESSED TO THE      
20110108023019.000|20110108023023.000|CC1|HOMELAND SECURITY SECRETARY.    
20110108023023.000|20110108023024.000|CC1|WHO'S BEHIND THESE ATTACKS?     
20110108023024.000|20110108023031.000|SEG|Type=Story
20110108023024.000|20110108023025.000|CC1|>>> JOB HUNT.                   
20110108023025.000|20110108023025.000|CC1|PAYROLLS ARE UP.                
20110108023025.000|20110108023026.000|CC1|THE UNEMPLOYMENT RATE DOWN.     
20110108023026.000|20110108023028.000|CC1|NEW SIGNS OF RECOVERY.          
20110108023028.000|20110108023030.000|CC1|BUT THE ECONOMIC HOLE IS DEEP   
20110108023030.000|20110108023031.000|CC1|AND THE CLIMB IS SLOW.          
20110108023031.000|20110108023039.000|SEG|Type=Story
20110108023031.000|20110108023033.000|CC1|>>> WATER WARNING.              
20110108023033.000|20110108023034.000|CC1|THERE REALLY CAN BE TOO MUCH OF 
20110108023034.000|20110108023036.000|CC1|A GOOD THING.                   
20110108023036.000|20110108023037.000|CC1|THE TAP WATER STAPLE THAT MAY BE
20110108023037.000|20110108023039.000|CC1|HURTING YOUR TEETH.             
20110108023039.000|20110108023100.000|SEG|Type=Story
20110108023039.000|20110108023045.000|CC1|>>> AND, TOWERING ACHIEVEMENT.  
20110108023045.000|20110108023048.000|CC1|A MIGHTY MILESTONE FOR A        
20110108023048.000|20110108023049.000|CC1|TRAIL-BLAZING WOMAN, EVERY INCH 
20110108023049.000|20110108023050.000|CC1|A FIGHTER.                      
20110108023050.000|20110108023051.000|CC1|DIANE SAWYER WITH OUR "PERSON OF
20110108023051.000|20110108023100.000|CC1|THE WEEK."                      
20110108023100.000|20110108023231.000|SEG|Type=Story
20110108023100.000|20110108023101.000|CC1|>>> GOOD EVENING.               
20110108023101.000|20110108023103.000|CC1|AS WE COME ON THE AIR TONIGHT,  
20110108023103.000|20110108023105.000|CC1|WE'VE LEARNED THAT AMERICA'S TOP
20110108023106.000|20110108023106.000|XDS|%   LENGTH: 0:58:00 of 1:30:00
20110108023105.000|20110108023107.000|CC1|HOMELAND SECURITY OFFICIAL HAS  
20110108023107.000|20110108023107.000|CC1|BEEN THE TARGET OF AN EXPLOSIVE 
20110108023107.000|20110108023109.000|CC1|PACKAGE.                        
20110108023109.000|20110108023113.000|CC1|JUST ABOUT 24 HOURS AFTER TWO   
20110108023113.000|20110108023115.000|CC1|PARCELS IGNITED AT GOVERNMENT   
20110108023115.000|20110108023116.000|CC1|OFFICES IN MARYLAND, ANOTHER ONE
20110108023116.000|20110108023116.000|CC1|WENT OFF AT A FEDERAL POST      
20110108023116.000|20110108023117.000|CC1|OFFICE IN WASHINGTON, D.C.      
20110108023117.000|20110108023119.000|CC1|IT WAS ADDRESSED TO THE         
20110108023119.000|20110108023121.000|CC1|SECRETARY OF HOMELAND SECURITY, 
20110108023121.000|20110108023122.000|CC1|JANET NAPOLITANO.               
20110108023122.000|20110108023122.000|CC1|PIERRE THOMAS IS ON THE STORY   
20110108023122.000|20110108023123.000|CC1|AGAIN TONIGHT.                  
20110108023123.000|20110108023124.000|CC1|AND PIERRE, THIS REALLY RAISES  
20110108023124.000|20110108023125.000|CC1|THE STAKES FOR SECURITY         
20110108023125.000|20110108023127.000|CC1|OFFICIALS.                      
20110108023127.000|20110108023127.000|CC1|>> Reporter: GEORGE, IT REALLY  
20110108023127.000|20110108023128.000|CC1|DOES.                           
20110108023128.000|20110108023130.000|CC1|THE DEVICE WAS SENT TO A POSTAL 
20110108023130.000|20110108023131.000|CC1|FACILITY NOT FAR FROM WHERE I'M 
20110108023131.000|20110108023133.000|CC1|STANDING.                       
20110108023133.000|20110108023134.000|CC1|AS YOU CAN SEE,                 
20110108023134.000|20110108023137.000|CC1|POLICE HAVE SEALED OFF THE AREA.
20110108023137.000|20110108023139.000|CC1|THE DEVICES, AS YOU SAID, ARE   
20110108023139.000|20110108023142.000|CC1|SIMILAR IN NATURE TO TWO DEVICES
20110108023142.000|20110108023143.000|CC1|SENT TO MARYLAND OFFICIALS      
20110108023143.000|20110108023144.000|CC1|YESTERDAY.                      
20110108023144.000|20110108023144.000|CC1|THE DEVICE WAS SENT, AS YOU     
20110108023144.000|20110108023145.000|CC1|SAID, TO HOMELAND SECURITY      
20110108023145.000|20110108023146.000|CC1|SECRETARY JANET NAPOLITANO.     
20110108023146.000|20110108023147.000|CC1|SHE AND HER TEAM HAVE BEEN      
20110108023147.000|20110108023150.000|CC1|INFORMED AND NOW OFFICIALS      
20110108023150.000|20110108023151.000|CC1|ACROSS THIS REGION ARE ON HIGH  
20110108023151.000|20110108023152.000|CC1|ALERT.                          
20110108023152.000|20110108023154.000|CC1|>> YOU SAY THAT HER TEAM HAS    
20110108023154.000|20110108023155.000|CC1|BEEN INFORMED, BUT HAS THERE    
