TOP|20110108023001|2011-01-08_0230_US_KMEX_Noticiero_Univision
COL|Communication Studies Archive, UCLA 
UID|5ae42e54-1ad3-11e0-af6a-001517add6f2
DUR|0:29:44.54
VID|640x480
CMT|
LAN|SPA
LBT|2011-01-07 18:30 America/Los_Angeles
SEG_01|2014-06-18 18:41:20|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110108023005.000|20110108023039.000|SEG|Type=Story
20110108023005.000|20110108023008.000|CC1|yo me hice novia de mi mejor    
20110108023008.000|20110108023011.000|CC1|amiga.                          
20110108023011.000|20110108023015.000|CC1|>> La amistad es platónica,     
20110108023015.000|20110108023036.000|CC1|Buenas noches .                 
20110108023036.000|20110108023036.000|CC1|.                               
20110108023036.000|20110108023039.000|CC1|>> Exigen se le de el cuerpo.   
20110108023039.000|20110108023741.000|SEG|Type=Story
20110108023039.000|20110108023041.000|CC1|>>> Y el minero chileno fanático
20110108023041.000|20110108023046.000|CC1|de el Chris parís ley hizo un   
20110108023046.000|20110108023048.000|CC1|dueño visitando mano, del rey   
20110108023048.000|20110108023051.000|CC1|del rock en fen mis Tennesse.   
20110108023051.000|20110108023056.000|CC1|>> Este es el noticiero         
20110108023056.000|20110108023057.000|CC1|Univisión con Jorge Ramos y     
20110108023057.000|20110108023058.000|CC1|María Elena Salinas.            
20110108023058.000|20110108023100.000|CC1|>> Qué tal muy buenas noches el 
20110108023100.000|20110108023103.000|CC1|primer día de sesiones en la    
20110108023103.000|20110108023104.000|CC1|Cámara de Representantes un     
20110108023104.000|20110108023106.000|CC1|legislador republicano no perdió
20110108023106.000|20110108023107.000|CC1|tiempo para meter un proyecto de
20110108023107.000|20110108023109.000|CC1|ley que espera freno ne el flujo
20110108023109.000|20110108023111.000|CC1|de indocumentados al país la    
20110108023111.000|20110108023116.000|CC1|medida pide eliminar el derecho 
20110108023116.000|20110108023119.000|CC1|a la cuidadanía estadounidense  
20110108023119.000|20110108023124.000|CC1|aunque es protegido por la      
20110108023124.000|20110108023124.000|CC1|constitución, único corresponsal
20110108023124.000|20110108023126.000|CC1|tiene reacciónes y nos dice si  
20110108023126.000|20110108023127.000|CC1|el sector conservador del       
20110108023127.000|20110108023130.000|CC1|Congreso logrorá el objetivo.   
20110108023130.000|20110108023134.000|CC1|>> Republicanos de la cámara    
20110108023134.000|20110108023137.000|CC1|hacen un esfuerzo para negarle  
20110108023137.000|20110108023139.000|CC1|el esfuerzo para hijos de       
20110108023139.000|20110108023141.000|CC1|indocumentados nacidos en el    
20110108023141.000|20110108023142.000|CC1|país estadounidenses de acuerdo 
20110108023142.000|20110108023144.000|CC1|a la constitución.              
20110108023144.000|20110108023151.000|CC1|>> Su autor Steve scombir       
20110108023151.000|20110108023154.000|CC1|circuló una carta y dice que    
20110108023154.000|20110108023155.000|CC1|asegurará que quiénes violan    
20110108023155.000|20110108023159.000|CC1|leyes no sean recompensados,    
20110108023159.000|20110108023200.000|CC1|cerrará la puerta a olas del    
20110108023200.000|20110108023202.000|CC1|familiares y ayudará a terminar 
20110108023202.000|20110108023204.000|CC1|con la industria global del     
20110108023204.000|20110108023205.000|CC1|turismo de parto.               
20110108023205.000|20110108023208.000|CC1|Cita al centro del estudios de  
20110108023208.000|20110108023209.000|CC1|inmigración que ag boga por más 
20110108023209.000|20110108023212.000|CC1|contra elles y estima que cada  
20110108023212.000|20110108023215.000|CC1|año nacen entre 300 niños de    
20110108023215.000|20110108023218.000|CC1|padres indocumentados.          
20110108023218.000|20110108023220.000|CC1|>> El número parece aumento llar
20110108023220.000|20110108023223.000|CC1|creo que esta es la razón que se
20110108023223.000|20110108023225.000|CC1|den esfuerzos para detener el   
20110108023225.000|20110108023228.000|CC1|aumento, algunos congresistas   
20110108023228.000|20110108023231.000|CC1|creen que es porque no se hacen 
20110108023231.000|20110108023233.000|CC1|cumplir las leyes mi logra      
20110108023233.000|20110108023235.000|CC1|torias limitan a niños nagz idos
20110108023235.000|20110108023238.000|CC1|aquí con un padre ciudadano, y  
20110108023238.000|20110108023240.000|CC1|residente permanente o activo en
20110108023240.000|20110108023241.000|CC1|las Fuerzas Armadas.            
20110108023241.000|20110108023243.000|CC1|>> Lo que están tratan de hacer 
20110108023243.000|20110108023246.000|CC1|es seguir... el ambiente        
20110108023246.000|20110108023248.000|CC1|antiinmigrante y antilatino     
20110108023248.000|20110108023250.000|CC1|porque saben que legalmente este
20110108023250.000|20110108023252.000|CC1|tipo de propuestas la verdad no 
20110108023252.000|20110108023254.000|CC1|van a avanzar.                  
20110108023254.000|20110108023255.000|CC1|>> Mientras prom tenían atenerse
20110108023255.000|20110108023258.000|CC1|a la constitución algunos       
20110108023258.000|20110108023300.000|CC1|republicanos ya proponían       
20110108023300.000|20110108023300.000|CC1|cambiarla.                      
20110108023300.000|20110108023302.000|CC1|>> Son extremistas dentro está  
20110108023302.000|20110108023307.000|CC1|la republicana que están        
20110108023307.000|20110108023308.000|CC1|tratando de promover esto pero  
20110108023308.000|20110108023311.000|CC1|el Senado puede rechazar la     
20110108023311.000|20110108023311.000|CC1|medida.                         
20110108023311.000|20110108023313.000|CC1|>> Espe espero ash que fuera    
20110108023313.000|20110108023315.000|CC1|Presidente del subcomité de     
20110108023315.000|20110108023317.000|CC1|comisión pero nombró al         
20110108023317.000|20110108023318.000|CC1|representante Elton republicano 
20110108023318.000|20110108023320.000|CC1|de California, y también está   
20110108023320.000|20110108023322.000|CC1|semana legisladores estatales   
20110108023322.000|20110108023324.000|CC1|propusieron skuj ir que todos   
20110108023324.000|20110108023327.000|CC1|los certificados de nacimiento  
20110108023327.000|20110108023329.000|CC1|indiquen el estatus de padres.  
20110108023329.000|20110108023334.000|CC1|>> La noet es enmendar la       
20110108023334.000|20110108023336.000|CC1|conección sino que sea reto yaed
20110108023336.000|20110108023341.000|CC1|que llegue hasta la Corte       
20110108023341.000|20110108023345.000|CC1|Suprema y que vuelva a definir  
20110108023345.000|20110108023346.000|CC1|la 14 enmienda y quiénes ampara.
20110108023346.000|20110108023349.000|CC1|>> En capitolio Lourdes,        
20110108023349.000|20110108023349.000|CC1|Univisión.                      
20110108023349.000|20110108023351.000|CC1|>> Bueno no lejos de ahí un     
20110108023351.000|20110108023354.000|CC1|paquete que iba a la secretaría 
20110108023354.000|20110108023356.000|CC1|de seguridad se incendio ante de
20110108023356.000|20110108023358.000|CC1|que pudiera llegar a la oficina 
20110108023358.000|20110108023400.000|CC1|pero pudiera estar con otros dos
20110108023400.000|20110108023403.000|CC1|similares en edificios de       
20110108023403.000|20110108023404.000|CC1|Merylan Fernando Pizarro en     
20110108023404.000|20110108023405.000|CC1|Washington nos dice como se hace
20110108023405.000|20110108023407.000|CC1|la conexión.                    
20110108023407.000|20110108023408.000|CC1|>> Fernando.                    
20110108023408.000|20110108023410.000|CC1|>> Buenas tardes jor veías es un
20110108023410.000|20110108023415.000|CC1|paquete hallado poco ante de las
20110108023415.000|20110108023416.000|CC1|3 de la tarde en una            
20110108023416.000|20110108023417.000|CC1|ininstalación en la zona        
20110108023417.000|20110108023418.000|CC1|nor-este de Washington prendo eo
20110108023418.000|20110108023420.000|CC1|fuego un funcionario de correos 
20110108023420.000|20110108023422.000|CC1|notó que el paquete dirigido a  
20110108023422.000|20110108023428.000|CC1|la secretaría de seguridad      
20110108023428.000|20110108023428.000|CC1|nacional Jannet Napoli pan      
20110108023428.000|20110108023430.000|CC1|extendió chispas el edificio que
20110108023430.000|20110108023432.000|CC1|fue evacuado sin registrarse    
20110108023432.000|20110108023433.000|CC1|heridos no es una oficina postal
20110108023433.000|20110108023435.000|CC1|abierta al para público sino una
20110108023435.000|20110108023437.000|CC1|instalación de procesamiento de 
20110108023437.000|20110108023439.000|CC1|cartas y paquetes ubicada en una
20110108023439.000|20110108023442.000|CC1|zona industrial de la ciudad a  
20110108023442.000|20110108023444.000|CC1|solos tres millas del capitán   
20110108023444.000|20110108023445.000|CC1|lío y otros edad fuis de las    
20110108023445.000|20110108023448.000|CC1|jefa de la policía no confirmoó 
20110108023448.000|20110108023450.000|CC1|si el paco que tenía un nota    
20110108023450.000|20110108023453.000|CC1|pero el FBI dice que el paquete 
20110108023453.000|20110108023458.000|CC1|hallado el Viernes es similar al
20110108023458.000|20110108023501.000|CC1|del Jueves en otros edificio,   
20110108023501.000|20110108023503.000|CC1|uno b para el gobernador y fue  
20110108023503.000|20110108023506.000|CC1|hallado en un edificio estatal  
20110108023506.000|20110108023508.000|CC1|en la capital del estado a 30   
20110108023508.000|20110108023511.000|CC1|millas de Washington el otro fue
20110108023511.000|20110108023513.000|CC1|abierto con 15 minutos de       
20110108023513.000|20110108023514.000|CC1|diferencio en el departamento de
20110108023514.000|20110108023516.000|CC1|transporte de Merylan cerca del 
20110108023516.000|20110108023519.000|CC1|aeropuerto, y estaba dirigido a 
20110108023519.000|20110108023520.000|CC1|la secretaría de transporte del 
20110108023520.000|20110108023522.000|CC1|estado, paquetes tenían un      
20110108023522.000|20110108023525.000|CC1|mensaje firmado con la letra x  
20110108023525.000|20110108023527.000|CC1|que se quejaba de letreros      
20110108023527.000|20110108023529.000|CC1|electrónicos, pidiendo a        
20110108023529.000|20110108023530.000|CC1|conductores que llamen a        
20110108023530.000|20110108023533.000|CC1|conductor siz ven actividades   
20110108023533.000|20110108023533.000|CC1|sospechosa.                     
20110108023533.000|20110108023535.000|CC1|>> Fernando gracias.            
20110108023535.000|20110108023537.000|CC1|>> María Elena.                 
20110108023537.000|20110108023540.000|CC1|>> Bueno el cadáver del menor de
20110108023540.000|20110108023549.000|CC1|edad muerto nt en frontera para 
20110108023549.000|20110108023550.000|CC1|disputa.                        
20110108023550.000|20110108023551.000|CC1|Pero se niegan a entregarlo     
20110108023551.000|20110108023553.000|CC1|porque tienen otros planes,     
20110108023553.000|20110108023556.000|CC1|Carla Gómez nos explica.        
20110108023556.000|20110108023559.000|CC1|>> Dolor entre con los más      
20110108023559.000|20110108023603.000|CC1|conocían a el joven sus         
20110108023603.000|20110108023604.000|CC1|familiares y familiares         
20110108023604.000|20110108023606.000|CC1|esperarán el cuerpo para darle  
20110108023606.000|20110108023607.000|CC1|el último adiós.                
20110108023607.000|20110108023610.000|CC1|>> Lo esperábamos aquí.         
20110108023610.000|20110108023611.000|CC1|>> Pero investigaciones del     
20110108023611.000|20110108023615.000|CC1|tiroteo no permiten hacer el    
20110108023615.000|20110108023616.000|CC1|funeral es posible que tenga que
20110108023616.000|20110108023617.000|CC1|ser llevado a Estados Unidos    
20110108023617.000|20110108023619.000|CC1|para autopsia.                  
20110108023619.000|20110108023622.000|CC1|>> Lo que hacen es investigar y 
20110108023622.000|20110108023623.000|CC1|eso, pero deberían entregar el  
20110108023623.000|20110108023624.000|CC1|cuerpo ahorita.                 
20110108023624.000|20110108023627.000|CC1|>> Edgar vivía con estos jóvenes
20110108023627.000|20110108023629.000|CC1|con familia adaptotiva su       
20110108023629.000|20110108023631.000|CC1|familia había estado alejado de 
20110108023631.000|20110108023634.000|CC1|él y se habían reencontrado hace
20110108023634.000|20110108023635.000|CC1|3 meses.                        
20110108023635.000|20110108023636.000|CC1|>> Me transo tía la alegría que 
20110108023636.000|20110108023642.000|CC1|él tenía por encontrarnos a     
20110108023642.000|20110108023642.000|CC1|conversar contarme como vivía   
20110108023642.000|20110108023644.000|CC1|aquí con la señora y es muy     
20110108023644.000|20110108023647.000|CC1|noble el chamaco, no era vago,  
20110108023647.000|20110108023649.000|CC1|no era vicioso.                 
20110108023649.000|20110108023651.000|CC1|>> Desde los pequeños y adultos 
20110108023651.000|20110108023652.000|CC1|todos quienes lo conocían       
20110108023652.000|20110108023654.000|CC1|hablaban él como un joven lleno 
20110108023654.000|20110108023655.000|CC1|de alegría y coro ño y confiaran
20110108023655.000|20110108023657.000|CC1|que se hará justicia.           
20110108023657.000|20110108023700.000|CC1|>> Si fueron justos las cámaras 
20110108023700.000|20110108023702.000|CC1|ahí tienen cámaras, porque no   
20110108023702.000|20110108023705.000|CC1|sale lo de las cámaras ahí.     
20110108023705.000|20110108023707.000|CC1|>> Este incidente fatal que     
20110108023707.000|20110108023709.000|CC1|involucra a un agente estatal   
20110108023709.000|20110108023712.000|CC1|dicen se pudo haber prevenido.  
20110108023712.000|20110108023715.000|CC1|>> Si hubiera cometido algo     
20110108023715.000|20110108023717.000|CC1|ilícito o algo malo como para   
20110108023717.000|20110108023719.000|CC1|que le hiciera esto, basta con  
20110108023719.000|20110108023721.000|CC1|una de estas balas que le       
20110108023721.000|20110108023724.000|CC1|hubieran tirado que manejan los 
20110108023724.000|20110108023729.000|CC1|policías para tirar.            
20110108023729.000|20110108023734.000|CC1|>> Dicen que fueron asaltado por
20110108023734.000|20110108023736.000|CC1|un número interminado de        
20110108023736.000|20110108023737.000|CC1|personas y el agente hace       
20110108023737.000|20110108023739.000|CC1|labores administrativas mientras
20110108023739.000|20110108023741.000|CC1|agencias investigan el          
20110108023741.000|20110108023741.000|CC1|incidente.                      
20110108023741.000|20110108023815.000|SEG|Type=Story
20110108023741.000|20110108023743.000|CC1|>>>La patrulla nos comentó hoy  
20110108023743.000|20110108023745.000|CC1|que la infmación que se ha      
20110108023745.000|20110108023746.000|CC1|dado desde México son           
20110108023746.000|20110108023748.000|CC1|especulaciones y mientras tanto 
20110108023748.000|20110108023749.000|CC1|la familia esperan que pronto se
20110108023749.000|20110108023751.000|CC1|llegue a conclusión para que se 
20110108023751.000|20110108023754.000|CC1|diga la verdad lo que ocurrió.  
20110108023754.000|20110108023757.000|CC1|>> Desde tu escon arizona       
20110108023757.000|20110108023758.000|CC1|Univisión.                      
20110108023758.000|20110108023800.000|CC1|>> Esta mismo tarde en México   
20110108023800.000|20110108023802.000|CC1|confirmoó que la muerte fue por 
20110108023802.000|20110108023804.000|CC1|un disparo, un vocero del       
20110108023804.000|20110108023806.000|CC1|gobierno municipal de la ciudad 
20110108023806.000|20110108023810.000|CC1|dijo que un autopsia llegar a   
20110108023810.000|20110108023812.000|CC1|esta conclusión que murió por un
20110108023812.000|20110108023815.000|CC1|balazo y no por caerse del muro.
20110108023815.000|20110108024047.000|SEG|Type=Story
20110108023815.000|20110108023817.000|CC1|>>> Y balas de narcotráfico     
20110108023817.000|20110108023818.000|CC1|continúan cobrando víctimas en  
20110108023818.000|20110108023819.000|CC1|América central en una carretera
20110108023819.000|20110108023823.000|CC1|acaba de suceder, una masacre al
20110108023823.000|20110108023825.000|CC1|ser atacado un au bus es        
20110108023825.000|20110108023827.000|CC1|parecido a lo pasó en Guatemala,
20110108023827.000|20110108023830.000|CC1|entre las víctimas en este      
20110108023830.000|20110108023832.000|CC1|último caso hay mujeres y hay   
20110108023832.000|20110108023833.000|CC1|niños.                          
20110108023833.000|20110108023837.000|CC1|>> Vamos con el informe.        
20110108023837.000|20110108023844.000|CC1|>> Uno matanza de munnes y niños
20110108023844.000|20110108023845.000|CC1|ocurrido ha cono mov ahíed la   
20110108023845.000|20110108023847.000|CC1|sociedad go biaed por homicidios
20110108023847.000|20110108023851.000|CC1|de altas del mundo con          
20110108023851.000|20110108023852.000|CC1|fusilgencia m 6 y desconocidos  
20110108023852.000|20110108023855.000|CC1|que viajaban en vehículos       
20110108023855.000|20110108023857.000|CC1|interceptaron microbus y mataron
20110108023857.000|20110108023859.000|CC1|a todos, según autoridades la   
20110108023859.000|20110108023900.000|CC1|masacre es resultado de una     
20110108023900.000|20110108023903.000|CC1|guerra entre carteles de la     
20110108023903.000|20110108023905.000|CC1|droga que operan necesaria zona.
20110108023905.000|20110108023907.000|CC1|>> La acción fue un ajuste de   
20110108023907.000|20110108023909.000|CC1|cuentas que en la mañana de ayer
20110108023909.000|20110108023911.000|CC1|habían matado a miembro de un   
20110108023911.000|20110108023913.000|CC1|cartel y estos reaccionaron     
20110108023913.000|20110108023915.000|CC1|matando a los miembros de eso   
20110108023915.000|20110108023918.000|CC1|bus dónde supuestamente iba una 
20110108023918.000|20110108023921.000|CC1|persona que es de otro cartel.  
20110108023921.000|20110108023922.000|CC1|>> Autoridades han              
20110108023922.000|20110108023924.000|CC1|identificaciónado como a la     
20110108023924.000|20110108023925.000|CC1|doctora al posible blanco del   
20110108023925.000|20110108023927.000|CC1|ataque la mujer tendría un papel
20110108023927.000|20110108023928.000|CC1|en una de las bandas de         
20110108023928.000|20110108023929.000|CC1|distribución de drogas que      
20110108023929.000|20110108023932.000|CC1|operan en la región y haba      
20110108023932.000|20110108023934.000|CC1|sobrevivo ido, es un            
20110108023934.000|20110108023935.000|CC1|departamento donde operan       
20110108023935.000|20110108023938.000|CC1|regularmente narcos que reciben 
20110108023938.000|20110108023939.000|CC1|cocaína desde Sudamérica        
20110108023939.000|20110108023941.000|CC1|transporto nada aviónes que     
20110108023941.000|20110108023943.000|CC1|aterrizan en pistas clanz tinas 
20110108023943.000|20110108023944.000|CC1|según autoridades.              
20110108023944.000|20110108023947.000|CC1|>> Centroamérica cobra más      
20110108023947.000|20110108023948.000|CC1|importancia como la ruta de la  
20110108023948.000|20110108023949.000|CC1|cocaína desde América del sur   
20110108023949.000|20110108023950.000|CC1|hacia Estados Unidos.           
20110108023950.000|20110108023952.000|CC1|La embajada de Estados Unidos en
20110108023952.000|20110108023955.000|CC1|el Guatemala estima que por la  
20110108023955.000|20110108023958.000|CC1|ruta centro america transo ta   
20110108023958.000|20110108023959.000|CC1|cocaína anualmente.             
20110108023959.000|20110108024002.000|CC1|>> Y la violencia también azota 
20110108024002.000|20110108024005.000|CC1|a Guatemala donde el gobierno   
20110108024005.000|20110108024008.000|CC1|lanza ofensiva contra el cartel 
20110108024008.000|20110108024011.000|CC1|de los Zetas.                   
20110108024011.000|20110108024014.000|CC1|>> Y esta semana 7 personas     
20110108024014.000|20110108024018.000|CC1|murieron como resultado de      
20110108024018.000|20110108024019.000|CC1|ataque.                         
20110108024019.000|20110108024026.000|CC1|En el lugar del incidente fa    
20110108024026.000|20110108024027.000|CC1|cieron 7 personas y calcinados. 
20110108024027.000|20110108024029.000|CC1|>> El Presidente responsable zó 
20110108024029.000|20110108024032.000|CC1|a pandillas por este ataque.    
20110108024032.000|20110108024034.000|CC1|>> Aquí en Honduras Univisión.  
20110108024034.000|20110108024037.000|CC1|>> En un momento acciones por   
20110108024037.000|20110108024040.000|CC1|posibles aumentos de 59% en     
20110108024040.000|20110108024044.000|CC1|policías de seguros médicos en  
20110108024044.000|20110108024044.000|CC1|California.                     
20110108024044.000|20110108024047.000|CC1|>> Y el índice de desempleo en  
20110108024047.000|20110108024047.000|CC1|Estados Unidos.                 
20110108024047.000|20110108024828.000|SEG|Type=Story
20110108024047.000|20110108024049.000|CC1|>>> Y uno de los mineros chims  
20110108024049.000|20110108024051.000|CC1|atrapados bajo tierra durante   
20110108024051.000|20110108024052.000|CC1|más de dos meses convierte en   
20110108024052.000|20110108024239.000|CC1|realidad uno de sus sueño,      
20110108024239.000|20110108024302.000|SEG_01|Type=Commercial
20110108024239.000|20110108024240.000|CC1|     Ugh, congestión nasal.     
20110108024240.000|20110108024242.000|CC1|          Es tu culpa.          
20110108024242.000|20110108024242.000|CC1|                   Claro,       
20110108024242.000|20110108024244.000|CC1|            culpas la mucosidad.
20110108024244.000|20110108024244.000|CC1|              Prueba nuevo      
20110108024244.000|20110108024246.000|CC1|        Advil Congestion Relief.
20110108024246.000|20110108024246.000|CC1|        Reduce la hinchazón     
20110108024246.000|20110108024249.000|CC1|   causada por inflamación nasal
20110108024249.000|20110108024250.000|CC1|              el problema real. 
20110108024250.000|20110108024251.000|CC1|Para poder respirar...          
20110108024251.000|20110108024251.000|CC1|                  Nuevo         
20110108024251.000|20110108024302.000|CC1|        Advil Congestion Relief.
20110108024302.000|20110108024302.000|CC1|.                               
20110108024302.000|20110108024307.000|SEG_01|Type=Story start
20110108024302.000|20110108024307.000|CC1|>> Un pronóstico hecho por      
20110108024307.000|20110108024309.000|CC1|expertos contratarían a         
20110108024309.000|20110108024310.000|CC1|trabajadores, y últimos cifras  
20110108024310.000|20110108024314.000|CC1|sobre el desempleo son bastante 
20110108024314.000|20110108024316.000|CC1|buenos, Blanca Rosa vílchez con 
20110108024316.000|20110108024318.000|CC1|números y como estados ticos    
20110108024318.000|20110108024321.000|CC1|afectan a hispanos.             
20110108024321.000|20110108024323.000|CC1|>> Es la taza de desempleo más  
20110108024323.000|20110108024325.000|CC1|baja en más de un año y medio.  
20110108024325.000|20110108024327.000|CC1|Que hizo descender de nuevo     
20110108024327.000|20110108024329.000|CC1|punto ocho a punto.com por      
20110108024329.000|20110108024331.000|CC1|ciento el desempleo a nivel     
20110108024331.000|20110108024332.000|CC1|nacional.                       
20110108024332.000|20110108024334.000|CC1|>> Una cifra que trabajadores   
20110108024334.000|20110108024336.000|CC1|como Juan ya han sentido en sus 
20110108024336.000|20110108024337.000|CC1|centros de trabajo.             
20110108024337.000|20110108024340.000|CC1|>> Anteriormente eremos 20      
20110108024340.000|20110108024343.000|CC1|peonas que trabajamos de día y  
20110108024343.000|20110108024346.000|CC1|noche y pues ahora dos o        
20110108024346.000|20110108024348.000|CC1|personas y trabajan durante el  
20110108024348.000|20110108024348.000|CC1|día.                            
20110108024348.000|20110108024350.000|CC1|>> Es un modesto pero           
20110108024350.000|20110108024352.000|CC1|significativo incremento dicen  
20110108024352.000|20110108024354.000|CC1|las autoridades del Departamento
20110108024354.000|20110108024355.000|CC1|de Trabajo.                     
20110108024355.000|20110108024357.000|CC1|>> Si bajó un poco pero veo que 
20110108024357.000|20110108024359.000|CC1|todavía tenemos que ser mucho   
20110108024359.000|20110108024403.000|CC1|más crecimiento de trabajo desde
20110108024403.000|20110108024405.000|CC1|el año pasado fue comas un      
20110108024405.000|20110108024407.000|CC1|millón de trabajos que se han   
20110108024407.000|20110108024409.000|CC1|hecho en el sector privado y es 
20110108024409.000|20110108024411.000|CC1|muy importante.                 
20110108024411.000|20110108024412.000|CC1|>> Los empleos de Diciembre son 
20110108024412.000|20110108024414.000|CC1|menos, de los esperado pero sin 
20110108024414.000|20110108024415.000|CC1|embargo por el mercado laboral. 
20110108024415.000|20110108024418.000|CC1|>> El mercado esperaba 150 o    
20110108024418.000|20110108024420.000|CC1|inclusive más en Diciembre, qué 
20110108024420.000|20110108024422.000|CC1|significa de por sí que tenemos 
20110108024422.000|20110108024425.000|CC1|una taza de creación de empleo  
20110108024425.000|20110108024430.000|CC1|en buena, preso en en una       
20110108024430.000|20110108024432.000|CC1|reestruc oración el Presidente  
20110108024432.000|20110108024436.000|CC1|hizo cambios en su equipo       
