TOP|20110108060001|2011-01-08_0600_US_KABC_20-20
COL|Communication Studies Archive, UCLA 
UID|e1a2dc26-1af4-11e0-ba5d-001517add720
DUR|0:59:44.61
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-07 22:00 America/Los_Angeles
SEG_01|2014-06-18 18:41:32|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110108060002.000|20110108060002.000|XDS|%  NETWORK: ABC
20110108060002.000|20110108060002.000|XDS|%   RATING: (NOT RATED) (72)
20110108060003.000|20110108060003.000|XDS|%    TITLE: PRIMETIME: WHAT WOULD YOU DO?
20110108060003.000|20110108060003.000|XDS|%     CALL:   
20110108060003.000|20110108060003.000|XDS|% TIMECODE: 1/08 0:00
20110108060003.000|20110108060003.000|XDS|%   LENGTH: 1:08:00 of 0:00:00
20110108060003.000|20110108060003.000|XDS|%   LENGTH: 0:57:00 of 1:00:00
20110108060002.000|20110108065945.000|SEG|Type=Story
20110108060002.000|20110108060004.000|CC1|NOW, SEE WHAT'S NEXT ON "20/20" 
20110108060007.000|20110108060007.000|XDS|%    TITLE:   
20110108060004.000|20110108060009.000|CC1|STARTING RIGHT NOW.             
20110108060010.000|20110108060010.000|XDS|%    TITLE: 20/20
20110108060010.000|20110108060010.000|XDS|% TIMECODE: 1/08 1:00
20110108060010.000|20110108060010.000|XDS|%   LENGTH: 1:08:00 of 1:00:00
20110108060010.000|20110108060010.000|XDS|%   LENGTH: 0:00:00 of 1:00:00
20110108060009.000|20110108060012.000|CC1|>> TONIGHT, ON "20/20."         
20110108060012.000|20110108060016.000|CC1|THEY WERE PART OF THE IN CROWD. 
20110108060016.000|20110108060017.000|CC1|TEENAGE GIRLS WITH GOOD LOOKS   
20110108060017.000|20110108060018.000|CC1|AND ANY GUY THEY WANTED.        
20110108060018.000|20110108060020.000|CC1|THEN THEY ADOPTED THE MOST      
20110108060020.000|20110108060022.000|CC1|UNLIKELY NEW MEMBER OF ALL.     
20110108060022.000|20110108060024.000|CC1|>> I HATE TO SAY THIS, BUT SHE  
20110108060024.000|20110108060026.000|CC1|DID LOOK A LITTLE BIT CLOWNISH. 
20110108060026.000|20110108060034.000|CC1|>> AN UGLY DUCKLING THEY MANAGED
20110108060034.000|20110108060034.000|CC1|TO TRANSFORM.                   
20110108060034.000|20110108060038.000|CC1|>> HOW DID HER CINDERELLA STORY 
20110108060038.000|20110108060041.000|CC1|JUMP THE TRACKS TO END IN A     
20110108060041.000|20110108060042.000|CC1|CRIME SCENE?                    
20110108060042.000|20110108060044.000|CC1|>> HER FINGERS ARE INCHES AWAY  
20110108060044.000|20110108060045.000|CC1|FROM A CELL PHONE.              
20110108060045.000|20110108060046.000|CC1|>> I DON'T KNOW HOW ANYONE CAN  
20110108060046.000|20110108060047.000|CC1|DO THAT.                        
20110108060047.000|20110108060050.000|CC1|>> A COLD CASE, UNTIL MISS      
20110108060050.000|20110108060052.000|CC1|IRRESISTIBLE TALKING.           
20110108060052.000|20110108060055.000|CC1|WHOSE NAME DID SHE GIVE UP?     
20110108060055.000|20110108060056.000|CC1|>> WHAT HAPPENED?               
20110108060058.000|20110108060058.000|XDS|%   LENGTH: 0:01:00 of 1:00:00
20110108060056.000|20110108060101.000|CC1|>> WHO PUT AN END TO THE CLIQUE?
20110108060101.000|20110108060104.000|CC1|HERE NOW, CHRIS CUOMO AND       
20110108060104.000|20110108060105.000|CC1|ELIZABETH VARGAS.               
20110108060105.000|20110108060106.000|CC1|>> HELLO AND HAPPY NEW YEAR.    
20110108060106.000|20110108060108.000|CC1|ALL AROUND THE COUNTRY, YOUR    
20110108060108.000|20110108060110.000|CC1|KIDS ARE BACK AT SCHOOL.        
20110108060110.000|20110108060112.000|CC1|WILL THEIR CLASSMATES AND YOU   
20110108060112.000|20110108060113.000|CC1|HAVE THE SAME OLD QUESTIONS.    
20110108060113.000|20110108060117.000|CC1|WHO'S POPULAR AND WHO'S NOT.    
20110108060117.000|20110108060118.000|CC1|WHO GETS PICKED ON.             
20110108060118.000|20110108060120.000|CC1|IT'S A RITE OF PASSAGE THAT     
20110108060120.000|20110108060122.000|CC1|NEVER SEEMS TO CHANGE.          
20110108060122.000|20110108060124.000|CC1|>> PEER PRESSURE GETS TAKEN TO A
20110108060124.000|20110108060125.000|CC1|WHOLE NEW LEVEL IN TONIGHT'S    
20110108060125.000|20110108060126.000|CC1|STORY.                          
20110108060126.000|20110108060128.000|CC1|DEBORAH ROBERTS TAKES A LOOK AT 
20110108060128.000|20110108060131.000|CC1|WHAT REALLY GOES ON IN A        
20110108060131.000|20110108060132.000|CC1|PRIVILEGED HIGH SCHOOL WHERE THE
20110108060132.000|20110108060135.000|CC1|FIGHT TO FIT IN CAN LEAD TO 911 
20110108060135.000|20110108060137.000|CC1|CALLS AND SOME OF THOSE CALLS   
20110108060137.000|20110108060138.000|CC1|DON'T GET MADE UNTIL IT'S TOO   
20110108060138.000|20110108060144.000|CC1|LATE.                           
20110108060144.000|20110108060149.000|CC1|?                               
20110108060149.000|20110108060150.000|CC1|>> Reporter: CLEAR LAKE HIGH    
20110108060150.000|20110108060152.000|CC1|SCHOOL, JUST OUTSIDE HOUSTON,   
20110108060152.000|20110108060155.000|CC1|TEXAS IS THE PRIDE OF ITS TIDY  
20110108060155.000|20110108060156.000|CC1|SUBURBAN COMMUNITY.             
20110108060156.000|20110108060158.000|CC1|>> THERE WERE ALL KINDS OF      
20110108060158.000|20110108060158.000|CC1|SPORTS.                         
20110108060158.000|20110108060200.000|CC1|OUR BAND WAS ONE OF THE TOP.    
20110108060200.000|20110108060201.000|CC1|>> Reporter: KIDS OF OIL        
20110108060201.000|20110108060203.000|CC1|EXECUTIVES AND NASA ENGINEERS   
20110108060204.000|20110108060204.000|XDS|%   LENGTH: 0:02:00 of 1:00:00
20110108060203.000|20110108060205.000|CC1|ROAMED THE HALLS.               
20110108060205.000|20110108060208.000|CC1|>> DIFFERENT ACTIVITIES GOING   
20110108060208.000|20110108060208.000|CC1|ON.                             
20110108060208.000|20110108060210.000|CC1|>> Reporter: A TYPICAL SOCIAL   
20110108060210.000|20110108060215.000|CC1|HIERARCHY, WHO IS THE QUEEN BEE?
20110108060215.000|20110108060221.000|CC1|RACHEL KOLOROUTIS AND TIFFANY   
20110108060221.000|20110108060223.000|CC1|ROWELL STOOD ON TOP.            
20110108060223.000|20110108060226.000|CC1|>> TIFFANY STARRED IN THE SCHOOL
