TOP|20110108073001|2011-01-08_0730_US_KMEX_Noticiero_Univision_Ultima_Hora
COL|Communication Studies Archive, UCLA 
UID|430545e6-1afd-11e0-89fb-001517add6f2
DUR|0:29:44.54
VID|640x480
CMT|
LAN|SPA
LBT|2011-01-07 23:30 America/Los_Angeles
SEG_01|2014-06-18 18:41:37|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110108073002.000|20110108075945.000|SEG|Type=Story
20110108073002.000|20110108073038.000|SEG_01|Type=Commercial
20110108073002.000|20110108073005.000|CC1|mundo.                          
20110108073005.000|20110108073013.000|CC1|>> Que la pase muy bien y       
20110108073013.000|20110108073038.000|CC1|gracias por preferirnos.        
20110108073038.000|20110108073038.000|SEG_01|Type=Story start
20110108073038.000|20110108073038.000|CC1|>> UN AGENTE POLICIAL           
20110108073038.000|20110108073041.000|CC1|COLOMBIANO RINDE CUENTAS A LA   
20110108073041.000|20110108073042.000|CC1|JUSTICIA  POR VIOLAR A SU HIJA  
20110108073042.000|20110108073048.000|CC1|DE 16 AÑOS.                     
20110108073048.000|20110108073049.000|CC1|EL PRESIDENTE FELIPE CALDERÓN   
20110108073049.000|20110108073051.000|CC1|ARRANCA EL 2011 HACIENDO        
20110108073051.000|20110108073054.000|CC1|CAMBIOS EN SU GABINETES.        
20110108073054.000|20110108073055.000|CC1|UN HOMBRE INTRÉPIDO  PASA UN    
20110108073055.000|20110108073056.000|CC1|MES ENTERO ENCERRADO EN UNA     
20110108073056.000|20110108073101.000|CC1|JAULA CON LEONES.               
20110108073101.000|20110108073104.000|CC1|JURARÍA ESCAPAR DE LO QUE       
20110108073104.000|20110108073104.000|CC1|PARECIÓ UNA MUERTE SEGURA       
20110108073104.000|20110108073106.000|CC1|CUANDO CAMINABA SOBRE LA VÍA DE 
20110108073106.000|20110108073108.000|CC1|UN GRAN, TODO FUE CAPTADO EN    
20110108073108.000|20110108073114.000|CC1|VÍDEO.                          
20110108073114.000|20110108073116.000|CC1|>> MUY BUENAS NOCHES UN PLACER  
20110108073116.000|20110108073119.000|CC1|QUE NOS ACOMPAÑE.               
20110108073119.000|20110108073120.000|CC1| TERMINANDO SEMANA LABORAL,     
20110108073120.000|20110108073121.000|CC1|GRACIAS POR SU SINTONÍA EN      
20110108073121.000|20110108073126.000|CC1|ÚLTIMA HORA.                    
20110108073126.000|20110108073127.000|CC1|HOY NO SÓLO EN LA CAPITAL DEL   
20110108073127.000|20110108073128.000|CC1|PAÍS SINO RUMBO A LA MÁS        
20110108073128.000|20110108073129.000|CC1|SIMBÓLICA DE SUS SECRETARÍAS,   
20110108073129.000|20110108073132.000|CC1|DADO LO SUCEDIDO Y ESTO FUE. EN 
20110108073132.000|20110108073133.000|CC1|UN PAQUETE DIRIGIDO A LA        
20110108073133.000|20110108073136.000|CC1|SECRETARÍA DE SEGURIDAD INTERNA 
20110108073136.000|20110108073140.000|CC1|ÉSTE DETONÓ HOY EN UNA OFICINA  
20110108073140.000|20110108073140.000|CC1|DE CORREOS EN WASHINGTON.       
20110108073140.000|20110108073141.000|CC1|OTRO PAQUETE TAMBIÉN            
20110108073141.000|20110108073149.000|CC1|DESCUBIERTO NO LOGRÓ DETONAR.   
20110108073149.000|20110108073150.000|CC1|>> LÓGICO CLARO HASTA EL        
20110108073150.000|20110108073152.000|CC1|MOMENTO ES QUE EN EL ENVÍO DE   
20110108073152.000|20110108073155.000|CC1|ESTOS PAQUETES  SE HA UTILIZADO 
20110108073155.000|20110108073156.000|CC1|EL MISMO SISTEMA DEL CORREO     
20110108073156.000|20110108073156.000|CC1|REGULAR Y QUE LAS AUTORIDADES   
20110108073156.000|20110108073158.000|CC1|TIENEN EN SU PODER UNA NOTA EN  
20110108073158.000|20110108073159.000|CC1|LA QUE SU EMISARIO DICE ESTAR   
20110108073159.000|20110108073203.000|CC1|MOLESTO POR LOS LETREROS Y      
20110108073203.000|20110108073203.000|CC1|PROPAGANDA DISTRIBUIDA EN EL    
20110108073203.000|20110108073209.000|CC1|PAÍS DONDE LES PIDE A LOS       
20110108073209.000|20110108073210.000|CC1|CIUDADANOS REPORTAR SITOS EN    
20110108073210.000|20110108073211.000|CC1|ESOS PECHOS LOS A LA LÍNEA DE   
20110108073211.000|20110108073211.000|CC1|ALERTAS TERRORISTAS HABILITADA  
20110108073211.000|20110108073217.000|CC1|PARA ESTOS FINES.               
20110108073217.000|20110108073218.000|CC1|>>  VUELVE A OCURRIR EN ESTA    
20110108073218.000|20110108073219.000|CC1|OCASIÓN FUE DEL NORESTE DE      
20110108073219.000|20110108073220.000|CC1|WASHINGTON LA CAPITAL EN UNA    
20110108073220.000|20110108073220.000|CC1|OFICINA DE CORREOS EN LA QUE SE 
20110108073220.000|20110108073224.000|CC1|DISTRIBUYA LA CORRESPONDENCIA   
20110108073224.000|20110108073224.000|CC1|DESTINADA A EDIFICIOS FEDERALES 
20110108073224.000|20110108073225.000|CC1|Y EN ESTA OPORTUNIDAD ESTABA    
20110108073225.000|20110108073227.000|CC1|DIRIGIDO A LA SECRETARÍA DE     
20110108073227.000|20110108073232.000|CC1|SEGURIDAD NACIONAL. ALREDEDOR   
20110108073232.000|20110108073232.000|CC1|DE LAS 230 DE LA TARDE UN       
20110108073232.000|20110108073233.000|CC1|EMPLEADO DE TRACTOR PAQUETE DEL 
20110108073233.000|20110108073234.000|CC1|CUAL SIN HABER SIDO REVISADO    
20110108073234.000|20110108073239.000|CC1|COMENZÓ A SALIR HUMO TERMINANDO 
20110108073239.000|20110108073240.000|CC1|CON UN PEQUEÑO ESTALLIDO LO QUE 
20110108073240.000|20110108073241.000|CC1|PROVOCÓ QUE INMEDIATAMENTE SE   
20110108073241.000|20110108073242.000|CC1|DESPLEGARÁ UNIDADES ESPECIALES  
20110108073242.000|20110108073246.000|CC1|Y LA POLICÍA DEL EDIFICIO. LA   
20110108073246.000|20110108073247.000|CC1|JEFA DEL DEPARTAMENTO DE        
20110108073247.000|20110108073247.000|CC1|POLICÍA DIJO QUE EN ESTOS CASOS 
20110108073247.000|20110108073248.000|CC1|SE PROCEDE A RETIRAR A TODAS    
20110108073248.000|20110108073249.000|CC1|LAS PERSONAS DEL ÁREA Y SE      
20110108073249.000|20110108073253.000|CC1|ASEGURA EL PERÍMETRO, LO QUE    
20110108073253.000|20110108073253.000|CC1|LOS ESPECIALISTAS RASTREAN LA   
20110108073253.000|20110108073255.000|CC1|ZONA Y SE RETIRA EL ARTEFACTO   
20110108073255.000|20110108073301.000|CC1|EXPLOSIVO. POR SU PARTE EL      
20110108073301.000|20110108073301.000|CC1|ALCALDE DIJO QUE LO MÁS         
20110108073301.000|20110108073302.000|CC1|IMPORTANTE ES ASEGURAR LOS      
20110108073302.000|20110108073303.000|CC1|RESIDENTES Y EMPLEADOS EN LA    
20110108073303.000|20110108073306.000|CC1|CIUDAD Y QUE ENTIENDE, SE VAA   
20110108073306.000|20110108073306.000|CC1|LLEVAR A CABO UNA INVESTIGACIÓN 
20110108073306.000|20110108073307.000|CC1|CONJUNTA POR PARTE DEL FBI Y    
20110108073307.000|20110108073310.000|CC1|AUTORIDADES LOCALES EN ESTE Y   
20110108073310.000|20110108073310.000|CC1|OTROS INCIDENTE RELACIONADO CON 
20110108073310.000|20110108073317.000|CC1|EL ENVÍO DE PAQUETES EXPLOSIVOS.
20110108073317.000|20110108073317.000|CC1|EL ARTEFACTO DETECTADO EN LA    
20110108073317.000|20110108073318.000|CC1|CAPITAL DEL PAÍS ES SIMILAR A   
20110108073318.000|20110108073319.000|CC1|LOS QUE FORLÁN ENCONTRADOS EN   
20110108073319.000|20110108073320.000|CC1|VARIAS CIUDADES Y QUE PUSO EN   
20110108073320.000|20110108073326.000|CC1|ALERTA MÁXIMA A LAS AUTORIDADES.
20110108073326.000|20110108073327.000|CC1|AYER DOS PAQUETES ESTALLARON EN 
20110108073327.000|20110108073327.000|CC1|LAS MANOS DE LOS EMPLEADOS      
20110108073327.000|20110108073328.000|CC1|POSTALES JUSTO EN EL MOMENTO EN 
20110108073328.000|20110108073329.000|CC1|QUE LOS REVISABAN, UNA LAS      
20110108073329.000|20110108073330.000|CC1|INSTALACIONES DE UN EDIFICIO    
20110108073330.000|20110108073334.000|CC1|GUBERNAMENTAL QUE ESTABA        
20110108073334.000|20110108073335.000|CC1|DIRIGIDO AL GOBERNADOR Y EL     
20110108073335.000|20110108073336.000|CC1|OTRO A LA SECRETARÍA DE         
20110108073336.000|20110108073343.000|CC1|TRANSPORTE EN HANNOVER.         
20110108073343.000|20110108073344.000|CC1|EL SUPERINTENDENTE DE POLICÍA   
20110108073344.000|20110108073345.000|CC1|EN CONFERENCIA DE PRENSA HOY    
20110108073345.000|20110108073345.000|CC1|ENVIÓ UN CLARO MENSAJE          
20110108073345.000|20110108073346.000|CC1|SEÑALANDO QUE ESTOS INCIDENTES  
20110108073346.000|20110108073349.000|CC1|SON UN ASUNTO SERIO QUE CAUSA   
20110108073349.000|20110108073351.000|CC1|GRAN PREOCUPACIÓN ENTRE LAS     
20110108073351.000|20110108073355.000|CC1|AUTORIDADES EL GOBIERNO POR LO  
20110108073355.000|20110108073356.000|CC1|QUE NUESTRA TIMAR ESFUERZOS A   
20110108073356.000|20110108073400.000|CC1|ANDAR CON EL PARADERO DE QUIEN  
20110108073400.000|20110108073401.000|CC1|O QUIENES ESTÁN  DETRÁS DE      
20110108073401.000|20110108073402.000|CC1|ESTOS ENVÍOS QUE PONEN EL       
20110108073402.000|20110108073403.000|CC1|SEGURO PELIGRO LA SEGURIDAD DE  
20110108073403.000|20110108073409.000|CC1|TODOS.                          
20110108073409.000|20110108073409.000|CC1|TODOS LOS PAQUETES HAN SIDO     
20110108073409.000|20110108073410.000|CC1|ENVIADOS A UN LABORATORIO PARA  
20110108073410.000|20110108073411.000|CC1|ANÁLISIS FORENSE METAS QUE LA   
20110108073411.000|20110108073418.000|CC1|POLICÍA AÚN NO HA PODIDO        
20110108073418.000|20110108073419.000|CC1|IDENTIFICARA NINGÚN SOSPECHOSO  
20110108073419.000|20110108073420.000|CC1|LA PERA EN ESTE TIPO DE CASOS   
20110108073420.000|20110108073421.000|CC1|ES DE 20 AÑOS EN PRISIÓN.       
20110108073421.000|20110108073422.000|CC1|ESO ES TODO DE MI PARTE REGRESO 
20110108073422.000|20110108073423.000|CC1|CONTIGO.                        
20110108073423.000|20110108073431.000|CC1|>> OJALÁ SE DETENGA ESTO.       
20110108073431.000|20110108073433.000|CC1|UNA PROPUESTA ORIGINADA EN      
20110108073433.000|20110108073436.000|CC1|ARIZONA TUVO ECO EN UN          
20110108073436.000|20110108073437.000|CC1|CONGRESISTA Y YA FUE TRATADA    
20110108073437.000|20110108073441.000|CC1|CON EL PROPÓSITO DE IMPEDIR QUE 
20110108073441.000|20110108073443.000|CC1|LOS HIJOS DE INDOCUMENTADOS     
20110108073443.000|20110108073444.000|CC1|SEAN RECONOCIDOS COMO           
20110108073444.000|20110108073444.000|CC1|CIUDADANOS.                     
20110108073444.000|20110108073452.000|CC1|ESTO CADA VEZ SUENA MÁS.        
20110108073452.000|20110108073453.000|CC1|>> REPUBLICANOS DE LA CÁMARA    
20110108073453.000|20110108073455.000|CC1|NECESITARON UN ESFUERZO PARA    
20110108073455.000|20110108073458.000|CC1|NEGAR LA CIUDADANÍA A LO QUE    
20110108073458.000|20110108073458.000|CC1|DICEN SON CIENTOS DE MILES DE   
20110108073458.000|20110108073459.000|CC1|HIJOS DE INDOCUMENTADOS NACIDOS 
20110108073459.000|20110108073502.000|CC1|EN EL PAÍS, ESTADOUNIDENSES DE  
20110108073502.000|20110108073506.000|CC1|ACUERDO A LA CONSTITUCIÓN. SU   
20110108073506.000|20110108073509.000|CC1|AUTOR CÍRCULO A LA CÁMARA       
20110108073509.000|20110108073510.000|CC1|PIDIENDO QUE COPATROCINA LA     
20110108073510.000|20110108073511.000|CC1|PROPUESTA QUE HA EL PRODUCIDO,  
20110108073511.000|20110108073514.000|CC1|AFIRMA QUE SU APROBACIÓN        
20110108073514.000|20110108073517.000|CC1|ASEGURARA QUE QUIENES VIOLA LAS 
