TOP|20110109020001|2011-01-09_0200_US_FOX-News_US_Politics
COL|Communication Studies Archive, UCLA 
UID|e6655904-1ba4-11e0-9799-001517add6f2
DUR|1:59:43.87
VID|640x352
CMT|Tuscon Arizona Shooting Congresswoman Giffords
LAN|ENG
LBT|2011-01-08 18:00 America/Los_Angeles
SEG_01|2014-06-18 18:42:21|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110109020003.000|20110109020003.000|XDS|%   RATING: (NOT RATED) (72)
20110109020003.000|20110109020003.000|XDS|%     CALL: FNC 
20110109020003.000|20110109020100.000|SEG|Type=Story
20110109020003.000|20110109020004.000|CC1|TORROW MORNING,OX NEWS          
20110109020006.000|20110109020006.000|XDS|%  NETWORK: Fox News Channel
20110109020004.000|20110109020006.000|CC1|SUNDAY HOSTE BY BRETT BAIER.    
20110109020006.000|20110109020009.000|CC1|FOR A OF THE UPDATES WE'RE      
20110109020009.000|20110109020011.000|CC1|HERE LIVE WITHHE                
20110109020011.000|20110109020014.000|CC1|IGHT.                           
20110109020014.000|20110109020018.000|CC1|HER IS MEAGHIN AND BILL.        
20110109020018.000|20110109020019.000|CC1|>> Bill: GOOD ENING.            
20110109020019.000|20110109020023.000|CC1|HUNT IS UERWAY FOR A SECOND     
20110109020023.000|20110109020023.000|CC1|SUSPT.                          
20110109020023.000|20110109020025.000|CC1|IN A TRAGIC SHOOTING IN THE     
20110109020025.000|20110109020026.000|CC1|STE OF ARIZONA IT'S BN A        
20110109020026.000|20110109020029.000|CC1|WILD AND CZY DAY.               
20110109020029.000|20110109020032.000|CC1|A DAY THAT IS TUNKS IO NIGHT.   
20110109020032.000|20110109020036.000|CC1|'M BILL HEMMER SPECIAL EDION.   
20110109020036.000|20110109020039.000|CC1|GOOD TO HAVE WIT US.            
20110109020039.000|20110109020040.000|CC1|>> I'M MEGYN KELLY.             
20110109020040.000|20110109020042.000|CC1|IN JU THE LAST HOURS, POLICE    
20110109020044.000|20110109020044.000|XDS|%    TITLE: News, Fair and Balanced
20110109020042.000|20110109020046.000|CC1|OFFICERS SAY THAT ARINA         
20110109020046.000|20110109020047.000|CC1|CONGRESSWOMAN GIFFORDS WAS THE  
20110109020047.000|20110109020049.000|CC1|TAET IN TODAY'S SHOOTIN         
20110109020049.000|20110109020051.000|CC1|A SHOOTINGHAT KILLED 6 AND      
20110109020051.000|20110109020053.000|CC1|INJURED 13 OTHERS INCDING THE   
20110109020053.000|20110109020054.000|CC1|CONGRESSWOMAN.                  
20110109020054.000|20110109020057.000|CC1|HE IS TE SHERIFF SPEAKING AT    
20110109020057.000|20110109020100.000|CC1|A NEWS CONFERENCE MOMENTSGO.    
20110109020100.000|20110109020251.000|SEG|Type=Story
20110109020100.000|20110109020103.000|CC1|>>>ONGRESSWOMAN GIFFORDSAS      
20110109020103.000|20110109020104.000|CC1|SHOT ONCE IN THE HEAD.          
20110109020104.000|20110109020106.000|CC1|SH IS STILL ALIVE.              
20110109020106.000|20110109020109.000|CC1|THE SURGEON IN CHARGE IS        
20110109020109.000|20110109020112.000|CC1|CAUTIOUSLYPTIMISTIC THAT SHE    
20110109020112.000|20110109020113.000|CC1|MAY SURVIVE.                    
20110109020113.000|20110109020114.000|CC1|I DON'T KNOW THE ANSWER TO THE  
20110109020114.000|20110109020116.000|CC1|QUESON WAS HE IS THE FIRST      
20110109020116.000|20110109020120.000|CC1|PERSON SHOT, BUT I TNK, YES,    
20110109020120.000|20110109020125.000|CC1|SH WAS THE TARGE.               
20110109020125.000|20110109020128.000|CC1|A MALE, 22 YEARS OLD AND ATHIS  
20110109020128.000|20110109020130.000|CC1|POINT WRE NOT ABLE TO DIVULGE   
20110109020130.000|20110109020131.000|CC1|HIS NE.                         
20110109020131.000|20110109020133.000|CC1|HE HAS A TROUBLED PAS           
20110109020133.000|20110109020135.000|CC1|I CAN TEL YOU THAT.             
20110109020135.000|20110109020139.000|CC1|WE'RE NOT CONVINCEDHAT HE       
20110109020139.000|20110109020140.000|CC1|ACTED ALONE.                    
