TOP|20110109160002|2011-01-09_1600_US_KABC_This_Week
COL|Communication Studies Archive, UCLA 
UID|ddd8603e-1c11-11e0-8e72-001517add720
DUR|0:59:44.01
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-09 08:00 America/Los_Angeles
SEG_01|2014-06-18 18:42:43|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110109160004.000|20110109160004.000|XDS|%  NETWORK: ABC
20110109160004.000|20110109160004.000|XDS|%   RATING: (NOT RATED) (72)
20110109160004.000|20110109160004.000|XDS|%     CALL:   
20110109160004.000|20110109160004.000|XDS|%   LENGTH: 1:53:00 of 2:00:00
20110109160007.000|20110109160007.000|XDS|%    TITLE: GOOD MORNING AMERICA
20110109160010.000|20110109160010.000|XDS|%    TITLE: THIS WEEK
20110109160010.000|20110109160010.000|XDS|% TIMECODE: 1/09 11:00
20110109160010.000|20110109160010.000|XDS|%   LENGTH: 0:00:00 of 1:00:00
20110109160012.000|20110109160106.000|SEG|Type=Story
20110109160012.000|20110109160013.000|CC1|>>> THIS MORNING, WE ARE LIVE   
20110109160013.000|20110109160014.000|CC1|FROM THE SCENE AS THE NATION    
20110109160014.000|20110109160015.000|CC1|ABSORBS THE HORROR OF A GUN     
20110109160015.000|20110109160015.000|CC1|ATTACK IN BROAD DAYLIGHT ON     
20110109160015.000|20110109160016.000|CC1|CONGRESSWOMAN GABRIELLE         
20110109160016.000|20110109160017.000|CC1|GIFFORDS.                       
20110109160017.000|20110109160019.000|CC1|>> GABRIELLE GIFFORDS WAS GOING 
20110109160019.000|20110109160024.000|CC1|OUT PRACTICING THAT FIRST       
20110109160024.000|20110109160025.000|CC1|AMENDMENT RIGHT THAT SHE HAD,   
20110109160025.000|20110109160026.000|CC1|AND SOME BASTARD SHOT HER DOWN. 
20110109160026.000|20110109160028.000|CC1|>> SIX ARE KILLED BY AN ARIZONA 
20110109160028.000|20110109160029.000|CC1|GUNMAN, AND CONGRESSWOMAN       
20110109160029.000|20110109160029.000|CC1|GIFFORDS IS FIGHTING FOR HER    
20110109160029.000|20110109160033.000|CC1|LIFE.                           
20110109160033.000|20110109160034.000|CC1|12 MORE ARE SHOT AND WOUNDED,   
20110109160034.000|20110109160037.000|CC1|AND THE QUESTIONS HAVE STARTED. 
