TOP|20110109160001|2011-01-09_1600_US_KTTV-FOX_News_Sunday_with_Chris_Wallace
COL|Communication Studies Archive, UCLA 
UID|de288c80-1c11-11e0-8cba-001517add6f2
DUR|0:59:44.34
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-09 08:00 America/Los_Angeles
SEG_01|2014-02-03 01:07:15|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110109160003.000|20110109160003.000|XDS|%  NETWORK:  FOX
20110109160003.000|20110109160003.000|XDS|%   RATING: (NOT RATED) (72)
20110109160004.000|20110109160004.000|XDS|%    TITLE: FOX NEWS SUNDAY
20110109160004.000|20110109160004.000|XDS|%     CALL:  FOX
20110109160011.000|20110109165007.000|SEG|Type=Story
20110109160011.000|20110109160012.000|CC1|>> Bret: THIS WAS THE SCENE     
20110109160012.000|20110109160014.000|CC1|SATURDAY MORNING AT A GROCERY   
20110109160014.000|20110109160016.000|CC1|STORE IN TUCSON, ARIZONA,       
20110109160016.000|20110109160018.000|CC1|WHERE A GUNMAN SHOT             
20110109160018.000|20110109160019.000|CC1|CONGRESSWOMAN GABRIELLE         
20110109160019.000|20110109160021.000|CC1|GIFFORDS IN A SMALL CROWD OF    
20110109160021.000|20110109160022.000|CC1|CONSTITUENTS, KILLING SIX AND   
20110109160022.000|20110109160024.000|CC1|WOUNDING 12 OTHERS.             
20110109160024.000|20110109160026.000|CC1|I'M BRET BAIER IN FOR CHRIS     
20110109160026.000|20110109160026.000|CC1|WALLACE.                        
20110109160026.000|20110109160028.000|CC1|AND THIS IS "FOX NEWS           
20110109160028.000|20110109160029.000|CC1|SUNDAY."                        
20110109160029.000|20110109160030.000|CC1|WHILE WE'RE FOLLOWING THE       
20110109160030.000|20110109160031.000|CC1|MAJOR DEVELOPING STORY OUT      
20110109160031.000|20110109160033.000|CC1|WEST, HERE IN WASHINGTON        
20110109160033.000|20110109160034.000|CC1|AUTHORITIES WERE ALREADY ON     
20110109160034.000|20110109160035.000|CC1|EDGE OVER SEVERAL INCENDIARY    
20110109160035.000|20110109160036.000|CC1|DEVICES FOUND IN THE MAIL AT    
20110109160036.000|20110109160038.000|CC1|THE END OF THE WEEK, AND        
20110109160038.000|20110109160039.000|CC1|SECURITY WAS ALREADY TIGHTER    
20110109160039.000|20110109160041.000|CC1|AFTER INCREASED CHATTER FROM    
20110109160041.000|20110109160043.000|CC1|TERRORIST GROUPS OVERSEAS.      
20110109160043.000|20110109160043.000|CC1|NOW THIS.                       
20110109160043.000|20110109160045.000|CC1|HERE IS THE LATEST FROM         
20110109160045.000|20110109160046.000|CC1|ARIZONA.                        
20110109160046.000|20110109160047.000|CC1|CONGRESSWOMAN GIFFORDS IS IN    
20110109160047.000|20110109160049.000|CC1|CRITICAL CONDITION AFTER A      
20110109160049.000|20110109160051.000|CC1|BULLET PASSED THROUGH HER       
20110109160051.000|20110109160051.000|CC1|HEAD.                           
20110109160051.000|20110109160053.000|CC1|ARIZONA'S CHIEF FEDERAL JUDGE   
20110109160053.000|20110109160055.000|CC1|JOHN ROLL, ONE OF GIFFORDS'     
20110109160055.000|20110109160057.000|CC1|ARIZONA STAFF MEMBERS, AND A    
20110109160057.000|20110109160059.000|CC1|9-YEAR-OLD GIRL ARE AMONG THE   
20110109160059.000|20110109160059.000|CC1|DEAD.                           
20110109160059.000|20110109160101.000|CC1|ONE SUSPECT IDENTIFIED BY       
20110109160101.000|20110109160102.000|CC1|AUTHORITIES AS 22-YEAR-OLD      
20110109160102.000|20110109160104.000|CC1|JARED LOUGHNER WAS ARRESTED,    
20110109160104.000|20110109160106.000|CC1|AND A SECOND MAN IS BEING       
20110109160106.000|20110109160106.000|CC1|SOUGHT.                         
20110109160106.000|20110109160108.000|CC1|FOR MORE ON THIS STORY, WE      
20110109160108.000|20110109160110.000|CC1|TURN NOW TO CARL CAMERON ON     
20110109160110.000|20110109160111.000|CC1|CAPITOL HILL, AND TRACE         
20110109160111.000|20110109160113.000|CC1|GALLAGHER IN TUCSON.            
20110109160113.000|20110109160114.000|CC1|TRACE?                          
20110109160114.000|20110109160115.000|CC1|>> Reporter: GOOD MORNING,      
20110109160115.000|20110109160115.000|CC1|BRET.                           
20110109160115.000|20110109160117.000|CC1|WE'RE OUTSIDE THE UNIVERSITY    
20110109160117.000|20110109160118.000|CC1|MEDICAL CENTER, WHERE           
20110109160118.000|20110109160119.000|CC1|GABRIELLE GIFFORDS, THE         
20110109160119.000|20110109160121.000|CC1|CONGRESSWOMAN, REMAINS IN THE   
20110109160121.000|20110109160121.000|CC1|INTENSIVE CARE UNIT.            
20110109160121.000|20110109160123.000|CC1|SHE IS IN CRITICAL CONDITION,   
20110109160123.000|20110109160125.000|CC1|BUT DOCTORS ARE STILL VERY      
20110109160125.000|20110109160126.000|CC1|OPTIMISTIC ABOUT HER            
20110109160126.000|20110109160127.000|CC1|SURVIVAL.                       
20110109160127.000|20110109160129.000|CC1|THE BULLET, AS YOU SAID,        
20110109160129.000|20110109160130.000|CC1|PASSED THROUGH HER HEAD, BUT    
20110109160130.000|20110109160131.000|CC1|IT DID STRIKE PART OF HER       
20110109160131.000|20110109160132.000|CC1|BRAIN.                          
20110109160132.000|20110109160133.000|CC1|EVEN THOUGH SHE IS RESPONDING   
20110109160133.000|20110109160135.000|CC1|TO COMMANDS, MEDICAL EXPERTS    
20110109160135.000|20110109160136.000|CC1|SAY THAT DOES NOT RULE OUT      
20110109160136.000|20110109160138.000|CC1|THE POSSIBILITY OF LONG-TERM    
20110109160138.000|20110109160139.000|CC1|DAMAGE.                         
20110109160139.000|20110109160141.000|CC1|WE HAVE ALSO LEARNED THAT       
20110109160141.000|20110109160142.000|CC1|GABRIELLE GIFFORDS WAS THE      
20110109160142.000|20110109160144.000|CC1|INTENDED TARGET OF THIS         
20110109160144.000|20110109160144.000|CC1|ATTACK.                         
20110109160144.000|20110109160146.000|CC1|IN ALL, 19 PEOPLE WERE SHOT.    
20110109160146.000|20110109160148.000|CC1|SIX OF THEM KILLED.             
20110109160148.000|20110109160150.000|CC1|INCLUDING FEDERAL JUDGE JOHN    
20110109160150.000|20110109160152.000|CC1|ROLL, WHO WE JUST LEARNED       
20110109160152.000|20110109160153.000|CC1|ATTENDED THIS EVENT AND         
20110109160153.000|20110109160155.000|CC1|DECIDED TO ATTEND IT JUST AN    
20110109160155.000|20110109160156.000|CC1|HOUR BEFORE IT STARTED.         
20110109160156.000|20110109160159.000|CC1|A 9-YEAR-OLD GIRL, CHRISTINA    
20110109160159.000|20110109160200.000|CC1|GREEN, WAS ALSO KILLED.         
20110109160200.000|20110109160201.000|CC1|SHE WAS BROUGHT TO THE EVENT    
20110109160201.000|20110109160202.000|CC1|BY HER NEIGHBOR.                
20110109160202.000|20110109160204.000|CC1|13 OTHERS WOUNDED.              
20110109160204.000|20110109160206.000|CC1|HERE IS A WITNESS WHO           
20110109160206.000|20110109160208.000|CC1|DESCRIBES WHAT HE HEARD AND     
20110109160208.000|20110109160208.000|CC1|SAW.                            
20110109160208.000|20110109160209.000|CC1|LISTEN.                         
20110109160209.000|20110109160213.000|CC1|>> I DIDN'T THINK HE WAS A      
20110109160213.000|20110109160214.000|CC1|GUNMAN, THE WAY HE SHOOT WITH   
20110109160214.000|20110109160216.000|CC1|THE CONSISTENCY, THE FIRE,      
20110109160216.000|20110109160219.000|CC1|AND THE ACCURACY OF THE         
20110109160219.000|20110109160220.000|CC1|LETHALITY, HE GOT THE HEAD      
20110109160220.000|20110109160221.000|CC1|SHOTS IN.                       
20110109160221.000|20110109160223.000|CC1|HE HAD BEEN TO THE RANGE A      
20110109160223.000|20110109160225.000|CC1|FEW TIMES.                      
20110109160225.000|20110109160227.000|CC1|I WOULD SAY THIS WAS A          
20110109160227.000|20110109160228.000|CC1|PLANNED EVENT.                  
20110109160228.000|20110109160230.000|CC1|>> Reporter: WE ARE ALSO        
20110109160230.000|20110109160231.000|CC1|GETTING A LOT MORE              
20110109160231.000|20110109160232.000|CC1|INFORMATION ABOUT THE           
20110109160232.000|20110109160233.000|CC1|SUSPECT, 22-YEAR-OLD JARED      
20110109160233.000|20110109160234.000|CC1|LOUGHNER.                       
20110109160234.000|20110109160236.000|CC1|HE IS NOW BEING HELD BY THE     
20110109160236.000|20110109160237.000|CC1|F.B.I.                          
20110109160237.000|20110109160238.000|CC1|PIMA COUNTY SHERIFF SAYS HE     
20110109160238.000|20110109160239.000|CC1|HAS A TROUBLED PAST.            
20110109160239.000|20110109160240.000|CC1|WE HAVE LEARNED THAT HE         
20110109160240.000|20110109160242.000|CC1|DROPPED OUT OF HIGH SCHOOL,     
20110109160242.000|20110109160243.000|CC1|THAT HE WAS KICKED OUT OF A     
20110109160243.000|20110109160244.000|CC1|COMMUNITY COLLEGE AND TOLD HE   
20110109160244.000|20110109160246.000|CC1|COULD NOT COME BACK WITHOUT A   
20110109160246.000|20110109160247.000|CC1|MENTAL EVALUATION.              
20110109160247.000|20110109160249.000|CC1|WE HAVE SAID MANY TIMES HE      
20110109160249.000|20110109160251.000|CC1|POSTED THESE ANTI-GOVERNMENT    
20110109160251.000|20110109160252.000|CC1|RANTS ON THE INTERNET.          
20110109160252.000|20110109160254.000|CC1|AND NOW HE IS BEING             
20110109160254.000|20110109160255.000|CC1|INVESTIGATED FOR POSSIBLE       
20110109160255.000|20110109160258.000|CC1|TIES TO A GROUP CALLED          
20110109160258.000|20110109160259.000|CC1|AMERICAN RENAISSANCE.           
20110109160259.000|20110109160301.000|CC1|THAT APPARENTLY IS AN           
20110109160301.000|20110109160302.000|CC1|ANTI-GOVERNMENT,                
20110109160302.000|20110109160303.000|CC1|ANTI-IMMIGRATION,               
20110109160303.000|20110109160305.000|CC1|ANTI-SEMITIC GROUP.             
20110109160305.000|20110109160307.000|CC1|GABRIELLE GIFFORDS IS JEWISH.   
20110109160307.000|20110109160308.000|CC1|AND THERE IS INFORMATION NOW    
20110109160308.000|20110109160310.000|CC1|ABOUT A POTENTIAL SECOND        
20110109160310.000|20110109160311.000|CC1|SUSPECT, A PERSON OF INTEREST   
20110109160311.000|20110109160313.000|CC1|WHO MAY HAVE BEEN IN THE        
20110109160313.000|20110109160315.000|CC1|SAFEWAY WITH JARED LOUGHNER     
20110109160315.000|20110109160316.000|CC1|BEFORE THE SHOOTING HAPPENED.   
20110109160316.000|20110109160318.000|CC1|POLICE NOW LOOKING FOR A MAN    
20110109160318.000|20110109160320.000|CC1|IN HIS 40s TO 50s, A WHITE      
20110109160320.000|20110109160322.000|CC1|MALE WITH DARK HAIR, WHO WAS    
20110109160322.000|20110109160324.000|CC1|LAST SEEN WEARING BLUE JEANS    
20110109160324.000|20110109160325.000|CC1|AND A DARK JACKET.              
20110109160325.000|20110109160327.000|CC1|AND JARED LOUGHNER, BY THE      
20110109160327.000|20110109160329.000|CC1|WAY, TODAY, BRET, WILL BE       
20110109160329.000|20110109160331.000|CC1|ARRAIGNED 11:00 HERE IN         
20110109160331.000|20110109160332.000|CC1|TUCSON.                         
20110109160332.000|20110109160332.000|CC1|BRET?                           
20110109160332.000|20110109160333.000|CC1|>> Bret: TRACE GALLAGHER        
20110109160333.000|20110109160334.000|CC1|REPORTING FROM TUCSON.          
20110109160334.000|20110109160334.000|CC1|THANK YOU.                      
20110109160334.000|20110109160336.000|CC1|FOR REACTION FROM WASHINGTON,   
20110109160336.000|20110109160338.000|CC1|WE TURN NOW TO FOX NEWS CHIEF   
20110109160338.000|20110109160340.000|CC1|POLITICAL CORRESPONDENT, CARL   
