TOP|20110110020001|2011-01-10_0200_US_KABC_Eyewitness_News_6PM
COL|Communication Studies Archive, UCLA 
UID|7e540b04-1c61-11e0-aeae-001517add720
DUR|0:29:44.01
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-09 18:00 America/Los_Angeles
SEG_01|2014-06-18 18:42:55|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110110020114.000|20110110022945.000|SEG|Type=Story
20110110020114.000|20110110020115.000|CC1|>> A GUY GAME TO SAVE WAY       
20110110020115.000|20110110020117.000|CC1|AND STARTED SHOOTING.           
20110110020117.000|20110110020119.000|CC1|>> A GUY WITH A                 
20110110020119.000|20110110020121.000|CC1|SEMIAUTOMATIC PISTOL STARTED    
20110110020121.000|20110110020122.000|CC1|FIRING.                         
20110110020122.000|20110110020124.000|CC1|JOVANA: 911 CALLS GIVE NEW      
20110110020124.000|20110110020126.000|CC1|INSIGHT INTO A SHOOTING         
20110110020126.000|20110110020128.000|CC1|RAMPAGE IN TUCSON, I AM         
20110110020128.000|20110110020129.000|CC1|JOVANA LARA.                    
20110110020129.000|20110110020130.000|CC1|JOHN: I AM JOHN HARTUNG, WE     
20110110020130.000|20110110020131.000|CC1|BEGIN WITH LIVE TEAM            
20110110020131.000|20110110020132.000|CC1|COVERAGE OF THE TRAGEDY IN      
20110110020132.000|20110110020134.000|CC1|TUCSON, LEANNE SUTER WILL       
20110110020134.000|20110110020136.000|CC1|EXPLAIN WHY THE DODGERS ARE     
20110110020136.000|20110110020138.000|CC1|REACHING OUT TO ONE OF THE      
20110110020138.000|20110110020139.000|CC1|VICTIM'S FAMILIES, AND          
20110110020139.000|20110110020140.000|CC1|MELISSA MacBRIDE TALKS          
20110110020140.000|20110110020143.000|CC1|WITH A LOCAL NEUROSURGEON.      
20110110020143.000|20110110020146.000|CC1|AND WE BEGIN WITH ALEX          
20110110020146.000|20110110020151.000|CC1|MICHAELSON LIVE IN TUCSON.      
20110110020151.000|20110110020152.000|CC1|>> Reporter: WE UNDERSTAND      
20110110020152.000|20110110020154.000|CC1|THAT THE ALLEGED SHOOTER        
20110110020154.000|20110110020155.000|CC1|WILL BE IN COURT TOMORROW,      
20110110020155.000|20110110020157.000|CC1|WE UNDERSTAND THAT TONIGHT      
20110110020157.000|20110110020159.000|CC1|CONGRESSWOMAN'S HUSBAND,        
20110110020159.000|20110110020206.000|CC1|ASTRONAUT MARK KELLY            
20110110020206.000|20110110020209.000|CC1|SHEAR AT THE HOSPITAL.          
20110110020209.000|20110110020211.000|CC1|IT IS ALSO A SCENE OF AN        
