TOP|20110110140001|2011-01-10_1400_US_MSNBC_The_Daily_Rundown
COL|Communication Studies Archive, UCLA 
UID|43d4001a-1cca-11e0-bd73-001517add720
DUR|0:59:44.84
VID|640x480
CMT|
LAN|ENG
LBT|2011-01-10 06:00 America/Los_Angeles
SEG_01|2014-06-18 18:43:09|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110110140002.000|20110110140045.000|SEG|Type=Story
20110110140002.000|20110110140006.000|CC1|SHOWS US IN GOOD DETAIL.        
20110110140006.000|20110110140007.000|CC1|>> MIKE?                        
20110110140007.000|20110110140009.000|CC1|>> A COUNTRY THAT LEARNS VERY   
20110110140009.000|20110110140010.000|CC1|LITTLE.                         
20110110140010.000|20110110140012.000|CC1|GET REJECTED BY THE ARMY.       
20110110140012.000|20110110140013.000|CC1|GET A GLOCK AUTOMATIC.          
20110110140013.000|20110110140014.000|CC1|>> PAT?                         
20110110140014.000|20110110140015.000|CC1|>> WE'RE GOING TO HAVE A COOLING
20110110140015.000|20110110140020.000|CC1|OFF PERIOD, BUT I WONDER FOR    
20110110140020.000|20110110140023.000|CC1|HOONG HOW LONG WITH THE HOT     
20110110140023.000|20110110140024.000|CC1|RHETORIC.                       
20110110140024.000|20110110140028.000|CC1|>> WE SHOULD REMEMBER THAT SIX  
20110110140028.000|20110110140029.000|CC1|PEOPLE LOST THEIR LIVES         
20110110140029.000|20110110140029.000|CC1|SATURDAY.                       
20110110140029.000|20110110140030.000|CC1|INCLUDING A JUDGE, A MAN ENGAGED
20110110140030.000|20110110140032.000|CC1|TO BE MARRIED AND A 9-YEAR-OLD  
20110110140032.000|20110110140033.000|CC1|GIRL.                           
20110110140033.000|20110110140036.000|CC1|>> MAY THE CONVERSATION CONTINUE
20110110140036.000|20110110140036.000|CC1|PEACEFULLY.                     
20110110140036.000|20110110140038.000|CC1|>> IF IT'S WAY TOO EARLY, WHAT'S
20110110140038.000|20110110140040.000|CC1|TIME IS IT?                     
20110110140040.000|20110110140043.000|CC1|>> WAY TOO EARLY.               
20110110140043.000|20110110140045.000|CC1|STAY TUNED FOR THE DAILY        
20110110140045.000|20110110140045.000|CC1|RUNDOWN.                        
20110110140045.000|20110110140723.000|SEG|Type=Story
20110110140045.000|20110110140046.000|CC1|>>> THE TRAGEDY IN TUCSON.      
20110110140046.000|20110110140050.000|CC1|THE LATEST ON THE CONDITION OF  
20110110140050.000|20110110140052.000|CC1|GABRIELLE GIFFORDS AND THE      
20110110140052.000|20110110140053.000|CC1|NATION HONORS THE OTHER VICTIMS 
20110110140053.000|20110110140054.000|CC1|OF SATURDAY'S SHOOTING.         
20110110140054.000|20110110140056.000|CC1|PLUS --                         
20110110140056.000|20110110140102.000|CC1|>> THE ANGER, THE HATRED, THE   
20110110140102.000|20110110140103.000|CC1|BIGOTRY THAT GOES ON IN THIS    
20110110140103.000|20110110140106.000|CC1|COUNTRY IS GETTING TO BE        
20110110140106.000|20110110140106.000|CC1|OUTRAGEOUS.                     
20110110140106.000|20110110140108.000|CC1|>> WE'LL TALK TO THE LOCAL      
20110110140108.000|20110110140109.000|CC1|SHERIFF WHO SAYS THE HARSH      
20110110140109.000|20110110140111.000|CC1|POLITICAL RHETORIC COULD HAVE   
20110110140111.000|20110110140112.000|CC1|PLAYED A ROLE IN THIS SHOOTING. 
20110110140112.000|20110110140115.000|CC1|AND THE LATEST ON JARED LEE     
20110110140115.000|20110110140116.000|CC1|LOUGHNER.                       
20110110140116.000|20110110140121.000|CC1|WHAT WE'RE LEARNING ABOUT THE   
20110110140121.000|20110110140122.000|CC1|GUNMAN, HOW HE GOT THE GUN AND  
20110110140122.000|20110110140123.000|CC1|THE ATTACK.                     
20110110140123.000|20110110140125.000|CC1|SAVANNAH IS ON HER WAY TO TUCSON
20110110140125.000|20110110140125.000|CC1|THIS MORNING.                   
20110110140125.000|20110110140128.000|CC1|WE'RE GOING TO BEGIN IN TUCSON  
