TOP|20110110233001|2011-01-10_2330_US_KCAL_Inside_Edition
COL|Communication Studies Archive, UCLA 
UID|b45fddc2-1d15-11e0-b1b1-001517add6fa
DUR|0:29:44.04
VID|640x368
CMT|
LAN|ENG
LBT|2011-01-10 15:30 America/Los_Angeles
SEG_01|2014-06-18 18:43:46|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110110233013.000|20110110233024.000|SEG|Type=Story
20110110233013.000|20110110233015.000|CC1|>>> A NATION IN SHOCK.          
20110110233015.000|20110110233018.000|CC1|THE LAST PHOTO OF CONGRESSWOMAN 
20110110233018.000|20110110233020.000|CC1|GABBY GIFFORDS AND HER UNTOLD   
20110110233020.000|20110110233021.000|CC1|LOVE STORY.                     
20110110233021.000|20110110233024.000|CC1|HER HUSBAND THE ASTRONAUT.      
20110110233024.000|20110110233040.000|SEG|Type=Story
20110110233024.000|20110110233025.000|CC1|>>> THEN WHAT WE'VE LEARNED     
20110110233025.000|20110110233029.000|CC1|ABOUT THE ACCUSED ASSASSIN.     
20110110233029.000|20110110233031.000|CC1|>> THE HUMAN SKULL FOUND IN HIS 
20110110233031.000|20110110233031.000|CC1|BACKYARD.                       
20110110233031.000|20110110233034.000|CC1|>> AND SARAH PALIN CONTROVERSY. 
20110110233034.000|20110110233034.000|CC1|>> THE CROSS-HAIRS OF A GUN     
20110110233034.000|20110110233036.000|CC1|SIGHT OVER OUR DISTRICT.        
20110110233036.000|20110110233038.000|CC1|WHEN PEOPLE DO THAT THEY'VE GOT 
20110110233038.000|20110110233040.000|CC1|TO REALIZE THERE'S              
20110110233040.000|20110110233040.000|CC1|CONSEQUENCES.                   
20110110233040.000|20110110233045.000|SEG|Type=Story
20110110233040.000|20110110233043.000|CC1|>>> PLUS, BRISTOL PALIN MOVES   
20110110233043.000|20110110233044.000|CC1|INTO HER NEW HOME IN ARIZONA    
20110110233044.000|20110110233045.000|CC1|THE MORNING OF THE SHOOTING.    
20110110233045.000|20110110233054.000|SEG|Type=Story
20110110233045.000|20110110233048.000|CC1|>>> AND THE LITTLEST VICTIM.    
20110110233048.000|20110110233050.000|CC1|THE NINE-YEAR-OLD GIRL BORN ON  
20110110233050.000|20110110233050.000|CC1|9/11.                           
20110110233050.000|20110110233053.000|CC1|HER PARENTS' HEART BREAK.       
20110110233053.000|20110110233054.000|CC1|>> SHE'S A SPECIAL LITTLE GIRL. 
20110110233054.000|20110110233104.000|SEG|Type=Story
20110110233054.000|20110110233058.000|CC1|>>> PLUS, THE KATY HOLMES       
20110110233058.000|20110110233059.000|CC1|KENNEDY MINISERIES, CANCELED.   
20110110233059.000|20110110233100.000|CC1|WAS IT PRESSURE FROM THE        
20110110233100.000|20110110233104.000|CC1|KENNEDY FAMILY?                 
20110110233104.000|20110110234139.000|SEG|Type=Story
20110110233104.000|20110110233108.000|CC1|>>> NOW, "INSIDE EDITION" WITH  
20110110233108.000|20110110233109.000|CC1|DEBORAH NORVILLE.               
20110110233109.000|20110110233109.000|CC1|>> Deborah: HI, EVERYBODY.      
20110110233109.000|20110110233111.000|CC1|AND THANK YOU FOR JOINING US.   
20110110233111.000|20110110233113.000|CC1|THRATION WERE AT HALF-STAFF     
20110110233113.000|20110110233114.000|CC1|AROUND THE COUNTRY TODAY IN     
20110110233114.000|20110110233115.000|CC1|RESPONSE TO THE SHOOTING        
20110110233115.000|20110110233116.000|CC1|RAMPAGE IN TUCSON.              
20110110233116.000|20110110233118.000|CC1|WE'RE LEARNING MORE ABOUT THE   
20110110233118.000|20110110233119.000|CC1|YOUNG MAN CHARGED IN THE        
20110110233119.000|20110110233123.000|CC1|MASSACRE WHILE THE OBJECT OF    
20110110233123.000|20110110233124.000|CC1|HIS HATRED CONGRESSWOMAN        
20110110233124.000|20110110233124.000|CC1|GABRIELLE GIFFORDS CONTINUES TO 
20110110233124.000|20110110233125.000|CC1|FIGHT FOR HER LIFE.             
20110110233125.000|20110110233128.000|CC1|IT IS QUITE A CONTRAST FROM     
20110110233128.000|20110110233130.000|CC1|THIS PHOTO TAKEN JUST MOMENTS   
20110110233130.000|20110110233131.000|CC1|BEFORE THE SHOOTING.            
20110110233131.000|20110110233133.000|CC1|JIM MORET IS ON THE SCENE WITH  
20110110233133.000|20110110233135.000|CC1|OUR REPORT.                     
20110110233135.000|20110110233138.000|CC1|>> PRESIDENT OBAMA AND THE      
20110110233138.000|20110110233139.000|CC1|FIRST LADY LEAD A MOMENT OF     
20110110233139.000|20110110233141.000|CC1|SILENCE TO HONOR THE VICTIMS OF 
20110110233141.000|20110110233144.000|CC1|THE MASSACRE IN TUCSON.         
20110110233144.000|20110110233148.000|CC1|A BELL TOLLED AS THEY BOWED     
20110110233148.000|20110110233149.000|CC1|THEIR HEAD FOR MORE THAN A      
20110110233149.000|20110110233150.000|CC1|MINUTE ON THE WHITE HOUSE       
20110110233150.000|20110110233153.000|CC1|PORTICO, THEN WALKED SOLIDLY    
20110110233153.000|20110110233154.000|CC1|BACK INSIDE.                    
20110110233154.000|20110110233155.000|CC1|HUNDREDS OF MEMBERS OF CONGRESS 
20110110233155.000|20110110233155.000|CC1|PACKED THE CAPITAL STEPS TO     
20110110233155.000|20110110233158.000|CC1|HONOR SIX PEOPLE KILLED IN 14   
20110110233158.000|20110110233201.000|CC1|WOUNDED IN SATURDAY'S SHOOTING  
20110110233201.000|20110110233203.000|CC1|INCLUDING CONGRESSWOMAN         
20110110233203.000|20110110233204.000|CC1|GABRIELLE GIFFORDS.             
20110110233204.000|20110110233205.000|CC1|"INSIDE EDITION" HAS OBTAINED   
20110110233205.000|20110110233206.000|CC1|THE LAST PHOTOGRAPH OF GIFFORDS 
20110110233206.000|20110110233208.000|CC1|TAKEN JUST FIVE MINUTES BEFORE  
20110110233208.000|20110110233211.000|CC1|SHE WAS GUNNED DOWN.            
20110110233211.000|20110110233214.000|CC1|SHE'S POSING WITH CON STITT YOU 
20110110233214.000|20110110233214.000|CC1|WENTS.                          
20110110233214.000|20110110233215.000|CC1|SHERIFF'S DEPUTIES STILL HAVE   
20110110233215.000|20110110233218.000|CC1|THE SHOPPING AREA LOCKED DOWN   
20110110233218.000|20110110233219.000|CC1|AS THE INVESTIGATION CONTINUES  
20110110233219.000|20110110233220.000|CC1|OF THE DEADLY RAMPAGE.          
20110110233220.000|20110110233220.000|CC1|FOR THE FIRST TIME YOU CAN SEE  
20110110233220.000|20110110233224.000|CC1|WHERE THE SHOOTING OCCURRED.    
20110110233224.000|20110110233224.000|CC1|THEY WERE GATHERED RIGHT AROUND 
20110110233224.000|20110110233225.000|CC1|THAT UMBRELLA WHEN THE GUNMAN   
20110110233225.000|20110110233228.000|CC1|WALKED UP AND OPENED FIRE.      
20110110233228.000|20110110233229.000|CC1|>> THERE'S MORE THAN ONE PERSON 
