TOP|20110111030001|2011-01-11_0300_US_FOX-News_On_the_Record_Greta_Van_Susteren
COL|Communication Studies Archive, UCLA 
UID|3bb7f6a8-1d37-11e0-b5fe-001517add60e
DUR|0:59:44.94
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-10 19:00 America/Los_Angeles
SEG_01|2014-06-18 18:44:10|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110111030003.000|20110111030003.000|XDS|%     CALL: FNC 
20110111030004.000|20110111030004.000|XDS|%   RATING: (NOT RATED) (72)
20110111030005.000|20110111030005.000|XDS|%  NETWORK: Fox News Channel
20110111030006.000|20110111032300.000|SEG|Type=Story
20110111030006.000|20110111030008.000|CC1|BEING HRE.                      
20110111030008.000|20110111030009.000|CC1|GRETA IS CONTINNG WITH THE      
20110111030009.000|20110111030010.000|CC1|NEWS.                           
20110111030010.000|20110111030011.000|CC1|WE'LL SEEOU BACK HERE           
20110111030019.000|20110111030019.000|XDS|%    TITLE: News, Fair and Balanced
20110111030011.000|20110111030021.000|CC1|TOMORROW NIGHT.                 
20110111030021.000|20110111030023.000|CC1|>> GRETA: S INNOCENT PPLE       
20110111030023.000|20110111030023.000|CC1|GUNNED DOWN.                    
20110111030023.000|20110111030026.000|CC1|AT THIS HOUR CONGRESSWOMAN      
20110111030026.000|20110111030027.000|CC1|GABRIELLE GIFFORDS OT IN THE    
20110111030027.000|20110111030029.000|CC1|HE CLINGING TO LIFE.            
20110111030029.000|20110111030031.000|CC1|WE ARE LEARNING MORE ABOU       
20110111030031.000|20110111030033.000|CC1|JARE LOUGHNER THE M ACCUSED     
20110111030033.000|20110111030037.000|CC1|OF DOING T UNTHINKABLE.         
20110111030037.000|20110111030039.000|CC1|LOUGHNER W IN COURT A FEW       
20110111030039.000|20110111030040.000|CC1|HOS AGO.                        
20110111030040.000|20110111030041.000|CC1|A MAN WHO WAS FET FROM          
20110111030041.000|20110111030043.000|CC1|LOHNER IN COURTS HERE.          
20110111030043.000|20110111030044.000|CC1|ON THE RECORD TAKES YOU TO      
20110111030044.000|20110111030045.000|CC1|LOHNER'S HOME WHERE THE         
20110111030045.000|20110111030048.000|CC1|ACCUSED KILLER KEPT A BIZARRE   
20110111030048.000|20110111030049.000|CC1|RINE WITH A SKULL TH IS         
20110111030049.000|20110111030050.000|CC1|ONLY THE BEGINNING.             
20110111030050.000|20110111030051.000|CC1|A REPORT IS MINUTES AWAY.       
20110111030051.000|20110111030053.000|CC1|>> PLUS, ARINA GOVERNOR         
20110111030053.000|20110111030054.000|CC1|BREWER GOEON THE RECORD.        
20110111030054.000|20110111030056.000|CC1|WHAT DOES GOVERNOR DO TO        
20110111030056.000|20110111030100.000|CC1|HELP A GRIEF STRICKE STATE?     
20110111030100.000|20110111030102.000|CC1|>> A MAN WHO VERYELL MIGHT      
20110111030102.000|20110111030104.000|CC1|HA SAVED CONGSSWOMAN            
20110111030104.000|20110111030106.000|CC1|GIFFORDS' LIFE HIS NAMES        
20110111030106.000|20110111030107.000|CC1|DANIEL HERNANDEZ HE'S AN        
20110111030107.000|20110111030108.000|CC1|INTERN FOR THE CONGRESSWOMAN    
20110111030108.000|20110111030110.000|CC1|AND RUSHEDO HER SIDE AFTER      
20110111030110.000|20110111030111.000|CC1|SHE WAS SHOT.                   
20110111030111.000|20110111030113.000|CC1|MOMENTS AGOE WENT ON THE        
20110111030113.000|20110111030114.000|CC1|RECORD.                         
20110111030114.000|20110111030117.000|CC1|DANIEL, VERY NICEO MEET YOU.    
20110111030117.000|20110111030119.000|CC1|>> THANK YOU FOR HAVING ME ON   
20110111030119.000|20110111030120.000|CC1|ETA.                            
20110111030120.000|20110111030121.000|CC1|>> GRETA: I SUPPOSE YOU KN      
20110111030121.000|20110111030123.000|CC1|HOW MUCH WE ALL ADMIRE YOU FOR  
20110111030123.000|20110111030125.000|CC1|YOUR HEROIC TIONS, YOURS AND    
20110111030125.000|20110111030128.000|CC1|OTHERS ON SATURY IT WAS         
20110111030128.000|20110111030131.000|CC1|TRULY REMARKABLE.               
20110111030131.000|20110111030133.000|CC1|>> THANK Y.                     
20110111030133.000|20110111030135.000|CC1|>> GRETA: DANIEL, I KNOW YOU    
20110111030135.000|20110111030137.000|CC1|HAVE TOLDHE STORY A MILLION     
20110111030137.000|20110111030139.000|CC1|TIMES, TELL US, WHAT HAPPENED?  
20110111030139.000|20110111030141.000|CC1|WHY WERE YOU THER               
20110111030141.000|20110111030143.000|CC1|KE ME STEP-BY-STEP THROUGH      
20110111030143.000|20110111030144.000|CC1|YOURORNING.                     
20110111030144.000|20110111030146.000|CC1|>> I RECENTLY START AS AN       
20110111030146.000|20110111030150.000|CC1|INTERN AT CONGRESSWOMAN'S       
20110111030150.000|20110111030151.000|CC1|CONGRESSIONAL OFFICE, STARTED   
20110111030151.000|20110111030153.000|CC1|MONDAY OFLAST WEEIN HER         
20110111030153.000|20110111030155.000|CC1|OFFICE                          
20110111030155.000|20110111030157.000|CC1|MIDWAY THRGH THE WEEK I WAS     
20110111030157.000|20110111030158.000|CC1|ASD IF I WOULD LIKE TOELP       
20110111030158.000|20110111030200.000|CC1|OUT TO STAFF' VEN CALLED        
20110111030200.000|20110111030202.000|CC1|CONGRE ON YOUR CORNER.          
20110111030202.000|20110111030204.000|CC1|WHERE THE CONGRESSWOM WOULD     
20110111030204.000|20110111030206.000|CC1|GOUT INTOHE COMMUNITY AND       
20110111030206.000|20110111030208.000|CC1|TRY AND ILLICIT RESPONSESROM    
20110111030208.000|20110111030209.000|CC1|THE COMMUTY OF WHAT WAS         
20110111030209.000|20110111030212.000|CC1|GOING ON, WHAT WAS O THEIR S?   
20110111030212.000|20110111030213.000|CC1|AND JUST HAVE AN OPPORTUNI      
20110111030213.000|20110111030216.000|CC1|TO SAK TH CONSTITUENTS          
20110111030216.000|20110111030216.000|CC1|ONE-ON-ONE.                     
20110111030216.000|20110111030219.000|CC1|MY JOB WAGOING TO BE TO TRY     
20110111030219.000|20110111030221.000|CC1|AND ST THE FLOW OF TRAFFIC.     
20110111030221.000|20110111030225.000|CC1|EVERYONEWOULDN'T HAVE THE       
20110111030225.000|20110111030226.000|CC1|OPPORTUNITY THE OPPORTUNI TO    
20110111030226.000|20110111030228.000|CC1|SPEAK WITH HER O-ON-ONE.        
20110111030228.000|20110111030231.000|CC1|WE WANTED TO IT AS ORDERLY AS   
20110111030231.000|20110111030233.000|CC1|POSSIBLE SO EVERYONE WOULD      
20110111030233.000|20110111030234.000|CC1|HAVE A CHANCE TO SPEAK WIT      
20110111030234.000|20110111030235.000|CC1|HER.                            
20110111030235.000|20110111030237.000|CC1|>> GRETA: WHEN DID YOU FIRST    
20110111030237.000|20110111030238.000|CC1|NOTICE THERE WAS AROBLEM?       
20110111030238.000|20110111030240.000|CC1|>> THE EVENT WAS SCHEDULE TO    
20110111030240.000|20110111030247.000|CC1|GO FROM 10 TO 11:THIRD -- TO    
20110111030247.000|20110111030248.000|CC1|11:30.                          
20110111030248.000|20110111030251.000|CC1|AT 100 I HEARD GUHOTS.          
20110111030251.000|20110111030253.000|CC1|I MAY HAVEEARD SOMEON YELL      
20110111030253.000|20110111030253.000|CC1|GUN.                            
20110111030253.000|20110111030255.000|CC1|BECAUSE I WAS A THE BACK OF     
20110111030255.000|20110111030257.000|CC1|THE LINE SIGNING PEOPLE IN, I   
20110111030257.000|20110111030259.000|CC1|WAS 30 TO 40 FEET AWAY.         
20110111030259.000|20110111030300.000|CC1|THE ADVANTA POINT I HAD WAS     
20110111030300.000|20110111030301.000|CC1|NOT VERY GOO                    
20110111030301.000|20110111030303.000|CC1|I WAS DIFCULT TO SEE,           
20110111030303.000|20110111030305.000|CC1|BECAE I W AROUND AORNER         
20110111030305.000|20110111030308.000|CC1|WHERE THE CONGRESSWOMAN WA      
20110111030308.000|20110111030311.000|CC1|IF TRE WAS A GUNSHOT, I         
20110111030311.000|20110111030312.000|CC1|ASSUMETHAT T CONGRESOMAN        
20110111030312.000|20110111030314.000|CC1|WOULD PROBABLY BE A TARGET,     
20110111030314.000|20110111030316.000|CC1|JUST BECSE OF HER POSITION.     
20110111030316.000|20110111030319.000|CC1|WANTED TO MAKE SURE THAT        
20110111030319.000|20110111030320.000|CC1|WHEN I KNEW GUNSHOTS WE         
20110111030320.000|20110111030322.000|CC1|HAPPENING, I WOULD RUN TOWAR    
20110111030322.000|20110111030324.000|CC1|WHERE THEONGRESSWOMAN WAS TO    
20110111030324.000|20110111030325.000|CC1|MA SURE SHE WAOKAY, AS          
20110111030325.000|20110111030327.000|CC1|WELL AS THOSEROUND HER.         
20110111030327.000|20110111030329.000|CC1|>> GRETA: YOU RAN UP TOHER      
20110111030329.000|20110111030330.000|CC1|AND WHAT D YOU SEE?             
20110111030330.000|20110111030332.000|CC1|>> I RAN TOWARDS THE DIRTION    
20110111030332.000|20110111030333.000|CC1|THAT I KNEW THE CONGRESSWOMA    
20110111030333.000|20110111030334.000|CC1|WOULD BE.                       
20110111030334.000|20110111030337.000|CC1| I SAW THERE WERE A FEW PEOPLE  
20110111030337.000|20110111030339.000|CC1|DOWNN THE GROUND.               
20110111030339.000|20110111030341.000|CC1|USING THE BASIC TRIAGE AND      
20110111030341.000|20110111030343.000|CC1|FIRST-AID SKILLS THAT I KNEW,   
20110111030343.000|20110111030344.000|CC1|I STARTED AESSING E PEOPLE      
20110111030344.000|20110111030345.000|CC1|WHO WERE THERE.                 
20110111030345.000|20110111030347.000|CC1|I GOT TO TWO OR TREE PEOPLE     
20110111030347.000|20110111030349.000|CC1|CHECKING PULSES D MAKING        
20110111030349.000|20110111030351.000|CC1|SURE THEY WERE STILL BREATHING  
20110111030351.000|20110111030352.000|CC1|BEFORE I NOTICED THE            
20110111030352.000|20110111030354.000|CC1|CONGRESSWOMAN HAD BEEN HI       
20110111030354.000|20110111030356.000|CC1|SHE HAD BEEN HIT PRETTY         
20110111030356.000|20110111030356.000|CC1|SEVERELY.                       
20110111030356.000|20110111030359.000|CC1|SHE HAD A GUNSHOT TO THE HD.    
20110111030359.000|20110111030401.000|CC1|SH BECAME MY T AND ON           
20110111030401.000|20110111030402.000|CC1|PRIORITY.                       
20110111030402.000|20110111030404.000|CC1|SHE WAS ONHE GROUN, SO MY       
20110111030404.000|20110111030406.000|CC1|FIRST INSTINCT WAS TO MAKE      
20110111030406.000|20110111030408.000|CC1|SURE THAT I PROTECTED HER       
20110111030408.000|20110111030409.000|CC1|BREATHING.                      
20110111030409.000|20110111030411.000|CC1| KNOW THAT THERE'S A DANGER     
20110111030411.000|20110111030413.000|CC1|OF ASPHYXIAON, ESPECIALLY IN    
20110111030413.000|20110111030414.000|CC1|THE POSITION SHE WAS IN.        
20110111030414.000|20110111030416.000|CC1|I PICKED R UP ANDROPPED         
20110111030416.000|20110111030418.000|CC1|HER UP MYHEST SO SHE WAS        
20110111030418.000|20110111030420.000|CC1|SITTING IN AN UPRIGHT POSION    
20110111030420.000|20110111030423.000|CC1|SO IT WOULD BEASIER FOR HER     
20110111030423.000|20110111030424.000|CC1|TO BREATHE.                     
20110111030424.000|20110111030426.000|CC1|ONCE I HAD HER IN A POSITION    
20110111030426.000|20110111030427.000|CC1|ERE SHE WOULD BREATHE, I        
20110111030427.000|20110111030429.000|CC1|PLIED PRESSURE  HER WOUND       
20110111030429.000|20110111030431.000|CC1|TO MAKE SURE WEOULD STEM AS     
20110111030431.000|20110111030434.000|CC1|MUCHF THE BLOOD LOSSAS          
20110111030434.000|20110111030435.000|CC1|POSSIBLE.                       
20110111030435.000|20110111030437.000|CC1|>> GRETADID SHE SAYI            
20110111030437.000|20110111030437.000|CC1|ANYTHING?                       
20110111030437.000|20110111030439.000|CC1|>>ONGRESSWOMAN GIVE FORCES      
20110111030439.000|20110111030441.000|CC1|AS COMPLETELY CONSCIOUS THE     
20110111030441.000|20110111030442.000|CC1|ENTIRE TIME ALERT AND           
20110111030442.000|20110111030444.000|CC1|RESPONSIVE TO WHAT I WAS        
20110111030444.000|20110111030444.000|CC1|SAYING.                         
20110111030444.000|20110111030446.000|CC1|HOWEVER, THE WAY SHE WA         
20110111030446.000|20110111030448.000|CC1|COMMUNICING WAS NONVERBAY.      
20110111030448.000|20110111030450.000|CC1|SHE WOULD ACKNOWLEDGMY          
20110111030450.000|20110111030451.000|CC1|PRESENCE AND QSTIONS I HAD      
20110111030451.000|20110111030454.000|CC1|BY SQUEEZING MY ARM OR HAND     
20110111030454.000|20110111030455.000|CC1|WHEN I WOULD ASK HER            
20110111030455.000|20110111030456.000|CC1|QUESTION.                       
20110111030456.000|20110111030457.000|CC1|>> GRE: HOW LONG DID YOU        
20110111030457.000|20110111030458.000|CC1|MAIN WITH HER?                  
20110111030458.000|20110111030500.000|CC1|>> I STAYED WH HER THE          
20110111030500.000|20110111030500.000|CC1|ENTIRE TIME.                    
20110111030500.000|20110111030502.000|CC1|SECONDS AFTER THE GUN SHOTS     
20110111030502.000|20110111030504.000|CC1|WERE FIRED, UNTIL SHE ARRED     
20110111030504.000|20110111030506.000|CC1|AT UNIVERSITY MEDICAL CENR,     
20110111030506.000|20110111030508.000|CC1|I WAS WITH T CONGRESSWOM.       
20110111030508.000|20110111030509.000|CC1|>> GRETA: YOU WERE IN THE       
20110111030509.000|20110111030510.000|CC1|AMBULANCE AS WELL?              
20110111030510.000|20110111030512.000|CC1|>> THAT'S CORRECT.              
20110111030512.000|20110111030516.000|CC1|ONCE THE EMT'S ARRIVED I NO     
20110111030516.000|20110111030517.000|CC1|LONGER SAW M JOB AS TRYING TO   
20110111030517.000|20110111030520.000|CC1|HELP HE NEEDSPHYSICALLY.        
20110111030520.000|20110111030522.000|CC1|I SAW THATY JOB HA SHIFTED,     
20110111030522.000|20110111030524.000|CC1|BEUS EXPERTS                    
20110111030524.000|20110111030524.000|CC1|WERE THERE                      
