TOP|20110111063002|2011-01-11_0630_US_ComedyCentral_Daily_Show
COL|Communication Studies Archive, UCLA 
UID|1461cfec-1d51-11e0-8369-001517add6f2
DUR|0:34:44.58
VID|640x480
CMT|
LAN|ENG
LBT|2011-01-10 22:30 America/Los_Angeles
SEG_01|2014-06-18 18:44:17|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110111063008.000|20110111070446.000|SEG|Type=Story
20110111063008.000|20110111063031.000|SEG_01|Type=Commercial
20110111063008.000|20110111063010.000|CC1|           ( sighing )          
20110111063010.000|20110111063011.000|CC1|( kids cheering )               
20110111063011.000|20110111063013.000|CC1|     Hey, what the...? Whoa!    
20110111063013.000|20110111063014.000|CC1|                Get away!       
20110111063014.000|20110111063015.000|CC1|                Come on!        
20110111063015.000|20110111063015.000|CC1|     I just got all that gum    
20110111063015.000|20110111063017.000|CC1|          off of there.         
20110111063017.000|20110111063019.000|CC1|   Hey, hey, uh, stop that...   
20110111063019.000|20110111063020.000|CC1|           I hate you!          
20110111063020.000|20110111063023.000|CC1|         I hate you all!        
20110111063023.000|20110111063023.000|CC1|          Captioned by          
20110111063023.000|20110111063023.000|CC1|    Media Access Group at WGBH  
20110111063023.000|20110111063031.000|CC1|         access.wgbh.org        
20110111063031.000|20110111063035.000|SEG_01|Type=Story start
20110111063031.000|20110111063035.000|CC1|>> JANUARY 10, 2011, FROM COMEDY
20110111063035.000|20110111063036.000|CC1|CENTRAL'S WORLD NEWS            
20110111063036.000|20110111063037.000|CC1|HEADQUARTERS IN NEW YORK, THIS  
20110111063037.000|20110111063038.000|CC1|IS "THE DAILY SHOW" WITH JON    
20110111063038.000|20110111063039.000|CC1|STEWART.                        
20110111063039.000|20110111063040.000|CC1|["DAILY SHOW" THEME SONG        
20110111063040.000|20110111063040.000|CC1|PLAYING]                        
20110111063040.000|20110111063054.000|CC1|[CHEERS AND APPLAUSE]           
20110111063054.000|20110111063057.000|CC1|>> Jon: WELCOME TO "THE DAILY   
20110111063057.000|20110111063058.000|CC1|SHOW" EVERYBODY.                
20110111063058.000|20110111063059.000|CC1|JON STEWART.                    
20110111063059.000|20110111063101.000|CC1|THANK YOU FOR JOINING US.       
20110111063101.000|20110111063101.000|CC1|[CHEERS AND APPLAUSE]           
20110111063101.000|20110111063103.000|CC1|I WOULD LOVE TO SAY THAT WE'VE  
20110111063103.000|20110111063106.000|CC1|GOT A GREAT SHOW FOR YOU        
20110111063106.000|20110111063108.000|CC1|TONIGHT, UM, NOT SURE THAT'S THE
20110111063108.000|20110111063109.000|CC1|CASE.                           
20110111063109.000|20110111063109.000|CC1|[LAUGHTER]                      
20110111063109.000|20110111063112.000|CC1|WE'RE GOING TO HAVE DENIS LEARY 
20110111063112.000|20110111063114.000|CC1|IN THE STUDIO.                  
20110111063114.000|20110111063118.000|CC1|[CHEERS AND APPLAUSE]           
20110111063118.000|20110111063119.000|CC1|BECAUSE QUITE FRANKLY AFTER     
20110111063119.000|20110111063121.000|CC1|WATCHING THE NEWS ALL WEEKEND   
20110111063121.000|20110111063123.000|CC1|ALL I WANT TO DO IS VISIT WITH  
20110111063123.000|20110111063126.000|CC1|THE OLD FRIEND AND PERHAPS TRADE
20110111063126.000|20110111063127.000|CC1|INSULTS ABOUT ONE ANOTHER'S     
20110111063127.000|20110111063128.000|CC1|ACTING ABILITY.                 
20110111063128.000|20110111063129.000|CC1|[LAUGHTER]                      
20110111063129.000|20110111063130.000|CC1|IT'S HARD TO KNOW WHAT TO SAY.  
20110111063130.000|20110111063133.000|CC1|THE EVENTS THIS WEEKEND IN      
20110111063133.000|20110111063135.000|CC1|ARIZONA WEIGH HEAVILY.          
20110111063135.000|20110111063137.000|CC1|SADLY, IT IS A FEELING THAT THIS
20110111063137.000|20110111063139.000|CC1|COUNTRY HAS EXPERIENCED ALL TOO 
20110111063139.000|20110111063140.000|CC1|OFTEN AND UNFORTUNATELY FOR OUR 
20110111063140.000|20110111063143.000|CC1|SHOW, THE CLOSER THAT WE HAVE   
20110111063143.000|20110111063145.000|CC1|GOTTEN TOWARDS DISCUSSING AND   
20110111063145.000|20110111063147.000|CC1|DEALING WEAPON CURRENT EVENTS IT
20110111063147.000|20110111063150.000|CC1|HARDER IT BECOMES IN SITUATIONS 
20110111063150.000|20110111063152.000|CC1|WHERE REALITY IS TRULY SAD.     
20110111063152.000|20110111063155.000|CC1|CAN I GIVE YOU -- I CAN GIVE YOU
20110111063155.000|20110111063158.000|CC1|A TYPICAL COMPILATION OF THE    
20110111063158.000|20110111063200.000|CC1|DAY'S NEWS EXCESSES.            
20110111063200.000|20110111063202.000|CC1|CLEARLY NONE OF OUR             
20110111063202.000|20110111063204.000|CC1|CORRESPONDENTS FEELS LIKE       
20110111063204.000|20110111063206.000|CC1|STANDING AROUND, REPORTING      
20110111063206.000|20110111063207.000|CC1|PRETENDING TO BE IN WASHINGTON. 
20110111063207.000|20110111063210.000|CC1|AT LEAST I DON'T THINK THEY DO. 
20110111063210.000|20110111063211.000|CC1|OLIVER?                         
20110111063211.000|20110111063212.000|CC1|>> YOU ARE RIGHT, JON.          
20110111063212.000|20110111063214.000|CC1|NO ONE WANTS TO DO THIS.        
20110111063214.000|20110111063215.000|CC1|NO ONE.                         
20110111063215.000|20110111063218.000|CC1|NO ONE WANTS TO DO THIS SO CAN I
20110111063218.000|20110111063219.000|CC1|GO?                             
20110111063219.000|20110111063220.000|CC1|[LAUGHTER]                      
20110111063220.000|20110111063223.000|CC1|>> Jon: BEFORE YOU GO, IS       
20110111063223.000|20110111063228.000|CC1|THERE A REASON YOU ARE IN -- PAN
20110111063228.000|20110111063230.000|CC1|PAN -- PANDA PA JUDGEAS?        
20110111063230.000|20110111063231.000|CC1|-- PA JUDGEAS.                  
20110111063231.000|20110111063235.000|CC1|>> THERE A REASON YOU'RE NOT,   
20110111063235.000|20110111063235.000|CC1|JON.                            
20110111063235.000|20110111063238.000|CC1|I'LL TELL YOU WHY I'M IN MY     
20110111063238.000|20110111063240.000|CC1|PANDA PJ'S.                     
20110111063240.000|20110111063243.000|CC1|I'M IN MY CHILDHOOD BEDROOM,    
