TOP|20110111070001|2011-01-11_0700_US_KCBS_CBS_2_News_at_11PM
COL|Communication Studies Archive, UCLA 
UID|44c372f4-1d55-11e0-9c68-001517add6fa
DUR|0:34:44.48
VID|640x368
CMT|
LAN|ENG
LBT|2011-01-10 23:00 America/Los_Angeles
SEG_01|2014-02-03 01:07:17|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110111070002.000|20110111070002.000|XDS|%     CALL:   
20110111070002.000|20110111070002.000|XDS|%    TITLE: HF110EC
20110111070002.000|20110111070002.000|XDS|%  NETWORK: CBS
20110111070002.000|20110111070006.000|SEG|Type=Story
20110111070002.000|20110111070006.000|CC1|RE OPENED FIRE ON CIVILIANS.    
20110111070006.000|20110111071213.000|SEG|Type=Story
20110111070006.000|20110111070007.000|CC1|>>> THE LOCAL FAMILY MOURNING   
20110111070007.000|20110111070008.000|CC1|THEIR MOM.                      
20110111070008.000|20110111070015.000|CC1|PAT: CBS 2 NEWS AT 11:00 IS 60  
20110111070015.000|20110111070018.000|CC1|SECONDS AWAY.                   
20110111070018.000|20110111070121.000|SEG_01|Type=Commercial
20110111070018.000|20110111070019.000|CC1|            AW, MAN!            
20110111070019.000|20110111070019.000|CC1|...BUT WE HAVE GOT...           
20110111070019.000|20110111070022.000|CC1|                         SEE YA!
20110111070022.000|20110111070023.000|CC1|   ...EACH OTHER.               
20110111070023.000|20110111070025.000|CC1|      ? WHAT ABOUT LOVE?! ?     
20110111070025.000|20110111070025.000|CC1|        [ Male Announcer ]      
20110111070025.000|20110111070027.000|CC1|      SWIFFER ATTRACTS DIRT.    
20110111070027.000|20110111070027.000|CC1|    THE 2 IN 1 SWIFFER SWEEPER  
20110111070027.000|20110111070030.000|CC1|  USES ELECTROSTATIC DRY CLOTHS 
20110111070030.000|20110111070030.000|CC1|    TO TRAP AND LOCK MORE DIRT  
20110111070030.000|20110111070032.000|CC1|           THAN A BROOM         
20110111070032.000|20110111070032.000|CC1|     AND USES DIRT DISSOLVING   
20110111070032.000|20110111070033.000|CC1|            WET CLOTHS          
20110111070033.000|20110111070035.000|CC1|   TO CLEAN BETTER THAN A MOP.  
20110111070035.000|20110111070036.000|CC1| YOU'RE QUITE THE PICKUP ARTIST!
20110111070036.000|20110111070036.000|CC1|        [ Male Announcer ]      
20110111070036.000|20110111070037.000|CC1|      2 IN 1 SWIFFER SWEEPER    
20110111070037.000|20110111070037.000|CC1|          GIVES CLEANING        
20110111070037.000|20110111070039.000|CC1|       A WHOLE NEW MEANING.     
20110111070039.000|20110111070040.000|CC1|  Our Mercury Moment happened   
20110111070040.000|20110111070042.000|CC1|    when we got a cat tree.     
20110111070042.000|20110111070042.000|CC1|   Jane wanted the one          
20110111070042.000|20110111070042.000|CC1|  with nine compartments        
20110111070042.000|20110111070046.000|CC1|   and a mini hammock.          
20110111070046.000|20110111070046.000|CC1|It was too big to fit           
20110111070046.000|20110111070046.000|CC1|through the door, so I had      
20110111070046.000|20110111070049.000|CC1|to improvise.                   
20110111070049.000|20110111070050.000|CC1|          You got it?           
20110111070050.000|20110111070053.000|CC1|      No,no,no,no.no.no,no      
20110111070053.000|20110111070053.000|CC1|    I'm glad we had Mercury     
20110111070053.000|20110111070054.000|CC1|           Insurance.           
20110111070054.000|20110111070054.000|CC1|They took care of everything and
20110111070054.000|20110111070057.000|CC1| the car looks as good as new.  
20110111070057.000|20110111070057.000|CC1|And we upgraded to the          
20110111070057.000|20110111070059.000|CC1|Cat Mansion Deluxe!             
20110111070059.000|20110111070059.000|CC1|     Which everyone's very      
20110111070059.000|20110111070102.000|CC1|         excited about          
20110111070102.000|20110111070102.000|CC1|  We've dropped our rates up to 
20110111070102.000|20110111070102.000|CC1|    10% or more and added new   
20110111070102.000|20110111070106.000|CC1|           discounts            
20110111070106.000|20110111070106.000|CC1|  and benefits too.  Get a quote
20110111070106.000|20110111070121.000|CC1|     at mercuryinsurance.com    
20110111070121.000|20110111070122.000|SEG_01|Type=Story start
20110111070121.000|20110111070122.000|CC1|PAUL: STANDING VIGIL FOR THE    
20110111070122.000|20110111070124.000|CC1|VICTIMS OF THE TRAGEDY IN       
20110111070124.000|20110111070125.000|CC1|TUCSON.                         
20110111070125.000|20110111070126.000|CC1|>> IT WAS CARNAGE.              
