TOP|20110111130001|2011-01-11_1300_US_FOX-News_Fox_and_Friends
COL|Communication Studies Archive, UCLA 
UID|0caff56e-1d8b-11e0-b077-001517add6f2
DUR|0:59:43.98
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-11 05:00 America/Los_Angeles
SEG_01|2014-02-14 18:21:54|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110111130002.000|20110111130002.000|XDS|%     CALL: FNC 
20110111130003.000|20110111130003.000|XDS|%   RATING: (NOT RATED) (72)
20110111130004.000|20110111130212.000|SEG|Type=Story
20110111130004.000|20110111130005.000|CC1|THANK YOU FOR SHARING YOUR TIME.
20110111130005.000|20110111130007.000|CC1|OUR FIRST LOOK INTO THE EYES OF 
20110111130007.000|20110111130008.000|CC1|THE SUSPECTED KILLER.           
20110111130008.000|20110111130010.000|CC1|JAD LOUGHNERWILL REMAIN         
20110111130010.000|20110111130011.000|CC1|BEHIND BARS WITH THAT SMK ON    
20110111130011.000|20110111130012.000|CC1|HIS FACE.                       
20110111130012.000|20110111130014.000|CC1|NOW HIS FAMILY THINKING ABOUT   
20110111130014.000|20110111130015.000|CC1|BREAKING THEIR SILENCE.         
20110111130015.000|20110111130017.000|CC1|>> Steve: I WANT TO HEAR FROM   
20110111130017.000|20110111130018.000|CC1|THEM.                           
20110111130018.000|20110111130019.000|CC1|HE HAD SOMETHING IN COMMON WITH 
20110111130019.000|20110111130020.000|CC1|ESE FOUR KILLERS INCLUDING      
20110111130020.000|20110111130022.000|CC1|E UNABOMBER.                    
20110111130022.000|20110111130024.000|CC1|AND A 9-11 CONSPIRATOR.         
20110111130024.000|20110111130026.000|CC1|THEY'VE ALL BEEN REPRESENTED BY 
20110111130026.000|20110111130027.000|CC1|THE SAME PERSON INOURT.         
20110111130027.000|20110111130028.000|CC1|WE'LL TELL YOU ABOUT THE WOMAN  
20110111130028.000|20110111130031.000|CC1|WHOSE JOB IT IS TO DEFEND THE   
20110111130033.000|20110111130033.000|XDS|%  NETWORK: Fox News Channel
20110111130031.000|20110111130033.000|CC1|WORST OF THE WORST.             
20110111130033.000|20110111130034.000|CC1|>> Brian: GOOD NEWS, ACTOR      
20110111130034.000|20110111130035.000|CC1|MICHAEL DOUGL SPEAKING OUT      
20110111130035.000|20110111130037.000|CC1|WITH A SURPRISING ANNOUEMENT    
20110111130037.000|20110111130040.000|CC1|ON HIS CCER DIAGNOSIS.          
20110111130040.000|20110111130041.000|CC1|WE'LL GIVE IT TO YOU.           
20110111130041.000|20110111130041.000|CC1|"FOX & FRIENDS" STAR RIGHT      
20110111130041.000|20110111130053.000|CC1|NO                              
20110111130053.000|20110111130054.000|CC1|>> Steve: LCOME TO "FOX &       
20110111130054.000|20110111130055.000|CC1|FRIENDS"OR THIS TUEAY.          
20110111130055.000|20110111130057.000|CC1|IF YOU'RWRITING A CHECK TODAY,  
20110111130057.000|20110111130058.000|CC1|TODAY IS THE EASIEST DAY O THE  
20110111130058.000|20110111130059.000|CC1|AR TO WRITE A CHECK BECAUSE     
20110111130104.000|20110111130104.000|XDS|%    TITLE: News, Fair and Balanced
20110111130059.000|20110111130104.000|CC1|WHEN YOU DOHE DATE, IT'S        
20110111130104.000|20110111130105.000|CC1|1//11.                          
20110111130105.000|20110111130105.000|CC1|>> Brian: REAL?                 
20110111130105.000|20110111130106.000|CC1|>> Gretche ALSO GOOD LUCK DAY.  
20110111130106.000|20110111130110.000|CC1|IF YOU THINK OF ONES ALL IN     
20110111130110.000|20110111130110.000|CC1|SUCCESS.                        
20110111130110.000|20110111130112.000|CC1|THE RE OF THE HEADLINE, WE      
20110111130112.000|20110111130113.000|CC1|START WITH THE SEVE WEATHER     
20110111130113.000|20110111130113.000|CC1|ALERT.                          
20110111130113.000|20110111130115.000|CC1|MOTH NATURE DUMPS A MESSY MIX   
20110111130115.000|20110111130637.000|SEG_01|Type=Commercial
20110111130115.000|20110111130118.000|CC1| SNOW, ICE ANDREEZINGAIN,       
20110111130118.000|20110111130119.000|CC1|PARALYNG THE SOUTH.             
20110111130119.000|20110111130122.000|CC1|INTLANTA, HOW MUCH DID THEY     
20110111130122.000|20110111130123.000|CC1|T?                              
20110111130123.000|20110111130124.000|CC1|FOUR-INCH THICK SHEETS O ICE    
20110111130124.000|20110111130126.000|CC1|FORCED INTERSTATE  TO           
20110111130126.000|20110111130127.000|CC1|COMPLETELY CLOSE DOWN.          
20110111130127.000|20110111130130.000|CC1|THE WHO VENTURED OUT SAID THEY  
20110111130130.000|20110111130133.000|CC1|SHOULD HAVE THOUGHT OTHERWISE.  
20110111130133.000|20110111130135.000|CC1|>> I'VE SEEN SOME CARSTHAT ARE  
20110111130135.000|20110111130136.000|CC1|GETTING STUCK.                  
20110111130136.000|20110111130136.000|CC1|IT'S PRETTYAD.                  
