TOP|20110111140001|2011-01-11_1400_US_MSNBC_The_Daily_Rundown
COL|Communication Studies Archive, UCLA 
UID|6e91f108-1d93-11e0-a3a4-001517add6fa
DUR|0:59:44.71
VID|640x480
CMT|
LAN|ENG
LBT|2011-01-11 06:00 America/Los_Angeles
SEG_01|2014-06-18 18:44:39|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110111140002.000|20110111140026.000|SEG|Type=Story
20110111140002.000|20110111140003.000|CC1|IT'S ABOUT WHAT HAPPENED ABOUT  
20110111140003.000|20110111140003.000|CC1|IN TUCSON.                      
20110111140003.000|20110111140004.000|CC1|>> ABSOLUTELY.                  
20110111140004.000|20110111140006.000|CC1|I LEARNED THAT JOE CAN ACTUALLY 
20110111140006.000|20110111140009.000|CC1|GET YOU OUT OF A CONTRACT IF    
20110111140009.000|20110111140009.000|CC1|YOU'D LIKE.                     
20110111140009.000|20110111140010.000|CC1|>> SHE'S LEARNED IT BEFORE.     
20110111140010.000|20110111140013.000|CC1|YOU'LL LEARN IT NOW.            
20110111140013.000|20110111140014.000|CC1|WHAT TIME IS IT?                
20110111140014.000|20110111140015.000|CC1|>> IT'S MORNING JOE.            
20110111140015.000|20110111140017.000|CC1|STICK AROUND FOR THE DAILY      
20110111140017.000|20110111140026.000|CC1|RUNDOWN WITH CHUCK AND SAVANNAH.
20110111140026.000|20110111140517.000|SEG|Type=Story
20110111140026.000|20110111140028.000|CC1|>>> JARED LOUGHNER GETS HIS     
20110111140028.000|20110111140030.000|CC1|FIRST DAY IN COURT AS THE NATION
20110111140030.000|20110111140032.000|CC1|GETS ITS FIRST GOOD LOOK AT THE 
20110111140032.000|20110111140035.000|CC1|MAN ACCUSED OF THE TRAGIC       
20110111140035.000|20110111140035.000|CC1|SHOOTING.                       
20110111140035.000|20110111140036.000|CC1|PRESIDENT OBAMA WHO LED A MOMENT
20110111140036.000|20110111140037.000|CC1|OF SILENCE MONDAY PREPARE AS RIP
20110111140037.000|20110111140041.000|CC1|TO TUCSON FOR A PUBLIC MEMORIAL 
20110111140041.000|20110111140041.000|CC1|HERE.                           
20110111140041.000|20110111140043.000|CC1|AND CONGRESSWOMAN GIFFORDS STILL
20110111140043.000|20110111140044.000|CC1|IN THE ICU GIVES DOCTORS A      
20110111140044.000|20110111140045.000|CC1|THUMBS UP.                      
20110111140045.000|20110111140048.000|CC1|WE'LL TALK LIVE WITH ONE OF HER 
20110111140048.000|20110111140049.000|CC1|PHYSICIANS THIS MORNING.        
20110111140049.000|20110111140049.000|CC1|GOOD MORNING, EVERYONE.         
