TOP|20110112000001|2011-01-12_0000_US_FOX-News_Report_with_Shepard_Smith
COL|Communication Studies Archive, UCLA 
UID|408b4ad0-1de7-11e0-85fc-001517add60e
DUR|0:59:44.61
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-11 16:00 America/Los_Angeles
SEG_01|2014-06-18 18:45:21|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110112000003.000|20110112000003.000|XDS|%     CALL: FNC 
20110112000003.000|20110112000003.000|XDS|%   RATING: (NOT RATED) (72)
20110112000002.000|20110112005945.000|SEG|Type=Story
20110112000002.000|20110112000003.000|CC1|THAT'ST FOR THIS "SPECIAL       
20110112000003.000|20110112000005.000|CC1|REPORT" THAT WAS FAKE, BY THE   
20110112000005.000|20110112000005.000|CC1|WAY.                            
20110112000008.000|20110112000008.000|XDS|%  NETWORK: Fox News Channel
20110112000005.000|20110112000015.000|CC1|IR, BALANCED, A UNAFRD.         
20110112000015.000|20110112000016.000|CC1|>> Shepard: THEISON ACCUSED IN  
20110112000016.000|20110112000018.000|CC1|THE DEADLY SOTING RAMPAGE IN    
20110112000018.000|20110112000020.000|CC1|TUCSON AND TONIGHT FOR THE FIRST
20110112000020.000|20110112000023.000|CC1|TIME, THEIR TELLI OF THE        
20110112000023.000|20110112000024.000|CC1|HOOR.                           
20110112000024.000|20110112000028.000|CC1|PLUS, WHAT NOW FOR JAR          
20110112000028.000|20110112000028.000|CC1|LOUGHNER.                       
20110112000028.000|20110112000029.000|CC1|I'M SHARD SMITH.                
20110112000029.000|20110112000031.000|CC1|THE NEWS STARTS NOW.            
20110112000031.000|20110112000033.000|CC1|HE COULD FACE THE DEATH PENAL   
20110112000033.000|20110112000035.000|CC1|BUT HIS NEW LAWYER HAS A HISTORY
20110112000035.000|20110112000038.000|CC1|OF SAVING HER CLIENT'S LIVES.   
20110112000038.000|20110112000040.000|CC1|COMING UP HOW JARYD LOUGHNER'S  
20110112000040.000|20110112000041.000|CC1|MENTAL HEALTH COULD BECE A      
20110112000041.000|20110112000046.000|CC1|FACTOR IN HIS TRIAL I WAS A     
20110112000046.000|20110112000048.000|CC1|WALL OF WER RACIN ACROSS THE    
20110112000052.000|20110112000052.000|XDS|%    TITLE: News, Fair and Balanced
20110112000048.000|20110112000052.000|CC1|LAND ESCE.                      
20110112000052.000|20110112000054.000|CC1|>> [INAUDIBLE] BAD FROM         
20110112000054.000|20110112000054.000|CC1|DEVASTATING.                    
20110112000054.000|20110112000056.000|CC1|>> TONIGHT, A LOOK AT THE       
20110112000056.000|20110112000057.000|CC1|DESPERE EFFORT TO SAVE LES      
20110112000057.000|20110112000101.000|CC1|IN T AUSTRALIA FLOODS.          
20110112000101.000|20110112000101.000|CC1|PLUS.                           
20110112000101.000|20110112000103.000|CC1|>> EXPECNG A BIG ANNOUNCEMENT   
20110112000103.000|20110112000103.000|CC1|TODAY.                          
20110112000103.000|20110112000106.000|CC1|I DON'T THINK WE WILL           
20110112000106.000|20110112000106.000|CC1|DISAPPOINT.                     
20110112000106.000|20110112000107.000|CC1|>> Shepard: VEZON FINALLY GETS  
20110112000107.000|20110112000108.000|CC1|THE iPHONE.                     
20110112000108.000|20110112000109.000|CC1|TONIGHT, WN IT HITS STORES,     
20110112000109.000|20110112000111.000|CC1|W MUCH IT WILL COST, AND WHAT   
20110112000111.000|20110112000114.000|CC1|AT&TAS TO SAY ABOUT THIS.       
20110112000114.000|20110112000116.000|CC1|BUT, FIR FROM F THIS TUESY      
20110112000116.000|20110112000119.000|CC1|NIGHT, WE HE NOW RECEIVEDHE     
20110112000119.000|20110112000120.000|CC1|FIRST PUBLIC REACTION FROM THE  
20110112000120.000|20110112000123.000|CC1|PARES OF THEUSPECTED            
20110112000123.000|20110112000125.000|CC1|MURDERER JARYD LOUGHNER, THE MAN
20110112000125.000|20110112000127.000|CC1|ACCUSED OFPENING FE OUTSIDE     
20110112000127.000|20110112000129.000|CC1|A SUPERMAETATURDAY.             
