TOP|20110112020001|2011-01-12_0200_US_KABC_Eyewitness_News_6PM
COL|Communication Studies Archive, UCLA 
UID|d306ba64-1df3-11e0-bd22-001517add720
DUR|0:29:44.18
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-11 18:00 America/Los_Angeles
SEG_01|2014-02-14 18:21:58|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110112020004.000|20110112022945.000|SEG|Type=Story
20110112020004.000|20110112020006.000|CC1|EXPLAIN HIGHER LEVELS OF THE    
20110112020006.000|20110112020007.000|CC1|SEDATIVE.                       
20110112020007.000|20110112020013.000|CC1|ROUGHLY                         
20110112020013.000|20110112020014.000|CC1|REJECTED THAT AT FIRST BUT      
20110112020014.000|20110112020016.000|CC1|LATER SAID HIS PATH OF WRONG    
20110112020016.000|20110112020019.000|CC1|BUT HIS OVERALL CONCLUSION      
20110112020019.000|20110112020021.000|CC1|WITHSTOOD.                      
20110112020021.000|20110112020026.000|CC1|HIS ATTORNEY MIKE               
20110112020026.000|20110112020026.000|CC1|FLANNIGAN.                      
20110112020026.000|20110112020030.000|CC1|>> THE JUDGE REVOKED            
20110112020030.000|20110112020031.000|CC1|MURRAY'S LICENSE TO             
20110112020031.000|20110112020033.000|CC1|PRACTICE.                       
20110112020033.000|20110112020036.000|CC1|IT WILL BE A LONG ROAD AHEAD    
20110112020036.000|20110112020038.000|CC1|FOR THE FAMILY.                 
20110112020038.000|20110112020040.000|CC1|>> MURRAY A BAIL WILL STAN      
20110112020040.000|20110112020043.000|CC1|AT $75,000, JUDGE SAID THAT     
20110112020043.000|20110112020044.000|CC1|DR. CONRAD MURRAY DID NOT       
20110112020044.000|20110112020047.000|CC1|POSE A FLIGHT RISK, HE MAS      
20110112020047.000|20110112020049.000|CC1|24 HOURS TO NOTIFY OTHER        
20110112020049.000|20110112020051.000|CC1|STATES WHERE HE AS OTHER        
20110112020051.000|20110112020052.000|CC1|MEDICAL LICENSES THAT HIS       
20110112020052.000|20110112020054.000|CC1|LICENSE HERE IN CALIFORNIA      
20110112020054.000|20110112020054.000|CC1|HAS BEEN REJECTED.              
20110112020054.000|20110112020056.000|CC1|LIVE FROM DOWNTOWN LOS          
20110112020056.000|20110112020058.000|CC1|ANGELES, MIRIAM HERNANDEZ,      
20110112020058.000|20110112020059.000|CC1|"ABC7 EYEWITNESS NEWS."         
20110112020059.000|20110112020101.000|CC1|DAVID: THE PARENTS OF THE       
20110112020101.000|20110112020105.000|CC1|MAN SUSPECTED IN TUCSON         
20110112020105.000|20110112020106.000|CC1|MASSACRE ARE TRYING TO COME     
20110112020106.000|20110112020108.000|CC1|TO TERMS WITH THE               
20110112020108.000|20110112020109.000|CC1|ACCUSATIONS AGAIN THEIR SON,    
20110112020109.000|20110112020110.000|CC1|THEY RELEASED THEIR FIRST       
20110112020110.000|20110112020113.000|CC1|STATEMENT TODAY, TONIGHT THE    
20110112020113.000|20110112020116.000|CC1|FOCUS IS ON THE 6 PEOPLE        
20110112020116.000|20110112020118.000|CC1|WHO WERE KILLED, T.J.           
20110112020118.000|20110112020121.000|CC1|WINNICK IS LIVE IN TUCSON       
20110112020121.000|20110112020123.000|CC1|WHERE A CHURCH SERVICE IS       
20110112020123.000|20110112020124.000|CC1|GETTING UNDERWAY.               
20110112020124.000|20110112020124.000|CC1|>> Reporter: I HAVE TO POINT    
20110112020124.000|20110112020128.000|CC1|OUT THIS MEMORIAL HERE THAT     
20110112020128.000|20110112020129.000|CC1|IS GROWING IN SIZE, DAY         
20110112020129.000|20110112020131.000|CC1|AFTER DAY, IT SEEMS THAT        
20110112020131.000|20110112020134.000|CC1|THOUGHTS AND PRAYERS HERE IN    
20110112020134.000|20110112020136.000|CC1|TUCSON ARE NEVER END, ACROSS    
20110112020136.000|20110112020138.000|CC1|TOWN, A CATHOLIC MASS           
20110112020138.000|20110112020139.000|CC1|GETTING UNDERWAY FOR THE        
20110112020139.000|20110112020142.000|CC1|SICK WHO PERISHED DURING        
20110112020142.000|20110112020143.000|CC1|SATURDAY'S SHOOTING RAMPAGE     
20110112020143.000|20110112020146.000|CC1|AND THE 14 INJURED              
20110112020146.000|20110112020147.000|CC1|SURVIVORS, DURING THE WEEK      
20110112020147.000|20110112020149.000|CC1|OF UNBELIEVABLE HEARTBREAK,     
20110112020149.000|20110112020150.000|CC1|THE NEWS REGARDS                
20110112020150.000|20110112020151.000|CC1|CONGRESSWOMAN GABRIELLE         
20110112020151.000|20110112020152.000|CC1|GIFFORDS SEEMED TOO GOOD TO     
20110112020152.000|20110112020153.000|CC1|BE TRUE.                        
20110112020153.000|20110112020154.000|CC1|>> SHE IS ABLE TO GENERATE      
20110112020154.000|20110112020155.000|CC1|HER OWN BREATH.                 
20110112020155.000|20110112020156.000|CC1|>> Reporter: DOCTORS BELIEVE    
20110112020156.000|20110112020158.000|CC1|SHE MAY HAVE BEEN SHOT IN       
20110112020158.000|20110112020159.000|CC1|THE FRONT OF HER HEAD NOT       
20110112020159.000|20110112020200.000|CC1|THE BACK AS THOUGHT.            
20110112020200.000|20110112020202.000|CC1|>> SHE HAS NO RIGHT TO LOOK     
20110112020202.000|20110112020204.000|CC1|THIS GOOD, SHE DOES, WE'RE      
20110112020204.000|20110112020205.000|CC1|HOPEFUL BUT I WANT TO           
20110112020205.000|20110112020207.000|CC1|UNDERSCORE THE SERIOUSNESS      
20110112020207.000|20110112020208.000|CC1|OF THIS INJURY, AND WE HAVE     
20110112020208.000|20110112020209.000|CC1|TO BE PATIENT.                  
20110112020209.000|20110112020212.000|CC1|>> Reporter: AMONG THE 6        
20110112020212.000|20110112020215.000|CC1|FATALITIES, DORWIN STODDARD     
20110112020215.000|20110112020218.000|CC1|WHO DIED PROTECTING HIS         
20110112020218.000|20110112020219.000|CC1|WIFE, HIGH SCHOOL               
20110112020219.000|20110112020219.000|CC1|SWEETHEART.                     
20110112020219.000|20110112020220.000|CC1|>> WE'RE BLESS HEED IS          
20110112020220.000|20110112020222.000|CC1|WALKING WITH THE LORD NOW,      
20110112020222.000|20110112020223.000|CC1|BUT WHAT A WAY TO GO.           
20110112020223.000|20110112020227.000|CC1|>> HIS WIFE SUSAN WAKES UP      
20110112020227.000|20110112020230.000|CC1|SCREAMING FOR CHRISTINA         
20110112020230.000|20110112020232.000|CC1|GREEN, WHO BROUGHT HER          
20110112020232.000|20110112020234.000|CC1|NEIGHBOR TO THE EVENT.          
20110112020234.000|20110112020237.000|CC1|>> I HEAR HER, SCREAMING        
20110112020237.000|20110112020239.000|CC1|OUT, CHRISTINA, LET'S GET       
20110112020239.000|20110112020240.000|CC1|OUT OF HERE.                    
20110112020240.000|20110112020242.000|CC1|AND SHE KEEPS TALKING ABOUT     
20110112020242.000|20110112020244.000|CC1|THE HOLDING OF HANDS AND        
20110112020244.000|20110112020245.000|CC1|REALIZATION SHE WAS ON THE      
20110112020245.000|20110112020248.000|CC1|GROUND, AND THE BLEEDING WAS    
20110112020248.000|20110112020251.000|CC1|PRO FUSE, HER MEMORY ENDS       
20110112020251.000|20110112020252.000|CC1|THERE.                          
20110112020252.000|20110112020253.000|CC1|>> Reporter: AS FBI AGENTS      
20110112020253.000|20110112020255.000|CC1|PIECE TOGETHER THE SHOOTING,    
20110112020255.000|20110112020259.000|CC1|THE SUSPECT, LOUGHNER SITS      
