TOP|20110112020001|2011-01-12_0200_US_KNBC_Channel_4_News
COL|Communication Studies Archive, UCLA 
UID|d32a344e-1df3-11e0-af17-001517add6fa
DUR|0:29:44.11
VID|640x368
CMT|
LAN|ENG
LBT|2011-01-11 18:00 America/Los_Angeles
SEG_01|2014-06-18 18:45:37|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110112020003.000|20110112020115.000|SEG|Type=Story
20110112020003.000|20110112020005.000|CC1|CRIMINALLY NEGLIGENT IN THE     
20110112020005.000|20110112020007.000|CC1|TREATMENT OF JACKSON'S INSOMNIA 
20110112020007.000|20110112020009.000|CC1|WITH PROPOFOL WHICH WAS FOUND TO
20110112020009.000|20110112020013.000|CC1|BE THE PRINCIPAL CAUSE OF DEATH.
20110112020013.000|20110112020015.000|CC1|MURRAY ADMITTED TO GIVING       
20110112020015.000|20110112020022.000|CC1|JACKSON PROPOFOL AS A SLEEP AID.
20110112020022.000|20110112020027.000|CC1|THEN IT WAS POSED THAT MICHAEL  
20110112020027.000|20110112020028.000|CC1|JACKSON WOKE UP AND GAVE HIMSELF
20110112020028.000|20110112020033.000|CC1|MORE.                           
20110112020033.000|20110112020036.000|CC1|AN EXPERT REFUTING THIS         
20110112020036.000|20110112020036.000|CC1|BACKFIRED.                      
20110112020036.000|20110112020040.000|CC1|HE TESTIFIED EVEN IF JACKSON DID
20110112020040.000|20110112020044.000|CC1|GIVE HIMSELF THE FATAL DOSE     
20110112020044.000|20110112020045.000|CC1|MURRAY'S CARE WAS NEGLIGENT.    
20110112020045.000|20110112020047.000|CC1|>> THE JURY IS GOING TO HAVE TO 
20110112020047.000|20110112020049.000|CC1|DECIDE SHOULD A MAN GO TO PRISON
20110112020049.000|20110112020052.000|CC1|BECAUSE HE GAVE A DRUG THAT IS  
20110112020052.000|20110112020053.000|CC1|USED IN THE HOSPITAL AND HE DID 
20110112020053.000|20110112020056.000|CC1|AN IMPERFECT JOB WITH           
20110112020056.000|20110112020058.000|CC1|RESUSCITATION AND MONITORING.   
20110112020058.000|20110112020100.000|CC1|>> Reporter: A MORE IMMEDIATE   
20110112020100.000|20110112020101.000|CC1|IMPACT LED THE STATE MEDICAL    
20110112020101.000|20110112020110.000|CC1|BOARD TO REVOKE DR. MURRAY'S    
20110112020110.000|20110112020111.000|CC1|LICENSE TO PRACTICE MEDICINE.   
20110112020111.000|20110112020112.000|CC1|HE IS FREE ON BAIL.             
20110112020112.000|20110112020114.000|CC1|HE IS DUE BACK IN COURT TWO     
20110112020114.000|20110112020115.000|CC1|WEEKS.                          
20110112020115.000|20110112020351.000|SEG|Type=Story
20110112020115.000|20110112020117.000|CC1|>>> IT IS A NIGHT FOR HEALING IN
20110112020117.000|20110112020118.000|CC1|TUCSON, ARIZONA.                
20110112020118.000|20110112020122.000|CC1|THE FIRST MEMORIAL SERVICES ARE 
20110112020122.000|20110112020124.000|CC1|UNDER WAY FOR THE VICTIMS OF THE
20110112020124.000|20110112020125.000|CC1|SHOOTING RAMPAGE.               
20110112020125.000|20110112020128.000|CC1|THE SURVIVORS, SOME FIGHTING FOR
20110112020128.000|20110112020129.000|CC1|THEIR LIVES ARE BEING REMEMBERED
20110112020129.000|20110112020130.000|CC1|IN PRAYERS.                     
20110112020130.000|20110112020132.000|CC1|THIS IS TUCSON WHERE THAT       
20110112020132.000|20110112020133.000|CC1|MEMORIAL SERVICE IS UNDER WAY   
20110112020133.000|20110112020136.000|CC1|FOR THE VICTIMS OF SATURDAY'S   
20110112020136.000|20110112020137.000|CC1|RAMPAGE.                        
20110112020137.000|20110112020138.000|CC1|FEDERAL JUDGE JOHN ROLL AND FIVE
20110112020138.000|20110112020141.000|CC1|OTHERS INCLUDING THE 9-YEAR-OLD 
20110112020141.000|20110112020143.000|CC1|DAUGHTER OF AN L.A. DODGER      
20110112020143.000|20110112020146.000|CC1|EMPLOYEE ARE BEING REMEMBERED   
20110112020146.000|20110112020147.000|CC1|HERE.                           
20110112020147.000|20110112020148.000|CC1|REPRESENTATIVE GABRIELLE        
20110112020148.000|20110112020150.000|CC1|GIFFORDS IS MAKING PROGRESS NOW,
20110112020150.000|20110112020151.000|CC1|BREATHING ON HER OWN.           
20110112020151.000|20110112020153.000|CC1|DOCTORS ARE PLEASED WITH HER    
20110112020153.000|20110112020153.000|CC1|PROGRESS.                       
20110112020153.000|20110112020155.000|CC1|THE SUSPECT'S PARENTS BROKE     
20110112020155.000|20110112020156.000|CC1|THEIR SILENCE ABOUT THE ACTIONS 
20110112020156.000|20110112020158.000|CC1|OF THEIR SON.                   
20110112020158.000|20110112020200.000|CC1|PRESIDENT OBAMA WILL TRAVEL TO  
20110112020200.000|20110112020202.000|CC1|TUCSON TOMORROW FOR A MEMORIAL  
20110112020202.000|20110112020202.000|CC1|ADDRESS.                        
20110112020202.000|20110112020204.000|CC1|JAY GRAY IS LIVE IN TUCSON WITH 
20110112020204.000|20110112020205.000|CC1|THE VERY LATEST.                
20110112020205.000|20110112020206.000|CC1|>> Reporter: LET'S START WITH   
20110112020206.000|20110112020210.000|CC1|THE STATEMENT FROM THE FAMILY OF
20110112020210.000|20110112020212.000|CC1|JARED LOUGHNER AT HIS FAMILY    
20110112020212.000|20110112020214.000|CC1|HOME PASSED OUT TO THE MEDIA.   
20110112020214.000|20110112020216.000|CC1|IT READS, THIS IS A VERY        
20110112020216.000|20110112020218.000|CC1|DIFFICULT TIME FOR US.          
20110112020218.000|20110112020222.000|CC1|WE ASK THE MEDIA TO RESPECT OUR 
20110112020222.000|20110112020222.000|CC1|PRIVACY.                        
20110112020222.000|20110112020223.000|CC1|THERE ARE NO WORDS TO EXPRESS   
20110112020223.000|20110112020225.000|CC1|HOW WE FEEL.                    
20110112020225.000|20110112020226.000|CC1|WE WISH THERE WERE SO WE COULD  
20110112020226.000|20110112020228.000|CC1|MAKE YOU FEEL BETTER.           
20110112020228.000|20110112020230.000|CC1|WE DON'T UNDERSTAND WHY THIS    
20110112020230.000|20110112020231.000|CC1|HAPPENED.                       
20110112020231.000|20110112020233.000|CC1|WE WISH WE COULD CHANGE THE     
