TOP|20110112040001|2011-01-12_0400_US_KCAL_KCAL_9_News_at_8PM
COL|Communication Studies Archive, UCLA 
UID|c7120226-1e08-11e0-8be7-001517add720
DUR|0:59:43.81
VID|640x368
CMT|
LAN|ENG
LBT|2011-01-11 20:00 America/Los_Angeles
SEG_01|2014-06-18 18:45:48|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110112040002.000|20110112040002.000|XDS|%   RATING: (NOT RATED) (72)
20110112040003.000|20110112040003.000|XDS|%    TITLE: Dr. Phil          Show 9038
20110112040021.000|20110112045944.000|SEG|Type=Story
20110112040021.000|20110112040104.000|CC1|RICK: TONIGHT ON "KCAL 9 NEWS"  
20110112040104.000|20110112040105.000|CC1|AT 8:00 MICHAEL JACKSON'S DOCTOR
20110112040105.000|20110112040107.000|CC1|WILL STAND TRIAL FOR            
20110112040107.000|20110112040108.000|CC1|MANSLAUGHTER.                   
20110112040108.000|20110112040110.000|CC1|IN THE CASE HAD TO JUDGE SAYS   
20110112040110.000|20110112040111.000|CC1|THERE IS ENOUGH EVIDENCE TO     
20110112040111.000|20110112040113.000|CC1|SUGGEST TO THE POP STAR'S DEATH 
20110112040113.000|20110112040115.000|CC1|WAS A CRIME.                    
20110112040115.000|20110112040119.000|CC1|SHARON: ALSO MEMORIAL'S BEGAN IN
20110112040119.000|20110112040119.000|CC1|TUCSON.                         
20110112040119.000|20110112040121.000|CC1|RICK: PLUS ONE YEAR LATER, WHAT 
20110112040121.000|20110112040123.000|CC1|HAS HAPPENED TO ALL OF THE      
20110112040123.000|20110112040123.000|CC1|EIGHT?                          
20110112040123.000|20110112040125.000|CC1|WE GO BACK TO HAITI.            
20110112040125.000|20110112040126.000|CC1|GOOD EVENING.                   
20110112040126.000|20110112040127.000|CC1|I'M RICK GARCIA.                
20110112040127.000|20110112040129.000|CC1|SHARON: AND I'M SHARON TAY.     
20110112040129.000|20110112040131.000|CC1|WE START WITH BREAKING NEWS NEAR
20110112040131.000|20110112040133.000|CC1|EAST L.A.                       
20110112040133.000|20110112040134.000|CC1|A SHERIFF'S DEPUTY HAS BEEN     
20110112040134.000|20110112040135.000|CC1|SHOT.                           
20110112040135.000|20110112040137.000|CC1|SKY9 IS OVER THE SCENE.         
20110112040137.000|20110112040139.000|CC1|L.A. COUNTY SHERIFF'S DEPUTIES  
20110112040139.000|20110112040141.000|CC1|AND FIRE RESPONDED TO THE CALL. 
20110112040141.000|20110112040144.000|CC1|THAT IS WHEN WE GOT WORD OF A   
20110112040144.000|20110112040144.000|CC1|DEPUTY DOWN.                    
20110112040144.000|20110112040147.000|CC1|RICK: WE HAVE NOW CONFIRMED THAT
20110112040147.000|20110112040148.000|CC1|IT IS A MALE DEPUTY WHO HAS BEEN
20110112040148.000|20110112040151.000|CC1|SHOT AND TAKEN TO L.A. COUNTY   
20110112040151.000|20110112040152.000|CC1|USC MEDICAL CENTER.             
20110112040152.000|20110112040153.000|CC1|WE DO NOT KNOW HOW IT HAS       
20110112040153.000|20110112040156.000|CC1|HAPPENED OR THE EXTENT OF THE   
20110112040156.000|20110112040157.000|CC1|INJURIES.                       
20110112040157.000|20110112040159.000|CC1|IT WILL DESCRIBE THE SCENE.     
20110112040159.000|20110112040200.000|CC1|THERE ARE EVIDENCE MARKERS ON   
20110112040200.000|20110112040202.000|CC1|THE GROUND AND BLOOD ON THE     
20110112040202.000|20110112040203.000|CC1|SIDEWALK.                       
20110112040203.000|20110112040204.000|CC1|SHARON: AS THE PULLOUT YOU WILL 
