TOP|20110112180001|2011-01-12_1800_US_MSNBC_News_Live
COL|Communication Studies Archive, UCLA 
UID|20457182-1e7e-11e0-8e58-001517add720
DUR|0:59:44.28
VID|640x480
CMT|
LAN|ENG
LBT|2011-01-12 10:00 America/Los_Angeles
SEG_01|2014-06-18 18:46:36|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110112180003.000|20110112180046.000|SEG|Type=Story
20110112180003.000|20110112180004.000|CC1|FORCE ONE.                      
20110112180004.000|20110112180005.000|CC1|INSIDE THE HOSPITAL, A PICTURE  
20110112180005.000|20110112180007.000|CC1|OF CONGRESSWOMAN GIFFORDS'      
20110112180007.000|20110112180010.000|CC1|HUSBAND CAPTAIN MARK KELLY AT   
20110112180010.000|20110112180013.000|CC1|HIS WIFE'S BEDSIDE, SPEAKING OUT
20110112180013.000|20110112180015.000|CC1|SINCE THE FIRST TIME SINCE THE  
20110112180015.000|20110112180017.000|CC1|TRAGEDY, SARAH PALIN RELEASES AN
20110112180017.000|20110112180020.000|CC1|EIGHT-MINUTE VIDEO LASHING OUT  
20110112180020.000|20110112180021.000|CC1|AT HER CRITICS.                 
20110112180021.000|20110112180023.000|CC1|>> WITHIN HOURS OF A TRAGEDY    
20110112180023.000|20110112180025.000|CC1|UNFOLDING, JOURNALISTS AND      
20110112180025.000|20110112180028.000|CC1|PUNDITS SHOULD NOT MANUFACTURE A
20110112180028.000|20110112180031.000|CC1|BLOOD LIBEL THAT SERVES ONLY TO 
20110112180031.000|20110112180032.000|CC1|INCITE THE VERY HATRED AND      
20110112180032.000|20110112180035.000|CC1|VIOLENCE THAT THEY PURPORT TO   
20110112180035.000|20110112180036.000|CC1|CONDEMN.                        
20110112180036.000|20110112180037.000|CC1|THAT IS REPREHENSIBLE.          
20110112180037.000|20110112180041.000|CC1|>> THE REACTION INCLUDING HER   
20110112180041.000|20110112180043.000|CC1|USE OF THAT CONTROVERSIAL PHRASE
20110112180043.000|20110112180046.000|CC1|BLOOD LIBEL, AN ANTI-SEMITIC    
20110112180046.000|20110112180046.000|CC1|PHRASE.                         
20110112180046.000|20110112180056.000|SEG|Type=Story
