TOP|20110112200001|2011-01-12_2000_US_FOX-News_Studio_B_With_Shepard_Smith
COL|Communication Studies Archive, UCLA 
UID|e3e9ca92-1e8e-11e0-9cfe-001517add6f2
DUR|0:59:44.11
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-12 12:00 America/Los_Angeles
SEG_01|2014-06-18 18:46:43|Source_Program=Commercial Detection|Source_Person=Weixin Li
20110112200003.000|20110112200003.000|XDS|%     CALL: FNC 
20110112200003.000|20110112200003.000|XDS|%   RATING: (NOT RATED) (72)
20110112200005.000|20110112205945.000|SEG|Type=Story
20110112200005.000|20110112200006.000|CC1|STARTS NEXT.                    
20110112200006.000|20110112200007.000|CC1|>>Shepard: THE NEWBEGINS        
20110112200007.000|20110112200007.000|CC1|ANEW.                           
20110112200007.000|20110112200010.000|CC1|, SNOW ON THE GROUND IN 49      
20110112200010.000|20110112200011.000|CC1|STATES.                         
20110112200011.000|20110112200012.000|CC1|THE E PART OF THE COUNTRY       
20110112200012.000|20110112200014.000|CC1|TTING VERY WORST OF IT AN       
20110112200014.000|20110112200016.000|CC1|FORECASTERS SAY THERE ISORE TO  
20110112200016.000|20110112200017.000|CC1|COME.                           
20110112200018.000|20110112200018.000|XDS|%  NETWORK: Fox News Channel
20110112200017.000|20110112200019.000|CC1|2 FEET PLUS.                    
20110112200019.000|20110112200021.000|CC1|WE ARE LIVE IN THE ATHER        
20110112200021.000|20110112200021.000|CC1|CENTER.                         
20110112200021.000|20110112200023.000|CC1|DEAD FLOOD WATER CONSUMING      
20110112200023.000|20110112200025.000|CC1|GE PORTIONS OF A COUNTRY.       
20110112200025.000|20110112200026.000|CC1|SWEEPING AY HOMES AND LEAVING   
20110112200026.000|20110112200027.000|CC1|PEOPLE STRANDED.                
20110112200027.000|20110112200029.000|CC1|THERE ARE STUNNING IGES.        
20110112200029.000|20110112200031.000|CC1|THIS IS JST THEEGINNING.        
20110112200031.000|20110112200033.000|CC1|AND IN BOX THREE, AHISTORIC     
20110112200033.000|20110112200037.000|CC1|VOTE TO ABOLIS THE STATE DEAT   
20110112200037.000|20110112200037.000|CC1|PENALTY IN ILLINOIS.            
20110112200037.000|20110112200040.000|CC1|BUT IT IS NOT A DONE DEA        
20110112200040.000|20110112200042.000|CC1|WE WILL TEL YOU WHAT IS LEFT    
20110112200042.000|20110112200045.000|CC1|AND THE WHS BEHIND ITUNLESS     
20110112200045.000|20110112200045.000|CC1|BREAKING NS CHANGES EVERYTHING  
20110112200045.000|20110112200046.000|CC1|ON "STUDIO B" TODAY.            
20110112200046.000|20110112200049.000|CC1|BUT, FIRST FROM FOX AT 3:,      
20110112200049.000|20110112200051.000|CC1|BRAND N DETAILS ABOUT THE       
20110112200051.000|20110112200053.000|CC1|TRAGEDY IN TUCSONND WHAT MAY    
20110112200054.000|20110112200054.000|XDS|%    TITLE: News, Fair and Balanced
20110112200053.000|20110112200055.000|CC1|HAVE HAPPENED BEFORE THE DEADLY 
20110112200055.000|20110112200055.000|CC1|SHOOTING.                       
20110112200055.000|20110112200056.000|CC1|ALL THE DETAILS COMING.         
20110112200056.000|20110112200059.000|CC1|FIRST, WE HAVE A FIR LOOK A     
