TOP|20110113000001|2011-01-13_0000_US_KCAL_KCAL_9_News_at_4PM
COL|Communication Studies Archive, UCLA 
UID|3a6b9e8c-1eac-11e0-8a13-001517add6fa
DUR|0:29:44.94
VID|640x352
CMT|
LAN|ENG
LBT|2011-01-12 16:00 America/Los_Angeles
SEG_01|2014-02-14 18:22:03|Source_Program=commercial_detection.py|Source_Person=Weixin Li
20110113000002.000|20110113000002.000|XDS|%    TITLE: KJCU0002000
20110113000005.000|20110113002945.000|SEG|Type=Story
20110113000005.000|20110113000006.000|CC1|RICK: GOOD AFTERNOON.           
20110113000006.000|20110113000008.000|CC1|I'M RICK GARCIA IN FOR LEYNA    
20110113000008.000|20110113000009.000|CC1|NGUYEN.                         
20110113000009.000|20110113000010.000|CC1|SYLVIA: I'M SYLVIA LOPEZ.       
20110113000010.000|20110113000011.000|CC1|IN JUNS HOUR PRESIDENT OBAMA    
20110113000011.000|20110113000013.000|CC1|WILL ADDRESS THE MEMORIAL       
20110113000013.000|20110113000014.000|CC1|SERVICE FOR THE VICTIMS OF      
20110113000014.000|20110113000016.000|CC1|THE TRAGEDY IN TUCSON.          
20110113000016.000|20110113000018.000|CC1|SIX PEOPLE WERE KILLED          
20110113000018.000|20110113000020.000|CC1|SATURDAY BY A GUNMAN AT AN      
20110113000020.000|20110113000025.000|CC1|EVENT FOR CONGRESSWOMAN         
20110113000025.000|20110113000029.000|CC1|GABRIELLE GIFFORDS.             
20110113000029.000|20110113000030.000|CC1|KAREN BROWN JOINS US LIVE       
20110113000030.000|20110113000033.000|CC1|AGAIN.                          
20110113000033.000|20110113000035.000|CC1|>>Reporter: SYLVIA RIGHT NOW    
20110113000035.000|20110113000036.000|CC1|THE PRESIDENT IS AT THE         
20110113000036.000|20110113000037.000|CC1|UNIVERSITY MEDICAL CENTER       
20110113000037.000|20110113000039.000|CC1|VISITING WITH VICTIMS AND       
20110113000039.000|20110113000039.000|CC1|FAMILY MEMBERS.                 
20110113000039.000|20110113000040.000|CC1|IT IS ACROSS THE CAMPUS         
20110113000040.000|20110113000041.000|CC1|HERE.                           
20110113000041.000|20110113000042.000|CC1|WE ARE TOLD THE FIRST THING     
20110113000042.000|20110113000043.000|CC1|HE WANTED TO DO UPON            
20110113000043.000|20110113000046.000|CC1|ARRIVING IN TUCSON WAS TO       
20110113000046.000|20110113000047.000|CC1|VISIT CONGRESSWOMAN GIFFORDS    
20110113000047.000|20110113000048.000|CC1|BECAUSE SHE'S NOT JUST A        
20110113000048.000|20110113000048.000|CC1|COLLEAGUE.                      
20110113000048.000|20110113000052.000|CC1|SHE'S A FRIEND.                 
20110113000052.000|20110113000053.000|CC1|PRESIDENT OBAMA AND THE         
20110113000053.000|20110113000054.000|CC1|PLAYED ARRIVED IN TUCSON FOR    
20110113000054.000|20110113000056.000|CC1|TONIGHT'S SERVICE OF            
20110113000056.000|20110113000057.000|CC1|REMEMBRANCE AND HEALING.        
20110113000057.000|20110113000058.000|CC1|THOUSANDS OF PEOPLE LINED UP    
20110113000058.000|20110113000059.000|CC1|TO FILL THE ARENA AT THE        
20110113000059.000|20110113000100.000|CC1|UNIVERSITY OF ARIZONA.          
20110113000100.000|20110113000103.000|CC1|>> I WANTED TO BE HERE FOR      
20110113000103.000|20110113000104.000|CC1|TUCSON AND THE COMMUNITY.       
20110113000104.000|20110113000106.000|CC1|THIS HAS GREATLY AFFECTED       
20110113000106.000|20110113000107.000|CC1|ALL OF US.                      
20110113000107.000|20110113000109.000|CC1|>>Reporter: AS THE COMMUNITY    
20110113000109.000|20110113000111.000|CC1|MOURNS ITS SIX DEAD AND 14      
20110113000111.000|20110113000112.000|CC1|WOUNDED NEW DETAILS ARE         
20110113000112.000|20110113000113.000|CC1|COMING OUT ABOUT THE            
